wfoid,Id,speciesplus_url
wfo-0000264026,18158,https://speciesplus.net/species#/taxon_concepts/18158/legal
wfo-0000264027,19644,https://speciesplus.net/species#/taxon_concepts/19644/legal
wfo-0000922262,98993,https://speciesplus.net/species#/taxon_concepts/98993/legal
wfo-0000264030,29228,https://speciesplus.net/species#/taxon_concepts/29228/legal
wfo-0000264032,28088,https://speciesplus.net/species#/taxon_concepts/28088/legal
wfo-0000264034,61625,https://speciesplus.net/species#/taxon_concepts/61625/legal
wfo-0000264036,28572,https://speciesplus.net/species#/taxon_concepts/28572/legal
wfo-0000264041,16354,https://speciesplus.net/species#/taxon_concepts/16354/legal
wfo-0000264044,98370,https://speciesplus.net/species#/taxon_concepts/98370/legal
wfo-0000264048,23860,https://speciesplus.net/species#/taxon_concepts/23860/legal
wfo-0000264054,14345,https://speciesplus.net/species#/taxon_concepts/14345/legal
wfo-0000913902,98414,https://speciesplus.net/species#/taxon_concepts/98414/legal
wfo-0000922420,98397,https://speciesplus.net/species#/taxon_concepts/98397/legal
wfo-0000264062,14050,https://speciesplus.net/species#/taxon_concepts/14050/legal
wfo-0000264066,61630,https://speciesplus.net/species#/taxon_concepts/61630/legal
wfo-0000264067,65122,https://speciesplus.net/species#/taxon_concepts/65122/legal
wfo-0000264069,17408,https://speciesplus.net/species#/taxon_concepts/17408/legal
wfo-0000264078,61633,https://speciesplus.net/species#/taxon_concepts/61633/legal
wfo-0000264080,19045,https://speciesplus.net/species#/taxon_concepts/19045/legal
wfo-0000264083,26326,https://speciesplus.net/species#/taxon_concepts/26326/legal
wfo-0001343365,98393,https://speciesplus.net/species#/taxon_concepts/98393/legal
wfo-0000264086,65124,https://speciesplus.net/species#/taxon_concepts/65124/legal
wfo-0000264087,23903,https://speciesplus.net/species#/taxon_concepts/23903/legal
wfo-0000264096,17944,https://speciesplus.net/species#/taxon_concepts/17944/legal
wfo-1000053071,98394,https://speciesplus.net/species#/taxon_concepts/98394/legal
wfo-0000913903,98373,https://speciesplus.net/species#/taxon_concepts/98373/legal
wfo-0000264105,21463,https://speciesplus.net/species#/taxon_concepts/21463/legal
wfo-0000264113,20569,https://speciesplus.net/species#/taxon_concepts/20569/legal
wfo-0000264117,98410,https://speciesplus.net/species#/taxon_concepts/98410/legal
wfo-0000264118,16891,https://speciesplus.net/species#/taxon_concepts/16891/legal
wfo-0000264129,65125,https://speciesplus.net/species#/taxon_concepts/65125/legal
wfo-1000053355,98362,https://speciesplus.net/species#/taxon_concepts/98362/legal
wfo-0001342726,98359,https://speciesplus.net/species#/taxon_concepts/98359/legal
wfo-1000054293,98377,https://speciesplus.net/species#/taxon_concepts/98377/legal
wfo-0000264131,15243,https://speciesplus.net/species#/taxon_concepts/15243/legal
wfo-1000053031,98407,https://speciesplus.net/species#/taxon_concepts/98407/legal
wfo-0000264133,16333,https://speciesplus.net/species#/taxon_concepts/16333/legal
wfo-1000006158,98371,https://speciesplus.net/species#/taxon_concepts/98371/legal
wfo-0000264136,17042,https://speciesplus.net/species#/taxon_concepts/17042/legal
wfo-0000264139,98376,https://speciesplus.net/species#/taxon_concepts/98376/legal
wfo-0000264143,98374,https://speciesplus.net/species#/taxon_concepts/98374/legal
wfo-0000264145,15386,https://speciesplus.net/species#/taxon_concepts/15386/legal
wfo-0000264150,98367,https://speciesplus.net/species#/taxon_concepts/98367/legal
wfo-0001424163,98357,https://speciesplus.net/species#/taxon_concepts/98357/legal
wfo-0000264152,98378,https://speciesplus.net/species#/taxon_concepts/98378/legal
wfo-0000264153,98368,https://speciesplus.net/species#/taxon_concepts/98368/legal
wfo-0000264154,48568,https://speciesplus.net/species#/taxon_concepts/48568/legal
wfo-0000264157,15395,https://speciesplus.net/species#/taxon_concepts/15395/legal
wfo-0000264162,16257,https://speciesplus.net/species#/taxon_concepts/16257/legal
wfo-0000918386,98365,https://speciesplus.net/species#/taxon_concepts/98365/legal
wfo-0000264164,16716,https://speciesplus.net/species#/taxon_concepts/16716/legal
wfo-0000264166,98502,https://speciesplus.net/species#/taxon_concepts/98502/legal
wfo-0001329804,98405,https://speciesplus.net/species#/taxon_concepts/98405/legal
wfo-1000053332,98391,https://speciesplus.net/species#/taxon_concepts/98391/legal
wfo-0000264172,23751,https://speciesplus.net/species#/taxon_concepts/23751/legal
wfo-0001329870,98379,https://speciesplus.net/species#/taxon_concepts/98379/legal
wfo-0000264175,27137,https://speciesplus.net/species#/taxon_concepts/27137/legal
wfo-0000264176,19473,https://speciesplus.net/species#/taxon_concepts/19473/legal
wfo-0000913904,98381,https://speciesplus.net/species#/taxon_concepts/98381/legal
wfo-0001340063,98355,https://speciesplus.net/species#/taxon_concepts/98355/legal
wfo-0000264179,16674,https://speciesplus.net/species#/taxon_concepts/16674/legal
wfo-0000264182,98400,https://speciesplus.net/species#/taxon_concepts/98400/legal
wfo-0000264183,61645,https://speciesplus.net/species#/taxon_concepts/61645/legal
wfo-0000913905,98399,https://speciesplus.net/species#/taxon_concepts/98399/legal
wfo-0001339997,98361,https://speciesplus.net/species#/taxon_concepts/98361/legal
wfo-0000264192,26464,https://speciesplus.net/species#/taxon_concepts/26464/legal
wfo-0000264196,98396,https://speciesplus.net/species#/taxon_concepts/98396/legal
wfo-0000264197,23745,https://speciesplus.net/species#/taxon_concepts/23745/legal
wfo-0000264199,17225,https://speciesplus.net/species#/taxon_concepts/17225/legal
wfo-0000264200,22209,https://speciesplus.net/species#/taxon_concepts/22209/legal
wfo-0001345240,98360,https://speciesplus.net/species#/taxon_concepts/98360/legal
wfo-0000809538,61648,https://speciesplus.net/species#/taxon_concepts/61648/legal
wfo-0000264206,18892,https://speciesplus.net/species#/taxon_concepts/18892/legal
wfo-0000264207,14520,https://speciesplus.net/species#/taxon_concepts/14520/legal
wfo-0000264213,25150,https://speciesplus.net/species#/taxon_concepts/25150/legal
wfo-0000913908,98369,https://speciesplus.net/species#/taxon_concepts/98369/legal
wfo-0000264215,26352,https://speciesplus.net/species#/taxon_concepts/26352/legal
wfo-0000489259,98375,https://speciesplus.net/species#/taxon_concepts/98375/legal
wfo-0000264229,14325,https://speciesplus.net/species#/taxon_concepts/14325/legal
wfo-0000489269,98363,https://speciesplus.net/species#/taxon_concepts/98363/legal
wfo-0000264238,14600,https://speciesplus.net/species#/taxon_concepts/14600/legal
wfo-0000264239,19877,https://speciesplus.net/species#/taxon_concepts/19877/legal
wfo-0000264248,98409,https://speciesplus.net/species#/taxon_concepts/98409/legal
wfo-0000264249,25426,https://speciesplus.net/species#/taxon_concepts/25426/legal
wfo-0000264258,16727,https://speciesplus.net/species#/taxon_concepts/16727/legal
wfo-0000264262,61655,https://speciesplus.net/species#/taxon_concepts/61655/legal
wfo-0000264263,19055,https://speciesplus.net/species#/taxon_concepts/19055/legal
wfo-0000264264,65133,https://speciesplus.net/species#/taxon_concepts/65133/legal
wfo-0001339998,98390,https://speciesplus.net/species#/taxon_concepts/98390/legal
wfo-0000809544,98389,https://speciesplus.net/species#/taxon_concepts/98389/legal
wfo-0000913910,98994,https://speciesplus.net/species#/taxon_concepts/98994/legal
wfo-0001330765,98416,https://speciesplus.net/species#/taxon_concepts/98416/legal
wfo-0000267337,15428,https://speciesplus.net/species#/taxon_concepts/15428/legal
wfo-0000806320,61861,https://speciesplus.net/species#/taxon_concepts/61861/legal
wfo-0001340667,93882,https://speciesplus.net/species#/taxon_concepts/93882/legal
wfo-0000269949,28680,https://speciesplus.net/species#/taxon_concepts/28680/legal
wfo-0000269954,27918,https://speciesplus.net/species#/taxon_concepts/27918/legal
wfo-0000490868,98417,https://speciesplus.net/species#/taxon_concepts/98417/legal
wfo-0000269959,18997,https://speciesplus.net/species#/taxon_concepts/18997/legal
wfo-0000269960,27060,https://speciesplus.net/species#/taxon_concepts/27060/legal
wfo-0000269965,98366,https://speciesplus.net/species#/taxon_concepts/98366/legal
wfo-0000269968,61865,https://speciesplus.net/species#/taxon_concepts/61865/legal
wfo-0000269972,61866,https://speciesplus.net/species#/taxon_concepts/61866/legal
wfo-0001342736,98402,https://speciesplus.net/species#/taxon_concepts/98402/legal
wfo-0000269977,20409,https://speciesplus.net/species#/taxon_concepts/20409/legal
wfo-0000269979,98406,https://speciesplus.net/species#/taxon_concepts/98406/legal
wfo-0000269981,27872,https://speciesplus.net/species#/taxon_concepts/27872/legal
wfo-0000490870,61869,https://speciesplus.net/species#/taxon_concepts/61869/legal
wfo-0000269982,26865,https://speciesplus.net/species#/taxon_concepts/26865/legal
wfo-0000269983,20938,https://speciesplus.net/species#/taxon_concepts/20938/legal
wfo-0000269992,24472,https://speciesplus.net/species#/taxon_concepts/24472/legal
