taxonID,vernacularName,language,countryCode,rightsHolder,license
wfo-0000454083,Stinkende Wiesenraute,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454091,Labkraut-Wiesenraute,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454093,Einfache Wiesenraute,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000105415,Löwenzahnblättriger Blasen-Pippau,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000333666,Südliches Nesselblatt,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000724345,Spurre,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000597858,Alpen-Wachsblume,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000528351,Zwerg-Flechtbinse,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001019982,Schotenpfeffer,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000003482,Arnika,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000694229,Kleine Traubenhyazinthe,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001248602,Gewöhnliche Sand-Schaumkresse,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000528404,Tabernaemontanus' Flechtbinse,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000663145,Gemeiner Natterkopf,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000415401,Venusnabel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000694251,Armenische Traubenhyazinthe,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001095872,Alpen-Ruchgras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000528476,Dreikantige Flechtbinse,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000003695,Nickender Zweizahn,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000861316,Wiesen-Kammgras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000861333,Stacheliges Kammgras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000291202,Stein-Eiche,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000105886,Alpen-Feld-Beifuss,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000055664,Schlitzblättrige Schwarzwurzel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000563924,Thunbergs Berberitze,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000415643,Mittlerer Wasserschlauch,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454527,Akeleiblättrige Wiesenraute,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000375572,Zweiblütige Miere,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000933858,Genfer Günsel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000861498,Wiesen-Knäuelgras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000564027,Gemeine Berberitze,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000415714,Bremis Wasserschlauch,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000415721,Südlicher Wasserschlauch,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000375606,Feinblättrige Miere,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454649,Siebenstern,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454690,Niederliegender Bergflachs,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000106204,Wiesen-Pippau,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001297552,Nessel-Seide,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001096101,Flaum-Wiesenhafer,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001096104,Gewöhnliche Mäuse-Gerste,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001096105,Walliser Kammschmiele,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454748,Leinblättriger Bergflachs,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000724775,Steinkresse,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000454820,Bayrischer Bergflachs,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000564227,Bergenie,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000861646,Aschersons Knäuelgras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
