taxonID,description,type,language,rightsHolder,source,license
wfo-0000052161,"6–7. Prairies sèches, pinèdes ; calcicole ; coll.-subalp. GR, ANC, ANE, TI nord, SH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000489629,"5–7. Prairies humides, mégaphorbiées ; (coll.-)mont.-subalp. CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595778,"4–5. Pelouses sèches, chemins ; xérothermophile ; coll. TI mérid., seul. adventice.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018785,"4–5. Prés secs, chemins, murs ; xérophile ; coll.-subalp. VS, TI, GR, ailleurs dispersé.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018786,"6–7. Buissons clairsemés, pentes sèches ; mont.-subalp. Basse-Engadine.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001296723,"6–9. Haies, esserts, jardins, décombres ; thermophile ; coll.-mont. CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000372740,"8–9. Fossés, rives ; coll. TI mérid., VD, GE, SG.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000000404,"6–7. Prés humides, marais ; coll.-mont. J, dispersé P et AN.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000629095,6–9. Cultivé ; coll.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000372823,"6–7. Coteaux buissonneux, souvent entre blocs de rochers ; (coll.-)mont.-subalp. TI, GR (vallées méridionales), VS (Gondo).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000288466,"7–8. Pelouses rocailleuses, pentes rocheuses, sèches ; xérothermophile ; coll.-mont. TI, GR (Vallée de Poschiavo).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018841,"6–8. Cultivé comme plante ornementale, subspontané ou naturalisé dans parcs, pelouse et mégaphorbiées ; coll.-subalp.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018842,"7–8. Rochers calcaires ; xérophile ; coll.-subalp.(-alp.). A, PE, JS (NE).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018851,"6. Lisières, buissons, amas de pierres ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000372873,"5–8. Prairies fraîches, pâturages maigres ; plutôt calcifuge ; mont.-subalp.(-alp.). VS, OB, ANC, PE zones préalpines, JS (NE).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000629123,"6–9. Cultivé sous différentes formes (Citrouille, Pâtisson) ; coll.(-mont.).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000489772,"7–10. Endroits humides, fossés, chemins de forêts ; coll.-mont. CH (manque en Engadine).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000489816,"7–10. Lieux humides, fossés, chemins forestiers ; coll.-mont. CH (manque en Engadine).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-1000080661,"3–4. Forêts claires, vergers, buissons ; coll.-mont. CH (manque en Engadine). En expansion.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595976,"7–9. Eboulis, moraines ; calcifuge ; (subalp.-)alp. A (manque ANW et chaînes ext. nord).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
