taxonID,description,type,language,rightsHolder,source,license
wfo-0000595778,"4–5. Trockenrasen, Wegränder, kollin. Südliches TI, nur adventiv.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018785,"4–5. Trockenwarme Hügel, kollin-subalpin. VS, TI, GR, sonst zerstreut.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018786,"6–7. Lichtes Gebüsch, trockene Hänge, montan-subalpin. Unterengadin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001296723,"6–9. Hecken, Waldschläge, Gärten, kollin-montan. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000372740,"8–9. Gräben, Ufer, kollin. Südliches TI, VD, SG, GE.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000000404,"6–7. Flachmoorwiesen, kollin-montan. J, vereinzelt M und AN.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000629095,"6–9. Kultiviert, kollin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000372823,"6–7. Buschige Hänge, oft zwischen Felsblöcken, (kollin-)montan-subalpin. TI, GR (Südtäler), VS (Gondo).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000288466,"7–8. Steinige Rasen, trockene Felshänge, kollin-montan. TI, GR (Puschlav).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018841,"6–8. Als Zierpflanze kultiviert und in Parks, Rasen und Staudenfluren verwildert und eingebürgert, kollin-subalpin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018842,"7–8. Kalkfelsen, kollin-subalpin(-alpin). A, ME, JS (NE).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018851,"6. Waldränder, Gebüsche, Steinhaufen, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000372873,"5–8. Bergwiesen, magere Weiden, montan-subalpin(-alpin). VS, BO, ANZ, ME am Alpenrand, JS (NE).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000629123,"6–9. Kultiviert, kollin(-montan).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000489772,"7–10. Feuchte Stellen, Gräben, Waldwege, kollin-montan. CH (fehlt im Engadin).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000489816,"7–10. Feuchte Stellen, Gräben, Waldwege, kollin-montan. CH (fehlt im Engadin).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-1000080661,"3–4. Lichte Wälder, Baumgärten, Gebüsche, kollin-montan. CH, in Ausbreitung.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595976,"7–9. Felsschutt, Moränen, kalkfliehend, (subalpin-)alpin. A (fehlt südl. TI, ANW und nördlichen Randketten).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000596025,"4–5. Trockene, sandige Böden in warmen Lagen, kollin(-montan). CH (fehlt im Engadin).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000372964,"7–10. Gräben, Teiche, Kulturen, kollin. TI, M, vereinzelt AN.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000489876,"7–10. Schuttplätze, Hecken, aus Gärten verwildert, kollin. M, VS, TI.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000859844,"6. Trockenrasen, felsige Südhänge, kollin. TI, GR (Puschlav, Misox), VD (Bex).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000752017,"7–9. Bergwälder, montan(-subalpin). TI, GR (Misox), BO (Simmental), vereinzelt VS, VD, NE.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018867,"7. Gebüsche, Steinhaufen, kollin-montan(-subalpin). A zerstreut (besonders VS, BO), vereinzelt ZH und SO.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018877,"6–7. Bergwälder, Zwergstrauchheiden, subalpin-alpin. A, J (nördlich bis Weissenstein).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018881,"4–5. Oft in Gärten kultiviert und in Hecken und Wäldern verwildernd, kollin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018917,"4. Sehr trockene Hügel und Felsen, kollin. VS.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000102904,"6–10. Waldschläge, Wegränder, Getreidefelder, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000452192,"6. Flusskies, kollin-montan(-subalpin). A, vereinzelt M und J.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000489910,"7–10. Feuchte Stellen, Gräben, Waldwege, kollin-montan. CH (fehlt im Engadin).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000596122,"3–5. Trockene, sandige Böden in warmen Lagen, kollin-montan. CH (fehlt im Engadin).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018965,"6. Hecken, Waldränder, Steinhaufen, kollin-montan(-subalpin). A, JN, höheres M.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001260746,"7–8. Steinige Rasen, Grate, kalkfliehend, alpin. A (fehlt in den nördlichen Randketten).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
