Identifier,bibliographicCitation
335594,"Kallunki, Jacquelyn A. 1994. Revision of Raputia Aubl. (Cuspariinae, Rutaceae). Brittonia. 46: 279-295."
265881,"Ellison, William L. 1971. Taxonomy of Platyschkuhria (Compositae). Brittonia. 23: 269-279."
78504,"Barneby, Rupert C. 1996. Neotropical Fabales at NY: Asides and oversights. Brittonia. 48: 174-187."
307435,"Goldblatt, Peter. 1976. Revision of the bulbous Iridaceae of North America. Brittonia. 27: 373-385."
309576,"Stuessy, Tod F. 1975. A revision of Moonia (Compositae, Heliantheae, Coreopsidinae). Brittonia. 27: 97-102."
129618,"Holmgren, Noel H. & Holmgren, Patricia K. 1989. A taxonomic study of Jamesia (Hydrangeaceae). Brittonia. 41 (4): 335-350."
306709,"Bierner, Mark W. 1972. Taxonomy of Helenium sect. Tetrodus and a conspectus of North American Helenium (Compositae). Brittonia. 24: 331-355."
25116,"Carvalho, A. M. de. 1997. A synopsis of the genus Dalbergia (Fabaceae: Dalbergieae) in Brazil. Brittonia. 49: 87-109."
435662,"Skog, Laurence E. & Kvist, L. P. 1994. Novae gesneriaceae neotropicarum VI: Five new Gesneriaceae from northwestern South America. Brittonia. 46: 317-330."
100260,"Dillon, Michael O. & Sagástegui Alva, Abundio. 1996. Revision of the dioecious genus Chersodoma Phil. (Senecioneae, Asteraceae), including a new species and status change. Brittonia. 48: 582-604."
442884,"Parker, Earl S. & Jones, Jr., Samuel B. 1975. A systematic study of the genus Balduina (Compositae, Heliantheae). Brittonia. 27: 355-361."
100122,"Delprete, Piero G. 1997. Revision and typification of Brazilian Augusta (Rubiaceae, Rondeletieae), with ecological observations on the riverine vegetation of the cerrado and Atlantic forests. Brittonia. 49: 487-497."
196770,"Bonifacino, J. Mauricio, et al. 2009. A new combination in Asteropsis (Compositae: Astereae), and a synopsis of the genus. Brittonia. 61 (1): 1-7."
335141,"Wen, J. 1993. Generic delimitation of Aralia (Araliaceae). Brittonia. 45: 47-55."
302745,"McDonald, J. Andrew & Austin, D. F. 1990. Changes and additions in Ipomoea section Batatas (Convolvulaceae). Brittonia. 42: 116-120."
361460,"Copeland, Edwin B. 1931. Sarawak ferns collected by J. and M. S. Clemens. Brittonia. 1: 71-78. pl. 1-3."
111596,"Barneby, Rupert C. 1997. Toward a census of genus Mimosa (Mimosaceae) in the Americas: A new species from Mexico (Baja California Sur) and two from planaltine Brazil (Goiás, Minas Gerais). Brittonia. 49: 452-457."
479445,"Christensen, Carl F. A. 1937. Botanical Results of the Archbold Expedition No. 8: New and Noteworthy Papuan Ferns. Brittonia. 2 (4): 265-317."
203547,"Wurdack, John J. 1976. Endemic Melastomataceae of the Sierra Nevada de Santa Marta, Colombia. Brittonia. 28: 138-143."
306974,"Davis, W. S. 1970. The systematics of Clarkia bottae, C. cylindrica, and a related new species, C. rostrata. Brittonia. 22: 270-184."
20192,"van der Werff, Hendrik H. 1997. A new species of Ocotea (Lauraceae) from French Guiana. Brittonia. 49: 189-191."
25203,"Dorn, Robert D. 1995. A taxonomic study of Salix section Cordatae subsection Luteae (Salicaceae). Brittonia. 47: 160-174."
309978,"Weaver, Richard E. 1970. A new Jamaican species of Lisianthus [L. adumsii] (Gentianaceae). Brittonia. 22: 11-13."
399279,"Crum, Howard A. & Buck, William R. 1992. Sphagna of the 1979 projeto flora Amazónica expedition. Brittonia. 44: 448-460."
398669,"Crum, Howard A. & Buck, William R. 1988. A contribution to the Sphagnum (Sphagnaceae) flora of Paraguay. Brittonia. 40: 188-194."
435509,"Mickel, John T. & Valdespino, I. A. 1992. Five new secies of pteridophytes from Oaxaca, Mexico. Brittonia. 44: 312-321."
394025,"Heckard, Lawrence R. & Stebbins, G. Ledyard, Jr. 1974. A new Lewisia [L. serrata] (Portulacaceae) from the Sierra Nevada of California. Brittonia. 26: 305-308."
193047,"Noguera-Savelli, E., et al. 2008. Description of a new species and notes on Crossoglossa (Orchidaceae: Epidendroideae: Malaxideae) from eastern Andes in Colombia and Venezuela. Brittonia. 60 (3): 240-244."
204018,"Gleason, Henry A. 1937. Some New or Noteworthy Melastomes. Brittonia. 2 (4): 319-327."
203546,"Wurdack, John J. 1988. New Melastomataceae from Peru and Bolivia. Brittonia. 40 (1): 7-15."
265256,"Crawford, Daniel J. 1976. Taxonomy of Coreposis sect. Pseudo-Agarista (Compositae) in Mexico with additional comments on sectional relationships in Mexican Coreopsis. Brittonia. 28: 329-336."
265409,"Cruden, Robert William. 1971. The systematics of Rigidella (Iridaceae). Brittonia. 23: 217-225."
265599,"Daly, Douglas C. 1992. New taxa and combinations in Protium Burm. f. studies in neotropical Burseraceae VI. Brittonia. 44: 280-299."
309557,"Strother, John L. 1974. Taxonomy of Tetradymia (Compositae: Senecioneae). Brittonia. 26: 177-202."
309579,"Stuessy, Tod F. 1970. Six new species of Melampodium (Compositae: Heliantheae) from Mexico and Central America. Brittonia. 22: 112-124."
479477,"Swallen, Jason R. 1937. The Grass Genus Mesosetum. Brittonia. 4: 363-392."
309077,"Roe, Keith E. 1967. A revision of Solanum sect. Brevantherum (Solanaceae) in North and Central America. Brittonia. 19: 353-373."
332531,"Knapp, Sandra D. 1986. New species of Solanum section Geminata (Solanaceae) from South America. Brittonia. 38: 273-301."
113081,"Ando, T. & Hashimoto, G. 1998. Two new species of Petunia from southern Rio Grande do Sul, Brazil. Brittonia. 50: 483-492."
179292,"Dean, E. A., et al. 2007. Lycianthes pringlei (Solanaceae), a rarely collected shrub of western Mexico. Brittonia. 59 (1): 49-53."
128283,"Costea, Mihai & Tardif, F. J. 2005. Taxonomy of the Polygonum douglasii (Polygonaceae) complex with a new species from Oregon. Brittonia. 57 (1): 1-27."
416747,"Gleason, Henry A. & Killip, E. P. 1939. The flora of Mount Auyan-Tepui, Venezuela. Brittonia. 3: 141-204. f. 1-5."
314759,"Gillett, John M. 1965. Taxonomy of Trifolium: five American species of section Lupinaster (Leguminosae). Brittonia. 17: 121-136."
357437,"Liogier, Alain H. 1968. Novitates Antillanae. III. Brittonia. 20: 148-161."
185760,"Ramírez-De Anda, M. P. & Torres Colín, Rafael. 2007. Revisión taxonómica del complejo Bauhinia macranthera (Fabaceae: Caesalpinioideae: Cercideae), un grupo endémico del centro y noreste de México. Brittonia. 59 (4): 357-369."
301322,"Burt-Utley, Kathleen & Utley, John F. 1987. Begonia lymansmithii (Begoniaceae), a new species from Oaxaca, Mexico. Brittonia. 39: 59-62."
332733,"Burt-Utley, Kathleen. 1986. Studies on Middle American Begonia (Begoniaceae) II. Brittonia. 38: 333-339."
330279,"Burt-Utley, Kathleen. 1982. New species in Begonia section Gireoudia (Begoniaceae) from Central America. Brittonia. 34: 189-198."
307950,"Kuijt, Job. 1967. The genus lxocactus (Loranthaceae, s.s): description of its first species. Brittonia. 19: 62-67."
361673,"Cuatrecasas, José. 1959. Studies in South American plants--V. Brittonia. 11: 163-172."
331181,"Meerow, Alan W. 1984. Two new species of pancratioid Amaryllidaceae from Peru and Ecuador. Brittonia. 36: 18-25."
310092,"Williams, Louis O. 1966. A new Horsemannia [H. floccoa] from Panama. Brittonia. 18: 248, 249."
458865,"Menzel, Margaret Y., et al. 1983. Relationships among New World species of Hibiscus section Furcaria (Malvaceae). Brittonia. 35: 204-221."
319607,"Moore, Harold E. 1963. Geranium campii and G.durengense--two new species. Brittonia. 15: 92-95."
308881,"Pringle, James S. 1967. Taxonomy of Gentiana, section Pneumonanthae, in eastern North America. Brittonia. 19: 1-32."
297945,"Lewis, Harlan & Szweykowski, Jerzy. 1964. The genus Gayophytum (Onagraceae). Brittonia. 16: 343-391."
190142,"Holmes, W. C., et al. 2008. Taxonomy of Koeberlinia (Koeberliniaceae). Brittonia. 60 (2): 171-184."
296181,"Constance, Lincoln & Heckard, Lawrence Ray. 1970. Two new species of Phacelia [P. cookei, P. stebbinsii] (Hydrophyllaceae) from California. Brittonia. 22: 25-30."
296895,"Reveal, James L. & Constance, Lincoln. 1972. A new Phacelia [P. beatleyae] (Hydrophyllaceae) from southern Nevada. Brittonia. 24: 199-201."
334866,"Luteyn, James L. 1992. New and interesting Ericaceae (Vaccinieae) from Ecuador. Brittonia. 44: 344-349."
328199,"Luteyn, James L. 1977. Notes on neotropical Vaccinieae (Ericaceae). IV. A review of the genus Oreanthes. Brittonia. 29: 173-176."
328200,"Luteyn, James L. 1977. Notes on neotropical Vaccinieae (Ericaceae). V. Five new species from South America. Brittonia. 29: 177-182."
309076,"Roe, Keith E. 1972. A revision of Solanum section Brevantherum (Solanaceae). Brittonia. 24: 239-278."
263448,"Anderson, Gregory J. 1975. The variation and evolution of selected species of Solanum section Basarthrum. Brittonia. 27: 209-222."
266009,"Ertter, Barbara J. 1992. A re-evaluation of Potentilla drummondii and P. breweri (Rosaceae), with the new species Potentilla morefieldii. Brittonia. 44: 429-435."
435640,"Bennett, D. & Christenson, E. A. 1994. New species of Peruvian Orchidaceae II. Brittonia. 46: 228-259."
324642,"Smith, Albert C. 1936. Notes on North American Araliaceae. Brittonia. 2: 247-261."
306993,"Dempster, Lauramay T. 1970. Three new species of Galium (Rubiaceae) from Baja California. Brittonia. 22: 184-190."
308865,"Prance, Ghillean T. 1971. New species of phanerogams from Amazonia. Brittonia. 23: 438-445."
334351,"Hayden, W. J. 1990. Notes on neotropical Amanoa (Euphorbiaceae). Brittonia. 42: 260-270."
79126,"Bennett, David E. & Christenson, Eric A. 1995. New species of Peruvian Orchidaceae III. Brittonia. 47: 182-209."
23780,"Morales Q., J. Francisco. 1997. A reevaluation of Echites and Prestonia sect. Coalitae (Apocynaceae). Brittonia. 49: 328-336."
25109,"Morales Q., J. Francisco. 1997. A synopsis of the genus Allomarkgrafia (Apocynaceae). Brittonia. 49: 337-345."
324768,"Smith, J. J. 1931. Addition to our knowledge of the orchid flora of Borneo. Brittonia. 1: 105-111."
333461,"Armbruster, W. S. 1989. Three new species of Dalechampia (Euphorbiaceae) from Venezuelan Guayana. Brittonia. 41: 44-52."
333548,"Webster, Grady L. 1989. Three new species of Dalechampia (Euphorbiaceae) from Brazil. Brittonia. 41: 1-9."
307335,"Gentry, Alwyn H. 1970. A revision of Tabebuia (Bignoniaceae) in Central America. Brittonia. 22: 246-264."
309187,"Sauer, Jonathan D. 1972. Revision of Stenotaphrum (Gramineae: Paniceae) with attention to its historical geography. Brittonia. 24: 202-222."
335080,"Clark, L. G. 1992. Chusquea sect. Swallenochloa (Poaceae: Bambusoideae) and allies in Brazil. Brittonia. 44: 387-422."
80807,"Delprete, Piero G. 1996. Notes on calycophyllous Rubiaceae. Part I. Morphological comparisons of the genera Chimarrhis, Bathysa, and Calycophyllum, with new combinations and a new species, Chimarrhis gentryana. Brittonia. 48: 35-44."
357836,"Prance, Ghillean T. 1976. Additions to neotropical Chrysobalanaceae. Brittonia. 28: 209-230."
308863,"Prance, Ghillean T. 1974. A new Peruvian species of chiroptorophilous Couepia [C. dolichopoda]. Brittonia. 26: 302-304."
334034,"Burt-Utley, Kathleen. 1990. New and noteworthy species in Begonia section Gireoudia (Begoniaceae) from Mexico. Brittonia. 42: 38-46."
313499,"Dwyer, John D. 1951. The Central American, West Indian and South American species of Copaifera (Caesalpinaceae). Brittonia. 7: 143-172."
111257,"Ayers, Tina J. 1997. Three new species of Lysipomia (Lobeliaceae) endemic to the páramos of southern Ecuador. Brittonia. 49: 433-440."
329924,"Lasseigne, Alex A. 1981. Senna barnebyana (Leguminosae: Caesalpinioideae), a new 'cassia' from Peru. Brittonia. 33: 512-514."
361674,"Cuatrecasas, José. 1962. Studies in South American plants VI. Brittonia. 14: 50-56."
307781,"Johnston, Marshall C. 1975. Synopsis of Canotia (Celastraceae) including a new species [C. wendtii] from the Chihuahuan Desert. Brittonia. 27: 119-122."
444820,"Kawasaaki, M. L. & Holst, Bruce K. 1994. New species and a new combination in Myrtaceae from northeastern South America. Brittonia. 46: 137-143."
194387,"Prance, Ghillean T. 2008. A revision of Foetidia (Lecythidaceae subfamily Foetidioideae). Brittonia. 60 (4): 336-348."
397053,"Prance, Ghillean T. & Anderson, A. B. 1976. Two new species of Amazonian Lecythidaceae. Brittonia. 28: 298-302."
304720,"Holmgren, Noel H. & Holmgren, Arthur H. 1974. Three new species from the Great Basin. Brittonia. 26: 309-315."
116495,"Clary, K, H. 1995. Yucca linearifolia (Agavaceae): A new, indehiscent, fleshy-fruited, linear-leaved species endemic to the Chihuahuan Desert, Mexico. Brittonia. 47: 394-396."
310099,"Williams, Norris H. 1972. A reconsideration of Ada and the glumaceous Brassias (Orchidaceae). Brittonia. 24: 93-110."
193050,"Redden, Karen M. 2008. A new species of Paloue (Leguminosae, Caesalpinioideae: Detarieae) from Guyana, South America. Brittonia. 60 (3): 257-260."
196799,"Egger, M. 2009. A new species of Castilleja (Orobanchaceae) from Trujillo, Venezuela. Brittonia. 61 (1): 41-45."
307911,"Koyama, Tetsuo M. 1974. Four new species of Smilax (Smilacaceae) from southeastern Asia. Brittonia. 26: 133-138."
310159,"Wunderlin, Richard P. 1976. Two new species and a new combination in Frantzia (Cucurbitaceae). Brittonia. 28: 239-244."
327986,"Reveal, James L. 1976. Eriogonum (Polygonaceae) novelties from Baja California, Mexico. Brittonia. 28: 337-340."
308987,"Reveal, James L. 1974. Two shrubby novelties in Eriogonum (Polygonaceae) from the deserts of Utah and Arizona. Brittonia. 26: 90-94."
335538,"Holmgren, Noel H. 1994. Redefinition of Dodecatheon dentatum (Primulaceae) and rationale for use of varietal rank. Brittonia. 46: 87-94."
129624,"Johnson, D. M. 1989. Revision of Disepalum (Annonaceae). Brittonia. 41 (4): 356-378."
397137,"Luteyn, James L. & Wilbur, Robert L. 1977. New genera and species of Ericaceae (Vaccinieae) from Costa Rica and Panama. Brittonia. 29: 255-276."
333441,"Prance, Ghillean T. 1988. Three new species of Dichapetalaceae from tropical America. Brittonia. 40: 441-446."
334050,"Graham, Shirley A. 1990. New species of Cuphea section Melvilla (Lythraceae) and an annotated key to the section. Brittonia. 42: 12-32."
307464,"Graham, Shirley A. 1971. Three new species of Cuphea (Lythraceae) from Mexico. Brittonia. 23: 227-230."
307769,"Johnston, Marshall C. 1971. Revision of Colubrina (Rubiaceae). Brittonia. 23: 2-53."
334850,"Howard, Richard A. 1992. Collected notes on Coccoloba L. (Polygonaceae). Brittonia. 44: 356-367."
56833,"Luteyn, James L. & Morales Q., J. Francisco. 1996. Four new species of Cavendishia (Ericaceae: Vaccinieae) from Costa Rica. Brittonia. 48: 514-519."
113048,"van der Werff, Hendrik H. 1995. Two new species of Lauraceae from central French Guiana. Brittonia. 47: 372-375."
312802,"Core, Earl L. 1934. Studies in the genus Scleria. Brittonia. 1: 239-243."
302613,"Mesler, Michael R. & Lu, K. L. 1990. The status of Asarum marmoratum (Aristolochiaceae). Brittonia. 42: 33-37."
296458,"Hawksworth, Frank G. & Wiens, Delbert. 1970. Newtaxa and nomenclutural changes in Arceuthobium (Viscaceae). Brittonia. 22: 265-269."
309205,"Schuyler, Alfred E. 1970. A new ribbon-leaved aquatic bulrush in Madagasear (Cyperaceae: Scirpus). Brittonia. 22: 151-153."
335154,"Stevenson, Dennis W. 1993. The Zamiaceae in Panama with comments on phytogeography and species relationships. Brittonia. 45: 1-16."
335189,"Pirani, José R. 1993. A new species and a new combination in Zanthoxylum (Rutaceae) from Brazil. Brittonia. 45: 154-158."
309303,"Smith, Albert C. 1971. Studies of Pacific Island plants XXIV. The genus Terminalia (Combretaceae) in Fiji, Samoa, and Tonga. Brittonia. 23: 394-412."
387357,"Exell, Arthur W. 1936. New Papuan species of Terminalia. Brittonia. 2: 137-138."
328192,"Koyama, Tetsuo M. 1977. A new species of Eleoch'aris [E. liogieri] (Cyperaceae) from the West Indies. Brittonia. 29: 237-239."
83244,"Wiersema, John H. 1996. Nymphaea tetragona and Nymphaea leibergii (Nymphaeaceae): Two species of diminutive water-lilies in North America. Brittonia. 48: 520-531."
191002,"Martínez, J. G. & McDonald, J. A. 1989. Nowickea (Phytolaccaceae), a new genus with two species from Mexico. Brittonia. 41 (4): 399-403."
307606,"Hermann, Frederick J. 1971. New species of Carex from Mexico and Guatemala. Brittonia. 23: 144-148."
394605,"Thien, L. B. & Dressler, Robert L. 1970. Taxonomy of Barkeria (Orchidaceae). Brittonia. 22: 289-302."
96372,"Alverson, Andrew H. 1989. Quararibea (Bombacaceae): five new species from moist and wet forests of Costa Rica and Panama. Brittonia. 41(1): 61-74."
394316,"Lewis, Walter H. & Oliver, Royce L. 1974. Revision of Richardia (Rubiaceae). Brittonia. 26: 271-301."
318943,"Mathias, Mildred E. 1936. The genus Hydrocotyle in northern South America. Brittonia. 2: 201-237."
111246,"Prather, L. A. 1996. Three new species of Cobaea (Polemoniaceae). Brittonia. 48: 111-119."
113056,"Profíce, Sheila R. 1997. Two new species of Mendoncia (Acanthaceae) from Bahia, Brazil. Brittonia. 49: 67-70."
309352,"Sohmer, Seymour Hans. 1972. Revision of the genus Carpentiera (Amaranthaceae). Brittonia. 24: 283-312."
409729,"Ståhl, Bertil. 1992. On the identity of Jacquinia armillaris (Theophrastaceae) and related species. Brittonia. 44: 54-60."
297096,"Steyermark, Julian A. & Bunting, George S. 1975. Revision of the genus Froesia (Quiinaceae). Brittonia. 27: 172-178."
78845,"Fryxell, Paul A. & Guadarrama Olivera, M. A. 2001. New Mexican species of Byttneria (Sterculiaceae), Bakeridesia (Malvaceae), and Triumfetta (Tiliaceae). Brittonia. 53: 59-65."
300675,"Soderstrom, Thomas R. & Zuloaga, Fernando O. 1985. Diandrolyra tatianae (Poaceae: Olyreae), a new herbaceous bamboo from Brazil. Brittonia. 37: 1-5."
330776,"Burt-Utley, Kathleen. 1983. Three new species of Begonia (Begoniaceae) from Mexico. Brittonia. 35: 115-119."
326518,"Wagnon, Harvey K. 1952. A revision of the genus Bromus, section Bromopsis, of North America. Brittonia. 7: 415-480."
332042,"Wasshausen, Dieter C. 1985. New species of Habracanthus (Acanthaceae) from Ecuador. Brittonia. 37: 243-251."
326219,"Turner, Billie L. 1962. Taxonomy of Hymenothriz (Helenicae, Compositae). Brittonia. 14: 101-120."
326218,"Turner, Billie L. 1963. Taxonomy of Forestina (Helenleae, Compositae). Brittonia. 15: 27-46."
138372,"O'Kane, Steven L., Jr. & Reveal, James L. 2006. Physaria pulvinata (Brassicaceae), a new species from southwestern Colorado. Brittonia. 58 (1): 74-77."
179287,"Porter-Utley, Kristen E. 2007. Passiflora tacanensis, a new species of Passiflora subgenus Decaloba supersection Cieca from Mexico. Brittonia. 59 (1): 25-28."
329792,"Wurdack, John J. 1981. Three species of Tibouchina (Melastomataceae) from Bahia, Brazil [T. barnebyana, T. lithophila, T. oreophila]. Brittonia. 33: 304-308."
138365,"Lehnert, Marcus. 2006. Two new tree ferns (Cyathaceae) from southern Ecuador. Brittonia. 58 (1): 4-9`."
138369,"Lombardi, J. A. 2006. A new species of Tontelea from Amazonian Peru and Ecuador, and notes on the Tontelea attenuata species group (Celastraceae, Hippocratoideae). Brittonia. 58 (1): 52-58."
310103,"Williams, Norris H. 1974. Taxonomy of the genus Aspasia Lindley (Orchidaceae:Oncidieae). Brittonia. 26: 333-346."
397119,"Steyermark, Julian A. & Kirkbride, Joseph H., Jr. 1977. Review of the genus Perama (Rubiaceae). Brittonia. 29: 191-198."
404404,"Bernal, R. C., et al. 1991. Notes on Oenocarpus (Palmae) in the Colombian Amazon. Brittonia. 43: 154-164."
418864,"Cardiel, J. M. 1994. A synopsis of the Colombian species of Acalypha subgenus Linostachys (Euphorbiaceae). Brittonia. 46: 200-207."
266546,"Grashoff, Jerold L. 1975. Metastevia (Compositae: Eupatorieae): a new genus from Mexico. Brittonia. 27: 69-73."
309503,"Steyermark, Julian A. 1975. Rivision of the genus Joosia (Rubiaceae). Brittonia. 27: 251-262."
356764,"Barneby, Rupert C. 1974. Draguna Hipponmanicum I. Brittonia. 26: 109-114."
334843,"Grimes, J. E. 1992. Description of Acacia tenuifolia var. producta (Leguminosae, Mimosoideae), a new variety from the Guianas, and discussion of the typification of the species. Brittonia. 44: 266-269."
397133,"Irwin, Howard S. & Barneby, Rupert C. 1977. Monographic studies in Cassia (Leguminosae: Caesalpinioideae). IV. Supplementary notes on section Apoucouita Bentham. Brittonia. 29: 277-290."
328321,"Barneby, Rupert C. 1977. Dragma Hippomanicum III: Novitates Californicae. Brittonia. 29: 376-381."
262226,"Grimes, J. 1992. Metamerism, heterochrony, and inflorescence morphology of the Pithecellobium-complex (Leguminosae: Mimosoideae: Ingeae). Brittonia. 44: 140-159."
380071,"Barneby, Rupert C. 1976. Dragma Hippomanicum II: Astragali Novi Peninsulares Moraniani. Brittonia. 28: 273-280."
318792,"Markgraf, Friedrich. 1936. New Papuan Melastomataceae. Brittonia. 2: 141-144."
82387,"Panero, José L. & Villaseñor, José L. 1996. Novelties in Asteraceae from southern Mexico. Brittonia. 48: 79-90."
265327,"Croat, Thomas B. 1972. Solidago canadensis complex of the Great Plains. Brittonia. 24: 317-326."
296570,"King, Bruce L. & Jones, S. B. 1975. The Vernonia lindheimeri complex (Compositae). Brittonia. 27: 74-86."
404559,"Arroyo, Mary T. K. & Marticorena, Clodomiro. 1988. A new species of the South American genus Nassauvia [coronipappa] (Compositae: Mutisieae) from Chilean Patagonia. Brittonia. 40: 332-334."
296737,"Montgomery, James D. & Fairbrothers, David E. 1970. A biosystematic study of the Eupatorium rotundifolium comple (Compositae). Brittonia. 22: 134-150."
264500,"Becker, Kenneth M. 1976. A new species of Erigeron [E. mexiae] (Asteraceae) from Alaska and Yukon. Brittonia. 28: 144-146."
307180,"Faust, W. Z. 1972. A biosystematic study of the Interiores species group of the genus Vernonia (Compositae). Brittonia. 24: 363-378."
333520,"Pruski, John F. 1989. Notes on the Compositae of the Guayana Highland-I. A new species of Stomatochaeta and the reduction of Guaicaia to Glossarion (Compositae: Mutisieae). Brittonia. 41: 35-40."
308626,"Nesom, Guy L. 1976. A new species of Erigeron [E. proselyticus] (Asteraceae) and its relatives in southwestern Utah. Brittonia. 28: 263-272."
