taxonID,Identifier,bibliographicCitation,url
wfo-0000092979,310079,"Wilken, Dieter H. 1975. A systematic study of the genus Hulsea (Asteraceae). Brittonia. 27: 228-244.",https://doi.org/10.2307/2805894
wfo-0000092065,404559,"Arroyo, Mary T. K. & Marticorena, Clodomiro. 1988. A new species of the South American genus Nassauvia [coronipappa] (Compositae: Mutisieae) from Chilean Patagonia. Brittonia. 40: 332-334.",https://doi.org/10.2307/2807485
wfo-0000089682,296737,"Montgomery, James D. & Fairbrothers, David E. 1970. A biosystematic study of the Eupatorium rotundifolium comple (Compositae). Brittonia. 22: 134-150.",https://doi.org/10.2307/2805807
wfo-0000073803,264500,"Becker, Kenneth M. 1976. A new species of Erigeron [E. mexiae] (Asteraceae) from Alaska and Yukon. Brittonia. 28: 144-146.",https://doi.org/10.2307/2805566
wfo-0000072807,306709,"Bierner, Mark W. 1972. Taxonomy of Helenium sect. Tetrodus and a conspectus of North American Helenium (Compositae). Brittonia. 24: 331-355.",https://doi.org/10.2307/2805497
wfo-0000071341,307180,"Faust, W. Z. 1972. A biosystematic study of the Interiores species group of the genus Vernonia (Compositae). Brittonia. 24: 363-378.",https://doi.org/10.2307/2805499
wfo-0000066798,333520,"Pruski, John F. 1989. Notes on the Compositae of the Guayana Highland-I. A new species of Stomatochaeta and the reduction of Guaicaia to Glossarion (Compositae: Mutisieae). Brittonia. 41: 35-40.",https://doi.org/10.2307/2807586
wfo-0000066798,333520,"Pruski, John F. 1989. Notes on the Compositae of the Guayana Highland-I. A new species of Stomatochaeta and the reduction of Guaicaia to Glossarion (Compositae: Mutisieae). Brittonia. 41: 35-40.",https://doi.org/10.2307/2807586
wfo-0000059136,296570,"King, Bruce L. & Jones, S. B. 1975. The Vernonia lindheimeri complex (Compositae). Brittonia. 27: 74-86.",https://doi.org/10.2307/2805649
wfo-0000046479,308626,"Nesom, Guy L. 1976. A new species of Erigeron [E. proselyticus] (Asteraceae) and its relatives in southwestern Utah. Brittonia. 28: 263-272.",https://doi.org/10.2307/2805837
wfo-0001116412,204517,"Vasco,  Alejandra, et al. 2009. Monograph of the Elaphoglossum ciliatum group (Dryopteridaceae). Brittonia. 61 (3): 241-272.",https://doi.org/10.1007/s12228-009-9075-y
wfo-0000039695,263386,"Anderson, Christiane. 1971. New names and combinations in Trixis (Compositae). Brittonia. 23: 347-353.",https://doi.org/10.2307/2805703
wfo-0000037699,396572,"Smith, Albert C. & Koch, M. A. 1935. The genus Espeletia: a study in phylogenetic taxonomy. Brittonia. 1: 479-530. pl. 1, 2 + f. 1-5.",https://doi.org/10.2307/2804673
wfo-4000016081,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-0000031239,310079,"Wilken, Dieter H. 1975. A systematic study of the genus Hulsea (Asteraceae). Brittonia. 27: 228-244.",https://doi.org/10.2307/2805894
wfo-0000511588,307284,"Galloway, Leo A. 1976. Systematics of the North American desert species of Abronia and Tripterocalyx (Nyctaginaceae). Brittonia. 27: 328-347.",https://doi.org/10.2307/2805512
wfo-0000023133,307180,"Faust, W. Z. 1972. A biosystematic study of the Interiores species group of the genus Vernonia (Compositae). Brittonia. 24: 363-378.",https://doi.org/10.2307/2805499
wfo-0001114896,204517,"Vasco,  Alejandra, et al. 2009. Monograph of the Elaphoglossum ciliatum group (Dryopteridaceae). Brittonia. 61 (3): 241-272.",https://doi.org/10.1007/s12228-009-9075-y
wfo-0000013220,309823,"Torres, Andrew M. 1972. Philaclix fagi (Compositae): a new species from Mexico. Brittonia. 24: 90-92.",https://doi.org/10.2307/2805550
wfo-0000008462,308626,"Nesom, Guy L. 1976. A new species of Erigeron [E. proselyticus] (Asteraceae) and its relatives in southwestern Utah. Brittonia. 28: 263-272.",https://doi.org/10.2307/2805837
wfo-0000006077,334449,"Kowal, R. R. 1991. A new variety of Senecio (Asteraceae:Senecioneae) from the Sierra Madre de Manantlán, Jalisco, Mexico, with notes on the S. roldana complex. Brittonia. 43: 102-115.",https://doi.org/10.2307/2807303
wfo-0001047180,334868,"Luteyn, James L. 1992. Plutarchia ecuadorensis (Ericaceae, Vaccinieae) : A new species and a new generic record for Ecuador. Brittonia. 44: 240-243.",https://doi.org/10.2307/2806839
wfo-0001047975,328199,"Luteyn, James L. 1977. Notes on neotropical Vaccinieae (Ericaceae). IV. A review of the genus Oreanthes. Brittonia. 29: 173-176.",https://doi.org/10.2307/2805850
wfo-0001049912,310196,"Young, David A. 1974. Introgressive hybridization in two southern California species of Rhus (Anacardiaceae). Brittonia. 26: 241-255.",https://doi.org/10.2307/2805727
wfo-0001061644,399052,"Barneby, Rupert C. & Grimes, James W. 1990. Orphanodendron, a new genus of caesalpinioid Leguminosae from north-western Columbia. Brittonia. 42: 249-253.",https://doi.org/10.2307/2806809
wfo-0001072661,298867,"Casper, S. J. & Kondo, Katsuhiko. 1977. A new species of Pinguicula [P. sharpii] from Mexico (Lentibulariaceae). Brittonia. 29: 112-115.",https://doi.org/10.2307/2805748
wfo-0001085186,377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164.",https://doi.org/10.2307/2804682
wfo-0001087260,377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164.",https://doi.org/10.2307/2804682
wfo-0000270675,310003,"Webster, Grady L. 1970. A revision of Phyllanthus (Euphorbiaceae) in the continental United States. Brittonia. 22: 44-76.",https://doi.org/10.2307/2805721
wfo-0001135533,129618,"Holmgren, Noel H. & Holmgren, Patricia K. 1989. A taxonomic study of Jamesia (Hydrangeaceae). Brittonia. 41 (4): 335-350.",https://doi.org/10.2307/2807545
wfo-0001140363,377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164.",https://doi.org/10.2307/2804682
wfo-0001197046,261901,"Buck, William R. 1991. Notes on neotropical Pterobryaceae. Brittonia. 43: 96-101.",https://doi.org/10.2307/2807301
wfo-0001197341,399279,"Crum, Howard A. & Buck, William R. 1992. Sphagna of the 1979 projeto flora Amazónica expedition. Brittonia. 44: 448-460.",https://doi.org/10.2307/2807195
wfo-0001201155,25356,"Schuster, R. M. & Engel, John J. 1996. Austral Hepaticae. XXI. Paracromastigum fiordlandiae (sp. nov.) and the delimitation of Paracromastigum and Hyalolepidozia (Lepidoziaceae). Brittonia. 48: 165-173.",https://doi.org/10.2307/2807810
wfo-0001204137,19690,"Buck, William R. 1997. A new Brazilian species of Racomitrium (Grimmiaceae). Brittonia. 49: 463-465.",https://doi.org/10.2307/2807735
wfo-0001218901,377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164.",https://doi.org/10.2307/2804682
wfo-0001224605,377055,"Smith, Albert C. 1936. Plantae Krukovianae. V. Brittonia. 2: 145-164.",https://doi.org/10.2307/2804682
