taxonID,description,type,bibliographicCitation,urls,rightsHolder,source,rights,license
wfo-0000509093,"Disterigma verruculatum is known from the cloud forests of the Serranía de los Paraguas (Valle del Cauca/Chocó border) around Cerro del Inglés and on the road to San José del Palmar (Fig. 38). Flowering in Apr, May, and Jul; fruiting in May and Jul.",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000815095,"Endemic to coastal forests of Chocó, Colombia.",distribution,"Prance, Ghillean T. 1989. Chrysobalanaceae. Fl. Neotrop. Monogr. 9S: 1-267.",https://www.jstor.org/stable/4393681,The New York Botanical Garden,238563,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000606671,"Colômbia, Equador, Peru, Brasil, e Bolívia, a altitudes de 120 a 900-1000 m, em matas pluviais inundáveis e matas secundárias, principalmente nas bordas, e vegetação ribeirinha. Coletada com flores de janeiro a agosto e com frutos de janeiro a agosto.",distribution,"Lombardi, Julio A. 2000. Vitaceae: Géneros Ampelocissus, Ampelopsis e Cissus.. Fl. Neotrop. Monogr. 80: 1-250.",http://www.jstor.org/stable/4393896,The New York Botanical Garden,115552,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000606652,"Brasil, em matas pluviais primárias e secundárias. Coletada com flores em meados de fevereiro e com frutos de maio a outubro.",distribution,"Lombardi, Julio A. 2000. Vitaceae: Géneros Ampelocissus, Ampelopsis e Cissus.. Fl. Neotrop. Monogr. 80: 1-250.",http://www.jstor.org/stable/4393896,The New York Botanical Garden,115552,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000606639,"Colômbia, Brasil, e Bolívia, a altitudes de 50 a 200 m, em margens de matas pluviais primárias, savanas (campinaranas), e dunas litorâneas. Coletada com flores de novembro a junho e com frutos de março a junho.",distribution,"Lombardi, Julio A. 2000. Vitaceae: Géneros Ampelocissus, Ampelopsis e Cissus.. Fl. Neotrop. Monogr. 80: 1-250.",http://www.jstor.org/stable/4393896,The New York Botanical Garden,115552,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000606631,"Colombia, Venezuela, Peru, Brasil, Bolívia, Paraguai, Argentina, e Uruguai, a altitudes de 5-10 a 600 m, em matas, campos, raramente em caatingas, mas principalmente em alagados, matas alagadas, e margens de rios. Coletada com flores e frutos ao longo de todo o ano.",distribution,"Lombardi, Julio A. 2000. Vitaceae: Géneros Ampelocissus, Ampelopsis e Cissus.. Fl. Neotrop. Monogr. 80: 1-250.",http://www.jstor.org/stable/4393896,The New York Botanical Garden,115552,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000606618,"Guatemala e Costa Rica, a altitudes de 50-200 m, em matas pluviais primárias. Coletada com flores em julho.",distribution,"Lombardi, Julio A. 2000. Vitaceae: Géneros Ampelocissus, Ampelopsis e Cissus.. Fl. Neotrop. Monogr. 80: 1-250.",http://www.jstor.org/stable/4393896,The New York Botanical Garden,115552,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000495521,"Dry rocks and banks, 1167-3000 m alt, southwestern Colombia.",distribution,"Smith, Lyman B. & Downs, Robert J. 1974. Pitcairnioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (1): 1-658.",http://www.jstor.org/stable/4393700,The New York Botanical Garden,470689,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000749113,Known only from the type collection: EC Peru (Fig. 28) in premontane rain forest in an area with brown and red latosols and rocky outcrops.,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000749107,"Northernmost Peru (Fig. 33) in lower montane forest of Río Marañon drainage at 200-750 m. Flowering Jan, Apr-Jun, and Aug-Oct; mature fruits in same months.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000606490," Peru, a altitudes de ca. 200 m, em matas pluviais primárias. Coletada com flores em maio.",distribution,"Lombardi, Julio A. 2000. Vitaceae: Géneros Ampelocissus, Ampelopsis e Cissus.. Fl. Neotrop. Monogr. 80: 1-250.",http://www.jstor.org/stable/4393896,The New York Botanical Garden,115552,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000652375,"Disterigma staphelioides is widespread in the northern Andes where it is found in the three Colombian cordilleras as far south as Nariño; it is also found in the east in Monte Roraima at the border of Brazil, Guyana, and Venezuela (Fig. 43). This species grows at 1500–3500 m in the montane and premontane cloud forest, as well as in the subpáramos and páramos. It has been recorded growing in both primary and secondary vegetation as well as on roadsides. Flowering year-round; fruiting in Mar, and May–Aug.",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000749186,"Disterigma chocoanum is known from the Colombian Cordillera Occidental (Fig. 19). It grows in the humid premontane and montane cloud forests around Barbacoas (Nariño), Serranía de los Paraguas (Valle del Cauca/Chocó), and on the nearby road to San José del Palmar (Chocó), at 1185–2800 m. Flowering throughout the year, except for Feb and Sep; fruiting in Apr and Jul. Bumblebees have been seen visiting this species (P. Pedraza & C. Pedraza 1121, the type).",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000680836,"U.S.A., lower Rio Grande Valley in extreme SE Texas (rare) and NE Mexico from Nuevo León and Tamaulipas S to NW Hidalgo. Xeric scrub and dense brushwood or tropical deciduous forest; on sandy loam on limestone hills, and on basalt mesa; alt. 10-1800 m. Flowering May-Jul(-Sep); fruiting all the year round. According to the original description flowering and fruiting twice each year. Fig. 6B.",distribution,"Kaastra, Roelof C. 1982. A monograph of the Pilocarpinae (Rutaceae). Fl. Neotrop. Monogr. 33: 1-198.",http://www.jstor.org/stable/4393763,The New York Botanical Garden,388647,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000749189,"Disterigma synanthum is endemic to the Dept. Valle del Cauca, Colombia (Fig. 38). This rare species is known from only four collections. It grows at 1000–1500 m, in premontane forests. It has been recorded growing inside the forest as well as in pastureland with remnant vegetation. Flowering in Mar, Sep, and Dec; fruiting in Sep.",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000749188,"This unusual species grows in Chocó and Antioquia, in the Colombian Western Cordillera (Fig. 38). It is rare and known from very few collections. It grows in the lowland rainforest as well as in the transitional zone to the premontane forest, at 50–1100(–1200) m, in forests or pastureland with remnant vegetation. Flowering in Apr, May, and Nov; fruiting in May.",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000749185,"Disterigma campanulatum is known only from two collections made in the vic. La Bonita, Prov. Sucumbíos, Ecuador (Fig. 14). This species is found in primary montane cloud forests at 2100–2350 m. Flowering and fruiting in Apr and May.",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000652363,"Disterigma ovatum is found in the central Andes, more specifically in Cusco, Huánuco, and Pasco, Peru, as well as in Cochabamba and La Paz, Bolivia (Fig. 35). This plant grows in cloud forests at (1800–)2000–3500(–3800) m. It is locally abundant and has been recorded in both primary and secondary vegetation, as well as on roadsides and pasture lands with remnant forest. Flowering in Jan, Mar–May, Jul, Sep, and Oct; fruiting in Apr–Jun and Aug–Oct. Bumblebees have been seen visiting its flowers (P. Pedraza et al. 1503, 1505, 1516).",distribution,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",http://www.jstor.org/stable/25800083,The New York Botanical Garden,268672,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000639266,"Somewhat patchy distribution from SW Mexico to Costa Rica (Fig. 49), but still unknown from Belize, El Salvador, and Nicaragua, in understory of moist to wet forests from sea level to 1500 m. Flowering Sep, Nov, and Jan; fruiting May and Jul.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608856,"Throughout W Amazon (Fig. 41) in terra firme rain forest and extending into premontane and lower montane forests up to 1300 m. Flowering primarily Aug-Oct, but several records in Apr-May; mature fruits throughout most of year, but especially Aug.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608849,"W Brazil, E Peru, and NE Bolivia in lowland rain forest, and Bolivia and Peru in premontane rain forest to 1100 m (Fig. 28). Flowering and fruiting rather evenly throughout the year, but few records with flowers in Nov-Jan; mature fruits Apr-Dec (especially Oct).",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608848,"Known only from NC Ecuador (Fig. 31) in lower montane rain forest of Volcán Sumaco (1600-1800 m), but expected from other areas of adjacent Cordillera de Guacamayos. Flowering Oct; fruiting Apr.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608842,Known only from type collected in N Colombia more than 150 years ago. Details on locality are lacking.,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608837,"Restricted to the lower N and E slopes of Sierra Nevada de Santa Marta (Fig. 22) in seasonally dry forests from near sea level to 1700 m. Flowering Jan, Mar, and Jun; fruiting May, Jun, and Aug.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608835,Known only from NC Colombia (Fig. 24) at 150-1400 m. Flowering Sep and Nov.,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608832,"Endemic to SW Ecuador (Fig. 31) but expected to occur also in adjacent Peru, in seasonal, montane cloud forests at 1000-2200 m. Flowering Feb-Apr; mature fruits Feb.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608826,Near Caribbean coast of Panama (Fig. 47) in lowland wet or moist forest. Flowering Jan; mature fruits Jun.,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608824,"W Amazon (Peru, Brazil, Bolivia; Fig. 31) in lowland and premontane rain forests at 300-700 m. Flowering Feb-Sep and Dec; mature fruits Apr-Jun.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608823,Known only from two collections in fruit from Cordillera Central of SW Colombia (Fig. 22).,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608822,"SC Peru (Fig. 35) in seasonally dry, montane forest at 900-1750 m. Flowering Jan, Feb, and Apr-May; fruiting Jan and Aug.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608820,Restricted to a small area of NW Ecuador (Fig. 35) in semideciduous forests near the coast at 10-50 m. Flowering Dec and Jan; mature fruits Apr and Aug.,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608815,"N Venezuela and Colombia to N Ecuador, following the lower E Andean slopes (Fig. 22) in lowland, evergreen or semievergreen forest, but some collections as high as 1500 m. Some records exist from Trinidad, but probably not native there. Flowering mainly Apr-Sept, with a peak in May-June; fruiting throughout year but mostly Mar and Apr.",distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608814,E Andean slopes in C Peru (Fig. 41) in lower montane and montane forests at 450-1600 m. Flowering Jun; fruiting Jul and Feb.,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608811,Restricted to upper Rio Magdalena valley in WC Colombia (Fig. 46) at 1300-1600 m. Flowering Feb and May-Jun.,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000608810,N Peru (Fig. 35) in dry forest at 300-900 m. Flowering Mar and Jun; fruiting Apr and May.,distribution,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",http://www.jstor.org/stable/29534143,The New York Botanical Garden,248577,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
