wfo_id,locality,tdwg_level3,wcvp_geo_note,ipni_id,powo_id,wcvp_family,wcvp_genus,wcvp_taxon_name
wfo-0000353919,"Costa Rica",COS,"Costa Rica to Panama",70030005-1,70030005-1,Arecaceae,Chamaedorea,"Chamaedorea rossteniorum"
wfo-0000355931,"Costa Rica",COS,"Costa Rica",60437287-2,60437287-2,Orchidaceae,Cischweinfia,"Cischweinfia donrafae"
wfo-0001218673,"Costa Rica",COS,"S. Florida, SE. Mexico to Trop. America",50112-2,50112-2,Bromeliaceae,Catopsis,"Catopsis berteroniana"
wfo-0000358648,"Costa Rica",COS,"Trop. & Subtrop. Old World",172020-1,172020-1,Commelinaceae,Commelina,"Commelina diffusa"
wfo-0000353903,"Costa Rica",COS,"Costa Rica",70030006-1,70030006-1,Arecaceae,Chamaedorea,"Chamaedorea incrustata"
wfo-0000352917,"Costa Rica",COS,"Mexico (Veracruz) to C. America",50124-2,50124-2,Bromeliaceae,Catopsis,"Catopsis juncifolia"
wfo-0000358822,"Costa Rica",COS,"America, Trop. & S. Africa, Arabian Pen.",77168998-1,77168998-1,Commelinaceae,Commelina,"Commelina erecta subsp. erecta"
wfo-0000352927,"Costa Rica",COS,"Mexico to C. America",50133-2,50133-2,Bromeliaceae,Catopsis,"Catopsis morreniana"
wfo-0000352929,"Costa Rica",COS,"S. Mexico to C. America, Caribbean",122523-1,122523-1,Bromeliaceae,Catopsis,"Catopsis nitida"
wfo-0000352930,"Costa Rica",COS,"S. Florida to W. Ecuador",122526-1,122526-1,Bromeliaceae,Catopsis,"Catopsis nutans"
wfo-4000007028,"Costa Rica",COS,"Trop. & Subtrop. America",4898-1,4898-1,Bromeliaceae,Catopsis,Catopsis
wfo-0000352935,"Costa Rica",COS,"S. Mexico to C. America",50138-2,50138-2,Bromeliaceae,Catopsis,"Catopsis oerstediana"
wfo-0000358795,"Costa Rica",COS,"America, Trop. & S. Africa, Arabian Pen.",172048-1,172048-1,Commelinaceae,Commelina,"Commelina erecta"
wfo-0000360743,"Costa Rica",COS,"Mexico to Trop. America",63910-2,63910-2,Commelinaceae,Commelina,"Commelina rufipes"
wfo-0000357879,"Costa Rica",COS,"SE. Nicaragua to Panama",20002583-1,20002583-1,Arecaceae,Colpothrinax,"Colpothrinax aphanopetala"
wfo-0001327982,"Costa Rica",COS,"Mexico to C. America",122529-1,122529-1,Bromeliaceae,Catopsis,"Catopsis paniculata"
wfo-0000352937,"Costa Rica",COS,"SE. Mexico to C. America",50139-2,50139-2,Bromeliaceae,Catopsis,"Catopsis pedicellata"
wfo-4000008360,"Costa Rica",COS,"Costa Rica to S. Trop. America, Caribbean",296172-2,296172-2,Bromeliaceae,Cipuropsis,Cipuropsis
wfo-0000358666,"Costa Rica",COS,"Trop. & Subtrop. Old World",77169466-1,77169466-1,Commelinaceae,Commelina,"Commelina diffusa subsp. diffusa"
wfo-0000352944,"Costa Rica",COS,"Mexico to Trop. America",50146-2,50146-2,Bromeliaceae,Catopsis,"Catopsis sessiliflora"
wfo-0000352954,"Costa Rica",COS,"Mexico to Colombia",50155-2,50155-2,Bromeliaceae,Catopsis,"Catopsis wangerinii"
wfo-4000009041,"Costa Rica",COS,Cosmopolitan,30009591-2,30009591-2,Commelinaceae,Commelina,Commelina
wfo-0000361240,"Costa Rica",COS,"Mexico to C. America",63917-2,63917-2,Commelinaceae,Commelina,"Commelina texcocana"
wfo-0000353909,"Costa Rica",COS,"Costa Rica",70030004-1,70030004-1,Arecaceae,Chamaedorea,"Chamaedorea piscifolia"
wfo-0000361090,"Costa Rica",COS,"Mexico to C. America",63914-2,63914-2,Commelinaceae,Commelina,"Commelina standleyi"
wfo-0000359738,"Costa Rica",COS,"Mexico to Venezuela",172155-1,172155-1,Commelinaceae,Commelina,"Commelina leiocarpa"
wfo-0000352957,"Costa Rica",COS,"Costa Rica",50157-2,50157-2,Bromeliaceae,Catopsis,"Catopsis werckleana"
wfo-0000357523,"Costa Rica",COS,"C. America to Ecuador",171858-1,171858-1,Commelinaceae,Cochliostema,"Cochliostema odoratissimum"
wfo-4000008751,"Costa Rica",COS,"C. America to Ecuador",7244-1,7244-1,Commelinaceae,Cochliostema,Cochliostema
wfo-0000353916,"Costa Rica",COS,"Costa Rica (Limón)",70030007-1,70030007-1,Arecaceae,Chamaedorea,"Chamaedorea rosibeliae"
wfo-4000008419,"Costa Rica",COS,Cosmopolitan,329463-2,329463-2,Cyperaceae,Cladium,Cladium
wfo-0000360212,"Costa Rica",COS,"Mexico to Trop. America",63900-2,63900-2,Commelinaceae,Commelina,"Commelina obliqua"
wfo-0000348457,"Costa Rica",COS,"SE. Canada to NW. Venezuela",292635-2,292635-2,Cyperaceae,Carex,"Carex longii"
wfo-0000348219,"Costa Rica",COS,"Costa Rica to Peru",324522-2,324522-2,Cyperaceae,Carex,"Carex lemanniana"
wfo-0000343606,"Costa Rica",COS,"Costa Rica to S. Trop. America",43497-2,43497-2,Cyperaceae,Calyptrocarya,"Calyptrocarya luzuliformis"
wfo-0000343600,"Costa Rica",COS,"SE. Mexico to Trop. America",43494-2,43494-2,Cyperaceae,Calyptrocarya,"Calyptrocarya glomerulata"
wfo-0000345007,"Costa Rica",COS,"Mexico to S. Trop. American Mts.",30043743-2,30043743-2,Cyperaceae,Carex,"Carex bonplandii"
wfo-0000343914,"Costa Rica",COS,"Mexico to Ecuador",44441-2,44441-2,Cannaceae,Canna,"Canna tuerckheimii"
wfo-4000006709,"Costa Rica",COS,Cosmopolitan,330029-2,330029-2,Cyperaceae,Carex,Carex
wfo-0000343285,"Costa Rica",COS,"Mexico to Trop. America",171821-1,171821-1,Commelinaceae,Callisia,"Callisia monandra"
wfo-4000006544,"Costa Rica",COS,"Trop. & Subtrop. America",37222-1,37222-1,Cannaceae,Canna,Canna
wfo-0000343293,"Costa Rica",COS,"SE. Texas to Trop. America",171826-1,171826-1,Commelinaceae,Callisia,"Callisia repens"
wfo-0000343612,"Costa Rica",COS,"Costa Rica to S. Trop. America",298368-1,298368-1,Cyperaceae,Calyptrocarya,"Calyptrocarya poeppigiana"
wfo-0000343792,"Costa Rica",COS,"South Carolina to Trop. America",796016-1,796016-1,Cannaceae,Canna,"Canna glauca"
wfo-0000343805,"Costa Rica",COS,"Trop. & Subtrop. America",319130-2,319130-2,Cannaceae,Canna,"Canna indica"
wfo-0000343864,"Costa Rica",COS,"S. Mexico to S. Trop. America",315579-2,315579-2,Cannaceae,Canna,"Canna paniculata"
wfo-4000006309,"Costa Rica",COS,"Trop. America",13620-1,13620-1,Cyperaceae,Calyptrocarya,Calyptrocarya
wfo-0000350188,"Costa Rica",COS,"Trop. & Subtrop. America",77170254-1,77170254-1,Cyperaceae,Carex,"Carex polystachya var. polystachya"
wfo-0000350019,"Costa Rica",COS,"C. & SE. Mexico, Costa Rica, NW. Venezuela to S. South America",301559-1,301559-1,Cyperaceae,Carex,"Carex phleoides"
wfo-0000350185,"Costa Rica",COS,"SE. Mexico to C. America",46906-2,46906-2,Cyperaceae,Carex,"Carex polystachya var. bartlettii"
wfo-0000350182,"Costa Rica",COS,"Trop. & Subtrop. America",301661-1,301661-1,Cyperaceae,Carex,"Carex polystachya"
wfo-0000350478,"Costa Rica",COS,"Costa Rica to Bolivia",301832-1,301832-1,Cyperaceae,Carex,"Carex pygmaea"
wfo-0000350459,"Costa Rica",COS,"C. America to Bolivia",301820-1,301820-1,Cyperaceae,Carex,"Carex purdiei"
wfo-0000350189,"Costa Rica",COS,"Mexico (Veracruz) to Argentina, Jamaica, Hispaniola",301664-1,301664-1,Cyperaceae,Carex,"Carex polysticha"
wfo-0000350195,"Costa Rica",COS,"Costa Rica to Ecuador",307047-2,307047-2,Cyperaceae,Carex,"Carex porrecta"
wfo-0000347321,"Costa Rica",COS,"Mexico to Trop. America",46311-2,46311-2,Cyperaceae,Carex,"Carex hamata"
wfo-0000347824,"Costa Rica",COS,"S. Mexico to NW. Venezuela and Bolivia",324529-2,324529-2,Cyperaceae,Carex,"Carex jamesonii"
wfo-0000347250,"Costa Rica",COS,"Guatemala, Costa Rica",46294-2,46294-2,Cyperaceae,Carex,"Carex guatemalensis"
wfo-0000347579,"Costa Rica",COS,"C. Mexico to N. Venezuela, SE. Brazil",300226-1,300226-1,Cyperaceae,Carex,"Carex humboldtiana"
wfo-0000346220,"Costa Rica",COS,"S. Mexico to C. America",46100-2,46100-2,Cyperaceae,Carex,"Carex donnell-smithii"
wfo-0000345525,"Costa Rica",COS,"Mexico to NW. Venezuela and Bolivia",45969-2,45969-2,Cyperaceae,Carex,"Carex chordalis"
wfo-0000345727,"Costa Rica",COS,"Mexico to C. America",317260-2,317260-2,Cyperaceae,Carex,"Carex cortesii"
wfo-0000351493,"Costa Rica",COS,"Mexico to C. America",47146-2,47146-2,Cyperaceae,Carex,"Carex standleyana"
wfo-0000351250,"Costa Rica",COS,"Costa Rica, Colombia to Ecuador",305975-2,305975-2,Cyperaceae,Carex,"Carex setigluma"
wfo-0000336290,"Costa Rica",COS,"Costa Rica to W. Colombia",327531-2,327531-2,Rubiaceae,Notopleura,"Notopleura costaricensis"
wfo-0000336390,"Costa Rica",COS,"C. America",60435734-2,60435734-2,Rubiaceae,Renistipula,"Renistipula costaricensis"
wfo-0000336285,"Costa Rica",COS,"SE. Nicaragua to W. Colombia",327528-2,327528-2,Rubiaceae,Notopleura,"Notopleura capitata"
wfo-0000335060,"Costa Rica",COS,"Mexico to C. America",269682-2,269682-2,Orchidaceae,Xylobium,"Xylobium sulfurinum"
wfo-0000336298,"Costa Rica",COS,"Costa Rica to N. Venezuela and Peru",327536-2,327536-2,Rubiaceae,Notopleura,"Notopleura montana"
wfo-0000334778,"Costa Rica",COS,"C. Mexico to C. America",89369-1,89369-1,Araceae,Xanthosoma,"Xanthosoma robustum"
wfo-0000336281,"Costa Rica",COS,"Costa Rica to W. Colombia",327525-2,327525-2,Rubiaceae,Notopleura,"Notopleura amicitiae"
wfo-4000000972,"Costa Rica",COS,"Costa Rica to S. Trop. America",327793-2,327793-2,Rubiaceae,Agouticarpa,Agouticarpa
wfo-0000337235,"Costa Rica",COS,"C. America to W. Ecuador",1000431-2,1000431-2,Orchidaceae,Acianthera,"Acianthera pantasmi"
wfo-0000336266,"Costa Rica",COS,"Mexico to C. America",60435694-2,60435694-2,Rubiaceae,Machaonia,"Machaonia erythrocarpa"
wfo-0000335963,"Costa Rica",COS,"Costa Rica to N. Ecuador",1182589-2,1182589-2,Rubiaceae,Agouticarpa,"Agouticarpa williamsii"
wfo-4000041276,"Costa Rica",COS,"Trop. America",893253-1,893253-1,Orchidaceae,Zootrophion,Zootrophion
wfo-0000337108,"Costa Rica",COS,"Mexico to C. America",1216046-2,1216046-2,Orchidaceae,Acianthera,"Acianthera circumplexa"
wfo-0000335966,"Costa Rica",COS,"SE. Nicaragua to Costa Rica",325622-2,325622-2,Rubiaceae,Alseis,"Alseis costaricensis"
wfo-0000337233,"Costa Rica",COS,"C. America",1159412-2,1159412-2,Orchidaceae,Acianthera,"Acianthera pacayana"
wfo-0000337581,"Costa Rica",COS,"Nicaragua to N. Ecuador",121615-1,121615-1,Bromeliaceae,Aechmea,"Aechmea dactylina"
wfo-0000336427,"Costa Rica",COS,"Mexico to C. America",20010093-1,20010093-1,Rubiaceae,Solenandra,"Solenandra mexicana"
wfo-4000032760,"Costa Rica",COS,"S. Mexico to C. America",60435733-2,60435733-2,Rubiaceae,Renistipula,Renistipula
wfo-0000336471,"Costa Rica",COS,"Costa Rica to Panama",77170245-1,77170245-1,Orchidaceae,Cischweinfia,"Cischweinfia pusilla var. pusilla"
wfo-0000337232,"Costa Rica",COS,"C. America",1201263-2,1201263-2,Orchidaceae,Acianthera,"Acianthera oscitans"
wfo-0000336320,"Costa Rica",COS,"Costa Rica",323957-2,323957-2,Rubiaceae,Palicourea,"Palicourea calophlebioides"
wfo-0000335148,"Costa Rica",COS,"S. Africa",89403-1,89403-1,Araceae,Zantedeschia,"Zantedeschia aethiopica"
wfo-0000336880,"Costa Rica",COS,"Tropics & Subtropics",1025064-2,1025064-2,Cyperaceae,Abildgaardia,"Abildgaardia ovata"
wfo-0000337094,"Costa Rica",COS,"Costa Rica to Panama",1038215-2,1038215-2,Orchidaceae,Acianthera,"Acianthera butcheri"
wfo-0000335064,"Costa Rica",COS,"Costa Rica to S. Trop. America",269686-2,269686-2,Orchidaceae,Xylobium,"Xylobium undulatum"
