"referenceID","bibliographicCitation"
"ref-3984736711138772586","Kellogg, E.A. 1988 Nyctaginaceae R.A. Howard Flora of the Lesser Antilles 4 173-186"
"ref-8875075219173505345","Lemée, A.M.V. 1955 Flore de la Guyane Française Nyctaginacées 1 570-574"
"ref-1619727579876408831","Lemée, A.M.V. 1956 Flore de la Guyane Française Nyctaginacées 4 32"
"ref--4627101990733430639","Maguire, B. et al., 1948 Plant Explorations in Guiana in 1944, chiefly to the Tafelberg and the Kaieteur Plateau — III Bull. Torrey Bot. Club 75 286-323"
"ref--8524191032098266406","Nicolson, D.H. 1991 Flora of Dominica, Part 2: Dicotyledoneae. Nyctaginaceae. Smithsonian Contr. Bot. 77 168-169"
"ref-2233594496047837681","Ostendorf, F.W. 1962 Nuttige Planten en Sierplanten in Suriname Nyctaginaceae. Bull. Landbouwproefstat. Suriname 79 26-27"
"ref--3067681070116787995","Pulle, A.A. 1906 An Enumeration of the Vascular Plants known from Surinam Nyctaginaceae pp. 169-170"
"ref-5624949367296837318","Reitz, P.R. 1970 Flora Ilustrada Catarinense Nictagináceas 52 pp"
"ref--4820272176722768428","Schmidt, J.A. 1872 Nyctagineae C.F.P. von Martius Flora Brasiliensis 14 2 345-376"
"ref--5935318967728427318","Standley, P.C. 1918 North American Flora Allioniaceae. 21 171-254"
"ref--5067782722460284898","Standley, P.C. 1931 The Nyctaginaceae of northwestern South America Field Mus. Nat. Hist., Bot. Ser. 11 73-114"
"ref--228550482105191559","Standley, P.C. 1937a Flora of Costa Rica 2. Nyctaginaceae. Publ. Field Mus. Nat. Hist., Bot. Ser. 18 423-426"
"ref--3030600049051472970","Standley, P.C. 1937b Nyctaginaceae J.F. Macbride Flora of Peru 2. Field Mus. Nat. Hist., Bot. Ser. 13 2 518-546"
"ref-297647888008412737","Standley, P.C. & J.A. Steyermark. 1946 Flora of Guatemala. Nyctaginaceae. Fieldiana Bot. 24 4 174-192"
"ref--8889172120734462825","Steyermark, J.A. 1987 Flora of the Venezuelan Guayana — III. Nyctaginaceae. Ann. Missouri Bot. Gard. 74 614-635"
"ref-5533865722002771252","Woodson, R.E. & R.W. Schery. 1961 Nyctaginaceae R.E. Woodson & R.W. Schery Flora of Panama 4 393-407 = Ann. Missouri Bot. Gard. 48: 51-65"
"ref-2181864658409751972","Carlquist, S. 1988 Comparative Wood Anatomy. Systematic, Ecological, and Evolutionary Aspects of Dicotyledon Wood Springer-Verlag Berlin-Heidelberg"
"ref-5171318812484072281","Lindeman, J.C., A.M.W. Mennega and W.J.A. Hekking. 1963 Bomenboek voor Suriname. Herkenning van Surinaamse houtsoorten aan hout en vegetatieve kenmerken Uitgave Dienst ‘s Lands Bosbeheer Suriname Paramaribo"
"ref-4036054310344764536","Metcalfe, C.R. & L. Chalk 1983 Anatomy of the Dicotyledons vol. II Wood structure and conclusion of the general introduction Clarendon Press Oxford"
"ref--6757059689120004758","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven, CT"
"ref-7215964312939146515","Fosberg, F.R. 1978 Studies in the genus Boerhavia L. (Nyctaginaceae), 1-5 Smithsonian Contr. Bot. 39 1-20"
"ref--1881649382648733554","Gilbert, R. 1992 Brilliant bracts Garden (London 1975+) 117 106-109"
"ref-5386961713891262596","MacDaniels, L.H. 1981 A study of cultivars in Bougainvillea Baileya 21 77-100"
"ref--4841630636466909609","Holttum & Standl. Publ. Field Mus. Nat. Hist., Bot. Ser. 23 44 1944"
"ref--3143992069487624116","Howard J. Arnold Arbor. 64 270-271 1983"
"ref-2272517129544303535","Ann. Missouri Bot. Gard. 74 627 1987"
"ref--7074906709940273041","Bogle, L.A. 1970 The genera of Molluginaceae and Aizoaceae in the southeastern United States J. Arnold Arbor. 51 431-462"
"ref-3010804701971383877","Eliasson, U.H. 1996 Aizoaceae G. Harling & L. Andersson Flora of Ecuador 55 13-27"
"ref-6954350580066856169","Eyma, P.J. 1934 Aizoaceae A.A. Pulle Flora of Suriname 1 1 158-161"
"ref--8243304407685012954","Hartmann, H.E.K. 1993 Aizoaceae K. Kubitzki The Families and Genera of Vascular Plants 2 37-69"
"ref--7281129738423203380","Howard, R.A. 1988 Flora of the Lesser Antilles Aizoaceae. 4 195-200"
"ref--5613002212235625644","Lemée, A.M.V. 1955 Flore de la Guyane Française Aizoacées. 1 580-581"
"ref-4629077123675264560","Lemée, A.M.V. 1956 Flore de la Guyane Française Aizoacées. 4 33"
"ref--3363382717343159557","Nevling, L.I. 1961 Aizoaceae R.E. Woodson & R.W. Schery Flora of Panama 4 422-427 = Ann. Missouri Bot. Gard. 48: 80-85"
"ref--1275651247859881096","Klotzsch M.R. Schomburgk Reisen Brit.-Guiana 2 300 1848"
"ref-9133094318337376557","Rohrbach Mart. Fl. Bras. 14 2 314 1872"
"ref-3782082261064322481","H. Jacobsen Sukkulentenlexicon 579 1970"
"ref--6800267035859644109","Duke, J.A. 1961 Chenopodiaceae R.E. Woodson & R.W. Schery Flora of Panama 4 343-348 = Ann. Missouri Bot. Gard. 48: 1-6"
"ref--2551869965917765711","Kellogg, E.A. 1988 Chenopodiaceae R.A. Howard Flora of the Lesser Antilles 4 139-142"
"ref-7091386803593799104","Kühn, U. 1993 Chenopodiaceae K. Kubitzki The Families and Genera of Vascular Plants 2 253-281"
"ref--409287560763498913","Lanjouw, J. 1957 Chenopodiaceae A. A. Pulle & J. Lanjouw Flora of Suriname 1 2 291-292"
"ref--1270361150965588935","Lemée, A.M.V. 1955 Flore de la Guyane Française Amarantacées, Chenopodium 1 568-569"
"ref--5077510962775969856","Ostendorf, F.W. 1962 Nuttige Planten en Sierplanten in Suriname, Chenopodiaceae Bull. Landbouwproefstat. Suriname 79 25"
"ref-7951483286735967877","Burger, W.C. 1983 Flora Costaricensis, Amaranthaceae Fieldiana Bot. ser. 2. 13 142-189"
"ref-5009795100547609463","Cavaco, A. 1962 Les Amaranthaceae de l'Afrique au sud du tropique du Cancer et de Madagascar Mém. Mus. Natl. Hist. Nat., B, Bot. 13 1-254"
"ref--2344322686867365688","DeFilipps, R.A. 1992 Ornamental Garden Plants of the Guianas. An Historical Perspective of Selected Garden Plants from Guyana, Surinam and French Guiana. Amarantaceae. pp. 33-35 Smithsonian Institution Washington, D.C"
"ref--5485058521692924113","Duke, J.A. 1961 Amaranthaceae R.E. Woodson & R.W. Schery Flora of Panama 4 348-392 = Ann. Missouri Bot. Gard. 48: 6-50"
"ref--4901654377996466276","Eliasson, U.H. 1987 Amaranthaceae G. Harling & L. Andersson Flora of Ecuador 28 137 pp."
"ref--6121455354651583283","Kellogg, E.A. 1988 Amaranthaceae R.A. Howard Flora of the Lesser Antilles 4 142-173"
"ref--8656488999841554663","Lachman-White, D.A. et al. 1987 A Guide to the Medicinal Plants of Coastal Guyana Commonwealth Science Council Technical Publication Series 225 350 pp"
"ref--1798414201820464359","Lemée, A.M.V. 1955 Flore de la Guyane Française Amarantacées 1 560-569"
"ref-238721425939395470","Lemée, A.M.V. 1956 Flore de la Guyane Française Amarantacées 4 1 32"
"ref-1496229499250067389","Nee, M.H. 1995 Amaranthaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 2 384-399"
"ref-3539923206134844944","Nicolson, D.H. 1991 Flora of Dominica, Part 2. Dicotyledoneae, Amaranthaceae. Smithsonian Contr. Bot. 77 18-21"
"ref-7478501922662762902","Ostendorf, F.W. 1962 Nuttige Planten en Sierplanten in Suriname, Amaranthaceae Bull. Landbouwproefstat. Suriname 79 25-26"
"ref-1321345354024864706","Robertson, K.R. 1981 The genera of Amaranthaceae in the southeastern United States J. Arnold Arbor. 62 267-314"
"ref--5157472259456272500","Scheygrond, A. 1932 Amaranthaceae A.A. Pulle Flora of Suriname 1 1 25-44"
"ref-6832768304341340795","Smith, L.B. & R.J. Downs. 1972 Amarantáceas P.R. Reitz Flora Ilustrada Catarinense 110 pp."
"ref--6039166601076497115","Townsend, C.C. 1974a Amaranthaceae E. Nasir et S.I. Ali Flora of West Pakistan 71 49 pp."
"ref-7898713757188301160","Townsend, C.C. 1974b Notes on Amaranthaceae — 2 Kew Bull. 29 461-475"
"ref--2488169395253361610","Townsend, C.C. 1980 Amaranthaceae M.D. Dassanayake A Revised Handbook to the Flora of Ceylon 1 1-57"
"ref--840605823569379886","Townsend, C.C. 1993 Amaranthaceae K. Kubitzki The Families and Genera of Vascular Plants 2 70-91"
"ref-5955894446470941525","Tropicos Missouri Botanical Garden's nomenclatural database and associated authority files http://mobot.mobot.org/W3T/Search/vast.html"
"ref-2181864658409751972","Carlquist, S. 1988 Comparative Wood Anatomy. Systematic, Ecological, and Evolutionary Aspects of Dicotyledon Wood Springer-Verlag Berlin-Heidelberg"
"ref-5171318812484072281","Lindeman, J.C., A.M.W. Mennega and W.J.A. Hekking. 1963 Bomenboek voor Suriname. Herkenning van Surinaamse houtsoorten aan hout en vegetatieve kenmerken Uitgave Dienst ‘s Lands Bosbeheer Suriname Paramaribo"
"ref--5507166969100147539","Metcalfe, C.R. & L. Chalk. 1983 Anatomy of the Dicotyledons vol. II Wood structure and conclusion of the general introduction Clarendon Press Oxford"
"ref--6757059689120004758","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven, CT"
"ref-8407169239788798164","Veldkamp Taxon 27 310-314 1978"
"ref-5487094829271527640","Costea, M., A. Sanders and G. Waines. 2001 Preliminary results toward a revision of the Amaranthus hybridus species complex (Amaranthaceae) Sida 19 931-974"
"ref--5491813475559909010","Mears, J. 1982 A summary of Blutaparon Rafinesque including species earlier known as Philoxerus R. Brown Taxon 31 111-117"
"ref-1965801739975524168","Sohmer, S.H. 1977 A revision of Chamissoa (Amaranthaceae) Bull. Torrey Bot. Club 104 111-126"
"ref--2598697544030845955","Holzhammer, E. 1955-1956 Die amerikanischen Arten der Gattung Gomphrena L. Mitt. Bot. Staatssamml. München 2 85-114; 178-257"
"ref-1657525823578843762","Stützer, O. 1935 Die Gattung Pfaffia Repert. Spec. Nov. Regni Veg. Beih. 88 1-46"
"ref--1626215322577239127","Carolin, R.C. 1993 Portulacaceae K. Kubitzki The Families and Genera of Vascular Plants 2 544-555"
"ref--9146890978478764446","DeFilipps, R.A. 1992 Ornamental Garden Plants of the Guianas. An Historical Perspective of Selected Garden Plants from Guyana, Surinam and French Guiana Portulacaceae p. 175 Smithsonian Institution Washington, D.C"
"ref-8133161048982464101","Eliasson, U.H. 1996 Portulacaceae G. Harling & L. Andersson Flora of Ecuador 55 29-53"
"ref--3996250807603048370","Geesink, R. 1969 An account of the genus Portulaca in Indo-Australia and the Pacific (Portulacaceae) Blumea 17 275-301"
"ref--4938188773822032935","Grenand, P. et al. 1987 Pharmacopées traditionnelles en Guyane Portulacaceae pp. 367-368"
"ref-5162977059225767583","Howard, R.A. 1988 Flora of the Lesser Antilles Portulacaceae 4 200-207"
"ref--6148380091527981056","Legrand, C.M.D.E. 1952 Revisando tipos de Portulaca Comun. Bot. Mus. Hist. Nat. Montevideo 2 24 1-10 2 plates"
"ref-4646322749790341108","Legrand, C.M.D.E. 1962 Las especies americanas de Portulaca Anales Mus. Hist. Nat. Montevideo ser. 2 7 3 1-147 29 plates"
"ref-7757756942893682869","Lemée, A.M.V. 1955 Flore de la Guyane Française Portulacacées 1 582-584"
"ref-3842605502827639642","Lemée, A.M.V. 1956 Flore de la Guyane Française Portulacacées 4 1 33"
"ref--6582218847489694386","Nevling, L.I. 1961 Portulacaceae R.E. Woodson & R.W. Schery Flora of Panama 4 427-431 = Ann. Missouri Bot. Gard. 48: 85-89"
"ref-8572746641033875966","Ooststroom, S.J. van. 1943 Portulacaceae A.A. Pulle Flora of Suriname 1 1 486-491"
"ref-5427065686648632159","Ostendorf, F.W. 1962 Nuttige Planten en Sierplanten in Suriname, Portulacaceae Bull. Landbouwproefstat. Suriname 79 29-30"
"ref--2589840556837654238","Poellnitz Repert. Spec. Nov. Regni Veg. 37 240-320 1934"
"ref--37927745148908527","Poellnitz, K. von. 1934 Monographie der Gattung Talinum Adans Repert. Spec. Nov. Regni Veg. 35 1-34"
"ref-3702895355193782023","Bogle, A.L. 1969 The genera of Portulacaceae and Basellaceae in the southeastern United States J. Arnold Arbor. 50 566-598"
"ref-3210635760222809628","Eriksson, R. 1996 Basellaceae G. Harling & L. Andersson Flora of Ecuador 55 55-83"
"ref--179765500613614649","D'Arcy, W.G. 1979 Basellaceae R.E. Woodson & R.W. Schery Flora of Panama 4. Ann. Missouri Bot. Gard. 66 109-116"
"ref--8708271088418490","Kellogg, E.A. 1988 Basellaceae R.A. Howard Flora of the Lesser Antilles 4 207-210"
"ref--3775174917913160432","Ostendorf, F.W. 1962 Nuttige Planten en Sierplanten in Suriname, Basellaceae Bull. Landbouwproefstat. Suriname 79 30"
"ref--3078571445744877572","Sidwell, K. 1999 Typification of two Linnaean names in the Basellaceae Novon 9 562-563"
"ref--4309273535033453472","Sperling, C.R. and V. Bittrich. 1993 Basellaceae K. Kubitzki The Families and Genera of Vascular Plants 2 143-146"
"ref--7074906709940273041","Bogle, L.A. 1970 The genera of Molluginaceae and Aizoaceae in the southeastern United States J. Arnold Arbor. 51 431-462"
"ref--4958418332841396477","Burger, W.C. 1983 Flora Costaricensis, Aizoaceae Fieldiana Bot. ser. 2. 13 213-217"
"ref-3542199074161753944","Eliasson, U.H. 1996 Molluginaceae G. Harling & L. Andersson Flora of Ecuador 55 3-11"
"ref--543483312237924761","Endress, M.E. and V. Bittrich. 1993 Molluginaceae K. Kubitzki The Families and Genera of Vascular Plants 2 419-426"
"ref-6954350580066856169","Eyma, P.J. 1934 Aizoaceae A.A. Pulle Flora of Suriname 1 1 158-161"
"ref-7376433297529798699","Howard, R.A. 1988 Flora of the Lesser Antilles Aizoaceae 4 195-200"
"ref--6109993350104284798","Lemée, A.M.V. 1955 Flore de la Guyane Française Aizoacées, Mollugo 1 580"
"ref--3363382717343159557","Nevling, L.I. 1961 Aizoaceae R.E. Woodson & R.W. Schery Flora of Panama 4 422-427 = Ann. Missouri Bot. Gard. 48: 80-85"
"ref-7310997287388445229","Bittrich, V. 1993 Caryophyllaceae K. Kubitzki The Families and Genera of Vascular Plants 2 206-236"
"ref-219114717016128028","Duke, J.A. 1961 Caryophyllaceae R.E. Woodson & R.W. Schery Flora of Panama 4 432-448 = Ann. Missouri Bot. Gard. 48: 90-106"
"ref--7331385572722104715","Howard, R.A. 1988 Flora of the Lesser Antilles Caryophyllaceae 4 210-212"
"ref--2405894543728731957","Van Ooststroom, S.J. 1934 Caryophyllaceae A.A. Pulle Flora of Suriname 1 1 150-153"
"ref--153864480504336657","Duke, J.A. 1961 Preliminary revision of the genus Drymaria Ann. Missouri Bot. Gard. 48 173-268"
"ref-1309892499304151465","Lakela, O. 1962 Occurrence of species of Polycarpaea Lam. (Caryophyllaceae) in North America Rhodora 64 179-182"
"ref-5572267656331738438","Bentham, G. 1840 On the Heliamphora nutans, a new Pitcher-plant from British Guiana Trans. Linn. Soc. London 18 429-433"
"ref-8842271694747526193","Gleason, H.A. et al. 1931 Botanical results of the Tyler-Duida Expedition Bull. Torrey Bot. Club 58 366-368"
"ref-7914549679031215471","Maguire, B. 1970 On the Flora of the Guayana Highland Biotropica 2 85-100"
"ref-7749227180316167722","Maguire, B. 1978 Sarraceniaceae B. Maguire et al. The Botany of the Guayana Highland Part 10. Mem. New York Bot. Gard. 29 36-62"
"ref--1148228105032908524","Steyermark, J.A. 1951 Sarraceniaceae J. A. Steyermark et al. Botanical Exploration in Venezuela 1. Fieldiana, Bot. 28 239-242"
"ref--689115181498825122","Tracey, S.M. & F.S. Earle. 1896 Mississippi Fungi In Mississippi Agric. Exp. Sta. Bull. 34 136-153"
"ref-4225077373019385890","Uphof, J.C.Th. 1936 Sarraceniaceae A.H.G. Engler & K.A.E. Prantl Die natürlichen Pflanzenfamilien ed. 2. 17b 704-727"
"ref--8706360255715665659","Brummer-Dinger, C.H. 1955 Notes on Guiana Droseraceae Acta Bot. Neerl. 4 136-138"
"ref-3636788943061288759","De Candolle, A.P. 1824 Droseraceae Prodromus Systematis Naturalis Regni Vegetabilis I 317-320"
"ref--755213778569956816","Diels, L. 1906 Droseraceae H.G.A. Engler Das Pflanzenreich IV 112 Heft 26 1-136"
"ref--8025027025613065124","Duno de Stefano, R. & A. Culham. 1995 Dos especies nuevas del género Drosera (Droseraceae) en Venezuzela y otros comentarios taxonómicos Novon 5 240-245"
"ref--4572197889942551047","Eichler, A.G. 1872 Droseraceae C.F.P. von Martius Flora Brasiliensis 14 2 385-398 t. 90-91"
"ref--3697703567718818655","Fernández-Pérez, A. 1965 Plantas Insectívoras II. Droseraceas de Colombia Caldasia 9 219-232"
"ref-3133063162194820911","Kunth, C.S. 1821 Droseraceae F.W.H.A. von Humboldt, A.J.A. Bonpland & C.S. Kunth Nova Genera et Species Plantarum ed. qu. 5 390-391"
"ref-6956552679020761788","Maguire, B. & J.J. Wurdack. 1957 The Botany of the Guayana Highland — Part II Mem. New York Bot. Gard. 9 331-336"
"ref-3647719397898340551","Planchon, J.E. 1848 Sur la Famille des Droséracées Ann. Sci. Nat Bot. ser. 3 9 79-99; 185-207; 285-309"
"ref--6988921289687398128","Saint-Hilaire, A.F.C.P. de. 1829 Droseraceae Flora Brasiliae Meridionalis 2 93-96"
"ref-3875290707862666951","Santos, E. 1989 Droseráceas P.R. Reitz Flora Ilustrada Catarinense 23 pp."
"ref-5909254114508253601","Seine, R. & W. Barthlott. 1994 Some proposals on the infrageneric classification of Drosera L Taxon 43 583-589"
"ref-5142239967557882165","Wynne, F.E. 1944 Drosera in Eastern North America Bull. Torrey Bot. Club 71 166-174"
