WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000621064,205616675,204729948,Cordia truncatifolia,CORDIACEAE,Cordia,truncatifolia,,,,Bartlett,Least Concern,,3.1,Stable,Global
wfo-0000830709,205616685,204730219,Couepia polyandra,CHRYSOBALANACEAE,Couepia,polyandra,,,,(Kunth) Rose,Least Concern,,3.1,Stable,Global
wfo-0000931179,205616690,204731135,Croton guatemalensis,EUPHORBIACEAE,Croton,guatemalensis,,,,Lotsy,Least Concern,,3.1,Stable,Global
wfo-0000932219,205616695,204731152,Croton roxanae,EUPHORBIACEAE,Croton,roxanae,,,,Croizat,Least Concern,,3.1,Stable,Global
wfo-0000629437,205616710,204731772,Cupania dentata,SAPINDACEAE,Cupania,dentata,,,,Moc. & Sessé ex DC.,Least Concern,,3.1,Stable,Global
wfo-0000638011,205616715,204731801,Daphnopsis americana,THYMELAEACEAE,Daphnopsis,americana,,,,(Mill.) J.R.Johnst.,Least Concern,,3.1,Stable,Global
wfo-0000941663,205616720,204732418,Dendropanax oliganthus,ARALIACEAE,Dendropanax,oliganthus,,,,(A.C.Sm.) A.C.Sm.,Least Concern,,3.1,Stable,Global
wfo-0000652111,205616735,204784137,Discocnide mexicana,URTICACEAE,Discocnide,mexicana,,,,(Liebm.) Chew,Least Concern,,3.1,Stable,Global
wfo-0000920259,205616740,204784297,Donnellyanthus deamii,RUBIACEAE,Donnellyanthus,deamii,,,,(Donn.Sm.) Borhidi,Least Concern,,3.1,Stable,Global
wfo-0000663557,205616745,204784326,Ehretia tinifolia,EHRETIACEAE,Ehretia,tinifolia,,,,L.,Least Concern,,3.1,Increasing,Global
wfo-0000665043,205616750,204784340,Elaeodendron xylocarpum,CELASTRACEAE,Elaeodendron,xylocarpum,,,,(Vent.) DC.,Least Concern,,3.1,Stable,Global
wfo-0000180543,205616765,204910065,Erythrina berteroana,FABACEAE,Erythrina,berteroana,,,,Urb.,Least Concern,,3.1,Stable,Global
wfo-0000679706,205616770,204910145,Erythroxylum bequaertii,ERYTHROXYLACEAE,Erythroxylum,bequaertii,,,,Standl.,Least Concern,,3.1,Stable,Global
