WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000287812,84549893,84549884,Psychotria tenuipetiolata,RUBIACEAE,Psychotria,tenuipetiolata,,,,Verdc.,Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000287960,84549934,84549931,Psychotria usambarensis,RUBIACEAE,Psychotria,usambarensis,,,,Verdc.,Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000288001,84549944,84549941,Psychotria verdcourtii,RUBIACEAE,Psychotria,verdcourtii,,,,Borhidi,Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000288173,84550192,84550177,Psydrax lynesii,RUBIACEAE,Psydrax,lynesii,,,,Bullock ex Bridson,Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Unknown,Global
wfo-0000288203,84550614,84550611,Psydrax robertsoniae,RUBIACEAE,Psydrax,robertsoniae,,,,Bridson,Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global
wfo-0000381301,84749997,84749638,Neopicrorhiza minima,PLANTAGINACEAE,Neopicrorhiza,minima,,,,R.R.Mill,Endangered,B1ab(v)+2ab(v),3.1,Decreasing,Global
wfo-0001345559,84786994,84786942,Magnolia nuevoleonensis,MAGNOLIACEAE,Magnolia,nuevoleonensis,,,,A.Vázquez & Domínguez-Yescas,Endangered,"B1ab(ii,iii)+2ab(ii,iii)",3.1,Unknown,Global
wfo-0001315284,84900192,84899956,Huberantha pendula,ANNONACEAE,Huberantha,pendula,,,,(Capuron ex G.E. Schatz & Le Thomas) Chaowasku,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000779264,84921634,84921607,Phyllarthron ilicifolium,BIGNONIACEAE,Phyllarthron,ilicifolium,,,,(Pers.) H.Perrier,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000694441,84922077,84922073,Garcinia madagascariensis,CLUSIACEAE,Garcinia,madagascariensis,,,,(Planch. & Triana) Pierre,Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
wfo-0000195987,85092261,85092219,Dichrostachys paucifoliolata,FABACEAE,Dichrostachys,paucifoliolata,,,,(Scott-Elliot) Drake,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000710233,85104431,85103681,Grewia pulverulenta,MALVACEAE,Grewia,pulverulenta,,,,R.Vig.,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0001045003,85105705,85105667,Oplonia vincoides,ACANTHACEAE,Oplonia,vincoides,,,,(Lam.) Stearn,Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
wfo-0000506382,85107512,85107096,Apodytes bebile,METTENIUSACEAE,Apodytes,bebile,,,,"Labat, R.Rabev. & El-Achkar",Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000332978,85107654,85107644,Vitex bracteata,LAMIACEAE,Vitex,bracteata,,,,Scott-Elliot,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Increasing,Global
wfo-0000333517,85107832,85107825,Vitex tristis,LAMIACEAE,Vitex,tristis,,,,Scott-Elliot,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0001081345,85108293,85108042,Memecylon delphinense,MELASTOMATACEAE,Memecylon,delphinense,,,,H.Perrier,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000653827,85109843,85109833,Dombeya mandenensis,MALVACEAE,Dombeya,mandenensis,,,,Arènes,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000653929,85109957,85109953,Dombeya rariflora,MALVACEAE,Dombeya,rariflora,,,,Arènes,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000710132,85111591,85111554,Grewia nitida,MALVACEAE,Grewia,nitida,,,,Juss.,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000555133,85111772,85111759,Astrotrichilia elliotii,MELIACEAE,Astrotrichilia,elliotii,,,,(Harms) Cheek,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0001063083,85119189,85119167,Ludia glaucocarpa,SALICACEAE,Ludia,glaucocarpa,,,,Capuron & Sleumer,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000802091,85119902,85119897,Capurodendron delphinense,SAPOTACEAE,Capurodendron,delphinense,,,,Aubrév.,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000606481,85120023,85120009,Cissus leucophlea,VITACEAE,Cissus,leucophlea,,,,(Scott-Elliot) Suess.,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000846210,85121880,44905,Andropogon bentii,POACEAE,Andropogon,bentii,,,,Stapf,Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000879924,85140439,162107,Micropyropsis tuberosa,POACEAE,Micropyropsis,tuberosa,,,,Romero-Zarco & Cabezudo,Endangered,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",3.1,Decreasing,Global & Mediterranean
wfo-0001116374,85427172,83644630,Elaphoglossum semicylindricum,DRYOPTERIDACEAE,Elaphoglossum,semicylindricum,,,,(Bowdich) Benl,Endangered,"B2ab(iii,iv,v)",3.1,Decreasing,Global & Europe
