WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000381458,91177028,91177012,Cyperus rockii,CYPERACEAE,Cyperus,rockii,,,,Kük.,Extinct,,3.1,,Global
wfo-0000635670,91178537,91178520,Cyrtandra olona,GESNERIACEAE,Cyrtandra,olona,,,,C.N.Forbes,Extinct,,3.1,,Global
wfo-0000088377,97083299,37856,Commidendrum gummiferum,ASTERACEAE,Commidendrum,gummiferum,,,,(Roxb.) DC.,Extinct,,2.3,,Global
wfo-0001067981,97908365,97908360,Sanicula kauaiensis,APIACEAE,Sanicula,kauaiensis,,,,H.St.John,Extinct,,3.1,,Global
wfo-0000438356,97909122,97909097,Schiedea amplexicaulis,CARYOPHYLLACEAE,Schiedea,amplexicaulis,,,,H.Mann,Extinct,,3.1,,Global
wfo-0000428137,97910101,97910096,Wikstroemia hanalei,THYMELAEACEAE,Wikstroemia,hanalei,,,,Wawra,Extinct,,3.1,,Global
wfo-0001003747,101442020,44072,Acaena exigua,ROSACEAE,Acaena,exigua,,,,A.Gray,Extinct,,3.1,,Global
wfo-0000978389,107468212,107426635,Habenaria petromedusa,ORCHIDACEAE,Habenaria,petromedusa,,,,Webb,Extinct,,3.1,,Global
wfo-0000314846,107468352,107428233,Stachytarpheta fallax,VERBENACEAE,Stachytarpheta,fallax,,,,A.E.Gonç.,Extinct,,3.1,,Global
wfo-0000477208,113309830,113204000,Persoonia laxa,PROTEACEAE,Persoonia,laxa,,,,L.A.S.Johnson & P.H.Weston,Extinct,,3.1,,Global
wfo-0000477940,113309835,113204241,Persoonia prostrata,PROTEACEAE,Persoonia,prostrata,,,,R.Br.,Extinct,,3.1,,Global
wfo-0000831002,115496789,78777637,Cyanea sessilifolia,CAMPANULACEAE,Cyanea,sessilifolia,,,,(O.Deg.) Lammers,Extinct,,3.1,,Global
wfo-0000415613,124282152,117319979,Etlingera heyneana,ZINGIBERACEAE,Etlingera,heyneana,,,,(Valeton) R.M.Sm.,Extinct,,3.1,,Global
wfo-0000833368,126609708,126608606,Hesperelaea palmeri,OLEACEAE,Hesperelaea,palmeri,,,,A.Gray,Extinct,,3.1,,Global
wfo-0000808671,126613426,126612753,Faramea chiapensis,RUBIACEAE,Faramea,chiapensis,,,,Borhidi,Extinct,,3.1,,Global
wfo-0001275332,137376414,136814105,Bourreria veracruzana,EHRETIACEAE,Bourreria,veracruzana,,,,G.Campos-Ríos & F.Chiang,Extinct,,3.1,,Global
