taxonID,description,type,source,identifier,reference,license
wfo-0000586262,Yellowish-green flowers.,morphology,urn:kew.org:fwta:spec:desc:2037,urn:lsid:ipni.org:names:95318-1,,
wfo-0000586296,"An erect sparsely branched greyish-green shrubby succulent, perhaps the largest of the stapeliads, the winged stems indurated on the margins and armed with spreading or reflexed hard teeth",morphology,urn:kew.org:fwta:spec:desc:2038,urn:lsid:ipni.org:names:95345-1,,
wfo-0000586296,Flowers almost black in large globose heads at the tips of the branches.,morphology,urn:kew.org:fwta:spec:desc:2039,urn:lsid:ipni.org:names:95345-1,,
wfo-0000598016,A glabrous half-succulent twiner;,morphology,urn:kew.org:fwta:spec:desc:2040,urn:lsid:ipni.org:names:95454-1,,
wfo-0000598016,"Flowers clustered at the end of a peduncle scarcely 1 in. long, dark purple and mottled, about 1 in. long.",morphology,urn:kew.org:fwta:spec:desc:2041,urn:lsid:ipni.org:names:95454-1,,
wfo-0000598075,"Erect herb, 6 in.high, from a tuber",morphology,urn:kew.org:fwta:spec:desc:2042,urn:lsid:ipni.org:names:95498-1,,
wfo-0000598075,Dark purple-brown flowers 2 in. long including the corolla lobes.,morphology,urn:kew.org:fwta:spec:desc:2043,urn:lsid:ipni.org:names:95498-1,,
wfo-0000598199,A glabrous twiner,morphology,urn:kew.org:fwta:spec:desc:2047,urn:lsid:ipni.org:names:95586-1,,
wfo-0000598199,"Curved flowers 13/4 in. long, subumbellate (at first) on a peduncle 1-11/2 in. long, greenish-white, purple at the base",morphology,urn:kew.org:fwta:spec:desc:2048,urn:lsid:ipni.org:names:95586-1,,
wfo-0000598199,"Fruits narrow, 8 in. long.",morphology,urn:kew.org:fwta:spec:desc:2049,urn:lsid:ipni.org:names:95586-1,,
wfo-0000598203,A half-succulent twiner,morphology,urn:kew.org:fwta:spec:desc:2050,urn:lsid:ipni.org:names:95590-1,,
wfo-0000598203,Usually with few leaves,morphology,urn:kew.org:fwta:spec:desc:2051,urn:lsid:ipni.org:names:95590-1,,
wfo-0000598203,The axillary jointed gemmae acting as propagules and the species is unique in this respect,morphology,urn:kew.org:fwta:spec:desc:2052,urn:lsid:ipni.org:names:95590-1,,
wfo-0000598203,"Flowers 11/2 in. long, lurid-purple mottled",morphology,urn:kew.org:fwta:spec:desc:2053,urn:lsid:ipni.org:names:95590-1,,
wfo-0000598203,Fruits 4-5 in. long.,morphology,urn:kew.org:fwta:spec:desc:2054,urn:lsid:ipni.org:names:95590-1,,
wfo-0000598255,"A twiner with fairly stout, half-succulent glabrous stems",morphology,urn:kew.org:fwta:spec:desc:2055,urn:lsid:ipni.org:names:95627-1,,
wfo-0000598255,"Flowers 11/2 -2 in. long, whitish or green with purple blotches, the tube slightly curved.",morphology,urn:kew.org:fwta:spec:desc:2056,urn:lsid:ipni.org:names:95627-1,,
wfo-0000598277,Erect herb 6-12 in. high,morphology,urn:kew.org:fwta:spec:desc:2057,urn:lsid:ipni.org:names:95640-1,,
wfo-0000598277,An underground discoid tuber about 2 in. across,morphology,urn:kew.org:fwta:spec:desc:2058,urn:lsid:ipni.org:names:95640-1,,
wfo-0000598277,Purple-mottled tubular flowers with long green thread-like lobes.,morphology,urn:kew.org:fwta:spec:desc:2059,urn:lsid:ipni.org:names:95640-1,,
wfo-0000598289,A slender twiner with small tubers,morphology,urn:kew.org:fwta:spec:desc:2060,urn:lsid:ipni.org:names:95646-1,,
wfo-0000598289,"Corolla dull purple outside, the lobes and inside very dark crimson.",morphology,urn:kew.org:fwta:spec:desc:2061,urn:lsid:ipni.org:names:95646-1,,
wfo-0000598366,A pubescent twiner,morphology,urn:kew.org:fwta:spec:desc:2062,urn:lsid:ipni.org:names:95690-1,,
wfo-0000598366,"Flowers 1/2-2/3 in. long, the corolla-tube curved above the obliquely inflated base, the lobes dark blue-green, turning black.",morphology,urn:kew.org:fwta:spec:desc:2063,urn:lsid:ipni.org:names:95690-1,,
wfo-0000598407,"Habit of the last (Ceropegia johnsonii), rather slender stemmed, glabrous",morphology,urn:kew.org:fwta:spec:desc:2064,urn:lsid:ipni.org:names:95723-1,,
wfo-0000598407,Dull mottled purple or almost black-purple flowers 2 in. or more long including the linear lobes,morphology,urn:kew.org:fwta:spec:desc:2065,urn:lsid:ipni.org:names:95723-1,,
wfo-0000598407,"Fruits narrow, paired, 3-5 in. long.",morphology,urn:kew.org:fwta:spec:desc:2066,urn:lsid:ipni.org:names:95723-1,,
wfo-0000598412,"Erect herb about 1 ft. high, simple",morphology,urn:kew.org:fwta:spec:desc:2067,urn:lsid:ipni.org:names:95727-1,,
wfo-0000598412,From a discoid tuber,morphology,urn:kew.org:fwta:spec:desc:2068,urn:lsid:ipni.org:names:95727-1,,
wfo-0000598412,"Flowers 3-4 in. long, green and deep purple including the erect linear lobes, the lower part of the tube only slightly dilated, the base of the lobes fringed with dark purple hairs",morphology,urn:kew.org:fwta:spec:desc:2069,urn:lsid:ipni.org:names:95727-1,,
wfo-0000598412,In the leafy state one pair of leaves is much larger than the others.,morphology,urn:kew.org:fwta:spec:desc:2070,urn:lsid:ipni.org:names:95727-1,,
