taxonID,description,type,source,identifier,reference,license
wfo-0000765666,Otherwise in upland forest often near streams.,ecology,urn:kew.org:fwta:spec:desc:513,urn:lsid:ipni.org:names:534104-1,,
wfo-0000765688,In forest.,ecology,urn:kew.org:fwta:spec:desc:517,urn:lsid:ipni.org:names:534122-1,,
wfo-0000765701,In forest undergrowth.,ecology,urn:kew.org:fwta:spec:desc:520,urn:lsid:ipni.org:names:534135-1,,
wfo-0000765744,In forest.,ecology,urn:kew.org:fwta:spec:desc:526,urn:lsid:ipni.org:names:534177-1,,
wfo-0000765769,In drier lowland forest.,ecology,urn:kew.org:fwta:spec:desc:529,urn:lsid:ipni.org:names:534207-1,,
wfo-0000765803,In forest.,ecology,urn:kew.org:fwta:spec:desc:537,urn:lsid:ipni.org:names:534239-1,,
wfo-0000765846,In forest.,ecology,urn:kew.org:fwta:spec:desc:541,urn:lsid:ipni.org:names:534281-1,,
wfo-0000765875,In forest or planted as a hedge.,ecology,urn:kew.org:fwta:spec:desc:545,urn:lsid:ipni.org:names:534311-1,,
wfo-0000765890,In forest.,ecology,urn:kew.org:fwta:spec:desc:552,urn:lsid:ipni.org:names:534323-1,,
wfo-0000765944,In drier forest.,ecology,urn:kew.org:fwta:spec:desc:560,urn:lsid:ipni.org:names:534373-1,,
wfo-0000738808,In shady places.,ecology,urn:kew.org:fwta:spec:desc:589,urn:lsid:ipni.org:names:429878-1,,
wfo-0000936752,"Forest margins, especially in montane areas.",ecology,urn:kew.org:fwta:spec:desc:594,urn:lsid:ipni.org:names:58133-1,,
wfo-0000762556,At margins of muddy pools.,ecology,urn:kew.org:fwta:spec:desc:598,urn:lsid:ipni.org:names:58280-1,,
wfo-0000762640,In swamps.,ecology,urn:kew.org:fwta:spec:desc:610,urn:lsid:ipni.org:names:58294-1,,
wfo-0000683177,At the margin of ponds in mud.,ecology,urn:kew.org:fwta:spec:desc:618,urn:lsid:ipni.org:names:58415-1,,
wfo-0000751895,In pools on laterite rocks.,ecology,urn:kew.org:fwta:spec:desc:629,urn:lsid:ipni.org:names:58612-1,,
wfo-0000516490,On rocks by streams,ecology,urn:kew.org:fwta:spec:desc:636,urn:lsid:ipni.org:names:58932-1,,
wfo-0000521761,In arid localities.,ecology,urn:kew.org:fwta:spec:desc:640,urn:lsid:ipni.org:names:59030-1,,
wfo-0001046262,In moister localities than the above (Aerva javanica).,ecology,urn:kew.org:fwta:spec:desc:643,urn:lsid:ipni.org:names:59031-1,,
wfo-0000528804,A common weed on dry ground.,ecology,urn:kew.org:fwta:spec:desc:651,urn:lsid:ipni.org:names:59313-1,,
wfo-0000593103,Rare in savannah.,ecology,urn:kew.org:fwta:spec:desc:678,urn:lsid:ipni.org:names:59903-1,,
wfo-0000593208,A frequent weed in waste places in savannah and forest regions.,ecology,urn:kew.org:fwta:spec:desc:683,urn:lsid:ipni.org:names:327365-2,,
wfo-0000631213,In closed forest.,ecology,urn:kew.org:fwta:spec:desc:694,urn:lsid:ipni.org:names:60181-1,,
wfo-0000631218,In waste places and forest margins.,ecology,urn:kew.org:fwta:spec:desc:699,urn:lsid:ipni.org:names:60185-1,,
wfo-0000764518,In moist places,ecology,urn:kew.org:fwta:spec:desc:729,urn:lsid:ipni.org:names:63908-1,,
wfo-0000764539,In savanna woodland in thin soil overlying rock.,ecology,urn:kew.org:fwta:spec:desc:732,urn:lsid:ipni.org:names:63926-1,,
wfo-0000764547,In swamps in forest.,ecology,urn:kew.org:fwta:spec:desc:736,urn:lsid:ipni.org:names:63934-1,,
wfo-0000764607,In mud at the bottom of perennial streams,ecology,urn:kew.org:fwta:spec:desc:739,urn:lsid:ipni.org:names:63994-1,,
wfo-0000647788,In forest.,ecology,urn:kew.org:fwta:spec:desc:760,urn:lsid:ipni.org:names:64764-1,,
wfo-0000647797,In forest.,ecology,urn:kew.org:fwta:spec:desc:762,urn:lsid:ipni.org:names:64769-1,,
wfo-0000647831,"In forest margin, secondary forest and in savanna woodland.",ecology,urn:kew.org:fwta:spec:desc:766,urn:lsid:ipni.org:names:64774-1,,
wfo-0000648066,In fringing forest with seasonably flooded and sometimes rocky ground.,ecology,urn:kew.org:fwta:spec:desc:769,urn:lsid:ipni.org:names:64801-1,,
wfo-0000531515,In forest vegetation.,ecology,urn:kew.org:fwta:spec:desc:799,urn:lsid:ipni.org:names:869598-1,,
wfo-0000531553,In the savannah regions.,ecology,urn:kew.org:fwta:spec:desc:812,urn:lsid:ipni.org:names:67382-1,,
wfo-0000605965,In savannah.,ecology,urn:kew.org:fwta:spec:desc:816,urn:lsid:ipni.org:names:67489-1,,
wfo-0000605967,In forest.,ecology,urn:kew.org:fwta:spec:desc:821,urn:lsid:ipni.org:names:869754-1,,
wfo-0000605992,In forest.,ecology,urn:kew.org:fwta:spec:desc:823,urn:lsid:ipni.org:names:869763-1,,
wfo-0000606056,In forest.,ecology,urn:kew.org:fwta:spec:desc:831,urn:lsid:ipni.org:names:67532-1,,
wfo-0000606057,In forest.,ecology,urn:kew.org:fwta:spec:desc:835,urn:lsid:ipni.org:names:67533-1,,
wfo-0000606104,Mainly in savannah.,ecology,urn:kew.org:fwta:spec:desc:839,urn:lsid:ipni.org:names:67558-1,,
wfo-0000606172,In savannahwoodland.,ecology,urn:kew.org:fwta:spec:desc:854,urn:lsid:ipni.org:names:67599-1,,
wfo-0000606196,In forest regions.,ecology,urn:kew.org:fwta:spec:desc:860,urn:lsid:ipni.org:names:67614-1,,
wfo-0000606215,In regrowthforest.,ecology,urn:kew.org:fwta:spec:desc:864,urn:lsid:ipni.org:names:67622-1,,
wfo-0000606231,In savannah.,ecology,urn:kew.org:fwta:spec:desc:866,urn:lsid:ipni.org:names:869844-1,,
wfo-0000606284,In savannah woodland.,ecology,urn:kew.org:fwta:spec:desc:873,urn:lsid:ipni.org:names:67655-1,,
wfo-0000606327,In the forest regions.,ecology,urn:kew.org:fwta:spec:desc:875,urn:lsid:ipni.org:names:67683-1,,
wfo-0000606342,In forest and savannah regions.,ecology,urn:kew.org:fwta:spec:desc:879,urn:lsid:ipni.org:names:67688-1,,
wfo-0000606404,By streams and rivers.,ecology,urn:kew.org:fwta:spec:desc:883,urn:lsid:ipni.org:names:67730-1,,
wfo-0000606508,In forest.,ecology,urn:kew.org:fwta:spec:desc:898,urn:lsid:ipni.org:names:67784-1,,
wfo-0000606613,In forest.,ecology,urn:kew.org:fwta:spec:desc:901,urn:lsid:ipni.org:names:869999-1,,
wfo-0000606634,In savannah.,ecology,urn:kew.org:fwta:spec:desc:906,urn:lsid:ipni.org:names:67840-1,,
wfo-0000606692,In forest vegetation.,ecology,urn:kew.org:fwta:spec:desc:912,urn:lsid:ipni.org:names:870025-1,,
wfo-0000606695,In savannah.,ecology,urn:kew.org:fwta:spec:desc:917,urn:lsid:ipni.org:names:67878-1,,
wfo-0000606698,In forest,ecology,urn:kew.org:fwta:spec:desc:921,urn:lsid:ipni.org:names:67881-1,,
wfo-0000606788,In savannah regions.,ecology,urn:kew.org:fwta:spec:desc:927,urn:lsid:ipni.org:names:67928-1,,
wfo-0000606794,In savannah.,ecology,urn:kew.org:fwta:spec:desc:932,urn:lsid:ipni.org:names:67930-1,,
wfo-0000607059,In savannah.,ecology,urn:kew.org:fwta:spec:desc:952,urn:lsid:ipni.org:names:870139-1,,
wfo-0000607075,In savannah.,ecology,urn:kew.org:fwta:spec:desc:954,urn:lsid:ipni.org:names:870148-1,,
wfo-0001145321,Locally abundant in moist shaded places.,ecology,urn:kew.org:fwta:spec:desc:958,urn:lsid:ipni.org:names:68307-1,,
wfo-0001145369,On rocky ground in savannah regions.,ecology,urn:kew.org:fwta:spec:desc:960,urn:lsid:ipni.org:names:68442-1,,
wfo-0001145277,In dry types of forest.,ecology,urn:kew.org:fwta:spec:desc:965,urn:lsid:ipni.org:names:68445-1,,
wfo-0000533072,"Widely cultivated and commonly naturalized in the bush, chiefly in coastal districts.",ecology,urn:kew.org:fwta:spec:desc:969,urn:lsid:ipni.org:names:319068-2,,
wfo-0000686201,In rocky places.,ecology,urn:kew.org:fwta:spec:desc:980,urn:lsid:ipni.org:names:69606-1,,
wfo-0000714120,Mostly on rocky hills.,ecology,urn:kew.org:fwta:spec:desc:986,urn:lsid:ipni.org:names:69654-1,,
wfo-0000360263,Often on rocky hills.,ecology,urn:kew.org:fwta:spec:desc:999,urn:lsid:ipni.org:names:69738-1,,
wfo-0001051193,In arid regions.,ecology,urn:kew.org:fwta:spec:desc:1006,urn:lsid:ipni.org:names:69770-1,,
wfo-0000360290,In dry savannah regions.,ecology,urn:kew.org:fwta:spec:desc:1008,urn:lsid:ipni.org:names:69780-1,,
wfo-0000434908,In the drier savannah regions.,ecology,urn:kew.org:fwta:spec:desc:1062,urn:lsid:ipni.org:names:71162-1,,
wfo-0001236786,In forest on hills.,ecology,urn:kew.org:fwta:spec:desc:1071,urn:lsid:ipni.org:names:71357-1,,
wfo-0000435470,"Widespread and common in farmland, regrowth and villages, especially in the forest regions, but also in the savannah regions, usually thought to be an ancient introduction from America, but possibly native in W. Africa.",ecology,urn:kew.org:fwta:spec:desc:1098,urn:lsid:ipni.org:names:71480-1,,
wfo-0000409283,In forest near coast.,ecology,urn:kew.org:fwta:spec:desc:1104,urn:lsid:ipni.org:names:71838-1,,
wfo-0000409286,In forest.,ecology,urn:kew.org:fwta:spec:desc:1111,urn:lsid:ipni.org:names:71842-1,,
wfo-0001051189,In forest.,ecology,urn:kew.org:fwta:spec:desc:1113,urn:lsid:ipni.org:names:71843-1,,
wfo-0000409288,In forest.,ecology,urn:kew.org:fwta:spec:desc:1116,urn:lsid:ipni.org:names:71844-1,,
wfo-0000409326,In forest.,ecology,urn:kew.org:fwta:spec:desc:1123,urn:lsid:ipni.org:names:71853-1,,
wfo-0000409814,In forest.,ecology,urn:kew.org:fwta:spec:desc:1132,urn:lsid:ipni.org:names:71889-1,,
wfo-0000409793,In forest.,ecology,urn:kew.org:fwta:spec:desc:1137,urn:lsid:ipni.org:names:71900-1,,
wfo-0001236715,In forest.,ecology,urn:kew.org:fwta:spec:desc:1143,urn:lsid:ipni.org:names:71910-1,,
wfo-0000970207,In swamp forest near rivers,ecology,urn:kew.org:fwta:spec:desc:1155,urn:lsid:ipni.org:names:71934-1,,
wfo-0000537770,Of coastal marshes,ecology,urn:kew.org:fwta:spec:desc:1166,urn:lsid:ipni.org:names:72208-1,,
wfo-0000668132,In rocks by streams.,ecology,urn:kew.org:fwta:spec:desc:1216,urn:lsid:ipni.org:names:72974-1,,
wfo-0000668138,In secondary forest and forest margins,ecology,urn:kew.org:fwta:spec:desc:1223,urn:lsid:ipni.org:names:72979-1,,
wfo-0000668150,Usually by streams.,ecology,urn:kew.org:fwta:spec:desc:1230,urn:lsid:ipni.org:names:72986-1,,
wfo-0000732622,In forest,ecology,urn:kew.org:fwta:spec:desc:1244,urn:lsid:ipni.org:names:73737-1,,
wfo-0000732623,In forest,ecology,urn:kew.org:fwta:spec:desc:1247,urn:lsid:ipni.org:names:73738-1,,
wfo-0000764069,In drier parts of our area and often grown for ornament.,ecology,urn:kew.org:fwta:spec:desc:1425,urn:lsid:ipni.org:names:76369-1,,
wfo-0000936389,In moist forest.,ecology,urn:kew.org:fwta:spec:desc:1446,urn:lsid:ipni.org:names:76455-1,,
wfo-0000256756,In gallery forest.,ecology,urn:kew.org:fwta:spec:desc:1620,urn:lsid:ipni.org:names:80635-1,,
wfo-0000241502,In rocky streams,ecology,urn:kew.org:fwta:spec:desc:1811,urn:lsid:ipni.org:names:85520-1,,
wfo-0001066550,In montane forest.,ecology,urn:kew.org:fwta:spec:desc:1325,urn:lsid:ipni.org:names:74864-1,,
wfo-0000416162,Often in riverine forest,ecology,urn:kew.org:fwta:spec:desc:1367,urn:lsid:ipni.org:names:76005-1,,
wfo-0000428923,"Of forests, especially fringing forests; common throughout the area.",ecology,urn:kew.org:fwta:spec:desc:1411,urn:lsid:ipni.org:names:76218-1,,
wfo-0000943082,On trees in streamside forest in savanna,ecology,urn:kew.org:fwta:spec:desc:1528,urn:lsid:ipni.org:names:78223-1,,
wfo-0000218101,In swamp forest.,ecology,urn:kew.org:fwta:spec:desc:1559,urn:lsid:ipni.org:names:79410-1,,
wfo-0000218103,In swamp forest.,ecology,urn:kew.org:fwta:spec:desc:1564,urn:lsid:ipni.org:names:79412-1,,
wfo-0000234825,In swamps or along streams.,ecology,urn:kew.org:fwta:spec:desc:1609,urn:lsid:ipni.org:names:79904-1,,
wfo-0000319808,In wet forest.,ecology,urn:kew.org:fwta:spec:desc:1704,urn:lsid:ipni.org:names:82072-1,,
wfo-0000319871,In closed forest,ecology,urn:kew.org:fwta:spec:desc:1710,urn:lsid:ipni.org:names:82129-1,,
wfo-0000320051,In high forest.,ecology,urn:kew.org:fwta:spec:desc:1721,urn:lsid:ipni.org:names:82282-1,,
wfo-0000320164,In montane forests.,ecology,urn:kew.org:fwta:spec:desc:1726,urn:lsid:ipni.org:names:82377-1,,
wfo-0000333650,Forest areas.,ecology,urn:kew.org:fwta:spec:desc:1746,urn:lsid:ipni.org:names:82760-1,,
wfo-0000729632,"In montane forest, especially by streams.",ecology,urn:kew.org:fwta:spec:desc:1755,urn:lsid:ipni.org:names:83531-1,,
wfo-0000963843,In savanna.,ecology,urn:kew.org:fwta:spec:desc:1774,urn:lsid:ipni.org:names:84333-1,,
wfo-0000963979,In plantations and shady places.,ecology,urn:kew.org:fwta:spec:desc:1782,urn:lsid:ipni.org:names:84341-1,,
wfo-0000964372,In forest undergrowth.,ecology,urn:kew.org:fwta:spec:desc:1787,urn:lsid:ipni.org:names:84372-1,,
wfo-0000965313,Near upland stream in forest.,ecology,urn:kew.org:fwta:spec:desc:1790,urn:lsid:ipni.org:names:84427-1,,
wfo-0000241479,Of swamps or beside streams in forest,ecology,urn:kew.org:fwta:spec:desc:1807,urn:lsid:ipni.org:names:85518-1,,
wfo-0000241694,Wet places in forest.,ecology,urn:kew.org:fwta:spec:desc:1823,urn:lsid:ipni.org:names:85532-1,,
wfo-0000241725,Creeping on rocks in streams.,ecology,urn:kew.org:fwta:spec:desc:1825,urn:lsid:ipni.org:names:85534-1,,
wfo-0000739079,"Thoroughly naturalized in several West African countries, occurring on roadsides and shady waste places in the forest region",ecology,urn:kew.org:fwta:spec:desc:1826,urn:lsid:ipni.org:names:30010088-2,,
wfo-0000834830,In forest,ecology,urn:kew.org:fwta:spec:desc:1830,urn:lsid:ipni.org:names:86537-1,,
wfo-0000834953,In forest,ecology,urn:kew.org:fwta:spec:desc:1840,urn:lsid:ipni.org:names:86550-1,,
wfo-0000933468,In moist forest.,ecology,urn:kew.org:fwta:spec:desc:1860,urn:lsid:ipni.org:names:86776-1,,
wfo-0000933472,Slender climber in forest,ecology,urn:kew.org:fwta:spec:desc:1861,urn:lsid:ipni.org:names:86779-1,,
wfo-0000933479,In riverine forest mainly in savanna zone.,ecology,urn:kew.org:fwta:spec:desc:1871,urn:lsid:ipni.org:names:86786-1,,
wfo-0000936228,"At the margins of forest, and in swamps and ravines in savanna country.",ecology,urn:kew.org:fwta:spec:desc:1891,urn:lsid:ipni.org:names:86828-1,,
wfo-0000251517,In forest.,ecology,urn:kew.org:fwta:spec:desc:1896,urn:lsid:ipni.org:names:87569-1,,
wfo-0000251521,In forest.,ecology,urn:kew.org:fwta:spec:desc:1900,urn:lsid:ipni.org:names:87570-1,,
wfo-0000295504,"Epiphytic on trees by streams and associated with fern roots, or in moist cracks in rocks",ecology,urn:kew.org:fwta:spec:desc:1909,urn:lsid:ipni.org:names:88433-1,,
wfo-0000295894,"Climbing up trees in forest, up to 80-100 ft. high, but apparently often much less",ecology,urn:kew.org:fwta:spec:desc:1914,urn:lsid:ipni.org:names:88437-1,,
wfo-0000280060,Usually in montane forest.,ecology,urn:kew.org:fwta:spec:desc:1949,urn:lsid:ipni.org:names:91769-1,,
wfo-0000305601,In montane forest,ecology,urn:kew.org:fwta:spec:desc:1951,urn:lsid:ipni.org:names:91902-1,,
wfo-0000305670,In forest by water and on rocky hills.,ecology,urn:kew.org:fwta:spec:desc:1954,urn:lsid:ipni.org:names:91945-1,,
wfo-0000306066,In montane forest.,ecology,urn:kew.org:fwta:spec:desc:1961,urn:lsid:ipni.org:names:92202-1,,
wfo-0001278620,"On rocks in forest; 3, 000 to 11, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:2295,urn:lsid:ipni.org:names:17241170-1,,
wfo-0001109999,"Epiphyte especially on old cacao trees; at low elevations up to 2, 500 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:2297,urn:lsid:ipni.org:names:17053290-1,,
wfo-0001111642,"Terrestrial in forest; 3, 500 to 6, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:2302,urn:lsid:ipni.org:names:17372810-1,,
wfo-0001108163,"Terrestrial in montane grassland among rocks in open; 6, 000 to 10, 000 ft. alt.",ecology,urn:kew.org:fwta:spec:desc:2303,urn:lsid:ipni.org:names:17056350-1,,
wfo-0001111646,"Terrestrial in forest shade, on banks of stream and marshes at low elevations.",ecology,urn:kew.org:fwta:spec:desc:2307,urn:lsid:ipni.org:names:17088600-1,,
wfo-0000302806,In mangrove thickets.The black mangrove.,ecology,urn:kew.org:fwta:spec:desc:2313,urn:lsid:ipni.org:names:861115-1,,
wfo-0001111656,"Floating on the surface of ponds or backwaters of rivers; with floating grass and Lemna; sea level to 1, 000 ft.",ecology,urn:kew.org:fwta:spec:desc:2314,urn:lsid:ipni.org:names:17056880-1,,
