wfo-0000604917,Cinnamomum bejolghota (Buch.-Ham.) Sweet,Hort. Brit. 344. 1827. 
wfo-0000605088,Cinnamomum glanduliferum (Wall.) Meisn.,Prodr. 15(1): 25. 1864. 
wfo-0000605129,Cinnamomum impressinervium Meisn.,Prodr. 15(1): 21. 1864.
wfo-0000605467,Cinnamomum tamala (Buch.-Ham.) T.Nees & Eberm.,Handb. Med. Pharm. Bot. 2: 426. 1831.
wfo-0000605474,Cinnamomum tenuipile Kosterm.,Reinwardtia 8: 74. 1970. 
wfo-0000627764,Cryptocarya amygdalina Nees,Pl. Asiat. Rar. 2: 69. 1831. 
wfo-0000652739,Dodecadenia grandiflora Nees,Pl. Asiat. Rar. 2: 63. 1831. 
wfo-0001070755,Lindera assamica (Meisn.) Kurz,Forest Fl. Burma 2: 308. 1877. 
wfo-0001070359,Lindera bootanica Meisn.,Prodr. 15(1): 245. 1864. 
wfo-0001070861,Lindera nacusua (D.Don) Merr.,Lingnan Sci. J. 15: 419. 1936.
wfo-0001070756,Lindera neesiana (Wall. ex Nees) Kurz,Forest Fl. Burma 2: 309. 1877. 
wfo-0001071991,Lindera obtusiloba var. heterophylla (Meisn.) H.P.Tsui,Fl. Reipubl. Popularis Sin. 31: 416. 1982. 
wfo-0001071996,Lindera pulcherrima (Nees) Benth. ex Hook.f.,Fl. Brit. India 5: 185. 1886. 
wfo-0000365274,Litsea chartacea (Wall. ex Nees) Hook.f.,Fl. Brit. India 5: 170. 1886.
wfo-0000365367,Litsea cubeba (Lour.) Pers.,Syn. Pl. 2(1): 4. 1806. 
wfo-0000365304,Litsea doshia (D.Don) Kosterm.,J. Sci. Res. (Jakarta) 1: 90. 1952. 
wfo-0001070382,Litsea elongata (Nees) Hook.f.,Fl. Brit. India. 5: 165. 1886.
wfo-0000365695,Litsea glutinosa (Lour.) C.B.Rob.,"Philipp. J. Sci., C 6: 321. 1911."
wfo-0000365726,Litsea hookeri (Meisn.) D.G.Long,Notes Roy. Bot. Gard. Edinburgh 41(3): 510. 1984. 
wfo-0001070298,Litsea kingii Hook.f.,Fl. Brit. India 5: 156. 1886. 
wfo-0000365805,Litsea monopetala (Roxb.) Pers.,Syn. Pl. 2(1): 4. 1806.
wfo-0001070307,Litsea panamanja (Buch.-Ham. ex Nees) Hook.f.,Fl. Brit. India 5: 175. 1886.
wfo-0001070313,Litsea salicifolia (Roxb. ex Nees) Hook.f.,Fl. Brit. India 5: 167. 1886.
wfo-0001070314,Litsea sericea (Wall. ex Nees) Hook.f.,Fl. Brit. India 5: 156. 1886. 
wfo-0000373703,Machilus clarkeana King ex Hook.f.,Fl. Brit. India 5: 137. 1886.
wfo-0001071296,Machilus duthiei King ex Hook.f.,Fl. Brit. India 5: 861. 1890.
wfo-0001071297,Machilus gamblei King ex Hook.f.,Fl. Brit. India 5. 138. 1886.
wfo-0001285957,Machilus glaucescens (Nees) Wight,Icon. Pl. Ind. Orient. 5(2): 12. 1852.
wfo-0001071298,Machilus odoratissima Nees,Pl. Asiat. Rar. 2: 70. 1831.
wfo-0000373759,Machilus pubescens Blume,Mus. Bot. Lugd.-Bat. 1(21): 330. 1851.
wfo-0000373769,Machilus sericea (Nees) Blume,Mus. Bot. 1: 330. 1851. 
wfo-0001071566,Neocinnamomum caudatum (Nees) Merr.,Contr. Arnold Arbor. 8: 64. 1934. 
wfo-0001244725,Neolitsea cuipala (D.Don) Kosterm.,Bull. Bot. Surv. India 10(3-4): 287. 1969.
wfo-0000381609,Neolitsea foliosa (Nees) Gamble,Fl. Madras 2(7): 1240. 1925.
wfo-0001071951,Neolitsea pallens (D.Don) Momiy. & H.Hara,J. Jap. Bot. 47(9): 269. 1972.
wfo-0001070417,Phoebe attenuata (Nees) Nees,Syst. Laur. 104. 1836.
wfo-0001071102,Phoebe cathia (D.Don) Kosterm.,Nat. Hist. Bull. Siam Soc. 25(3-4): 44. 1975.
wfo-0000465756,Phoebe hainesiana Brandis,Hooker’s Icon. Pl. 2803. 1906.
wfo-0001070428,Phoebe lanceolata (Nees) Nees,Syst. Laur. 109. 1836.
wfo-0001070433,Phoebe pallida (Nees) Nees,Syst. Laur. 112. 1836.
wfo-0000603083,Chloranthus elatior Link,Enum. Hort. Berol. Alt. 1: 140. 1821. 
wfo-0000350733,Acorus calamus L.,Sp. Pl. 1: 324. 1753. 
wfo-0000949005,Alocasia fornicata (Kunth) Schott,Oesterr. Bot. Wochenbl. 4: 410. 1854. 
