WFOID,Vernacular_name,LocalID,scientificName,transliteration,Devnagari (preeti),Devnagari (unicode),Language,countryCode,rights,license,bibliographicCitation,compiler
wfo-0000459404,Singi (सिङ्गी ),NEP00066,Taxus mairei (Lemée & H.Lév.) S.Y.Hu,Singi,l;ª\uL ,सिङ्गी ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000409081,"Lauth salla, Burme salla. Dhengre salla (लौठ सल्ला, बर्मे सल्ला, ढेङ्ग्रे सल्ला)",NEP00070,Taxus wallichiana Zucc.,"Lauth salla, Burme salla. Dhengre salla","nf}7 ;Nnf, ad]{ ;Nnf, 9]ª\u|] ;Nnf","लौठ सल्ला, बर्मे सल्ला, ढेङ्ग्रे सल्ला",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000683330,Makhana (मखाना),NEP00072,Euryale ferox Salisb.,Makhana,dvfgf,मखाना,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1200024889,Nil kamal (निल कमल),NEP00073,Nymphaea nouchali N.L.Burm. var. nouchali,Nil kamal,lgn sdn,निल कमल,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000737412,Nil kamal (निल कमल ),NEP00075,Nymphaea nouchali N.L.Burm. var. versicolor (Sims) R.Ansari & Jeeja,Nil kamal,lgn sdn ,निल कमल ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000382124,Kamal (कमल ),NEP00078,Nymphaea pubescens Willd.,Kamal,sdn ,कमल ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000495107,"Singato, Sigunta lahara (सिँगटा, सिगुन्टा लहरा )",NEP00085,Schisandra grandiflora (Wall.) Hook.f. & Thomson,"Singato, Sigunta lahara","l;Fu6f, l;u'G6f nx/f ","सिँगटा, सिगुन्टा लहरा ",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000495084,Pahenlo singato (पहेँलो सिँगटो ),NEP00090,Schisandra propinqua (Wall.) Baill.,Pahenlo singato,kx]Fnf] l;Fu6f] ,पहेँलो सिँगटो ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000725055,Gane (गने ),NEP00092,Houttuynia cordata Thunb.,Gane,ug] ,गने ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000477971,Latpate (लतपटे),NEP00095,Peperomia pellucida (L.) Kunth,Latpate,ntk6],लतपटे,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
