WFO_ID,VernacularName,TaxonName,namepublishedin,rights,license,bibliographicCitation,compiler
wfo-0000486372,Wild Pepper,Piper peepuloides Roxb.,Fl. Ind. 1: 157. 1820. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000547501,Indian Birthwort,Aristolochia acuminata Lam.,Encycl. 1: 254. 1783.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000548292,Pouch Birthwort,Aristolochia saccata Wall.,Pl. Asiat. Rar. 2: 2. pl 103. 1830.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233034,Campbell’s Magnolia,Magnolia campbellii Hook.f. & Thomson,Fl. Brit. India 1: 41. 1872.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233054,Champak,Magnolia champaca (L.) Baill. ex Pierre,Fl. Forest. Cochinch. 1: t. 3. 1880.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000464769,Sweet Michelia,Magnolia doltsopa (Buch.-Ham. ex DC.) Figlar,Proc. Internat. Symp. Fam. Magnoliac. 21. 2000.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233165,Globe Magnolia,Magnolia globosa Hook.f. & Thomson,Fl. Ind. 1: 77. 1855.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233214,Red Lotus Tree,Magnolia insignis Wall.,"Tent. Fl. Napal. 1: 3, pl. 1. 1824.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000549776,Tail Grape,Artabotrys hexapetalus (L.f.) Bhandari,Baileya 12(4): 149. 1965.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000372950,Velvety Miliusa,Miliusa velutina (Dunal) Hook.f. & Thomson,Fl. Ind. 1. 151. 1855.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001066143,Corky Debbar Tree,Polyalthia suberosa (Roxb.) Thwaites,Enum. Pl. Zeyl. 398. 1864.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000605088,Nepal Camphor Tree,Cinnamomum glanduliferum (Wall.) Meisn.,Prodr. 15(1): 25. 1864. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000605467,Nepali Cinnamon,Cinnamomum tamala (Buch.-Ham.) T.Nees & Eberm.,Handb. Med. Pharm. Bot. 2: 426. 1831.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000365367,Mountain Pepper,Litsea cubeba (Lour.) Pers.,Syn. Pl. 2(1): 4. 1806. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000365695,Bolly Beech,Litsea glutinosa (Lour.) C.B.Rob.,"Philipp. J. Sci., C 6: 321. 1911.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001071298,Fragrant Bay Tree,Machilus odoratissima Nees,Pl. Asiat. Rar. 2: 70. 1831.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000350733,Sweet Flag,Acorus calamus L.,Sp. Pl. 1: 324. 1753. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000949005,Elephant Ear,Alocasia fornicata (Kunth) Schott,Oesterr. Bot. Wochenbl. 4: 410. 1854. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000963446,White Yam,Amorphophallus bulbifer (Roxb.) Blume,Rumphia 1: 148. 1837.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000270275,Himalayan Cobra Lily,Arisaema consanguineum Schott,Bonplandia 7: 27. 1859.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000270704,Dragon Lily,Arisaema exappendiculatum H.Hara,J. Jap. Bot. 40(1): 21. 1965. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000271527,Cobra Lily,Arisaema jacquemontii Blume,Rumphia 1: 95. 1836. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000274566,Whipcord Lily,Arisaema tortuosum (Wall.) Schott,Melet. Bot. 1: 17. 1832. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000275001,Sikkim Cobra Lily,Arisaema utile Hook.f. ex Schott,Prodr. Syst. Aroid. 30. 1860. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000917419,Wild Taro,Colocasia esculenta (L.) Schott,Melet. Bot. 18. 1832.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000917474,Dwarf Elephant Ear,Colocasia fallax Schott,Bonplandia 7: 28. 1859. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000224440,Common Duckweed,Lemna minor L.,Sp. Pl. 2: 970. 1753. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000273956,Water Lettuce,Pistia stratiotes L.,Sp. Pl. 2: 963. 1753. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000295503,Pygmy Elephant Ear,Remusatia pumila (D.Don) H.Li & A.Hay,Acta Bot. Yunnan. 5: 32. 1992. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000295939,Creeping Philodendron,Rhaphidophora decursiva (Roxb.) Schott,Bonplandia 5: 45. 1857. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000313527,Greater Duckweed,Spirodela polyrhiza (L.) Schleid.,Linnaea 13: 392. 1839. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
