WFO_ID,Country,distribution,TaxonName,namepublishedin,rights,license,bibliographicCitation,compiler
wfo-0000523042,NP,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and S Asia.",Agapetes hookeri (C.B.Clarke) Sleumer ,Bot. Jahrb. Syst. 70(1): 106. 1939. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000523137,NP,"Nepal, E Himalaya and Assam-Burma.",Agapetes saligna (Hook.f.) Hook.f. ,Gen. Pl. 2(2): 571. 1876.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000523142,NP,"Nepal, E Himalaya and Tibetan Plateau. ",Agapetes serpens (Wight) Sleumer ,Bot. Jahrb. Syst. 70(1): 105. 1939.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000523146,NP,Nepal and E Himalaya.,Agapetes sikkimensis Airy Shaw ,Bull. Misc. Inform. Kew 1935(1): 29. 1935.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000523149,NP,Nepal and E Himalaya.,Agapetes smithiana Sleumer ,Bot. Jahrb. Syst. 70(1): 106. 1939. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000589553,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and Assam-Burma. ",Cassiope fastigiata (Wall.) D.Don ,Edinburgh New Philos. J. 17: 156. 1834.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000589578,NP,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",Cassiope selaginoides Hook.f. & Thomson ,"Hooker's J. Bot. Kew Gard. Misc. 7: 126, pl. 4. 1855. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000668068,NP,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",Enkianthus deflexus (Griff.) C.K.Schneid. ,Ill. Handb. Laubholzk. 2: 521. 1909.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000695133,NP,Nepal and E Asia.,Gaultheria cuneata (Rehder & E.H.Wilson) Bean,Bot. Mag. 145: t. 8829. 1919.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000695165,NP,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",Gaultheria fragrantissima Wall.,Asiat. Res. 13: 397. 1820.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000695184,NP,"Nepal, E Himalaya, Assam-Burma, E Asia and SE Asia. ",Gaultheria griffithiana Wight ,Calcutta J. Nat. Hist. 8: 176. 1847.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000695198,NP,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",Gaultheria hookeri C.B.Clarke ,Fl. Brit. India 3: 458. 1882. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000695304,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",Gaultheria nummularioides D.Don,Prodr. Fl. Nepal. 150. 1825.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1000002423,NP,"Nepal, Tibetan Plateau, Assam-Burma and E Asia.",Gaultheria obovata (Airy Shaw) P.W.Fritsch & Lu Lu [264],Phytotaxa 201(1): 17. 2015. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000695366,NP,"Nepal, E Himalaya and Assam-Burma.",Gaultheria pyroloides Hook.f. & Thomson ex Miq. ,Ann. Mus. Bot. Lugduno-Batavi 1: 30. 1863.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000695399,NP,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia. ",Gaultheria semi-infera (C.B.Clarke) Airy Shaw ,Bull. Misc. Inform. Kew 1940: 306. 1941. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000695450,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",Gaultheria trichophylla Royle ,Ill. Bot. Himal. Mts. 260. 1835.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001047539,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",Lyonia ovalifolia (Wall.) Drude ,Nat. Pflanzenfam. 4(1): 44. 1889.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001221130,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia.",Lyonia villosa (Hook.f. & C.B.Clarke) Hand.-Mazz. ,Symb. Sin. Pt. 7(4): 789. 1936. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
