WFO_ID,Vernacular,Devnagari,Transliteration,ScientificName,NamepublishedIn
wfo-0000184271,कालो शिरीष  (Kalo sirish),कालो शिरीष ,Kalo sirish,,
wfo-0000196896,"टपरा शिरीष, पड्के  (Tapara sirish, Padke)","टपरा शिरीष, पड्के ","Tapara sirish, Padke",,
wfo-0000185541,"कारकुरे शिरीष, कालो शिरीष  (Karkure sirish, Kalo sirish)","कारकुरे शिरीष, कालो शिरीष ","Karkure sirish, Kalo sirish",,
wfo-0000186098,"सेतो शिरीष, कराही रुख  (Seto sirish, Karahi rukh)","सेतो शिरीष, कराही रुख ","Seto sirish, Karahi rukh",,
wfo-0000204816,दुर्लव  (Durlab),दुर्लव ,Durlab,,
wfo-0000176774,"मधु मुल, पोते झार  (Madhu mul, Pote jhar)","मधु मुल, पोते झार ","Madhu mul, Pote jhar",,
wfo-0000176915,मधु मुल  (Madhu mul),मधु मुल ,Madhu mul,,
wfo-0000189968,पटका  (Pataka),पटका ,Pataka,,
wfo-0000204940,जोमोसिङ् छुन्गवा  (Zomosing chhungwa: Tibetan),जोमोसिङ् छुन्गवा ,Zomosing chhungwa: Tibetan,,
wfo-0000213155,"टाँकी, रातो कोइरालो, कचनार  (Tanki, Rato koiralo, Kachnar)","टाँकी, रातो कोइरालो, कचनार ","Tanki, Rato koiralo, Kachnar",,
wfo-0000197019,नाग लहरा  (Nag lahara),नाग लहरा ,Nag lahara,,
wfo-0000213330,"सेतो कोइरालो, कचनार  (Seto koiralo, Kachnar)","सेतो कोइरालो, कचनार ","Seto koiralo, Kachnar",,
wfo-0001056568,"उल्टो काँडा, अरेली काँडा  (Ulto kanda, Areli kanda)","उल्टो काँडा, अरेली काँडा ","Ulto kanda, Areli kanda",,
wfo-0000193237,"भुजेत्रो, भुलेत्रो  (Bhujetro, Bhuletro)","भुजेत्रो, भुलेत्रो ","Bhujetro, Bhuletro",,
wfo-0000184561,"पलाँस, धाँक  (Palans, Dhank)","पलाँस, धाँक ","Palans, Dhank",,
wfo-0000200402,जङ्गली रहर  (Jangali rahar),जङ्गली रहर ,Jangali rahar,,
wfo-0000179114,वन गहत  (Ban gahat),वन गहत ,Ban gahat,,
wfo-0001035798,"साकिनो, साखिनो  (Sakino, Sakhino)","साकिनो, साखिनो ","Sakino, Sakhino",,
wfo-0000186070,"बेबली काँडा, भालु काँडा  (Bebali kanda, Bhalu kanda)","बेबली काँडा, भालु काँडा ","Bebali kanda, Bhalu kanda",,
wfo-0000186890,जोमोसिङ्  (Zomosing: Amchi),जोमोसिङ् ,Zomosing: Amchi,,
wfo-0000194798,जोमोसिङ्  (Zomosing: Tibetan),जोमोसिङ् ,Zomosing: Tibetan,,
wfo-0000204989,"पाँकचार, फुल्सी सेर्मा  (Pankchar, Fulsi sherma)","पाँकचार, फुल्सी सेर्मा ","Pankchar, Fulsi sherma",,
wfo-0000198221,"धमा, तापसिङ  (Dhama, Tapsing: Tibetan)","धमा, तापसिङ ","Dhama, Tapsing: Tibetan",,
wfo-0000163802,"राजवृक्ष, अमलतास  (Rajbrichya, Amaltas)","राजवृक्ष, अमलतास ","Rajbrichya, Amaltas",,
wfo-0000187002,अमला झार  (Amala jhar),अमला झार ,Amala jhar,,
wfo-0000198261,च्याली  (Chyali),च्याली ,Chyali,,
wfo-0000179216,"अपराजिता, शङ्ख पुष्पि  (Aparajita, Shankha puspi)","अपराजिता, शङ्ख पुष्पि ","Aparajita, Shankha puspi",,
wfo-0000193197,"खस्रे लहरा, भटमासे लहरा  (Khasre lahara, Bhatmase lahara)","खस्रे लहरा, भटमासे लहरा ","Khasre lahara, Bhatmase lahara",,
wfo-0000210921,"छिन् छिने, ठूलो बोक्सी बाजा  (Chhin chhine, Thulo boksi baja)","छिन् छिने, ठूलो बोक्सी बाजा ","Chhin chhine, Thulo boksi baja",,
wfo-0000185070,"भेडी फूल, पुतली फूल  (Bhedi phool, Putali phool)","भेडी फूल, पुतली फूल ","Bhedi phool, Putali phool",,
wfo-0000198887,चेम्गी फूल  (Chemgi phool),चेम्गी फूल ,Chemgi phool,,
wfo-0000205892,जुनग्राबन  (Jungraban: Chepang),जुनग्राबन ,Jungraban: Chepang,,
wfo-0000209124,छिन् छिने  (Chhin chhine),छिन् छिने ,Chhin chhine,,
wfo-0000198706,सानो बोक्सी बाजा  (Sano boksi baja),सानो बोक्सी बाजा ,Sano boksi baja,,
wfo-0000185954,सेतो फूल  (Seto phool),सेतो फूल ,Seto phool,,
wfo-0000210927,"भुवन झार, छिन् छिने  (Bhuban jhar, Chhin chhine)","भुवन झार, छिन् छिने ","Bhuban jhar, Chhin chhine",,
wfo-0000174083,"सनई, छिन् छिने  (Sanai, Chhin chhine)","सनई, छिन् छिने ","Sanai, Chhin chhine",,
wfo-0000199976,बाँदरे शिरीष (Bandare sirish),बाँदरे शिरीष,Bandare sirish,,
wfo-0000172240,सतिसाल  (Satisal),सतिसाल ,Satisal,,
wfo-0000197286,डामर  (Damar),डामर ,Damar,,
wfo-0000172499,सिसौ  (Sisau),सिसौ ,Sisau,,
wfo-0000185857,"लहरे शिरीष, टाटेबीर  (Lahare sirish, Tatebir)","लहरे शिरीष, टाटेबीर ","Lahare sirish, Tatebir",,
wfo-0000205278,डेरी  (Deree),डेरी ,Deree,,
wfo-0000186601,"सन्दन, सादन  (Sandan, Sadan)","सन्दन, सादन ","Sandan, Sadan",,
wfo-0000203823,जङ्गली भटमास  (Jangali bhatmas),जङ्गली भटमास ,Jangali bhatmas,,
wfo-0000195898,लेक पाङ्ग्रा  (Lek pangra),लेक पाङ्ग्रा ,Lek pangra,,
wfo-0000188411,बाँदर गुली  (Bandar guli),बाँदर गुली ,Bandar guli,,
