taxonID,description,type,source,language,created
wfo-0001266284,"<b>Perennials;</b> caudex simple or branched; densely pubescent, trichomes (sessile or short-stalked), 6-8-rayed, rays furcate or bifurcate, (tuberculate, less so on outer layers). <b>Stems</b> simple or few from base, ascending to erect, (0.5-)1-2(-3.5) dm. <b>Basal leaves:</b> (petiole tapering to blade); blade rhombic to elliptic and irregularly angular, sometimes spatulate to oblanceolate, 1.5-7.5(-10) cm, margins entire. <b>Cauline leaves:</b> (not or loosely overlapping, petiolate or distal sessile); blade spatulate to oblanceolate, 1-4 cm, margins entire. <b>Racemes</b> crowded, elongated. <b>Fruiting pedicels</b> (ascending, curved or sigmoid), 6-12(-20) mm. <b>Flowers:</b> sepals ovate, oblong, or elliptic 4-7.5 mm, (median pair thickened apically, cucullate); petals spatulate or broadly cuneate, 6-13 mm, (claw slightly expanded at base). <b>Fruits</b> (substipitate), globose or obovoid to ellipsoid, sometimes slightly obcompressed, 4-9 mm; valves (not retaining seeds after dehiscence), glabrous throughout; replum as wide as or wider than fruit; ovules 4-24 per ovary; style (2-)4-7 mm. <b>Seeds</b> flattened. <b>2<i>n</i></b> = 10.",general,BA2E12B9-EBC4-49EB-81DB-352B693BD6A2,English,2010-03-14
wfo-0001266268,"<b>Perennials;</b> caudex branched, (woody, pulvinate-cespitose, forming hard, hemispherical mats, basal parts covered with persistent leaf bases); densely (silvery gray) pubescent, tri-chomes mostly 5-rayed, rays bifurcate, slightly fused at base, (umbonate, strongly tuberculate except nearly smooth over umbo). <b>Stems</b> several from base (crowded), erect, not exceeding leaves. <b>Basal leaves:</b> usually absent. <b>Cauline leaves:</b> (petiole not differentiated from blade); blade linear-oblanceolate, 3-8(-13) mm, margins entire. <b>Racemes</b> (secund), dense, corymbose, (few-flowered, not or barely exceeding leaves). <b>Fruiting pedicel</b>s (ascending to divaricate-ascending, straight), 3.5-6 mm. <b>Flowers:</b> sepals (yellow-green), linear to narrowly triangular, 3.7-4.8 mm, (lateral pair subsaccate); petals (deep yellow, slightly orange in center), spatulate, 5.2-6.5 mm, (claw joined at right angle). <b>Fruits</b> (becoming reddish or copper-colored in age), ovate, often slightly compressed (at margins apically), 3-5 mm, (apex acute); valves (not retaining seeds after dehiscence), glabrous; (septum perforate or not); ovules 4-8 per ovary; style 1.8-3 mm. <b>Seeds</b> plump or slightly flattened, (strongly mucilaginous).",general,4D121020-525D-425D-A023-9B55F5F27ED1,English,2010-03-14
wfo-0001266291,"<b>Annuals or, sometimes, bi-ennials;</b> with a fine taproot; sparsely pubescent, trichomes (sessile), 3-6-rayed, rays furcate, (tuberculate throughout). <b>Stems</b> several from base, erect or decumbent and straggling, (branched distally, branches usually filiform), to 5 dm. <b>Basal leaves:</b> blade obovate or rhombic to broadly elliptic, 1-4.5(-6.5) cm, margins entire or lyrate-pinnatifid. <b>Cauline leaves:</b> (proximal petiolate, distal sessile); blade rhombic or obovate to elliptic, 0.5-2 (-3) cm, margins entire or sinuate to remotely toothed. <b>Racemes</b> loose. <b>Fruiting pedicels</b> (recurved in age), 5-10(-15) mm, (slender). <b>Flowers:</b> sepals elliptic or ovate, 2.5-5.5 mm, (median pair thickened apically, cucullate); petals (yellow to orange-yellow), obovate to cuneate, 4-7 mm, (apex sometimes retuse). <b>Fruits</b> globose or subglobose, not or slightly inflated, (2-) 3-5(-7) mm; valves (not retaining seeds after dehiscence), glabrous throughout; replum as wide as or wider than fruit; ovules (4-)8-16(-20) per ovary; style (1-5-)2-4.5 mm. <b>Seeds</b> flattened. <b>2<i>n</i></b> = 10.",general,DC1E188F-3B13-44BA-AC3E-E9711F87A2A2,English,2010-03-14
wfo-0001280614,"<b>Perennials;</b> caudex branched, (densely cespitose and forming hemispheric mounds); densely pubescent, trichomes 5-rayed, rays bifurcate near base, fused at base, (strongly tuberculate throughout). <b>Stems</b> few to several from base, erect, (usually exceeding basal leaves), 0.3-0.7 dm. <b>Basal leaves:</b> blade linear-spatulate, 1.5-4 cm, (base narrowed gradually to petiole), margins entire. <b>Cauline leaves:</b> blade spatulate, similar to basal. <b>Racemes</b> crowded in distal 1/3, (4-10-flowered). <b>Fruiting pedicels</b> (loosely to strongly sigmoid), 6-10 mm. <b>Flowers:</b> sepals (pale yellow), oblong to elliptic, 3-4 mm, (median pair usually thickened apically, cucullate); petals (sometimes with slight tinge of orange basally), lingulate, 4-6 mm. <b>Fruits</b> ellipsoid, slightly inflated (somewhat latiseptate), 4-5 mm, (apex acute); valves pubescent, trichomes erect, appearing slightly shaggy; ovules 4-8 per ovary; styles 2.5-3 mm, (shorter than mature fruits). <b>Seeds</b> ± flattened, convex on outer side.",general,8F76DA1B-3DDA-4031-B525-7294665EE2AA,English,2010-03-14
wfo-0001280600,"<b>Perennials;</b> caudex branched, (thickened, cespitose); densely pubescent, trichomes 5- or 6-rayed, rays slightly fused at base, furcate or bifurcate, (tuberculate throughout). <b>Stems</b> few from base, well-exserted from basal leaves, 0.4-1(-1.2) dm. <b>Basal leaves:</b> blade (erect), obovate to orbicular, 1.5-2.5 cm, (base evidently distinct from petiole), margins entire, (folded). <b>Cauline leaves:</b> blade spatulate, margins entire. <b>Racemes</b> compact, subumbellate. <b>Fruiting pedicels</b> (ascending, curved to slightly sigmoid), 5-8 mm. <b>Flowers:</b> sepals (pale yellow), 4-5 mm; petals lingulate, 6-7 mm. <b>Fruits</b> ovoid to ellipsoid, slightly inflated, (apex not compressed), 3-4 mm; valves pubescent, trichomes erect on mature fruits, (± appearing fuzzy); ovules 8 per ovary; style 4-5 mm, (glabrous). <b>Seeds</b> plump.",general,BCC959B9-0E46-4A44-A971-7C8B2150EF95,English,2010-03-14
wfo-0001280613,"<b>Perennials;</b> caudex (buried), branched, (dense, forming hard mats); densely pubescent, trichomes (subsessile), 8-13- rayed, rays usually furcate, distinct, (umbonate, usually tuberculate, less so over umbo). <b>Stems</b> several (to several hundred) from base, erect, (each terminating in a tufted cluster of leaves), to 7 dm. <b>Basal leaves:</b> (petiole not differentiated from blade); blade narrowly elliptic to narrowly linear-oblanceolate, (0.8-) 1-1.5 cm, (base cuneate), margins entire. <b>Cauline leaves</b> similar to basal, blade sometimes linear, (apex acute). <b>Racemes</b> dense, (often ± subumbellate, somewhat elongated in fruit). <b>Fruiting pedicels</b> (strongly sigmoid), 5-10 mm. <b>Flowers:</b> sepals narrowly elliptic, 2.5-3.5(-4) mm, (not keeled); petals narrowly spatulate, 4-7 mm. <b>Fruits</b> ellipsoid, compressed, 4-6 mm; valves densely pubescent, trichomes appressed; ovules 2 per ovary; style 2-3.5 mm. <b>Seeds</b> flattened, (oval).",general,72EF0636-2FDC-4E42-8D84-22DFB8F40588,English,2010-03-14
wfo-0001266286,"<b>Perennials;</b> caudex simple or branched, (covered with persistent leaf bases); densely pubescent, trichomes (sessile or subsessile), 4-7-rayed, rays furcate or bifurcate, (tuberculate throughout). <b>Stems</b> simple or several from base, decumbent or erect, (unbranched), to 2 dm. <b>Basal leaves:</b> (petiole sharply differentiated from blade, slender); blade suborbicular or obovate to rhombic, 4-8 cm, (base abruptly narrowed to petiole), margins entire, sinuate, or shallowly dentate, (abaxial surface densely pubescent, adaxial lightly pubescent). <b>Cauline leaves:</b> (proximal petiolate, distal sessile); blade obovate to rhombic, 0.8-2.3 cm, margins entire or shallowly toothed. <b>Racemes</b> dense, (somewhat elongated in fruit). <b>Fruiting pedicels</b> (horizontal to ascending, sigmoid or slightly curved), 8-11 mm, (stout). <b>Flowers:</b> sepals elliptic or oblong, ca. 6 mm, (lateral pair not saccate or subsaccate, cucullate, median pair thickened apically, cucullate); petals spatulate, ca. 9 mm, (claw expanded at base). <b>Fruits</b> (sessile or substipitate, often becoming copper-red in age), subglobose or ellipsoid, inflated, 6-9 mm, (firm, glossy); valves (not retaining seeds after dehiscence), glabrous throughout; replum as wide as or wider than fruit; ovules 4-8(-12) per ovary; style 3.5-7 mm. <b>Seeds</b> somewhat flattened.",general,678F23DB-1D26-4AB9-874B-3E9F9619D429,English,2010-03-14
wfo-0001266280,"<b>Perennials;</b> caudex (buried), usually branched, sometimes simple, (cespitose); densely pubescent, trichomes (appressed), 4-7-rayed, rays distinct, furcate or bifurcate near base. <b>Stems</b> few to several from base, erect, (unbranched, slender), 0.3-1.5 (-3) dm. <b>Basal leaves</b> (tufted, erect); blade linear to very narrowly spatulate, 1-3(-4) cm, margins entire (involute). <b>Cauline leaves</b> similar to basal. <b>Racemes</b> relatively dense. <b>Fruiting pedicels</b> (ascending, curved or sigmoid), 2-10 mm. <b>Flowers:</b> sepals (greenish yellow), elliptic, 3.5-7 mm; petals spatulate, 5-6 mm, (not clawed). <b>Fruits</b> (erect), ovoid (or longer than broad), usually inflated, 4-5 mm, (apex acute, slightly flattened); valves pubescent, trichomes appressed; ovules 4-8 per ovary; style 2-4 mm. <b>Seeds</b> flattened, (mucilaginous). <b>2<i>n</i></b> = 10, 20.",general,381AFB79-F550-4F78-A3AD-379359AB1626,English,2010-03-14
wfo-0001266306,"<b>Perennials;</b> caudex branched, (thickened); densely pubescent, trichomes (sessile), several-rayed, rays furcate or bifurcate, usually fused toward base, (strongly tuberculate). <b>Stems</b> several from base, erect or outer decumbent, (unbranched), to 2 dm. <b>Basal leaves:</b> blade elliptic to lanceolate or obovate, 3-8 cm, margins entire. <b>Cauline leaves:</b> (proximal shortly petiolate or sessile, distal sessile); blade elliptic or obovate, to 2 cm, margins entire. <b>Racemes</b> dense. <b>Fruiting pedicels</b> (divaricate-ascending to horizontal, straight to loosely curved), to 15 mm. <b>Flowers:</b> sepals narrowly elliptic or oblong, 4.5-5.3 mm, (tapering to the somewhat thickened, cucullate apex, lateral pair subsaccate); petals (bright yellow), lingulate or broadly obovate, 7.5-8.5 mm, (narrowing to broad claw, joining in an arch, margins lacerate). <b>Fruits</b> (sessile or substipitate), suborbicular to broadly ovate or ellipsoid, slightly compressed, 6-8 mm; valves pubescent; ovules 12-22 per ovary; style 2-3 mm. <b>Seeds</b> flattened. <b>2<i>n</i></b> = 10.",general,7F863878-55D0-417E-9DB3-320AAA9854BE,English,2010-03-14
wfo-0001266256,"<b>Plants</b> usually prostrate and straggling; trichomes (lower layer) smoother, (upper layer) moderately tuberculate, much less so over flat or mounded center. <b>Basal leaves:</b> blade margins sinuate or lobed, or, sometimes, lyrate. <b>Racemes</b> not secund, elongated and loose in fruit. <b>Fruiting pedicels</b> usually sigmoid. <b>Petals</b> yellow. <b>Fruits</b> slightly wider than long, apex truncate or retuse; valves pubescent inside; septum fenestrate; ovules 4-6 per ovary; style to 9 mm. <b>2<i>n</i></b> = 10.",general,E6C92F63-EC68-4B42-BE95-83848742E798,English,2010-03-14
