WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,Volume,Part,bibliographicCitation,license,rights,URI
wfo-0000537947,Cultivated. Flowering: May–July; fruiting: June–November,ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000537947,16,1,"Annona squamosa . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 37. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08267
wfo-0000549739,"Dry evergreen forests, 150–200 m alt. Flowering: January–April; fruiting: April–June.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549739,16,1,"Artabotrys brevipes . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 40. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08269
wfo-0001345515,"Lowland and hill rain forests, up to 500 m alt. Flowering: March–April, September; fruiting: June–October.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0001345515,16,1,"Artabotrys byrsophyllus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 41. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08270
wfo-0000549754,"Lowland and hill rain forests, up to 200 m alt. Flowering: May–July, September–October; fruiting: July–August, October–November.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549754,16,1,"Artabotrys crassifolius . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 43. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08271
wfo-0000549773,"Dry or mixed deciduous forests, 20–350 m alt. Flowering: January–April; fruiting: February–August.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549773,16,1,"Artabotrys harmandii . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 43. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08272
wfo-0000549776,Cultivated as an ornamental plant. Flowering and fruiting all year.,ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549776,16,1,"Artabotrys hexapetalus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 44. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08273
wfo-1000021111,"Lowland rain forests, ca 80 m alt. Flowering and fruiting: August, September.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-1000021111,16,1,"Artabotrys insurae . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 45. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08274
wfo-1000021112,"Lowland rain forests, 100–730 m alt. Flowering: February, August; fruiting: May.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-1000021112,16,1,"Artabotrys longipetalus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 45. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08275
wfo-0000549816,"Lower montane evergreen forests, 500–1,200 m alt. Flowering: January–April; fruiting: April–June.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549816,16,1,"Artabotrys multiflorus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 46. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08276
wfo-0000549820,"Plant communities along agricultural lands and dry evergreen forests, 100–200 m alt. Flowering: June–August; fruiting: August–September.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549820,16,1,"Artabotrys oblanceolatus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 47. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08277
