"referenceID","bibliographicCitation"
"ref--3259776470690869041","Welle, B.J.H. ter. 1980 Cystoliths in the secondary xylem of Sparattanthelium (Hernandiaceae) IAWA Bull. n.s. 1 43-48"
"ref-5877862468590250921","Bremekamp Flora of Suriname 4 2 236 1938"
"ref--5445688379505307187","Daniel, T.F. 1991 A revision of Aphelandra (Acanthaceae) in Mexico Proc. Calif. Acad. Sci. 47 235-274"
"ref-7488771398097775923","Wasshausen, D.C. 1975 The Genus Aphelandra (Acanthaceae) Smithsonian Contr. Bot. 18 1-157"
"ref-6278083827506602490","Bremekamp Flora of Suriname 4 2 192 1938"
"ref--3702783394617497251","J.C. Lindeman Flora of Suriname Extended index to volume IV, part 2 363 1998"
"ref--4787375446843367575","Graham, V.A.W. 1988 Delimitation and infra-generic classification of Justicia (Acanthaceae) Kew Bull. 43 551-624"
"ref--6706625419748817970","Bremekamp Bull. Torrey Bot. Club 75 669 1948"
"ref--6906117532077140085","Gracie Bull. Torrey Bot. Club 118 188-190 1991"
"ref-8204097561253624831","Baum, V.M., J.L. Reveal & J.W. Nowicke. 1983 Pulchranthus (Acanthaceae) a new genus from Northern South America Syst. Bot. 8 211-220"
"ref--6134966702031743839","Lemée Flore de la Guyane Française 3 484-485 1954"
"ref-6712003112669810649","Bremekamp, C.E.B. 1938 Notes on the Acanthaceae of Surinam Recueil Trav. Bot. Néerl. 35 143-147"
"ref--7244748127724547486","Brummitt, R.K. 1989 Against separating Mendonciaceae from Acanthaceae Acanthus 5 1-3"
"ref--180790429059652368","Cronquist, A.J. 1981 An integrated system of classification of flowering plants 1262 pp"
"ref--5489973305007114255","Daniel, T.F. 1992 Acanthaceae: Mendoncioideae of Mexico Acta Bot. Mex. 17 53-60"
"ref--3338493100622623565","Profice, S.R. 1989 (‘1988’) Mendoncia Vell. ex. Vand. (Acanthaceae) especies correntes no Brasil. Arch. Jard. Bot. Rio de Janeiro 29 201-279"
"ref-2544759539919881355","Turrill, W.B. 1919 A revision of the genus Mendoncia Bull. Misc. Inform. Kew 1919 407-425"
"ref--8108998112143025084","Wasshausen, D.C. 1989 New species of Mendoncia (Acanthaceae) from the Venezuelan Guayana Ann. Missouri Bot. Gard. 76 1118-1124"
"ref--7518450717735900835","Carlquist, S. & S. Zona. 1988 Wood anatomy of Acanthaceae: A survey Aliso 12 201-227"
"ref-5182907341511752025","Dechamps, R. 1979 Etude anatomique de bois d'Amérique du sud. I. Acanthaceae à Lecythidaceae. Ann. Mus. Roy. Afr. Centr., Tervuren sér/ IN-8 Sc. Econ. No. 10 9-12"
"ref--7344142272031097872","Détienne, P., P. Jacquet & A. Mariaux. 1982 Manuel d'identification des bois tropicaux 3. Guyane française C.T.F.T. Nogent-sur-Marne p.23"
"ref-8824792577363902614","Détienne, P. & P. Jacquet. 1983 Atlas des bois de l'Amazonie et des régions voisines C.T.F.T. Nogent-sur-Marne p.17"
"ref--508033939654949513","Hess, R.W. 1946 Identification of New World timbers. Part I. Trop. Woods 86 14-25"
"ref-6096245896220880335","Hess, R.W. 1950 New genera of American woods Trop. Woods 96 47-50"
"ref--4904930362735720213","Metcalfe, C.R. & L. Chalk. 1950 Anatomy of the Dicotyledons II 1014-1024"
"ref--9022265894229689244","Niesemann, H.W. 1927 Das anormale Dickenwachstum von Mendoncia velloziana Mart. und Afromendoncia lindaviana Gilg. Thesis Berlin 53 p"
"ref--2921766210725637745","Obaton, M. 1960 Les lianes ligneuses à structure anormale des forêts denses d'Afrique occidentale Anns. Sci. nat. Bot. sér. 12, 1 1-220"
"ref-1947289013164319367","Outer, R.W. den & W.L.N. van Veenendaal. 1983 Wood anatomy of Uncarina leandrii H. Humb. (Pedaliaceae) and its relation to Bignoniaceae. IAWA Bull. n.s. 4 53-59"
"ref-2657905364989244515","Schenck, H. 1893 Biologie und Anatomie der Lianen. Teil II: Beiträge zur Anatomie der Lianen Schimpers bot. Mitth. aus den Tropen Hft. 5. Jena Verlag G. Fischer 291 p"
"ref--1093522049501242421","Solereder, H. 1899 Systematische Anatomie der Dicotyledonen Stuttgart"
"ref--1881807493694166991","Solereder, H. 1908 Systematische Anatomie der Dicotyledonen Ergänzungsband p. 251-253 Stuttgart"
"ref-4568927743763671655","Tchouproff, O. 1895 Anatomie syst. des Acanthaceae Bull. Herb. Boiss. 3 550-560"
"ref--7367743758807908087","Tchouproff, O. 1897 Etude sur les causes qui déterminent le fractionnement du bois axial chez Mendoncia schomburgkiana Nees et sur l'origine et le développement des tissues cicatrisants Bull. Herb. Boiss. 5 326-365"
"ref--3259776470690869041","Welle, B.J.H. ter. 1980 Cystoliths in the secondary xylem of Sparattanthelium (Hernandiaceae) IAWA Bull. n.s. 1 43-48"
