"taxonID","locality","localityType","distributionText"
"taxon-2-Ruellia_geminiflora","Venezuela","country","Distribution: Eastern Colombia , Venezuela and the Guianas ; 80 collections studied of which 46 from the Guianas (GU: 21; SU: 14; FG: 10)."
"taxon-2-Ruellia_geminiflora","Guianas","region","Distribution: Eastern Colombia , Venezuela and the Guianas ; 80 collections studied of which 46 from the Guianas (GU: 21; SU: 14; FG: 10)."
"taxon-2-Ruellia_geminiflora","Eastern Colombia","region","Distribution: Eastern Colombia , Venezuela and the Guianas ; 80 collections studied of which 46 from the Guianas (GU: 21; SU: 14; FG: 10)."
"taxon-2-Ruellia_geminiflora","Venezuela","country","Distribution: Eastern Colombia , Venezuela and the Guianas ; 80 collections studied of which 46 from the Guianas (GU: 21; SU: 14; FG: 10)."
"taxon-2-Ruellia_geminiflora","Guianas","region","Distribution: Eastern Colombia , Venezuela and the Guianas ; 80 collections studied of which 46 from the Guianas (GU: 21; SU: 14; FG: 10)."
"taxon-3-Ruellia_inflata","French Guiana","country","Distribution: French Guiana , Amazonian Brazil ( Acre to Maranhão ), Peru and Bolivia ; occasional; 87 collections studied (FG: 14)."
"taxon-3-Ruellia_inflata","Amazonian Brazil","region","Distribution: French Guiana , Amazonian Brazil ( Acre to Maranhão ), Peru and Bolivia ; occasional; 87 collections studied (FG: 14)."
"taxon-3-Ruellia_inflata","Acre","state","Distribution: French Guiana , Amazonian Brazil ( Acre to Maranhão ), Peru and Bolivia ; occasional; 87 collections studied (FG: 14)."
"taxon-3-Ruellia_inflata","Maranhão","state","Distribution: French Guiana , Amazonian Brazil ( Acre to Maranhão ), Peru and Bolivia ; occasional; 87 collections studied (FG: 14)."
"taxon-3-Ruellia_inflata","Peru","country","Distribution: French Guiana , Amazonian Brazil ( Acre to Maranhão ), Peru and Bolivia ; occasional; 87 collections studied (FG: 14)."
"taxon-3-Ruellia_inflata","Bolivia","country","Distribution: French Guiana , Amazonian Brazil ( Acre to Maranhão ), Peru and Bolivia ; occasional; 87 collections studied (FG: 14)."
"taxon-4-Ruellia_longifolia","Guianas","region","Distribution: The Guianas and Brazil ( Pará ); occasional; 19 collections studied of which 17 from the Guianas (GU: 3; SU: 4; FG: 10)."
"taxon-4-Ruellia_longifolia","Brazil","country","Distribution: The Guianas and Brazil ( Pará ); occasional; 19 collections studied of which 17 from the Guianas (GU: 3; SU: 4; FG: 10)."
"taxon-4-Ruellia_longifolia","Pará","state","Distribution: The Guianas and Brazil ( Pará ); occasional; 19 collections studied of which 17 from the Guianas (GU: 3; SU: 4; FG: 10)."
"taxon-5-Ruellia_microcalyx","Guyana","country","Distribution: Guyana and Suriname ; 3 collections studied (GU: 2; SU: 1)."
"taxon-5-Ruellia_microcalyx","Suriname","country","Distribution: Guyana and Suriname ; 3 collections studied (GU: 2; SU: 1)."
"taxon-6-Ruellia_prostrata","Indo-Pakistan subcontinent","continental region","Distribution: Endemic to Indo-Pakistan subcontinent ; common in India , especially after rains; introduced in the Guianas ; 9 collections studied (GU: 3; FG: 6)."
"taxon-6-Ruellia_prostrata","India","country","Distribution: Endemic to Indo-Pakistan subcontinent ; common in India , especially after rains; introduced in the Guianas ; 9 collections studied (GU: 3; FG: 6)."
"taxon-6-Ruellia_prostrata","Guianas","region","Distribution: Endemic to Indo-Pakistan subcontinent ; common in India , especially after rains; introduced in the Guianas ; 9 collections studied (GU: 3; FG: 6)."
"taxon-7-Ruellia_rubra","Guianas","region","Distribution: The Guianas and Brazil ( Amapá , Pará ); 105 collections studied of which 100 from the Guianas (GU: 2; SU: 35; FG: 63)."
"taxon-7-Ruellia_rubra","Brazil","country","Distribution: The Guianas and Brazil ( Amapá , Pará ); 105 collections studied of which 100 from the Guianas (GU: 2; SU: 35; FG: 63)."
"taxon-7-Ruellia_rubra","Amapá","state","Distribution: The Guianas and Brazil ( Amapá , Pará ); 105 collections studied of which 100 from the Guianas (GU: 2; SU: 35; FG: 63)."
"taxon-7-Ruellia_rubra","Pará","state","Distribution: The Guianas and Brazil ( Amapá , Pará ); 105 collections studied of which 100 from the Guianas (GU: 2; SU: 35; FG: 63)."
"taxon-8-Ruellia_saülensis","granitic outcrops in French Guiana","region","Distribution: Known only from granitic outcrops in French Guiana at ca. 400 m elev.; 3 collections studied all from the vicinity of Saül, Tracé Carbet Mais, de Granville 3015 (US) and Mt. Galbao, de Granville 2412 (US)."
"taxon-9-Ruellia_schnellii","French Guiana","country","Distribution: French Guiana ; 4 collections studied (FG: 4)."
"taxon-10-Ruellia_tuberosa","West Indies","region","Distribution: West Indies and northern S America ; 130 collections studied of which 29 from the Guianas (GU: 11; SU: 13; FG: 5)."
"taxon-10-Ruellia_tuberosa","northern S America","continental region","Distribution: West Indies and northern S America ; 130 collections studied of which 29 from the Guianas (GU: 11; SU: 13; FG: 5)."
"taxon-10-Ruellia_tuberosa","Guianas","region","Distribution: West Indies and northern S America ; 130 collections studied of which 29 from the Guianas (GU: 11; SU: 13; FG: 5)."
"taxon-11-Ruellia_violacea","French Guiana","country","Distribution: French Guiana ; rare (FG: 2)."
"taxon-22-STAUROGYNE","tropical areas of America","continental region","Distribution: About 80 species in tropical areas of America , Africa and Asia , most abundant in Sumatra , Borneo and the Malay Peninsula ; about 26 species in the Neotropics ; 6 species occur in the Guianas ."
"taxon-22-STAUROGYNE","Africa","continent","Distribution: About 80 species in tropical areas of America , Africa and Asia , most abundant in Sumatra , Borneo and the Malay Peninsula ; about 26 species in the Neotropics ; 6 species occur in the Guianas ."
"taxon-22-STAUROGYNE","Asia","continent","Distribution: About 80 species in tropical areas of America , Africa and Asia , most abundant in Sumatra , Borneo and the Malay Peninsula ; about 26 species in the Neotropics ; 6 species occur in the Guianas ."
"taxon-22-STAUROGYNE","Sumatra","region","Distribution: About 80 species in tropical areas of America , Africa and Asia , most abundant in Sumatra , Borneo and the Malay Peninsula ; about 26 species in the Neotropics ; 6 species occur in the Guianas ."
"taxon-22-STAUROGYNE","Borneo","region","Distribution: About 80 species in tropical areas of America , Africa and Asia , most abundant in Sumatra , Borneo and the Malay Peninsula ; about 26 species in the Neotropics ; 6 species occur in the Guianas ."
"taxon-22-STAUROGYNE","Malay Peninsula","region","Distribution: About 80 species in tropical areas of America , Africa and Asia , most abundant in Sumatra , Borneo and the Malay Peninsula ; about 26 species in the Neotropics ; 6 species occur in the Guianas ."
"taxon-22-STAUROGYNE","Neotropics","world","Distribution: About 80 species in tropical areas of America , Africa and Asia , most abundant in Sumatra , Borneo and the Malay Peninsula ; about 26 species in the Neotropics ; 6 species occur in the Guianas ."
"taxon-22-STAUROGYNE","Guianas","region","Distribution: About 80 species in tropical areas of America , Africa and Asia , most abundant in Sumatra , Borneo and the Malay Peninsula ; about 26 species in the Neotropics ; 6 species occur in the Guianas ."
"taxon-1-Staurogyne_fockeana","Llanos of Venezuela","region","Distribution: Llanos of Venezuela , Suriname , and French Guiana ; 5 collections studied (SU: 3; FG: 1)."
"taxon-1-Staurogyne_fockeana","Suriname","country","Distribution: Llanos of Venezuela , Suriname , and French Guiana ; 5 collections studied (SU: 3; FG: 1)."
"taxon-1-Staurogyne_fockeana","French Guiana","country","Distribution: Llanos of Venezuela , Suriname , and French Guiana ; 5 collections studied (SU: 3; FG: 1)."
"taxon-2-Staurogyne_miqueliana","Suriname, Bergendal","locality","Distribution: Along edge of stream, known only from the type collection. Suriname, Bergendal"
"taxon-3-Staurogyne_stahelii","Guyana","country","Distribution: Guyana and Suriname ; 2 collections studied (GU: 1; SU: 1)."
"taxon-3-Staurogyne_stahelii","Suriname","country","Distribution: Guyana and Suriname ; 2 collections studied (GU: 1; SU: 1)."
"taxon-4-Staurogyne_stolonifera","Guianas","region","Distribution: The Guianas and Amazonian Brazil ; 17 collections studied of which 7 from the Guianas (GU: 1; SU: 6)."
"taxon-4-Staurogyne_stolonifera","Amazonian Brazil","region","Distribution: The Guianas and Amazonian Brazil ; 17 collections studied of which 7 from the Guianas (GU: 1; SU: 6)."
"taxon-5-Staurogyne_trinitensis","Venezuela","country","Distribution: Venezuela , Trinidad , the Guianas , and Brazil ( Amapá ); 11 collections studied of which 5 from the Guianas (GU: 1; SU: 2; FG: 2)."
"taxon-5-Staurogyne_trinitensis","Trinidad","region","Distribution: Venezuela , Trinidad , the Guianas , and Brazil ( Amapá ); 11 collections studied of which 5 from the Guianas (GU: 1; SU: 2; FG: 2)."
"taxon-5-Staurogyne_trinitensis","Guianas","region","Distribution: Venezuela , Trinidad , the Guianas , and Brazil ( Amapá ); 11 collections studied of which 5 from the Guianas (GU: 1; SU: 2; FG: 2)."
"taxon-5-Staurogyne_trinitensis","Brazil","country","Distribution: Venezuela , Trinidad , the Guianas , and Brazil ( Amapá ); 11 collections studied of which 5 from the Guianas (GU: 1; SU: 2; FG: 2)."
"taxon-5-Staurogyne_trinitensis","Amapá","state","Distribution: Venezuela , Trinidad , the Guianas , and Brazil ( Amapá ); 11 collections studied of which 5 from the Guianas (GU: 1; SU: 2; FG: 2)."
"taxon-6-Staurogyne_wullschlaegeliana","Suriname","country","Distribution: Suriname ; 2 collections studied: the type specimen and Paramaribo, Wullschlaegel 425 (W)."
"taxon-23-THUNBERGIA","Asia","continent","Distribution: A paleotropical genus of approximately 90 species found in Asia and Africa . Five species are commonly cultivated in the tropical and subtropical regions of America , some of them existing as escapes; 4 species in the Guianas ."
"taxon-23-THUNBERGIA","Africa","continent","Distribution: A paleotropical genus of approximately 90 species found in Asia and Africa . Five species are commonly cultivated in the tropical and subtropical regions of America , some of them existing as escapes; 4 species in the Guianas ."
"taxon-23-THUNBERGIA","tropical and subtropical regions of America","continental region","Distribution: A paleotropical genus of approximately 90 species found in Asia and Africa . Five species are commonly cultivated in the tropical and subtropical regions of America , some of them existing as escapes; 4 species in the Guianas ."
"taxon-23-THUNBERGIA","Guianas","region","Distribution: A paleotropical genus of approximately 90 species found in Asia and Africa . Five species are commonly cultivated in the tropical and subtropical regions of America , some of them existing as escapes; 4 species in the Guianas ."
"taxon-1-Thunbergia_alata","eastern and southern Africa","continental region","Distribution: A native of eastern and southern Africa , cultivated as ornamental and naturalized as ruderal throughout tropical America ; 126 collections studied of which 13 from the Guianas (GU: 7; SU: 6)."
"taxon-1-Thunbergia_alata","tropical America","continental region","Distribution: A native of eastern and southern Africa , cultivated as ornamental and naturalized as ruderal throughout tropical America ; 126 collections studied of which 13 from the Guianas (GU: 7; SU: 6)."
"taxon-1-Thunbergia_alata","Guianas","region","Distribution: A native of eastern and southern Africa , cultivated as ornamental and naturalized as ruderal throughout tropical America ; 126 collections studied of which 13 from the Guianas (GU: 7; SU: 6)."
"taxon-1a-alata","eastern and southern Africa","continental region","Distribution: A native of eastern and southern Africa , cultivated as ornamental and naturalized as ruderal throughout tropical America ; 126 collections studied of which 13 from the Guianas (GU: 7; SU: 6)."
"taxon-1a-alata","tropical America","continental region","Distribution: A native of eastern and southern Africa , cultivated as ornamental and naturalized as ruderal throughout tropical America ; 126 collections studied of which 13 from the Guianas (GU: 7; SU: 6)."
