wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1000020570,Threat status,vu,Pranada M.A.K. et al.,,4702,CC0 1.0 Universal (CC0 1.0),"Pranada M.A.K. et al. 2019, Begonia depressinerva (sect. Baryandra, Begoniaceae), a new species from Luzon Island, the Philippines, Phytotaxa. Vol.425(3) , pp.154-162 (https://doi.org/10.11646/phytotaxa.425.3.5)",https://doi.org/10.11646/phytotaxa.425.3.5
wfo-1000020583,Threat status,cr,Thomas D.C. & Ardi W.H.,,4725,CC0 1.0 Universal (CC0 1.0),"Thomas D.C. & Ardi W.H. 2019, Begonia mabberleyana (Begoniaceae), a new species from Central Sulawesi, Indonesia, Gard. Bull. Sing. Vol.71(2) , pp.217-223 (http://dx.doi.org/10.26492/gbs71(suppl.2).2019-16)",http://dx.doi.org/10.26492/gbs71(suppl.2).2019-16
wfo-1000020584,Threat status,lc,"Wilson H.P., Paul O. & Hughes M.",,4737,CC0 1.0 Universal (CC0 1.0),"Wilson H.P., Paul O. & Hughes M. 2020, BEGONIA MAGUNIANA (BEGONIACEAE, BEGONIA SECT. OLIGANDRAE), A NEW SPECIES FROM NEW GUINEA, Edinburgh J. Bot. Vol.77(1) , pp.119-125 (https://doi.org/10.1017/S0960428619000283)",https://doi.org/10.1017/S0960428619000283
wfo-1200023833,Threat status,lc,Moonlight P.W. et al.,,4768,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039708,Threat status,lc,Moonlight P.W. et al.,,4771,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824262,Threat status,dd,Moonlight P.W. et al.,,4786,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039586,Threat status,vu,Moonlight P.W. et al.,,4802,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824287,Threat status,lc,Moonlight P.W. et al.,,4810,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825829,Threat status,lc,Moonlight P.W. et al.,,4816,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823782,Threat status,cr,Moonlight P.W. et al.,,4834,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
