wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-0000824092,Threats,"Least Concern. Widespread and it is also found in Tawau Hills Park, which is a totally protected area.","Repin R., Sampang K. & Limbawang S.",,2491,CC0 1.0 Universal (CC0 1.0),"Repin R., Sampang K. & Limbawang S. 2015, Begonia (Begoniaceae) from Tawau Hills Park, Sabah, Malaysia, including Ten New Species, Sandakania. Vol.20 , pp.165-204 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
wfo-0000824150,Threats,"Least Concern. It is found in Tawau Hills Park, which is a totally protected area.","Repin R., Sampang K. & Limbawang S.",,2502,CC0 1.0 Universal (CC0 1.0),"Repin R., Sampang K. & Limbawang S. 2015, Begonia (Begoniaceae) from Tawau Hills Park, Sabah, Malaysia, including Ten New Species, Sandakania. Vol.20 , pp.165-204 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
wfo-0000825194,Threats,"Least Concern. Widespread and it is also found in Tawau Hills Park, which is a totally protected area.","Repin R., Sampang K. & Limbawang S.",,2541,CC0 1.0 Universal (CC0 1.0),"Repin R., Sampang K. & Limbawang S. 2015, Begonia (Begoniaceae) from Tawau Hills Park, Sabah, Malaysia, including Ten New Species, Sandakania. Vol.20 , pp.165-204 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
wfo-0000824324,Threats,Least Concern as the species occurs in the totally protected area.,"Sang J., Kiew R., Yiing L.C. & Geri C.",,2348,CC0 1.0 Universal (CC0 1.0),"Sang J., Kiew R., Yiing L.C. & Geri C. 2015, Begonia (Begoniaceae) from Kubah National Park and Environs, Sarawak, Borneo, including a New Species, Sandakania. Vol.20 , pp.87-108 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
wfo-0000824506,Threats,"Least Concern as the species is widespread in Kuching, including in the totally protected area such as Kubah National Park.","Sang J., Kiew R., Yiing L.C. & Geri C.",,2358,CC0 1.0 Universal (CC0 1.0),"Sang J., Kiew R., Yiing L.C. & Geri C. 2015, Begonia (Begoniaceae) from Kubah National Park and Environs, Sarawak, Borneo, including a New Species, Sandakania. Vol.20 , pp.87-108 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
wfo-1000039684,Threats,"Least Concern. Although it is known from one locality, it falls within the Least Concern category because it grows within a totally protected area.","Sang J., Kiew R., Yiing L.C. & Geri C.",,2359,CC0 1.0 Universal (CC0 1.0),"Sang J., Kiew R., Yiing L.C. & Geri C. 2015, Begonia (Begoniaceae) from Kubah National Park and Environs, Sarawak, Borneo, including a New Species, Sandakania. Vol.20 , pp.87-108 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
wfo-0000822291,Threats,"Least Concern. Widespread, including within a totally protected area (Kubah NP).","Sang J., Kiew R., Yiing L.C. & Geri C.",,2365,CC0 1.0 Universal (CC0 1.0),"Sang J., Kiew R., Yiing L.C. & Geri C. 2015, Begonia (Begoniaceae) from Kubah National Park and Environs, Sarawak, Borneo, including a New Species, Sandakania. Vol.20 , pp.87-108 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
wfo-0000825221,Threats,"Least Concern. The species is widespread in the Kuching Division, including in totally protected area.","Sang J., Kiew R., Yiing L.C. & Geri C.",,2370,CC0 1.0 Universal (CC0 1.0),"Sang J., Kiew R., Yiing L.C. & Geri C. 2015, Begonia (Begoniaceae) from Kubah National Park and Environs, Sarawak, Borneo, including a New Species, Sandakania. Vol.20 , pp.87-108 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
wfo-0000825234,Threats,"Data Deficient. Because this species was not re-located, the exact site where it was collected is unknown, so it is not certain whether it falls within the national park boundary. In addition, the size of its population and the stability of its habitat are also unknown.","Sang J., Kiew R., Yiing L.C. & Geri C.",,2375,CC0 1.0 Universal (CC0 1.0),"Sang J., Kiew R., Yiing L.C. & Geri C. 2015, Begonia (Begoniaceae) from Kubah National Park and Environs, Sarawak, Borneo, including a New Species, Sandakania. Vol.20 , pp.87-108 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
wfo-0000825954,Threats,Least Concern as the species is well protected within the Kubah National Park.,"Sang J., Kiew R., Yiing L.C. & Geri C.",,2380,CC0 1.0 Universal (CC0 1.0),"Sang J., Kiew R., Yiing L.C. & Geri C. 2015, Begonia (Begoniaceae) from Kubah National Park and Environs, Sarawak, Borneo, including a New Species, Sandakania. Vol.20 , pp.87-108 (https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf)",https://forest.sabah.gov.my/images/pdf/publication/sandakania/Sandakania.20.pdf
