wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1000039583,Distribution,Endemic to Peru and known from Huánuco and Pasco Regions.,Moonlight P.W. et al.,,5120,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039583,Distribution,"Begonia chemillenensis is known primarily from the Pasco region of Peru, with a single collection from the neighbouring Huánuco region.","Moonlight P.W., Hughes M., Tebbitt M.C.",,79,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-0000824774,Distribution,"Known from Colombia, Ecuador, Peru, and Acre State in Brazil. Within Peru, known from Loreto, Amazonas, San Martín, Ucayali, Huánuco, Pasco, Junín, Madre de Dios, and Cusco Regions.",Moonlight P.W. et al.,,5125,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824774,Distribution,"Begonia maynensis has been collected in the Ecuadorian provinces of Pastaza, Tungurahua, Napo, Orellana, Morona-Santiago, Sucumbios and Zamora-Chinchipe; the Peruvian regions of Amazonas, Huánuco, Ucayali, Pasco, Junín, Cuzco, Loreto, San Martín and Madre de Dios; and the Brazilian state of Acre.","Moonlight P.W., Hughes M., Tebbitt M.C.",,86,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000039736,Distribution,Endemic to Peru and known only from the type collection collected in Madre de Dios Region (Fig. 71A). Found at an altitude of 480–840 m a.s.l.,Moonlight P.W. et al.,,5131,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039736,Distribution,"Begonia scorpiocaulis is known only from the type locality near Shintuya, Madre de Dios, Peru.","Moonlight P.W., Hughes M., Tebbitt M.C.",,87,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000003272,Distribution,"Begonia amoeboides has been collected in the Department of Amazonas, San Martín, and Pasco on the western slope of the Andes of northern Peru. It is typically found on moist banks in montane forest.",Moonlight P.W. & Reynel C.,,92,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Reynel C. 2018, Two new species of Begonia from Andean Peru, Phytotaxa. Vol.381(1) , pp.116-126.",
wfo-1000003272,Distribution,"Endemic to Peru and known from Amazonas, San Martín, and Pasco Regions (Fig. 24A).",Moonlight P.W. et al.,,4823,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000003299,Distribution,"Peru. Known only from five collections &lt;7 km apart on the borders of the Department of Amazonas and San Martín. The species was also observed on Trocha Kovachi [ca. 5˚40’50”S, 77˚45”15’W] in Rioja Prov. Department of San Martin in February 2016 but not collected due to permit restrictions. The species is found at low densities as a terrestrial understory herb in montane forest.",Moonlight P.W. & Reynel C.,,94,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Reynel C. 2018, Two new species of Begonia from Andean Peru, Phytotaxa. Vol.381(1) , pp.116-126.",
wfo-1000003299,Distribution,Endemic to Peru and known from Amazonas and San Martín Regions (Fig. 24D).,Moonlight P.W. et al.,,4845,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824637,Distribution,Peru and Bolivia.,Moonlight P.W. & Fuentes A.F.,,192,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-0000824637,Distribution,Peru. Known from montane forests on the humid eastern slope of the Andes from the Department of Amazonas to Cuzco at an altitude of 700–2700 m. Begonia lophoptera is locally common around montane forest streams and on cliff faces and found at lower densities in the understory of montane forest.,Moonlight P.W. & Reynel C.,,97,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Reynel C. 2018, Two new species of Begonia from Andean Peru, Phytotaxa. Vol.381(1) , pp.116-126.",
wfo-0000824637,Distribution,"Known from Peru and Bolivia. Within Peru, found in Amazonas, Pasco, Junín, Ayacucho, Madre de Dios, and Cusco Regions (Fig. 24D).",Moonlight P.W. et al.,,4850,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825858,Distribution,"Peru, Bolivia, and Argentina.",Moonlight P.W. & Fuentes A.F.,,175,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-0000825858,Distribution,"Eastern Andean foothills of Peru (Apurimac, Ayacucho, Cusco, Huancavelica and Puno), Bolivia (Chuquisaca, Cochabamba, La Paz, Potosí and Santa Cruz) and northern Argentina (Salta) (see Fig. 2). Begonia veitchii grows at elevations from 1445 to 4065 m (and possibly up to 4200 m [Tupayachi& Galiano 866]). The species’ upper altitude limit is remarkably high for Begonia, being the upper limit for the entire genus. The only other Begonia to reach an altitude of 4000 m is B. tafiensis, an Argentinian member of section Australes. Begonia veitchii grows in a wide range of situations, including open sunny and often seasonally dry locations, as well as perpetually moist and shady locations. Begonia veitchii is most commonly found in low, open vegetation on sloping rocky ground or cliffs, but also occurs on artificial stonework, the rocky margins of streams, pre-puna and pastureland, and although usually growing in full sun, the species can sometimes occur in all these niches under the cover of forest or scrub.","Tebbitt M.C., Reynel C., Huaylla Limachi L., Martin C.M.",,99,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Reynel C., Huaylla Limachi L., Martin C.M. 2019, A taxonomic revision of Begonia veitchii, Edinburgh J. Bot. Vol.77(1) , pp.127-144.",
wfo-1200023946,Distribution,"Peru, Bolivia, and Argentina",Moonlight P.W. & Fuentes A.F.,,176,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-1200023946,Distribution,"Known from Peru and Bolivia. Within Peru, collected in Ayacucho, Apurímac, Cuzco, Huancavelica, and Puno Regions (Fig. 17B).",Moonlight P.W. et al.,,4792,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200023946,Distribution,"0.3–1.5 cm deep. Male flowers: tepals usually spreading and perianth saucer- to bowlshaped, rarely projecting forwards so that perianth bell-shaped, white, pink, orange or scarlet, outer pair usually ovate, broadly ovate, or elliptic, occasionally obovate-elliptic, 2.2–4.8 × 2.1–3.5 cm, inner pair usually elliptic, elliptic-obovate, obovate, broadly obovate, or occasionally ovate, 2.2–5.4 × 2.1–3.2 cm. Female flowers: bracteoles usually absent, occasionally present; tepals same orientation and colour as males, outer two usually elliptic or obovate to broadly obovate, occasionally ovate, 2–3 × 1.2–2.8 cm, inner three elliptic or obovate, occasionally broadly obovate, 2.1–3.2 × 1.2–2.7 cm; ovary body ellipsoid to obovoid, 0.6–1.5 × 0.4–1.3 cm, unequally 3-winged, the smallest wing sometimes rib-like; styles bifid, branches ± erect to spreading and stigmatic papillae arranged in a once-spiralled band, or styles flattened, and broadly cuneate, truncate and undulate, with the stigmatic papillae in a band along the upper margin and the branches either absent to rudimentary or well developed and then the stigmatic papillae arranged in a spiral band along branches as well as along upper margin of flattened style. Seeds ellipsoid, 434–636 μm long, 224–405 μm wide; collar region occupying one-half to one-third of seed length; operculum nipple-shaped, 41–82 μm long; testa cells 4–7 along long axis of seeds; cuticle of collar and testa cells pitted or lacking pits, covered with undulated striae, the striae of the collar cells 3–25 μm long, a few patches present where striae are less pronounced.","Tebbitt M.C., Reynel C., Huaylla Limachi L., Martin C.M.",,101,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Reynel C., Huaylla Limachi L., Martin C.M. 2019, A taxonomic revision of Begonia veitchii, Edinburgh J. Bot. Vol.77(1) , pp.127-144.",
wfo-1200007313,Distribution,Endemic to Bolivia and Chuquisaca Department.,Moonlight P.W. & Fuentes A.F.,,179,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-1200007313,Distribution,"Known only from two semi-arid mountaintops in Bolivia. It occurs on Cerro Chataquila, near the town of Sucre (Chuquisaca) and at Parque Nacional Torotoro (Potosí) (see Fig. 2). The variety is locally common between 3300 and 3670 m and grows in full sun in open areas or in slightly more sheltered locations next to large rocks or large rosettes of Puya. Photographs of the variety and its habitat taken at Cerro Chataquilla appear in Tebbitt (2014), and photographs of the variety taken at Torotoro appear in Lara Rico& Huaylla Limachi (2008).","Tebbitt M.C., Reynel C., Huaylla Limachi L., Martin C.M.",,105,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Reynel C., Huaylla Limachi L., Martin C.M. 2019, A taxonomic revision of Begonia veitchii, Edinburgh J. Bot. Vol.77(1) , pp.127-144.",
wfo-1200007314,Distribution,Endemic to Peru and Cusco Region (Fig. 17B).,Moonlight P.W. et al.,,4798,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200007314,Distribution,"Begonia veitchii var. machupicchuensis is a narrow endemic restricted to the vicinity of the archeological site of Machu Picchu (La Convenci ´on and Urubamba Provinces of Cusco Department), Peru (see Fig. 2). It occurs both at Machu Picchu and on the surrounding mountains, where it is locally common at an altitude of 1445 to 3400 m. This variety often grows on open rocky banks and in the fissures of natural rock outcrops and ancient stonework (see front cover of The Begonian vol. 50 [July to August] 1983), but it is also found on grassy slopes and sometimes in primary or secondary forest with Alnus acuminata Kunth, Citharexylum B.Juss., Clethra L., Escallonia Mutis ex. L.f. and Podocarpus L’Hér. ex Pers.","Tebbitt M.C., Reynel C., Huaylla Limachi L., Martin C.M.",,106,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Reynel C., Huaylla Limachi L., Martin C.M. 2019, A taxonomic revision of Begonia veitchii, Edinburgh J. Bot. Vol.77(1) , pp.127-144.",
wfo-1000039577,Distribution,"Begonia botryoides has been recorded from the Colombian departments of Antioquia and Chocó and the Ecuadorian provinces of Pichincha, Santo Domingo de los Tsáchilas, Cotopaxi, Azuay and El Oro. It has also been observed in Napo Province, near Sarayacu, 00°39 S, 77°45 W, 20 i 2014 (M. C. Tebbitt, personal observation).","Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W.",,109,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W. 2017, Taxonomy of the Begonia tiliifolia group, including descriptions of two new species, Edinburgh J. Bot. Vol.74(2) , pp.199-215.",
wfo-1000039576,Distribution,Begonia boreoharlingii has been recorded along the eastern side of the Cordillera Central from the Costa Rican province of Limón and the Panamanian provinces of Bocas del Toro and Coclé.,"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W.",,113,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W. 2017, Taxonomy of the Begonia tiliifolia group, including descriptions of two new species, Edinburgh J. Bot. Vol.74(2) , pp.199-215.",
