wfo_id,description,data_type,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-0000823284,Found in Amazonian and lower montane forest at an elevation of 220–1250 m a.s.l. Begonia albomaculata is locally common on rocky slopes by streams in humid forest.,Habitat,Moonlight P.W. et al.,,5115,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823284,"Terrestrial, usually on rocky slopes by streams in tropical forest, 220–900 m altitude",Habitat,"Moonlight P.W., Hughes M., Tebbitt M.C.",,76,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000039583,Found in Amazonian and lower montane forest at an elevation of 325–1400 m a.s.l. Begonia chemillenensis is typically collected on rocky or mud banks adjacent to watercourses but has also been collected from roadside and trailside banks. The species is usually locally common.,Habitat,Moonlight P.W. et al.,,5120,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039583,"This species grows in primary forest at 320–1480 m altitude, typically on calcareous soils within and surrounding limestone outcrops. Associated species include ferns, Gesneriaceae spp., Selaginella spp. and several bryophytes. In one location (10°3 S, 75°32 W), a population of Begonia arrogans Irmsch. was observed growing on patches of acidic soils intermingled with alkaline soils supporting B. chemillenensis. A group of c.10 individuals was observed displaying intermediate characteristics between the two species (P.W. Moonlight& A. Daza 276). These putative hybrids appeared sterile. Photographs of this collection are available on the Begonia Resource Centre (Hughes et al., 2015–).",Habitat,"Moonlight P.W., Hughes M., Tebbitt M.C.",,79,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-0000824774,"Found in Amazonian Forest, lower and rarely middle montane forest at an elevation of 100–1940 m a.s.l. Begonia maynensis is typically collected from riverbanks or rocks in and around small streams but has also been found growing as an epiphyte in very humid forests..",Habitat,Moonlight P.W. et al.,,5125,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824774,"Begonia maynensis is recorded from both primary and disturbed forest. It usually grows in moist places, and can be epiphytic, lithophytic or terrestrial. The species usually occurs in tropical forests at 200–500 m altitude but occasionally may grow at higher altitudes in montane forests, up to 1050 m.",Habitat,"Moonlight P.W., Hughes M., Tebbitt M.C.",,86,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000039736,"Found at an altitude of 480–840 m a.s.l. in an area of Amazonian or lower montane forest. Begonia scorpiocaulis was collected as an epiphyte, which is surprising as its closest relatives B. albomaculata, B. chemillenensis, and B. maynensis are principally collected as terrestrial herbs.",Habitat,Moonlight P.W. et al.,,5131,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039736,"Begonia scorpiocaulis is believed to be an epiphyte but it is unclear upon what. The altitude of the collection (480–840 m) suggests the species inhabits humid, premontane forest.",Habitat,"Moonlight P.W., Hughes M., Tebbitt M.C.",,87,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W., Hughes M., Tebbitt M.C. 2017, Taxonomy of Begonia albomaculata and description of two new species endemic to Peru, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000003272,"Found in upper and middle montane forest at elevations of 1850–2930 m a.s.l., where it is typically collected on wet banks. In Amazonas Region, B. amoeboides Moonlight has been observed growing adjacent to B. lamolina Moonlight and collections in Pasco Region were made at the same locality as B. lophoptera Rolfe. These three species are closely related, but no hybrids are known from either population.",Habitat,Moonlight P.W. et al.,,4823,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000003299,"Found within middle montane forest at an elevation of 1800–2260 m a.s.l. Begonia lamolina is typically found at low densities in the understory of dense, humid montane forest but has also been collected on more exposed banks (e.g., P.W. Moonlight 1268). It has been collected in flower and fruit from January to July.",Habitat,Moonlight P.W. et al.,,4845,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824637,"Found within lower, middle, and upper montane forests and rarely Amazonian forest at an elevation of 700–2700 m a.s.l. Most records are from Pasco and Cusco Regions with the species only sparsely collected elsewhere, though this may reflect collection effort. Three recent records from a small population in Amazonas Region (P.W. Moonlight 1273, 1274, 1275) either represent a disjunct population, or suggest the range of B. lophoptera may be more continuous along the eastern slopes of the Andes than our data suggest. The species tends to be locally common around undisturbed, shaded water courses, and its nodding fruits suggest its seeds are drip dispersed.",Habitat,Moonlight P.W. et al.,,4850,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200023946,Found in high elevation grasslands at an elevation of 2650–4020 m a.s.l.,Habitat,Moonlight P.W. et al.,,4792,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200007314,Known from middle and upper montane forest at an elevation of 1980–2900 m a.s.l. The vivid red flowers of B. veitchii var. machupicchuensis and its projecting tepals suggest this variety is adapted for hummingbird pollination but no pollination records are known.,Habitat,Moonlight P.W. et al.,,4798,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039577,"Begonia botryoides typically grows in wet soil or on large moss-covered rocks in or by the sides of small streams or secondary roads within dense, premontane to montane forest, at 300–1280 m altitude.",Habitat,"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W.",,109,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W. 2017, Taxonomy of the Begonia tiliifolia group, including descriptions of two new species, Edinburgh J. Bot. Vol.74(2) , pp.199-215.",
wfo-1000039576,"Begonia boreoharlingii grows on moist earth slopes and on rocks along streamsides within rain forest, at 300–1089 m altitude.",Habitat,"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W.",,113,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W. 2017, Taxonomy of the Begonia tiliifolia group, including descriptions of two new species, Edinburgh J. Bot. Vol.74(2) , pp.199-215.",
wfo-0000825742,"Begonia tiliifolia grows on moist slopes and stream-sides within primary or disturbed wet premontane to montane forest, at 400–2300 m altitude.",Habitat,"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W.",,117,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W. 2017, Taxonomy of the Begonia tiliifolia group, including descriptions of two new species, Edinburgh J. Bot. Vol.74(2) , pp.199-215.",
wfo-0000824219,"Begonia harlingii grows on moist earth slopes and stream-sides within primary or disturbed wet premontane forest, at 400–1400 m altitude.",Habitat,"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W.",,120,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C., Hughes M., Perez A.J. & Moonlight P.W. 2017, Taxonomy of the Begonia tiliifolia group, including descriptions of two new species, Edinburgh J. Bot. Vol.74(2) , pp.199-215.",
wfo-0000825939,Found in Amazonian forest at an altitude of 400–467 m a.s.l. Begonia wollnyi drops its leaves and usually flowers in the dry season.,Habitat,Moonlight P.W. et al.,,5109,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823371,"Found in Amazonia and lower montane forest at an elevation of 550–1050 m a.s.l. Begonia arrogans has a succulent stem and drops its leaves in the dry season, which is usually from September to February. The species flowers at the start of the dry season, usually after the leaves have been dropped.",Habitat,Moonlight P.W. et al.,,5082,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824341,"Found at 500–1500 m, on shady, moist slopes in montane forest, often by rivers.",Habitat,Tebbitt M.C.,,129,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2017, Recircumscription and new synonyms of Begonia acerifolia (Begoniaceae) and amended descriptions of the poorly known B. hydrophylloides and B. velata, Edinburgh J. Bot. Vol.72(2) , pp.217-228.",
wfo-0000823238,"Found in upper and middle montane forest and northwest Peruvian relict montane forest at an elevation of 1500 to at least 3660 m a.s.l. Some collections may have been made as high as 4600 m a.s.l. in elevation, but the stated elevation on the specimen labels is unusually broad. Populations of B. acerifolia vary from fully deciduous to evergreen.",Habitat,Moonlight P.W. et al.,,5076,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823238,"Locally common and often forming large populations in open disturbed sites, such as roadsides, pastureland or along trails in disturbed montane forest. Typically growing at altitudes between 2000 and 3100 m but down to 1500 m and up to 3250 m. Usually terrestrial and growing in soil or moss but occasionally epiphytic on the trunks of trees and shrubs. Frequently growing among tall herbs or shrubs and using these for support.",Habitat,Tebbitt M.C.,,132,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2017, Recircumscription and new synonyms of Begonia acerifolia (Begoniaceae) and amended descriptions of the poorly known B. hydrophylloides and B. velata, Edinburgh J. Bot. Vol.72(2) , pp.217-228.",
wfo-0000825861,It is found in northwest Peruvian montane forests at an elevation of 2500–3300 m a.s.l. Begonia velata is a tuberous species and dies back to its tuber in the dry season (June to November).,Habitat,Moonlight P.W. et al.,,5070,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825861,"Typically growing as an epiphyte on trunks of trees and shrubs, occasionally terrestrial. Found at altitudes between 1500 and 3100 m.",Habitat,Tebbitt M.C.,,135,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2017, Recircumscription and new synonyms of Begonia acerifolia (Begoniaceae) and amended descriptions of the poorly known B. hydrophylloides and B. velata, Edinburgh J. Bot. Vol.72(2) , pp.217-228.",
wfo-0001345033,Known from middle montane Forest at an elevation of 1600–2200 m a.s.l. Begonia heliantha has been collected on moist shaded rocks in February and August but as a tuberous species likely dies back at some point in the year.,Habitat,Moonlight P.W. et al.,,4778,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001345033,Moist south-facing slopes below overhanging rocks at an elevation of 1600 to 2200 m.,Habitat,Tebbit,,141,CC0 1.0 Universal (CC0 1.0),"Tebbit 2016, Two new species of Andean Begonia (Begoniaceae), Edinburgh J. Bot. Vol.73(1) , pp.143-152.",
wfo-0001345034,"Found in semi-deciduous and Amazonian forest and at an elevation of 598–1310 m a.s.l. Begonia urubambensis has been collected on humid, shaded roadside or riverside banks. The species is rhizomatous and may die back to its rhizomes in the dry season.",Habitat,Moonlight P.W. et al.,,5238,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001345034,Growing on steep rocky cliffs in shady situations above the Río Urubamba at an elevation of 700 to 1310 m.,Habitat,Tebbit,,142,CC0 1.0 Universal (CC0 1.0),"Tebbit 2016, Two new species of Andean Begonia (Begoniaceae), Edinburgh J. Bot. Vol.73(1) , pp.143-152.",
wfo-0001345088,"Locally scattered but frequent on sparsely vegetated, damp, shady, moss-covered sandstone cliff faces at an altitude of about 2200 m. Color photographs of this species and it’s habitat appears in Tebbitt (2013c).",Habitat,Tebbitt M.C.,,1188,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, Two new yellow-flowered tuberous species of Begonia (Begoniaceae) from Bolivia, Brittonia. Vol.61 , pp.221-226 (https://link.springer.com/article/10.1007/s12228-015-9376-2)",https://link.springer.com/article/10.1007/s12228-015-9376-2
wfo-0001345086,"The species is locally common along a 10 km length of moist, shaded, rocky road bank located within tucumano-boliviano forest at 1783 to 2200 m. Associated species include Oxalis sp., Piper sp., Cuphea sp., Selaginella sp., various graminoid species, and several bryophytes.",Habitat,Tebbitt M.C.,,1182,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, Two new yellow-flowered tuberous species of Begonia (Begoniaceae) from Bolivia, Brittonia. Vol.61 , pp.221-226 (https://link.springer.com/article/10.1007/s12228-015-9376-2)",https://link.springer.com/article/10.1007/s12228-015-9376-2
wfo-0001345882,"Begonia phantasma is known to be locally scattered but often common on open, grassy slopes among degraded tucumano-boliviano vegetation or on sparsely vegetated sandstone cliff faces, at altitudes of 1700–2730 m.",Habitat,Tebbitt M.C.,,1194,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, A New Tuberous Begonia Species (Begoniaceae) from Bolivia, Novon. Vol.24(3) , pp.319-323 (http://www.bioone.org/doi/full/10.3417/2014005)",http://www.bioone.org/doi/full/10.3417/2014005
wfo-0000825921,"The species is locally common on seasonally damp, shaded cliff banks and rock faces in open scrub or moist woodland.",Habitat,Tebbitt M.C.,,1231,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2013, A new species and a new synonym of Begonia from Bolivia, Brittonia. Vol.65(2) , pp.142-147 (https://www.jstor.org/stable/24692566)",https://www.jstor.org/stable/24692566
wfo-0000823301,Found in lower and middle montane forest at an elevation of 1152–1700 m a.s.l.,Habitat,Moonlight P.W. et al.,,4878,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823514,"Found in lower, middle, and upper Montane Forests and rarely Amazonian Forest at elevations from 600 to 2900 m a.s.l. Begonia bracteosa is usually found on the edges of montane forest or on cliffs and banks, including in disturbed areas. Like other members of B. sect. Cyathocnemis, the species flowers throughout the year but most frequently from June to November.",Habitat,Moonlight P.W. et al.,,4828,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039745,This species has been collected from 1250 to 1500 m within humid valleys in lower montane rain forest dominated by the palm Dictyocaryum lamarckianum H.Wendl. Begonia galea has been collected flowering and fruiting in October..,Habitat,Moonlight P.W. & Fuentes A.F.,,385,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-0000823761,"This species is often found naturalised in strongly disturbed vegetation, including forest borders, home gardens, plantations, and other open areas.",Habitat,Ardi W.H. & Thomas D.C.,,1748,CC0 1.0 Universal (CC0 1.0),"Ardi W.H. & Thomas D.C. 2022, SYNOPSIS OF BEGONIA (BEGONIACEAE) FROM THE NORTHERN ARM OF SULAWESI AND SANGIHE ISLAND, INDONESIA, INCLUDING THREE NEW SPECIES, Phytotaxa. Vol.79(405) , pp.1-50 (https://doi.org/10.24823/EJB.2022.405)",https://doi.org/10.24823/EJB.2022.405
wfo-0000823761,"Floresta ombrófila densa montana e submontana. Habita ambientes úmidos, alterados, sombreados ou à meia sombra, em solos arenosos ou alagados. Encontrada com flores em junho e com frutos em fevereiro e junho.",Habitat,"Gregório B.d.S., Costa J.A.S. & Rapini A.",,421,CC0 1.0 Universal (CC0 1.0),"Gregório B.d.S., Costa J.A.S. & Rapini A. 2016, Flora da Bahia: Begoniaceae, Sitientibus série Ciências Biológicas. (16) , pp.16-52.",
wfo-0000823761,"Em beira de estradas e trilhas, áreas alteradas e em processo de sucessão. Coletada com flores&nbsp;de novembro a abril, com frutos até maio.",Habitat,"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C.",,813,CC0 1.0 Universal (CC0 1.0),"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C. 2012, Begoniaceae, Flora Fanerogâmica do Estado de São Paulo. Vol.7 , pp.73-113 (https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf)",https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf
wfo-0000824009,"Floresta ombrófila densa montana, cerrado de altitude, capoeira e campo rupestre. Ocorre em orlas de mata, matas ciliares e ilhas de vegetação nos rios, geralmente em solos úmidos ou alagados; é encontrada também em áreas com perturbação antrópica. Floresce e frutifica durante o ano todo. ",Habitat,"Gregório B.d.S., Costa J.A.S. & Rapini A.",,449,CC0 1.0 Universal (CC0 1.0),"Gregório B.d.S., Costa J.A.S. & Rapini A. 2016, Flora da Bahia: Begoniaceae, Sitientibus série Ciências Biológicas. (16) , pp.16-52.",
