wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0001289107,590898,152046,Weberocereus trichophorus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Weberocereus,trichophorus,,,,H.Johnson & Kimnach,Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152046a590898.en,"(2009). Weberocereus trichophorus: Hammel, B. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152046a590898.en"
wfo-0000716169,591015,152047,Hatiora herminiae,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Hatiora,herminiae,,,,(Porto &  A.Cast.) Backeb. ex Barthlott ,Endangered,B1ab(v),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152047a591015.en,"(2010). Hatiora herminiae: Taylor, N.P. &amp; Zappi, D. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152047a591015.en"
wfo-0001288747,595315,152084,Mammillaria crucigera,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Mammillaria,crucigera,,,,Mart.,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152084a595315.en,"(2009). Mammillaria crucigera: Arias, S., Valverde, T. &amp; Zavala-Hurtado, A. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152084a595315.en"
wfo-0000676152,597311,152101,Eriosyce umadeave,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,umadeave,,,,(Werderm.) Katt.,Endangered,B1ab(v),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152101a597311.en,"(2010). Eriosyce umadeave: Ortega-Baes, P. &amp; Kiesling, R. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152101a597311.en"
wfo-0001289776,597715,152105,Peniocereus lazaro-cardenasii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Peniocereus,lazaro-cardenasii,,,,"(J.L.Contr., J.Jiménez Ram., Sánchez-Mej. & C.A Toledo) D.R.Hunt ",Endangered,"B1ab(iii,v); C2a(i)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152105a597715.en,"(2009). Peniocereus lazaro-cardenasii: Terrazas, T., Cházaro, M. &amp; Arreola, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152105a597715.en"
wfo-0001256026,598553,152113,Parodia hausteiniana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,hausteiniana,,,,Rausch,Endangered,D,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152113a598553.en,"(2012). Parodia hausteiniana: Lowry, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152113a598553.en"
wfo-0001255876,598906,152117,Mammillaria coahuilensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Mammillaria,coahuilensis,,,,(Boed.) Moran,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152117a598906.en,"(2009). Mammillaria coahuilensis: Fitz Maurice, B, Sotomayor, M., Fitz Maurice, W.A., Hernández, H.M. &amp; Smith, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152117a598906.en"
wfo-0001256004,599760,152124,Parodia allosiphon,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,allosiphon,,,,(Marchesi) N.P.Taylor ,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152124a599760.en,"(2010). Parodia allosiphon: Larocca, J., Machado, M. &amp; Duarte, W. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152124a599760.en"
wfo-0000609320,600354,152129,Cleistocactus longiserpens,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Cleistocactus,longiserpens,,,,Leuenb.,Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152129a600354.en,"(2011). Cleistocactus longiserpens: Ostalaza, C., Cáceres, F. &amp; Roque, J. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152129a600354.en"
wfo-0000691737,601416,152137,Frailea fulviseta,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Frailea,fulviseta,,,,Buining & Brederoo,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152137a601416.en,"(2010). Frailea fulviseta: Larocca, J. &amp; Machado, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152137a601416.en"
wfo-0000712444,603300,152152,Gymnocalycium denudatum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Gymnocalycium,denudatum,,,,(Link & Otto) Pfeiff. ex Mittler,Endangered,A2ac,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152152a603300.en,"(2010). Gymnocalycium denudatum: Larocca, J., Machado, M., Duarte, W. &amp; Kiesling, R. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152152a603300.en"
wfo-0001289065,604533,152162,Pilosocereus quadricentralis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Pilosocereus,quadricentralis,,,,(E.Y.Dawson) Backeb.,Endangered,B1ab(iii); D,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152162a604533.en,"(2009). Pilosocereus quadricentralis: Arreola, H. &amp; Terrazas, T. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152162a604533.en"
wfo-0001287033,605372,152170,Melocactus matanzanus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Melocactus,matanzanus,,,,León,Endangered,"B1ab(iii,v); D",3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152170a605372.en,"(2011). Melocactus matanzanus: Taylor, N.P., González Torres, L.R. &amp; Barrios, D. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t152170a605372.en"
