wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000504678,9600011,31011,Stenocarpus dumbeensis,PLANTAE,TRACHEOPHYTA,PROTEALES,MAGNOLIOPSIDA,PROTEACEAE,Stenocarpus,dumbeensis,,,,Guillaumin,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t31011a9600011.en,"(1998). Stenocarpus dumbeensis: Jaffré, T. &lt;i&gt;et al.&lt;/i&gt;. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t31011a9600011.en"
wfo-0000334886,9623853,31311,Xanthostemon sebertii,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Xanthostemon,sebertii,,,,Guillaumin,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t31311a9623853.en,"(1998). Xanthostemon sebertii: Jaffré, T. &lt;i&gt;et al.&lt;/i&gt;. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t31311a9623853.en"
wfo-0000898573,9649100,31636,Cnidoscolus fragrans,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Cnidoscolus,fragrans,,,,(H.B. K.) Pohl,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t31636a9649100.en,"(1998). Cnidoscolus fragrans: Areces-Mallea, A.E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t31636a9649100.en"
wfo-0000264408,9687680,18290783,Argocoffeopsis lemblinii,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Argocoffeopsis,lemblinii,,,,(A.Chev.) Robbr.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t18290783a9687680.en,"(1998). Argocoffeopsis lemblinii: Assi, A. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t18290783a9687680.en"
wfo-0001056355,9706669,32433,Ormosia howii,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Ormosia,howii,,,,Merr. & Chun ex H.Y.Chen,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t32433a9706669.en,"(1998). Ormosia howii: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t32433a9706669.en"
wfo-0000446285,9706746,32434,Lepisanthes unilocularis,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Lepisanthes,unilocularis,,,,Leenh.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t32434a9706746.en,"(1998). Otophora unilocularis: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t32434a9706746.en"
wfo-0000491863,9741958,32923,Sterculia khasiana,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Sterculia,khasiana,,,,Debb. ex Biswas,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t32923a9741958.en,"(1998). Sterculia khasiana: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t32923a9741958.en"
wfo-0000830980,9793135,33554,Cyanea pohaku,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Cyanea,pohaku,,,,Lammers,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t33554a9793135.en,"(1998). Cyanea pohaku: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t33554a9793135.en"
wfo-0000722231,9793280,33556,Hibiscadelphus crucibracteatus,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Hibiscadelphus,crucibracteatus,,,,Hobdy,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t33556a9793280.en,"(1998). Hibiscadelphus crucibracteatus: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t33556a9793280.en"
wfo-0000729879,9801330,33660,Ilex ternatiflora,PLANTAE,TRACHEOPHYTA,AQUIFOLIALES,MAGNOLIOPSIDA,AQUIFOLIACEAE,Ilex,ternatiflora,,,,(C. Wright) R.A. Howard,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t33660a9801330.en,"(1998). Ilex ternatiflora: Areces-Mallea, A.E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t33660a9801330.en"
wfo-0000453039,9801837,33673,Melicope obovata,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,RUTACEAE,Melicope,obovata,,,,(H.St.John) T.G.Hartley & B.C.Stone,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t33673a9801837.en,"(1998). Melicope obovata: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t33673a9801837.en"
wfo-0000247893,9805664,33796,Myrcia skeldingii,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Myrcia,skeldingii,,,,Proctor,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t33796a9805664.en,"(1998). Myrcia skeldingii: Kelly, D.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t33796a9805664.en"
wfo-0000830832,9826972,34005,Cyanea arborea,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Cyanea,arborea,,,,Hillebr.,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2003.rlts.t34005a9826972.en,"(2003). Cyanea arborea: Bruegmann, M.M. &amp; Caraway, V. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2003.rlts.t34005a9826972.en"
wfo-0000830987,9833077,34035,Cyanea quercifolia,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Cyanea,quercifolia,,,,(Hillebr.) E.Wimm.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t34035a9833077.en,"(1998). Cyanea quercifolia: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t34035a9833077.en"
wfo-0000629686,9907653,35036,Cupaniopsis crassivalvis,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Cupaniopsis,crassivalvis,,,,Radlk.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t35036a9907653.en,"(1998). Cupaniopsis crassivalvis: Jaffré, T. &lt;i&gt;et al.&lt;/i&gt;. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t35036a9907653.en"
wfo-0000793416,9927286,35330,Campomanesia lundiana,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Campomanesia,lundiana,,,,(Kiaersk.) Mattos,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t35330a9927286.en,"(1998). Campomanesia lundiana: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t35330a9927286.en"
wfo-0000924193,9928522,35350,Casearia quinduensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,SALICACEAE,Casearia,quinduensis,,,,Tul.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t35350a9928522.en,"(1998). Casearia quinduensis: Calderon, E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t35350a9928522.en"
wfo-0000282212,9966929,35920,Pradosia glaziovii,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Pradosia,glaziovii,,,,(Pierre) T.D.Penn.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t35920a9966929.en,"(1998). Pradosia glaziovii: Pires O'Brien, J. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t35920a9966929.en"
wfo-0000925767,9978900,36157,Corynanthe brachythyrsus,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Corynanthe,brachythyrsus,,,,K.Schum.,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t36157a9978900.en,"(1998). Pausinystalia brachythyrsum: World Conservation Monitoring Centre. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t36157a9978900.en"
wfo-0000918218,10083495,37958,Myrcia neocambessedeana,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Myrcia,neocambessedeana,,,,E.Lucas & Sobral,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t37958a10083495.en,"(1998). Gomidesia cambessedeana: Pires O'Brien, J. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t37958a10083495.en"
wfo-0000284388,10084659,37904,Psidium dumetorum,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Psidium,dumetorum,,,,Proctor,Extinct,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t37904a10084659.en,"(1998). Psidium dumetorum: Kelly, D.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.1998.rlts.t37904a10084659.en"
