wfo_ID,Familia,Column1,Nombre,Autor,Pub.,Hábito,Formaciones vegetales,Forma de vida,Link stand alone
wfo-0000035619,Compositae,Berroa gnaphalioides Beauverd,Berroa gnaphalioides, Beauverd,"Bull. Soc. Bot. Genève ser. 2, 5: 211, 1913.",Hierba perenne,"Algarrobales, Palmares, Pastizales xerófilos, Pastizales mesófilos",Caméfita,https://florauruguaya.org/taxonomias/berroa-gnaphalioides
wfo-0000035114,Compositae,Bidens aurea (Aiton) Sherff,Bidens aurea, (Aiton) Sherff,"Bot. Gaz. 59(4): 313, 1915.",Hierba perenne,"Ambientes urbanos, Bosques higrófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/bidens-aurea
wfo-0000008535,Compositae,"Bidens laevis (L.) Britton, Sterns & Poggenb.",Bidens laevis," (L.) Britton, Sterns & Poggenb.","Prelim. Cat. 29, 1888.",Hierba perenne,"Pastizales higrófilos, Herbazales hidrófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/bidens-laevis
wfo-0000115943,Compositae,Bidens pilosa L.,Bidens pilosa, L.,"Sp. Pl. [Linnaeus] 2: 832, 1753.",Hierba anual o bienal,"Ambientes ruderales, Ambientes urbanos, Palmares, Pastizales mesófilos",Terófita,https://florauruguaya.org/taxonomias/bidens-pilosa
wfo-0000073456,Compositae,Bidens subalternans DC.,Bidens subalternans, DC.,"Prodr. [A. P. de Candolle] 5: 600, 1836.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/bidens-subalternans
wfo-0000022465,Compositae,Calea clematidea Baker,Calea clematidea, Baker,"Fl. Bras. [Martius] 6(3): 262, 1884.",Sufrútice,"Matorrales xerófilos, Pastizales xerófilos",,https://florauruguaya.org/taxonomias/calea-clematidea
wfo-0000042741,Compositae,Calea cymosa Less.,Calea cymosa, Less.,"Linnaea 5(1): 158, 1830.",Hierba perenne,Pastizales xerófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/calea-cymosa
wfo-0000139356,Compositae,Calea kristiniae Pruski,Calea kristiniae, Pruski,"Brittonia 36(2): 100, 1984.",Arbusto,"Matorrales xerófilos, Pastizales xerófilos",,https://florauruguaya.org/taxonomias/calea-kristiniae
wfo-0000084354,Compositae,Calea pinnatifida (R.Br. ex Steud.) Less.,Calea pinnatifida, (R.Br. ex Steud.) Less.,"Linnaea 5(1): 158, 1830.",Trepadora o apoyante leñosa,"Bosques serranos, Bosques de quebradas, Matorrales xerófilos",Fanerófita,https://florauruguaya.org/taxonomias/calea-pinnatifida
wfo-0000119980,Compositae,Calea uniflora Less.,Calea uniflora, Less.,"Linnaea 5(1): 159, 1830.",Hierba perenne,"Palmares, Pastizales xerófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/calea-uniflora
wfo-0000076449,Compositae,Calyptocarpus biaristatus (DC.) H.Rob.,Calyptocarpus biaristatus, (DC.) H.Rob.,"Phytologia 41: 34, 1978.",Hierba perenne,"Bosques ribereños, Bosques higrófilos, Algarrobales, Palmares",,https://florauruguaya.org/taxonomias/calyptocarpus-biaristatus
wfo-0000026303,Compositae,Campovassouria cruciata (Vell.) R.M.King & H.Rob.,Campovassouria cruciata, (Vell.) R.M.King & H.Rob.,"Phytologia 49: 3, 1981.",Sufrútice,"Bosques higrófilos, Matorrales mesófilos, Pastizales higrófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/campovassouria-cruciata
wfo-0000084170,Compositae,Campuloclinium macrocephalum (Less.) DC.,Campuloclinium macrocephalum, (Less.) DC.,"Prodr. [A. P. de Candolle] 5: 137, 1836.",Hierba perenne,"Algarrobales, Palmares, Matorrales mesófilos, Pastizales mesófilos, Pastizales higrófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/campuloclinium-macrocephalum
wfo-0000136196,Compositae,Campuloclinium purpurascens (Baker) R.M.King & H.Rob.,Campuloclinium purpurascens, (Baker) R.M.King & H.Rob.,"Phytologia 24: 172, 1972.",Hierba perenne,Pastizales higrófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/campuloclinium-purpurascens
wfo-0000114356,Compositae,Carduus acanthoides L.,Carduus acanthoides, L.,"Sp. Pl. [Linnaeus] 2: 821, 1753.",Hierba anual o bienal,"Ambientes ruderales, Ambientes urbanos, Palmares, Pastizales mesófilos",Terófita,https://florauruguaya.org/taxonomias/carduus-acanthoides
wfo-0000024120,Compositae,Carduus pycnocephalus L.,Carduus pycnocephalus, L.,"Sp. Pl., ed. 2. 2: 1151, 1763.",Hierba anual o bienal,"Ambientes ruderales, Algarrobales, Pastizales mesófilos",Terófita,https://florauruguaya.org/taxonomias/carduus-pycnocephalus
wfo-0000003240,Compositae,Carduus tenuiflorus Curtis,Carduus tenuiflorus, Curtis,"Fl. Londin. [Curtis] 2(6, 61): pl. 55, 1789.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/carduus-tenuiflorus
wfo-0000066266,Compositae,Carduus thoermeri Weinm.,Carduus thoermeri, Weinm.,"Bull. Soc. Imp. Naturalistes Moscou 10(7): 69, 1837.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/carduus-thoermeri
wfo-0000116437,Compositae,Carthamus lanatus L.,Carthamus lanatus, L.,"Sp. Pl. [Linnaeus] 2: 830, 1753.",Hierba anual o bienal,"Ambientes ruderales, Algarrobales, Palmares, Pastizales xerófilos",Terófita,https://florauruguaya.org/taxonomias/carthamus-lanatus
