wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-0000032301,Arbusto,Compositae,Baccharis genistifolia, DC.,"Prodr. [A. P. de Candolle] 5: 423, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-genistifolia
wfo-0000128972,Arbusto,Compositae,Baccharis gibertii, Baker in Mart.,"Fl. Bras. [Martius] 6(3): 52-53, 1882.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-gibertii
wfo-0000000226,Arbusto,Compositae,Baccharis glutinosa, Pers.,"Syn. Pl. [Persoon] 2(2): 425, 1807.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-glutinosa
wfo-0000025003,Arbusto,Compositae,Baccharis hirta, DC.,"Prodr. [A. P. de Candolle] 5: 405, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-hirta
wfo-0000099492,Arbusto,Compositae,Baccharis junciformis, DC.,"Prodr. [A. P. de Candolle] 5: 426, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-junciformis
wfo-0000085278,Arbusto,Compositae,Baccharis linearifolia, (Lam.) Pers.,"Syn. Pl. [Persoon] 2(2): 425, 1807.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-linearifolia
wfo-0000057691,Arbusto,Compositae,Baccharis megapotamica, Spreng.,"Syst. Veg., ed. 16 [Sprengel] 3: 461, 1826.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-megapotamica
wfo-0000040250,Arbusto,Compositae,Baccharis microcephala, (Less.) DC.,"Prodr. [A. P. de Candolle] 5: 425, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-microcephala
wfo-0000034125,Arbusto,Compositae,Baccharis microdonta, DC.,"Prodr. [A. P. de Candolle] 5: 416, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-microdonta
wfo-0000002217,Arbusto,Compositae,Baccharis notosergila, Griseb.,"Abh. Königl. Ges. Wiss. Göttingen 24: 183, 1879.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-notosergila
