wfo_ID,Forma de vida,Familia,Column1,Nombre,Autor,Pub.,bibliogrpahicCitation,URL
wfo-0000500899,Hidrófita,Pontederiaceae,Pontederia azurea Sw.,Pontederia azurea, Sw.,"Prodr. [O. P. Swartz] 57, 1788.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/pontederia-azurea
wfo-0000501039,Hidrófita,Pontederiaceae,Pontederia crassipes Mart.,Pontederia crassipes, Mart.,"Nov. Gen. Sp. Pl. [Martius] 1(1): 9, t.4, 1823.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/pontederia-crassipes
wfo-0000501172,Hidrófita,Pontederiaceae,Pontederia ovalis Mart. ex Schult. & Schult.f.,Pontederia ovalis, Mart. ex Schult. & Schult.f.,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(2): 1140, 1830.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/pontederia-ovalis
wfo-0000501242,Hidrófita,Pontederiaceae,Pontederia rotundifolia L.f.,Pontederia rotundifolia, L.f.,"Suppl. Pl. 192, 1783.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/pontederia-rotundifolia
wfo-0000720675,Hidrófita,Potamogetonaceae,Potamogeton ferrugineus Hagstr.,Potamogeton ferrugineus, Hagstr.,"Kungl. Svenska Vetenskapsakad. Handl. 55(5): 161, 1916.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/potamogeton-ferrugineus
wfo-0000769828,Hidrófita,Potamogetonaceae,Potamogeton gayi A.Benn.,Potamogeton gayi, A.Benn.,"Ann. K. K. Naturhist. Hofmus. 7: 293, 1892.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/potamogeton-gayi
wfo-0000769851,Hidrófita,Potamogetonaceae,Potamogeton illinoensis Morong,Potamogeton illinoensis, Morong,"Bot. Gaz. 5: 50, 1880.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/potamogeton-illinoensis
wfo-0000769900,Hidrófita,Potamogetonaceae,Potamogeton montevidensis A.Benn.,Potamogeton montevidensis, A.Benn.,"Ann. K. K. Naturhist. Hofmus. 7: 293, 1892.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/potamogeton-montevidensis
wfo-0000769954,Hidrófita,Potamogetonaceae,Potamogeton polygonus Cham. & Schltdl.,Potamogeton polygonus, Cham. & Schltdl.,"Linnaea 2(2): 184, t. 4, f. 11, 1827.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/potamogeton-polygonus
wfo-0000719960,Hidrófita,Potamogetonaceae,Potamogeton spirilliformis Hagstr.,Potamogeton spirilliformis, Hagstr.,"Kungl. Svenska Vetenskapsakad. Handl. 55(5): 137, f. 60, 1916.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/potamogeton-spirilliformis
wfo-0000771224,Hidrófita,Potamogetonaceae,Stuckenia pectinata (L.) Börner,Stuckenia pectinata, (L.) Börner,"Fl. Deut. Volk 713, 1912.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/stuckenia-pectinata
wfo-0000739450,Hidrófita,Potamogetonaceae,Stuckenia striata (Ruiz & Pav.) Holub,Stuckenia striata, (Ruiz & Pav.) Holub,"Preslia 68(4): 364, 1997.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/stuckenia-striata
wfo-0000770293,Hidrófita,Potamogetonaceae,Zannichellia palustris L.,Zannichellia palustris, L.,"Sp. Pl. [Linnaeus] 2: 969, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/zannichellia-palustris
wfo-0000770081,Hidrófita,Ruppiaceae,Ruppia maritima L.,Ruppia maritima, L.,"Sp. Pl. [Linnaeus] 1: 127, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ruppia-maritima
wfo-0001109619,Hidrófita,Salviniaceae,Azolla caroliniana Willd.,Azolla caroliniana, Willd.,"Sp. Pl., ed. 4 [Willdenow] 5: 541, 1810.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/azolla-caroliniana
wfo-0001114055,Hidrófita,Salviniaceae,Azolla microphylla Kaulf.,Azolla microphylla, Kaulf.,"Enum. Filic. 273, 1824.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/azolla-microphylla
wfo-0001109617,Hidrófita,Salviniaceae,Salvinia auriculata Aubl.,Salvinia auriculata, Aubl.,"Hist. Pl. Guiane 2: 969, t.367, 1775.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/salvinia-auriculata
wfo-0001261668,Hidrófita,Salviniaceae,Salvinia biloba Raddi,Salvinia biloba, Raddi,"Pl. Bras. Nov. Gen. 1: 1, t.1, f.4, 1825.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/salvinia-biloba
wfo-0001115650,Hidrófita,Salviniaceae,Salvinia herzogii de la Sota,Salvinia herzogii, de la Sota,"Darwiniana 12: 514, 1962.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/salvinia-herzogii
wfo-0001109618,Hidrófita,Salviniaceae,Salvinia minima Baker,Salvinia minima, Baker,"J. Bot. 24: 98, 1886.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/salvinia-minima
wfo-0001110772,Hidrófita,Salviniaceae,Salvinia molesta D.S.Mitch.,Salvinia molesta, D.S.Mitch.,"Brit. Fern Gaz. 10: 251, 1972.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/salvinia-molesta
wfo-0000719285,Hidrófita,Umbelliferae,Helosciadium nodiflorum (L.) W.D.J.Koch,Helosciadium nodiflorum, (L.) W.D.J.Koch,"Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 12(1): 126, 1824.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/helosciadium-nodiflorum
wfo-0000361245,Hidrófita,Umbelliferae,Lilaeopsis attenuata (Hook. & Arn.) Fernald,Lilaeopsis attenuata, (Hook. & Arn.) Fernald,"Rhodora 26: 94, 1924.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lilaeopsis-attenuata
wfo-0001251137,Hidrófita,Umbelliferae,Lilaeopsis brasiliensis (Glaz.) Affolter,Lilaeopsis brasiliensis, (Glaz.) Affolter,"Syst. Bot. Monogr. 6: 83, 1985.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lilaeopsis-brasiliensis
wfo-0000361216,Hidrófita,Umbelliferae,Lilaeopsis carolinensis J.M.Coult. & Rose,Lilaeopsis carolinensis, J.M.Coult. & Rose,"Bot. Gaz. 24: 48, 1897.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lilaeopsis-carolinensis
