WFO_ID,Distribution,Country_code,scientificName,Rank,ScientificAuthorship,Family,NamePublishedIn,Catalogue of the Plants of Madagascar record,Citation
wfo-0000881340,Endemic to Madagascar,MG,Nastus perrieri,species,A. Camus,Poaceae,Bulletin de la Société Botanique de France 72: 26. 1925. (Bull. Soc. Bot. France) ,http://www.tropicos.org/Name/25518774?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000881355,Endemic to Madagascar,MG,Nastus tsaratananensis,species,A. Camus,Poaceae,Bulletin de la Société Botanique de France 72: 26. 1925. (Bull. Soc. Bot. France) ,http://www.tropicos.org/Name/50101495?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001264812,Endemic to Madagascar,MG,Nectaropetalum eligulatum,species,(H. Perrier) Bardot-Vaucoulon,Erythroxylaceae,"Adansonia, série 3, 23(2): 315. 2001. (Adansonia, sér. 3,) ",http://www.tropicos.org/Name/50215004?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-4000025551,Endemic to Madagascar,MG,Nematostylis,genus,Hook. f.,Rubiaceae,Genera Plantarum 2: 110. 1873. (Gen. Pl.) ,http://www.tropicos.org/Name/40026144?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000249874,Endemic to Madagascar,MG,Nematostylis anthophylla,species,(A. Rich.) Baill.,Rubiaceae,Bulletin Mensuel de la Société Linnéenne de Paris 1: 198. 1879. (Bull. Mens. Soc. Linn. Paris) ,http://www.tropicos.org/Name/27904470?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-4000025594,Endemic to Madagascar,MG,Neoapaloxylon,genus,Rauschert,Fabaceae,Taxon 31(3): 559. 1982. (Taxon) ,http://www.tropicos.org/Name/40036613?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000195878,Endemic to Madagascar,MG,Neoapaloxylon madagascariense,species,(Drake) Rauschert,Fabaceae,Taxon 31(3): 559. 1982. (Taxon) ,http://www.tropicos.org/Name/13068733?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000195879,Endemic to Madagascar,MG,Neoapaloxylon mandrarense,species,Du Puy & R. Rabev.,Fabaceae,"The Leguminosae of Madagascar 149, f. 30(M–P). 2002. (Legum. Madagascar) ",http://www.tropicos.org/Name/50217876?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000195880,Endemic to Madagascar,MG,Neoapaloxylon tuberosum,species,(R. Vig.) Rauschert,Fabaceae,Taxon 31(3): 559. 1982. (Taxon) ,http://www.tropicos.org/Name/13068734?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000249962,Endemic to Madagascar,MG,Neobathiea hirtula,species,H. Perrier,Orchidaceae,Notulae Systematicae. Herbier du Museum de Paris 7(2): 49–50. 1938. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/23502569?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
