WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0001281831,distribution,EN,"Thailand, Burma, Laos (type).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001281831,Forest Herbarium,All rights reserved,"Sterculia lanceolata principis. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 638. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02805,7,3
wfo-0000491919,distribution,EN,"Thailand, Malay Peninsula, Indonesia (type), Philippines.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491919,Forest Herbarium,All rights reserved,"Sterculia macrophylla. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 638. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02806,7,3
wfo-0001281825,distribution,EN,"Thailand, India, Malay Peninsula, China (said to be the native there), France (cultivated, type).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001281825,Forest Herbarium,All rights reserved,"Sterculia monosperma. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 641. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02807,7,3
wfo-0001269330,distribution,EN,"Thailand, India (type), Burma, Vietnam, Malay Peninsula, Indonesia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001269330,Forest Herbarium,All rights reserved,"Sterculia parviflora. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 641. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02808,7,3
wfo-0001141261,distribution,EN,"Thailand, Vietnam (type), Laos.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001141261,Forest Herbarium,All rights reserved,"Sterculia pexa. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 644. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02809,7,3
wfo-0001390645,distribution,EN,"Thailand, Vietnam (PIERRE 3788, type), Cambodia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001390645,Forest Herbarium,All rights reserved,"Sterculia urena thorelii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 646. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02812,7,3
wfo-0001140523,distribution,EN,"Thailand, India (type), Nepal, Burma, Southern China, Cambodia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001140523,Forest Herbarium,All rights reserved,"Sterculia villosa. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 649. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02813,7,3
wfo-0001065306,distribution,EN,"Thailand, Southern China (type), Indochina and Malesia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001065306,Forest Herbarium,All rights reserved,"Sycopsis dunnii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 408. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02591,7,3
wfo-0001065311,distribution,EN,"Thailand, Southern China, India (type), Nepal, Bhutan, Burma, Vietnam, Malay Peninsula and Indonesia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001065311,Forest Herbarium,All rights reserved,"Symingtonia populnea. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 408. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02593,7,3
wfo-0000770146,distribution,EN,"Throughout the Indian Ocean, Australia.",R.R. Haynes,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000770146,Forest Herbarium,All rights reserved,"Thalassia hemprichii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 381. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02557,7,3
wfo-0000458440,distribution,EN,South America (type) and cultivated widely in Asia.,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000458440,Forest Herbarium,All rights reserved,"Theobroma cacao. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 651. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02815,7,3
wfo-0000427365,distribution,EN,"Common in the tropics, India (type).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000427365,Forest Herbarium,All rights reserved,"Waltheria indica. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 651. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02817,7,3
wfo-0000334447,distribution,EN,"Thailand, Subtropical and tropical regions of Australia and western Malaysia.",E. Landolt,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000334447,Forest Herbarium,All rights reserved,"Wolffia angusta. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 398. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02580,7,3
wfo-0000334465,distribution,EN,"Warm temperate, subtropical and tropical regions of eastern Asia and America.",E. Landolt,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000334465,Forest Herbarium,All rights reserved,"Wolffia globosa. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 398. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02581,7,3
wfo-0000428558,distribution,EN,"Thailand, Malay Peninsula, Singapore, Borneo (type).",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428558,Forest Herbarium,All rights reserved,"Xanthophyllum ellipticum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 526. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02713,7,3
wfo-0000428556,distribution,EN,"Thailand, Sumatra (type), Malay Peninsula.",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428556,Forest Herbarium,All rights reserved,"Xanthophyllum eurhynchum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 527. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02714,7,3
wfo-0000428552,distribution,EN,"Thailand, Eastern India (type), Bangladesh, Burma, Cambodia, Laos, Vietnam, Sumatra, Malay Peninsula, Java, Borneo, Philippines.",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428552,Forest Herbarium,All rights reserved,"Xanthophyllum flavescens. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 529. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02715,7,3
wfo-0000428546,distribution,EN,"Thailand, Laos.",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428546,Forest Herbarium,All rights reserved,"Xanthophyllum geesinkii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 531. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02716,7,3
wfo-0000428545,distribution,EN,"Thailand, Laos (type).",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428545,Forest Herbarium,All rights reserved,"Xanthophyllum geminatum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 532. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02717,7,3
wfo-0000428582,distribution,EN,"Thailand, Sumatra, Malay Peninsula (type), Borneo, Philippines.",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428582,Forest Herbarium,All rights reserved,"Xanthophyllum griffithii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 532. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02718,7,3
wfo-0000428586,distribution,EN,"Thailand, Bangladesh, Burma, Cambodia, Laos, Vietnam, Sumatra (type), Malay Peninsula.",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428586,Forest Herbarium,All rights reserved,"Xanthophyllum lanceatum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 533. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02719,7,3
wfo-0000428356,distribution,EN,"Thailand, Sumatra, Malay Peninsula (type), Borneo.",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428356,Forest Herbarium,All rights reserved,"Xanthophyllum obscurum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 534. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02720,7,3
wfo-0000428386,distribution,EN,"Thailand, Burma (type), Vietnam.",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428386,Forest Herbarium,All rights reserved,"Xanthophyllum punctatum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 535. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02721,7,3
wfo-0000428312,distribution,EN,"Thailand, Laos, Vietnam (type).",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428312,Forest Herbarium,All rights reserved,"Xanthophyllum sylvestre. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 535. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02722,7,3
wfo-0000428350,distribution,EN,"Thailand, Bangladesh (type), Burma, Malay Peninsula, Laos.",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428350,Forest Herbarium,All rights reserved,"Xanthophyllum virens. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 536. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02723,7,3
wfo-0000428348,distribution,EN,"Thailand, Malay Peninsula (type), Sumatra, Borneo, Java, Philippines.",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428348,Forest Herbarium,All rights reserved,"Xanthophyllum vitellinum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 537. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02724,7,3
wfo-0000428346,distribution,EN,"Thailand, Malay Peninsula (type).",C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000428346,Forest Herbarium,All rights reserved,"Xanthophyllum wrayi. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 537. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02725,7,3
