"referenceID","bibliographicCitation"
"ref-7524210170587619276","Tan, F.-X., et al. 2002 Phylogenetic relationships of Combretoideae (Combretaceae) inferred from plastid, nuclear gene and spacer sequences J. Pl. Res. 115 475-481"
"ref--8541607772716467634","Détienne, P. & J. Jacquet. 1983 Atlas d’identification des bois de l’Amazonie et des régions voisines Centre Technique Forestier Tropical France 348 pp micrographs"
"ref--3864309697081377768","Heimsch, C. 1942 Comparative anatomy of the secondary xylem in the Gruinales and Terebinthales of Wettstein with reference to taxonomic grouping Lilloa 8 83-198"
"ref-7813568932642224532","IAWA Committee. 1989 The IAWA list of microscopic features for hardwood identification IAWA Bull. n.s. 10 219-332"
"ref-8343483499776782673","InsideWood 2004-onwards Published on the Internet http://insidewood/ lib.ncsu.edu/search"
"ref--1427615614503987399","Lens, F., S. Jansen, P. Caris, L. Serlet & E. Smets. 2005 Comparative wood anatomy of the primuloid clade (Ericales s.l.) Syst. Bot. 30 163-183"
"ref-1625296061331105039","Record, S.J. & R.W. Hess. 1936 Identification of woods with conspicuous rays Trop. Woods 48 1-30"
"ref--3978956435261177786","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven 640 pp"
"ref--8359646886706797621","Vliet, G.L.C.M. van 1976 Radial vessels in rays IAWA Bull. 3 35-37"
"ref--557385842184202519","Vliet, G.L.C.M. van 1978 The vestured pits of Combretaceae and allied families Acta Bot. Neerl. 27 273-285"
"ref--82363892410255702","Vliet, G.L.C.M. van 1979 Wood anatomy of the Combretaceae Blumea 25 141-223"
"ref--4780245318550427772","Alwan, A.R.A. & C.A. Stace. 1985 Resurrection of two Eighteenth Century names in American Combretaceae — Studies on the flora of the Guianas 7 Nordic J. Bot. 5 447-449"
"ref--2059522916904511465","Aublet, J.B.C.F. 1775 Histoire des plantes de la Guiane Françoise 1 224-225 t. 88"
"ref--1891506714031280788","Howard, R.A. 1983 The plates of Aublet’s Histoire des Plantes de la Guiane Françoise J. Arnold Arbor. 64 255-292"
"ref-8739451210034441545","Van Heurck, H.F. & J. Müller Arg. 1871 Combretaceae H.F. Van Heurck Observationes botanicae et descriptiones plantarum novarum herbarii van Heurckiani 2 209-249"
"ref-7172107317471852957","Exell, A.W. 1953 The Combretum species of the New World J. Linn. Soc., Bot. 55 103-141"
"ref-1210545391135276086","Stace, C.A. 1968 A revision of the genus Thiloa (Combretaceae) Bull. Torrey Bot. Club 95 156-165"
"ref-2975497374247955169","Stace, C.A. 1969 The significance of the leaf epidermis in the taxonomy of the Combretaceae. III. The genus Combretum in America. Brittonia 21 130-143"
"ref--6814917037497337964","Valente, M. da C., N. Marquete Ferreira da Silva & D.J. Guimarães. 1989 Morfologia e anatomia do fruto de Combretum rotundifolium Rich. (Combretaceae) Rodriguésia 41 67 45-51"
"ref-7974504490243406850","Valente, M. da C., N. Marquete Ferreira da Silva & D.J. Guimarães. 1994 Morfologia e anatomia do fruto de Laguncularia racemosa (L.) Gaertn. f. (Combretaceae). Arch. Jard. Bot. Rio de Janeiro 32 39-50"
"ref--4605236317075771884","Flores, E.M. 1994 Roble coral, Bullywood (Terminalia amazonia) Árboles Semillas Neotropico 3 1 55-86"
"ref--8263667114075218545","Lindeman, J.C. 1986 Dichapetalaceae A.L. Stoffers & J.C. Lindeman Flora of Suriname, additions and corrections 3 2 548-549"
"ref-100950261564174966","Prance, G.T. 1971 Dichapetalaceae T. Lasser Flora de Venezuela 3 1 55-74"
"ref-4457608766257333791","Prance, G.T. 1972 Dichapetalaceae Flora Neotropica Monograph 10 1-84"
"ref--3527759408298422120","Prance, G.T. 1980 Dichapetalaceae G. Harling & B. Sparre Flora of Ecuador 12 1-13"
"ref-4688720508075193818","Prance, G.T. 1998 Dichapetalaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 4 666-671"
"ref--6825267234936516868","Prance, G.T. 2001 Dichapetalaceae R. Bernal & E. Forero Flora of Colombia 20 1-61"
