wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000573810,10796677,43329,Tillandsia aequatorialis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,aequatorialis,,,,L.B.Sm.,Vulnerable,D2,3.1,,Global
wfo-0000575276,10797210,43330,Tillandsia brenneri,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,brenneri,,,,Rauh,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000577062,10797467,43332,Tillandsia cucullata,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,cucullata,,,,L.B.Sm.,Vulnerable,D2,3.1,,Global
wfo-0000578113,10797832,43336,Tillandsia emergens,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,emergens,,,,Mez & Sodiro,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000579596,10797897,43337,Tillandsia hirtzii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,hirtzii,,,,Rauh,Vulnerable,B1ab(iii),3.1,,Global
wfo-1000059186,10798011,43339,Tillandsia marnieri-lapostollei,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,marnieri-lapostollei,,,,Rauh,Vulnerable,D2,3.1,,Global
wfo-0000583210,10798533,43344,Tillandsia pretiosa,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,pretiosa,,,,Mez,Vulnerable,A4d; B1ab(iii),3.1,Decreasing,Global
wfo-0000583686,10798620,43345,Tillandsia raackii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,raackii,,,,H.Luther,Vulnerable,D2,3.1,,Global
wfo-0000584062,10798685,43346,Tillandsia rhodosticta,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,rhodosticta,,,,L.B.Sm.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000585146,10798917,43349,Tillandsia sodiroi,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Tillandsia,sodiroi,,,,Mez,Vulnerable,A2a,3.1,,Global
wfo-0000600579,10799386,43353,Vriesea andreettae,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Vriesea,andreettae,,,,Rauh,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000605509,10799713,43363,Vriesea tillii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Vriesea,tillii,,,,Manzanares,Vulnerable,D2,3.1,,Global
wfo-0000605991,10799785,43364,Vriesea wuelfinghoffii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Vriesea,wuelfinghoffii,,,,Rauh & E.Gross,Vulnerable,D2,3.1,,Global
wfo-0000606906,10799900,43366,Werauhia haltonii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Werauhia,haltonii,,,,(H.Luther) J.R.Grant,Vulnerable,D2,3.1,,Global
wfo-0000607237,10799965,43367,Werauhia paupera,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Werauhia,paupera,,,,(Mez & Sodiro) J.R.Grant,Vulnerable,A4c,3.1,,Global
wfo-0000092731,10800098,43369,Cronquistianthus bulliferus,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Cronquistianthus,bulliferus,,,,(S.F. Blake) R.M. King & H. Rob.,Vulnerable,D2,3.1,,Global
wfo-0000066690,10800822,43464,Liabum barclayae,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Liabum,barclayae,,,,H.Rob.,Vulnerable,D2,3.1,,Global
wfo-0000826086,10801050,43476,Burmeistera brachyandra,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Burmeistera,brachyandra,,,,E.Wimm.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000826104,10801177,43477,Burmeistera crispiloba,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Burmeistera,crispiloba,,,,Zahlbr.,Vulnerable,A4c; B1ab(iii),3.1,Decreasing,Global
wfo-0000021847,10801236,43406,Erato sodiroi,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Erato,sodiroi,,,,(Hieron.) H. Rob.,Vulnerable,A4c,3.1,,Global
wfo-0000826110,10801408,43479,Burmeistera cylindrocarpa,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Burmeistera,cylindrocarpa,,,,Zahlbr.,Vulnerable,D2,3.1,,Global
wfo-0000113822,10801831,43410,Fleischmannia aequinoctialis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Fleischmannia,aequinoctialis,,,,(B.L.Rob.) R.M.King & H.Rob.,Vulnerable,B1ab(iii); D2,3.1,,Global
wfo-0000044277,10801935,43411,Fleischmannia harlingii,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Fleischmannia,harlingii,,,,R.M.King & H.Rob.,Vulnerable,D2,3.1,,Global
wfo-0000044973,10802058,43412,Fleischmannia lloensis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Fleischmannia,lloensis,,,,(Hieron.) R.M.King & H.Rob.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000826147,10802112,43485,Burmeistera loejtnantii,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Burmeistera,loejtnantii,,,,Jeppesen,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000826169,10802222,43486,Burmeistera oblongifolia,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Burmeistera,oblongifolia,,,,E.Wimm.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000069843,10802281,43414,Floscaldasia azorelloides,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Floscaldasia,azorelloides,,,,Sklenár & H.Robinson,Vulnerable,D2,3.1,,Global
wfo-0000040869,10802418,43415,Gnaphalium chimborazense,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Gnaphalium,chimborazense,,,,Hieron.,Vulnerable,D2,3.1,,Global
wfo-0000826191,10802472,43488,Burmeistera racemiflora,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Burmeistera,racemiflora,,,,Lammers,Vulnerable,D2,3.1,Unknown,Global
wfo-0000826217,10803083,43493,Burmeistera truncata,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Burmeistera,truncata,,,,Zahlbr.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000124738,10803249,43422,Grosvenoria hypargyra,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Grosvenoria,hypargyra,,,,(B.L.Rob.) R.M.King & H.Rob.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000065891,10803364,43423,Guevaria alvaroi,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Guevaria,alvaroi,,,,R.M.King & H.Rob.,Vulnerable,D2,3.1,,Global
wfo-0000829497,10803418,43496,Centropogon arcuatus,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Centropogon,arcuatus,,,,E.Wimm.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000829519,10803653,43498,Centropogon baezanus,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Centropogon,baezanus,,,,Jeppesen,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000115401,10803975,43429,Gynoxys chingualensis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Gynoxys,chingualensis,,,,H. Rob. & Cuatrec.,Vulnerable,D2,3.1,,Global
wfo-0000125717,10804206,43433,Gynoxys jaramilloi,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Gynoxys,jaramilloi,,,,H. Rob. & Cuatrec.,Vulnerable,D2,3.1,,Global
wfo-0000003335,10804316,43435,Gynoxys miniphylla,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Gynoxys,miniphylla,,,,Cuatrec.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000080329,10804375,43436,Gynoxys multibracteifera,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Gynoxys,multibracteifera,,,,H.Rob. & Cuatrec.,Vulnerable,B1ab(iii),3.1,,Global
wfo-1000040316,10804486,43438,Gynoxys reinaldii,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Gynoxys,reinaldii,,,,Cuatrec.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000046206,10804657,43441,Hebeclinium obtusisquamosum,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Hebeclinium,obtusisquamosum,,,,(Hieron.) R.M.King & H.Rob.,Vulnerable,D2,3.1,,Global
wfo-0000095436,10804922,43446,Hieracium pangoriense,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Hieracium,pangoriense,,,,Zahn,Vulnerable,D2,3.1,,Global
