wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000582538,1981196,191434,Camellia nematodea,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,THEACEAE,Camellia,nematodea,,,,(Gagnep.) Sealy,Data Deficient,,3.1,Decreasing,Global
wfo-0000582540,1981339,191435,Camellia nervosa,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,THEACEAE,Camellia,nervosa,,,,(Gagnep.) Hung T.Chang,Data Deficient,,3.1,Unknown,Global
wfo-0000582744,1982776,191443,Camellia vidalii,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,THEACEAE,Camellia,vidalii,,,,J.C.Rosmann,Data Deficient,,3.1,Unknown,Global
wfo-0000293625,1984700,191474,Quercus thorelii,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Quercus,thorelii,,,,Hickel & A.Camus,Data Deficient,,3.1,Unknown,Global
wfo-0000293080,1984744,191475,Quercus saravanensis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Quercus,saravanensis,,,,A.Camus,Data Deficient,,3.1,Unknown,Global
wfo-0000291438,1984925,191479,Quercus jinpinensis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Quercus,jinpinensis,,,,(Y.C.Hsu & H.Wei Jen) C.C.Huang,Data Deficient,,3.1,Unknown,Global
wfo-0000464798,1985247,191486,Magnolia floribunda,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,floribunda,,,,(Finet & Gagnep.) Figlar   ,Data Deficient,,3.1,Unknown,Global
wfo-0000233250,1985387,191488,Magnolia liliiflora,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,liliiflora,,,,Desr. ,Data Deficient,,3.1,Unknown,Global
wfo-0000233062,1985478,191490,Magnolia clemensiorum,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,clemensiorum,,,,Dandy ,Data Deficient,,3.1,Unknown,Global
wfo-0000233104,1985684,191493,Magnolia duclouxii,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,duclouxii,,,,(Finet & Gagnep.) Hu   ,Data Deficient,,3.1,Unknown,Global
wfo-0000464839,1985737,191494,Magnolia fulva,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,fulva,,,,(Hung T.Chang & B.L.Chen) Figlar,Data Deficient,,3.1,Unknown,Global
wfo-0000233063,1985922,191498,Magnolia coco,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,coco,,,,(Lour.) DC.,Data Deficient,,3.1,Unknown,Global
wfo-0000806084,1986335,191506,Magnolia chevalieri,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,chevalieri,,,,(Dandy) V.S.Kumar,Data Deficient,,3.1,Decreasing,Global
wfo-0000806094,1986408,191508,Magnolia garrettii,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,garrettii,,,,(Craib) V.S.Kumar,Data Deficient,,3.1,Unknown,Global
wfo-0000233056,1986579,191510,Magnolia championii,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,championii,,,,Benth. ,Data Deficient,,3.1,Unknown,Global
wfo-0000464751,1986646,191511,Magnolia braianensis,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,braianensis,,,,(Gagnep.) Figlar,Data Deficient,,3.1,Unknown,Global
wfo-0000464941,1986955,191518,Magnolia masticata,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,masticata,,,,(Dandy) Figlar,Data Deficient,,3.1,Unknown,Global
wfo-0000233011,1986987,191519,Magnolia balansae,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,balansae,,,,Aug.DC.,Data Deficient,,3.1,Decreasing,Global
wfo-0000916758,2006144,191817,Wrightia poomae,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Wrightia,poomae,,,,D.J.Middleton,Data Deficient,,3.1,Unknown,Global
wfo-0000423092,2007734,191849,Vatica harmandiana,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,DIPTEROCARPACEAE,Vatica,harmandiana,,,,Pierre,Data Deficient,,3.1,Unknown,Global
wfo-0000233108,2011104,191872,Magnolia elegans,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,elegans,,,,(Blume) H.Keng,Data Deficient,,3.1,Unknown,Global
wfo-0000233206,2011310,191874,Magnolia hookeri,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,hookeri,,,,(Cubitt & W.W.Sm.) D.C.S.Raju & M.P.Nayar,Data Deficient,,3.1,Unknown,Global
