wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000270607,221000591,220998083,Phyllanthus borenensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PHYLLANTHACEAE,Phyllanthus,borenensis,,,,M.G.Gilbert,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0001140733,221246006,195371496,Herrania kofanorum,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Herrania,kofanorum,,,,R.E.Schult.,Critically Endangered,B2ab(iii),3.1,Decreasing,Global
wfo-0000695941,221249517,221249515,Geissanthus lehmannii,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PRIMULACEAE,Geissanthus,lehmannii,,,,Mez,Critically Endangered,B2ab(iii),3.1,Decreasing,Global
wfo-0000837732,221261855,67534301,Chamaedorea christinae,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Chamaedorea,christinae,,,,Hodel,Critically Endangered,B2ab(iii),3.1,Decreasing,Global
wfo-0000687361,221266013,221266010,Ficus archeri,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,archeri,,,,Standl.,Critically Endangered,B2ab(iii),3.1,Decreasing,Global
wfo-0000766215,221361737,221350422,Drimiopsis comptonii,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ASPARAGACEAE,Drimiopsis,comptonii,,,,U.Müll.-Doblies & D.Müll.-Doblies,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Stable,Global
wfo-0000675164,221361752,221350018,Kniphofia umbrina,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ASPHODELACEAE,Kniphofia,umbrina,,,,Codd,Critically Endangered,"A2ac; B1ab(i,ii,iii,iv,v); C2a(i); D",3.1,Decreasing,Global
wfo-0000174084,221361807,221330788,Aeschynomene stipitata,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Aeschynomene,stipitata,,,,Burtt Davy,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0001103439,221361832,221354732,Pachycarpus stelliceps,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Pachycarpus,stelliceps,,,,N.E.Br.,Critically Endangered,B1ab(iii)+2ab(iii); D,3.1,Decreasing,Global
wfo-0000782864,221361927,221343921,Hesperantha umbricola,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,IRIDACEAE,Hesperantha,umbricola,,,,Goldblatt,Critically Endangered,B1ab(iii)+2ab(iii),3.1,,Global
