"wfo_id","description","source","bibliographicCitation","URL"
"wfo-4000013470","Species ± 30; tropics and subtropics, especially in Australia and Africa, preferring dry, open habitats.","512F4C4C-C4BB-42E4-A0FE-5FED67CD37C8","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:325131-2#descriptions"
"wfo-4000013785","About 200 species, nearly all in N America and Eurasia.","4A72E31F-7C32-498F-8E06-3CD2441BBD0A","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326342-2#descriptions"
"wfo-4000014578","A small genus of three species confined to Africa.","EA27864E-7782-4E27-914B-BB8FAE8F76EC","Convolvulaceae, B. Verdcourt (East African Herbarium). Flora of Tropical East Africa. 1963","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331608-2#descriptions"
"wfo-4000014894","One polymorphic species widely distributed in Europe, the Mediterranean and SW. Asia; even within this region its native area is blurred by naturalisation from cultivation as a condiment, which is its normal status in tropical Africa","3D32B911-C0EB-4272-89A6-5B5E609FF931","Umbelliferae, C.C. Townsend. Flora of Tropical East Africa. 1989","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:40005-1#descriptions"
"wfo-4000015580","Three species in tropical Africa, two in South Africa.","2319CC1C-D6E0-4EB3-B77E-919560CB20ED","Cucurbitaceae, C. Jeffrey. Flora of Tropical East Africa. 1967","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:13294-1#descriptions"
"wfo-4000016378","A moderate-sized genus of 40–50 species in S. and tropical Africa, Madagascar, Indonesia, Tasmania, New Zealand, Antarctica, Hawaiian Is., Central and South America","38BBDD46-79A0-4215-8133-CEA6C894AA2D","Haloragaceae, R. Boutique (Jardin botanique national de Belgique) and B. Verdcourt (Royal Botanic Gardens, Kew). Flora of Tropical East Africa. 1973","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:19527-1#descriptions"
"wfo-4000016942","A monotypic genus confined to tropical Africa, so far known only from scattered localities.","172DB8EC-DB63-4F04-BA5C-716BA6CD10E6","Polygonaceae, R. A. Graham. Flora of Tropical East Africa. 1958","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:32504-1#descriptions"
"wfo-4000018105","Two species, one African, the other Asiatic.","A7220295-CF30-4D17-8BA1-6C8096883B00","Ulmaceae, R. M. Polhill. Flora of Tropical East Africa. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:40841-1#descriptions"
"wfo-4000019445","A large genus of about 120 species, mainly American, a few in tropical Africa, Asia and Australia","75361E5E-B50C-43DA-A093-B919414F0DDE","Convolvulaceae, B. Verdcourt (East African Herbarium). Flora of Tropical East Africa. 1963","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30000546-2#descriptions"
"wfo-4000019856","Nine species, all but one formerly placed in Holmskioldia, occurring in Vietnam, E., SE. and S. Africa and particularly Madagascar","359C8B5C-02A7-40E0-A134-1977E69BCE6E","Verbenaceae, B. Verdcourt. Flora of Tropical East Africa. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:41317-1#descriptions"
"wfo-4000020581","40 SPECIES, widespread across sub-Saharan Africa from Nigeria and Ethiopia to the south-western Cape, South Africa.","164C9FD8-AB92-402E-9330-261B3024BB33","Iridaceae, Peter Goldblatt. Flora of Tropical East Africa. 1996","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:20395-1#descriptions"
"wfo-4000021901","Species 2; eastern and south-eastern Africa.","7CDF9E81-0B5F-4192-B626-0858D474BFC8","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:18414-1#descriptions"
"wfo-4000021997","Fourteen species in Australia, Asia, Africa and the Americas.","B81F039F-B276-4276-808A-D8CA5A414235","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:9853-1#descriptions"
"wfo-4000022095","Species ± 12; temperate Europe and Asia, widely introduced elsewhere","E59ED1F4-6339-430F-BA71-70EC6291A93B","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:18423-1#descriptions"
"wfo-4000023440","About 400 species, widespread through Madagascar, tropical Asia and the Pacific, with two species in Africa.","3FC81F76-3B8B-4195-A399-EF85BC6E398E","Melastomataceae, G. E. Wickens. Flora of Tropical East Africa. 1975","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:26444-1#descriptions"
"wfo-4000023625","3 species, 2 of which are indigenous to Africa; the third, M. azedarach as a wild plant extends from India to Australia — it is widely planted, and locally naturalized, in the tropics and subtropics.","7351D6D7-E3CB-48BE-9F5E-09D7DE93EF41","Meliaceae, Styles & F. White (Department of Plant Sciences, University of Oxford). Flora of Tropical East Africa. 1991","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:327507-2#descriptions"
"wfo-4000027003","A large genus distributed naturally throughout the Americas from British Columbia to the Strait of Magellan","CD316618-DA86-4D99-8B3D-F86FAD63B4E6","Cactaceae, R. Hunt. Flora of Tropical East Africa. 1968","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30002080-2#descriptions"
"wfo-4000027059","Species 1; Africa.","FC3F2B1F-FB16-4EE2-BCF2-801C39B2EDD9","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:18620-1#descriptions"
"wfo-4000031422","Species 2 in tropical Africa, 4 in Madagascar.","8E98965B-E7E8-4125-BC62-EE45D8E8051D","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:18823-1#descriptions"
"wfo-4000033913","A small widespread genus found mainly in the southern hemisphere with the following cosmopolitan species occurring in practically every region of the world.","9724943D-DDF5-496A-B276-8AC22C552105","Primulaceae, P. Taylor. Flora of Tropical East Africa. 1958","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30019967-2#descriptions"
"wfo-4000034188","About 25 species all but 3 confined to tropical America.","40D93092-E1CF-45B8-8919-D45BEB1BE4B3","Ochnaceae, B. Verdcourt, B.Sc., Ph.D.. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:325993-2#descriptions"
