WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,Volume,Part,bibliographicCitation,license,rights,URI
wfo-0000379486,"Thailand, Malay Peninsula (type), Indonesia.",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000379486,9,1,"Neesia malayana. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 28. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03694
wfo-0000388245,"Southern Europe and Africa to China, India, Thailand, Vietnam.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000388245,9,1,"Osyris lanceolata. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 70. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03737
wfo-0000475971,"Thailand, Burma (type).",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000475971,9,1,"Paradombeya burmanica. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 31. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03696
wfo-0000715336,"Thailand, Indochina, China (Kwangsi, type).",distribution,EN,B. Hansen & F. Rasmussen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000715336,9,1,"Petrosavia sinii. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 50. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03719
wfo-0001224144,"Thailand, Southern India, Burma, Vietnam, Southern China.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001224144,9,1,"Phacellaria compressa. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 72. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03739
wfo-0001224145,"Thailand, Southern China and India.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001224145,9,1,"Phacellaria rigidula. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 73. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03740
wfo-0000492946,Native from Java to the Timor Islands. Cultivated in India.,distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000492946,9,1,"Santalum album. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 75. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03742
wfo-0000303880,"Thailand, India (type), Burma and China (Yunnan).",distribution,EN,P. Chantaranothai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000303880,9,1,"Sarcosperma arboreum. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 85. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03750
wfo-0000303883,"Thailand, India (East Bengal-type), China (Yunnan).",distribution,EN,P. Chantaranothai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000303883,9,1,"Sarcosperma griffithii. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 85. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03751
wfo-0000303884,"Thailand, Burma (type), S. China, Vietnam.",distribution,EN,P. Chantaranothai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000303884,9,1,"Sarcosperma kachinense. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 86. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03752
wfo-0000492935,"Thailand, Malay Peninsula, Sumatra, Java, Borneo.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000492935,9,1,"Scleropyrum maingayi. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 78. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03744
wfo-0000492941,"Thailand, India to Irian Jaya.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000492941,9,1,"Scleropyrum pentandrum. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 80. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03745
wfo-0000432992,Pantropical. S. America (type).,distribution,EN,L. Phuphathanaphong,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000432992,9,1,"Sesuvium portulacastrum. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 5. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03674
wfo-0001253316,"Thailand, India, Burma, Vietnam, Laos, Cambodia , Malesia (type from Indonesia) and Australia.",distribution,EN,C. Promdej,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001253316,9,1,"Tetrameles nudiflora. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 33. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03699
wfo-0001134598,"Thailand, Laos.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001134598,9,1,"Thesium psilotoides. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 82. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03747
wfo-0000020781,Pantropical. S. America (type).,distribution,EN,L. Phuphathanaphong,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000020781,9,1,"Trianthema portulacastrum. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 1. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03671
wfo-0000410405,"Thailand, Africa, Pakistan, India (type), Burma, Malaysia and Australia.",distribution,EN,L. Phuphathanaphong,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000410405,9,1,"Trianthema triquetra. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 3. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03672
