taxonID,description,type,rightsHolder,source,bibliographicCitation,url,rights,license
wfo-0000969408,"This species occupies a narrow belt extending from southern Inyo Co., California, eastward through southern Neva7da to southeastern Utah and north central Arizona, at elevations between 2700 and 7300 feet.",distribution,The New York Botanical Garden,313269,"Dempster, Lauramay T. 1959. A re-evaluation of Galium multiflorum and related taxa. Brittonia. 11: 105-122.",https://doi.org/10.2307/2805134,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000969436,"Mountains of Inyo County, Calif., and adjacent Kern and San Bernardino counties, at elevations of 4800 to 9000 feet.",distribution,The New York Botanical Garden,313269,"Dempster, Lauramay T. 1959. A re-evaluation of Galium multiflorum and related taxa. Brittonia. 11: 105-122.",https://doi.org/10.2307/2805134,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000969437,"Var. magnifolium apparently occupies a fairly narrow zone extending from the mountains of southern Inyo Co., California, eastward through the southern corner of Nevada and the northwest corner of Arizona, across the southern end of Utah. It is found in shady localities in cliffs and canyons, at elevations between 2500 and 7000 feet.",distribution,The New York Botanical Garden,313267,"Dempster, Lauramay T. 1958. New names and combinations in the genus Galium. Brittonia. 10: 181-192.",https://doi.org/10.2307/2804948,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000969461,"Wet or moist places at elevations of 1700-8000 feet: western Unifed States from California to Washington, and east to Montana, Idaho, and western Texas.",distribution,The New York Botanical Garden,313267,"Dempster, Lauramay T. 1958. New names and combinations in the genus Galium. Brittonia. 10: 181-192.",https://doi.org/10.2307/2804948,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000969573,"Western and central Nevada and adjoining California east of the Sierra Nevada, at elevations between 4000 and 8500 feet.",distribution,The New York Botanical Garden,313269,"Dempster, Lauramay T. 1959. A re-evaluation of Galium multiflorum and related taxa. Brittonia. 11: 105-122.",https://doi.org/10.2307/2805134,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000969576,"(Fig. 4B). Western Nev. and eastern Calif., from the Black Rock Desert south to northern Esmeralda and Inyo cos., 3800-7500 ft. Talus, rocks, anid along dry washes on volcanic strata, travertine, etc.",distribution,The New York Botanical Garden,297588,"Dempster, Lauramay T. & Ehrendorfer, Friedrich. 1965. Evolution of the Galium multiflorum complex in western North America. II. Critical taxonomic revision. Brittonia. 17: 289-334.",https://doi.org/10.2307/2805025,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000969584,"Mountains of San Bernardino and southern Inyo counties, California; southern Nevada and northwestern Arizona, at elevations between 3000 and 5000 feet.",distribution,The New York Botanical Garden,313269,"Dempster, Lauramay T. 1959. A re-evaluation of Galium multiflorum and related taxa. Brittonia. 11: 105-122.",https://doi.org/10.2307/2805134,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000969585,"Wildrose Canyon and Telescope Peak, Panamint Range, Inyo Co., California, at elevations of 7000 to 10,000 feet.",distribution,The New York Botanical Garden,313269,"Dempster, Lauramay T. 1959. A re-evaluation of Galium multiflorum and related taxa. Brittonia. 11: 105-122.",https://doi.org/10.2307/2805134,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000969587,"""Fir Tree Locality southwest of Tecopa Pass"", San Bernardinio Co., Calif., Alexander & Kellogg 2358a, type, in U.C. Herbarium.",distribution,The New York Botanical Garden,313267,"Dempster, Lauramay T. 1958. New names and combinations in the genus Galium. Brittonia. 10: 181-192.",https://doi.org/10.2307/2804948,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000969648,"Climbing in thickets, along the coast from Lower California to southern Oregon, and in chaparral areas bordering the Sacramento Valley.",distribution,The New York Botanical Garden,313267,"Dempster, Lauramay T. 1958. New names and combinations in the genus Galium. Brittonia. 10: 181-192.",https://doi.org/10.2307/2804948,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
