"referenceID","bibliographicCitation"
"ref-5529675050592942449","Lemée, A.M.V. 1955 Loranthacées Flore de la Guyane Franaise 1 535-544"
"ref-3363912042085002063","Lindeman, J.C. & A.R.A. Görts-van Rijn. 1968 Loranthaceae A.A. Pulle & J. Lanjouw Flora of Suriname, Additions and corrections 1 2 295-300"
"ref--5034242254355584945","Rizzini, C.T. 1956 Pars specialis prodromi monographiae Loranthacearum Brasiliae terrarumque finitimarum Rodriguésia 18-19 30-31 87-264"
"ref--810535631527381161","Rizzini, C.T. 1978 Los generos venezolanos y brasileros de las Lorantráceas Rodriguésia 30 46 27-31"
"ref--3112279193400556983","Kuijt, J. 1961 Notes on the anatomy of the genus Oryctanthus (Loranthaceae) Canad. J. Bot. 39 1809-1816"
"ref--3962553522904091350","Kuijt, J. 1976 Revision of the genus Oryctanthus (Loranthaceae) Bot. Jahrb. Syst. 95 478-534"
"ref--4968981854672503695","Kuijt, J. 1992 Nomenclatural changes, new species, and a revised key for the genus Oryctanthus (Loranthaceae) Bot. Jahrb. Syst. 114 173-183"
"ref--3200818315957529286","Kuijt, J. 1991 Inflorescence structure and generic placement of some small-flowered species of Phthirusa (Loranthaceae). Syst. Bot. 16 283-291"
"ref-1162034611365690647","Kuijt, J. 2000 Two new species of Oryctina (Loranthaceae) with a revised key to the genus Novon 10 391-397"
"ref-4280745825191677580","Kuijt, J. 2003 A new species of Oryctina (Loranthaceae) from Guyana Brittonia 55 169-172"
"ref-1638376133081759242","Kuijt, J. (under review) First record of the genus Oryctina (Loranthaceae) in Mesoamerica: O. costaricensis, sp. nov. Novon"
"ref--1954519932325678574","Kuijt, J. 1991 Inflorescence structure and generic placement of some small-flowered species of Phthirusa (Loranthaceae) Syst. Bot. 16 283-291"
"ref-4694940686753710506","Kuijt, J. & E.A. Kellogg. 1996 Miscellaneous mistletoe notes, 20-36 (see 34 & 35) Novon 6 33-53"
"ref-1539360814338596871","Rizzini, C.T. 1952 Phthirusae Brasiliae terrarumque adiacentium Dusenia 3 451-462"
"ref--2851495290148498754","Van Dam Fl. Guianas Suppl. 3 185 2002"
"ref-1953455730480253321","Richard Schomburgk Reisen Brit.-Guiana 3 1161 1848"
"ref--5072591716846055631","Kuijt, J. 1983 Status of the genera Aetanthus and Psathyranthus (Loranthaceae). Candollea 38 661-672"
"ref-2564108191195910101","Kuijt, J. & D. Lye. 2005 Gross xylem structure of the interface of Psittacanthus ramiflorus (Loranthaceae) with its host and with a hyperparasite Bot. J. Linn. Soc. 147 197-201"
"ref--8175973736165135651","Kuijt, J. (under review) Monograph of Psittacanthus (Loranthaceae). J. . Syst. Bot. Monogr."
"ref-2796229434196170090","Ferrari Revista Fac. Agron. (Maracay) 9 93-95 1976"
"ref-4772692371201021230","Kuijt Boggan et al. Checkl. Pl. Guianas ed. 2 1997"
"ref--8137134144112522697","Roldrán & Kuijt Novon 15 207-209 2005"
"ref--2094152590452782081","Barlow B.A. 1964 Classification of the Loranthaceae and Viscaceae Proc. Linn. Soc. New South Wales ser. 2. 89 268-272"
"ref--6117846988557616973","Dixit, S.N. 1962 Rank of the subfamilies Loranthoideae and Viscoideae Bull. Bot. Surv. India 4 49-55"
"ref-3243687065470825749","Eichler, A.W. 1868 Loranthaceae C.F.P. von Martius Flora Brasiliensis 5 2 1-135"
"ref--9130329902030097995","Engler, H.G.A. & K. Krause. 1935 Loranthaceae. H.G.A. Engler & K.A.E. Prantl Die natürlichen Pflanzenfamilien ed. 2. 16b 98-203"
"ref--8421267068693047573","Krause, K. 1932 Loranthaceae A.A. Pulle Flora of Suriname 1 1 4-24"
"ref-7497109615931616011","Kuijt, J. 1959 A study of heterophylly and inflorescence structure in Dendrophthora and Phoradendron (Loranthaceae) Acta Bot. Neerl. 8 506-546"
"ref-1091797577805819751","Kuijt, J. 1964 A revision of the Loranthaceae of Costa Rica Bot. Jahrb. Syst. 83 250-326"
"ref-172809048004904743","Kuijt, J. 1968 Mutual affinities of Santalalean families Brittonia 20 136-147"
"ref-4443414223917587628","Kuijt, J. 1978 Commentary on the mistletoes of Panama Ann. Missouri Bot. Gard. 65 736-763"
"ref--9045728630629097240","Kuijt, J. 1986 Viscaceae G. Harling & B. Sparre Flora of Ecuador 24 11-112"
"ref-2373801821950554750","Kuijt, J. 1994 Typification of the names of New World mistletoe taxa (Loranthaceae and Viscaceae) described by Martius and Eichler Taxon 43 187-199"
"ref--8565477170241084103","Kuijt, J. 1996 Cataphylls and taxonomy in Phoradendron and Dendrophthora (Viscaceae) Acta Bot. Neerl. 45 263-277"
"ref-9098021518343296261","Kuijt, J. & E. A. Kellogg. 1996 Miscellaneous mistletoe notes, 20-36 Novon 6 33-53"
"ref-4847996393011757088","Kuijt, J. 2005 Viscaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 9 464-492"
"ref-5529675050592942449","Lemée, A.M.V. 1955 Loranthacées Flore de la Guyane Franaise 1 535-544"
"ref-3363912042085002063","Lindeman, J.C. & A.R.A. Görts-van Rijn. 1968 Loranthaceae A.A. Pulle & J. Lanjouw Flora of Suriname, Additions and corrections 1 2 295-300"
"ref-6839757245406047467","Rizzini, C.T. 1956 Pars specialis prodromi monographiae Loranthacearum Brasiliae terrarumque finitimarum Rodriguésia 18-19 30-31 87-234"
"ref--1587610319037567994","Rizzini, C.T. 1978 Los generos venezolanos y brasileros de las Lorantaceas Rodriguésia 30 46 27-31"
"ref--6133226923752140005","Wiens, D. & B.A. Barlow. 1971 The cytogeography and relationships of the Viscaceous and Eremolepidaceous mistletoes Taxon 20 313-332"
"ref--5408823587142893405","Kuijt, J. 1961 A revision of Dendrophthora (Loranthaceae) Wentia 6 1-145"
"ref--4354329347822512007","Kuijt, J. 1963 Dendrophthora: additions and changes Acta Bot. Neerl. 12 521-524"
"ref--7305626198097349162","Kuijt, J. 2000 An update on the genus Dendrophthora (Viscaceae) Bot. Jahrb. Syst. 122 169-193"
"ref-6828300714112541477","Kellogg, E.A. & R.A. Howard. 1986 The West Indian species of Phoradendron (Viscaceae) J. Arnold Arbor. 67 65-107"
"ref-8305649381409212001","Kuijt, J. 2003 A monograph of Phoradendron Syst. Bot. Monogr. 66 1-643"
"ref--2913017263878096081","Rizzini, C.T. 1978 El género Phoradendron en Venezuela Rodriguésia 30 46 33-125"
"ref--521226805783323172","Trelease, W. 1916 The genus Phoradendron"
