WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000196896,ecology,EN,"Evergreen forests to dry deciduous forests, often in clearings; alt. up to ca 1200 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000196896,Forest Herbarium,All rights reserved,"Albizia lucidior. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 189. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00839,4,2
wfo-0000199754,ecology,EN,"Dry Evergreen forests, mixed deciduous forests, forest margins, open land, sandy river banks, disturbed soil; alt. sea level to 900 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199754,Forest Herbarium,All rights reserved,"Albizia myriophylla. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 198. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00846,4,2
wfo-0000185541,ecology,EN,"In hill evergreen forests, dry deciduous forests (common); alt. up to ca 1000 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000185541,Forest Herbarium,All rights reserved,"Albizia odoratissima. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 196. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00844,4,2
wfo-0000186098,ecology,EN,Evergreen forests; alt. up to ca 400 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186098,Forest Herbarium,All rights reserved,"Albizia procera. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 191. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00840,4,2
wfo-0000188054,ecology,EN,Along sea-shores and edges of evergreen forests near the sea.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000188054,Forest Herbarium,All rights reserved,"Albizia retusa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 189. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00838,4,2
wfo-0000199762,ecology,EN,"Along riversides in evergreen forests, deciduous forests and savannas; alt. up to 200 m (in S. Vietnam up to ca 1200 m).",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199762,Forest Herbarium,All rights reserved,"Albizia vialeana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 196. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00843,4,2
wfo-0000199770,ecology,EN,Evergreen forests on sandy soil; alt. up to ca 600 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199770,Forest Herbarium,All rights reserved,"Archidendron bubalinum. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 212. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00859,4,2
wfo-0001388836,ecology,EN,Evergreen forests.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001388836,Forest Herbarium,All rights reserved,"Archidendron clypearia sessiliflorum. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 211. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00857,4,2
wfo-0000199789,ecology,EN,Evergreen forests and transition from mixed deciduous forests into dry evergreen forests rich in bamboo; alt. ca 700–950 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199789,Forest Herbarium,All rights reserved,"Archidendron conspicuum. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 216. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00863,4,2
wfo-0000199792,ecology,EN,Evergreen forests; alt. up to ca 1100 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199792,Forest Herbarium,All rights reserved,"Archidendron contortum. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 211. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00858,4,2
