wfo_id,identifier,bibliographicCitation,creator,date,URL,coreId
wfo-0000213178,urn:kew.org:ftea:spec:ref:24709,Torre in Consp. Fl. Angol. 3: 78 (1962).,Torre,1962,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475201-1#bibliography,urn:lsid:ipni.org:names:475201-1
wfo-0000213149,urn:kew.org:ftea:spec:ref:24710,"Taub. in Die Pflanzenwelt Ost-Afrikas und der Nachbargebiete, Theile C: 207 (1895).",Taub.,1895,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475170-1#bibliography,urn:lsid:ipni.org:names:475170-1
wfo-0000213149,urn:kew.org:ftea:spec:ref:24711,"Bak. f., Leguminosae of Tropical Africa: 66 (1926).",Bak. f.,1926,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475170-1#bibliography,urn:lsid:ipni.org:names:475170-1
wfo-0000213149,urn:kew.org:ftea:spec:ref:24712,"J.P.M. Brenan, Check-lists of the Forest Trees and Shrubs of the British Empire no. 5, part II, Tanganyika Territory p. 408 (1949).",Brenan,1949,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475170-1#bibliography,urn:lsid:ipni.org:names:475170-1
wfo-0000213149,urn:kew.org:ftea:spec:ref:24713,Polhill in Kew Bulletin 22: 154 (1968).,Polhill,1968,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475170-1#bibliography,urn:lsid:ipni.org:names:475170-1
wfo-0000213161,urn:kew.org:ftea:spec:ref:24714,Harms in Notizblatt des Botanischen Gartens und Museums zu Berlin-Dahelm 10: 75 (1927).,Harms,1927,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475172-1#bibliography,urn:lsid:ipni.org:names:475172-1
wfo-0000194785,urn:kew.org:ftea:spec:ref:24715,Walp. in Linnaea 13: 508 (1839).,Walp.,1839,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475245-1#bibliography,urn:lsid:ipni.org:names:475245-1
wfo-0000194785,urn:kew.org:ftea:spec:ref:24716,Harv. in Fl. Cap. 2: 73 (1862).,Harv.,1862,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475245-1#bibliography,urn:lsid:ipni.org:names:475245-1
wfo-0000194785,urn:kew.org:ftea:spec:ref:24717,"Bak. f., Leguminosae of Tropical Africa: 63 (1926).",Bak. f.,1926,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475245-1#bibliography,urn:lsid:ipni.org:names:475245-1
wfo-0000194785,urn:kew.org:ftea:spec:ref:24718,"Polhill in Kew Bulletin 22: 157, map 1 (1968).",Polhill,1968,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475245-1#bibliography,urn:lsid:ipni.org:names:475245-1
wfo-0000213220,urn:kew.org:ftea:spec:ref:24719,Harms in Ber. Deutsch. Bot. Ges. 35: 185 (1917).,Harms,1917,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475260-1#bibliography,urn:lsid:ipni.org:names:475260-1
wfo-0000213220,urn:kew.org:ftea:spec:ref:24720,"Bak. f., Leguminosae of Tropical Africa: 65 (1926).",Bak. f.,1926,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475260-1#bibliography,urn:lsid:ipni.org:names:475260-1
wfo-0000213220,urn:kew.org:ftea:spec:ref:24721,"J.P.M. Brenan, Check-lists of the Forest Trees and Shrubs of the British Empire no. 5, part II, Tanganyika Territory p. 408 (1949).",Brenan,1949,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475260-1#bibliography,urn:lsid:ipni.org:names:475260-1
wfo-0000194788,urn:kew.org:ftea:spec:ref:24722,Druce in Rep. Bot. Exch. Cl. Brit. Isles 1916: 605 (1917).,Druce,1917,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475268-1#bibliography,urn:lsid:ipni.org:names:475268-1
