title,description
Greece,"TDWG Code: GRC-OO"
Bahrain,"TDWG Code: GST-BA"
Qatar,"TDWG Code: GST-QA"
"United Arab Emirates","TDWG Code: GST-UA"
Guatemala,"TDWG Code: GUA-OO"
Guinea,"TDWG Code: GUI-OO"
Guyana,"TDWG Code: GUY-OO"
Haiti,"TDWG Code: HAI-HA"
"Navassa I.","TDWG Code: HAI-NI"
"Hawaiian Is.","TDWG Code: HAW-HI"
"Johnston I.","TDWG Code: HAW-JI"
"Midway Is.","TDWG Code: HAW-MI"
"Howland-Baker Is.","TDWG Code: HBI-OO"
"Heard-McDonald Is.","TDWG Code: HMD-OO"
Honduras,"TDWG Code: HON-OO"
Hungary,"TDWG Code: HUN-OO"
Iceland,"TDWG Code: ICE-OO"
Idaho,"TDWG Code: IDA-OO"
Illinois,"TDWG Code: ILL-OO"
"Andhra Pradesh","TDWG Code: IND-AP"
Bihar,"TDWG Code: IND-BI"
Chandigarh,"TDWG Code: IND-CH"
Chattisgarh,"TDWG Code: IND-CT"
Dadra-Nagar-Haveli,"TDWG Code: IND-DD"
Delhi,"TDWG Code: IND-DE"
Diu,"TDWG Code: IND-DI"
Daman,"TDWG Code: IND-DM"
Goa,"TDWG Code: IND-GO"
Gujarat,"TDWG Code: IND-GU"
Haryana,"TDWG Code: IND-HA"
Jharkhand,"TDWG Code: IND-JK"
Kerala,"TDWG Code: IND-KE"
Karaikal,"TDWG Code: IND-KL"
Karnataka,"TDWG Code: IND-KT"
Mah,"TDWG Code: IND-MH"
"Madhya Pradesh","TDWG Code: IND-MP"
Maharashtra,"TDWG Code: IND-MR"
Orissa,"TDWG Code: IND-OR"
Pondicherry,"TDWG Code: IND-PO"
Punjab,"TDWG Code: IND-PU"
Rajasthan,"TDWG Code: IND-RA"
"Tamil Nadu","TDWG Code: IND-TN"
"Uttar Pradesh","TDWG Code: IND-UP"
"West Bengal","TDWG Code: IND-WB"
Yanam,"TDWG Code: IND-YA"
Indiana,"TDWG Code: INI-OO"
