"taxonID","habitat"
"taxon-Sorocea_sprucei","Habitat: seasonal woodland."
"taxon-1-Trymatococcus_oligandrus","Habitat: in non-inundated forest."
"taxon-2-Trymatococcus_paraensis","Habitat: in non-inundated forest."
"taxon-1-Cecropia_angulata","Habitat: mostly in secondary vegetation."
"taxon-2-Cecropia_granvilleana","Habitat: on steep, wet, slopes of granite rocks."
"taxon-3-Cecropia_kavanayensis","Habitat: in forest at altitudes between 1000 and 1900 m ."
"taxon-4-Cecropia_latiloba","Habitat: in periodically inundated places, usually along rivers."
"taxon-5-Cecropia_obtusa","Habitat: in forest and secondary growth in non-inundated places."
"taxon-6-Cecropia_palmata","Habitat: mostly in secondary growth, in non-inundated places."
"taxon-7-Cecropia_peltata","Habitat: usually in secondary growth, mostly in non-inundated places (see note!)."
"taxon-8-Cecropia_sciadophylla","Habitat: in forest and in secondary growth, in non-inundated places."
"taxon-9-Cecropia_silvae","Habitat: in forest of non-inundated places."
"taxon-1-Coussapoa_angustifolia","Habitat: in upland and riverine forest."
"taxon-2-Coussapoa_argentea","Habitat: mostly in moist forest on table mountains, at altitudes between 1000 and 1300 m ."
"taxon-3a-Coussapoa_asperifolia","Habitat: in upland and riverine forest."
"taxon-3b-Coussapoa_asperifolia","Habitat: in upland and riverine forest."
"taxon-4-Coussapoa_crassivenosa","Habitat: in forests, mostly at altitudes between 700 and 1700 m ."
"taxon-5-Coussapoa_ferruginea","Habitat: in riverine forest."
"taxon-6-Coussapoa_latifolia","Habitat: in upland forest."
"taxon-7-Coussapoa_leprieurii","Habitat: in upland and riverine forest."
"taxon-8-Coussapoa_microcephala","Habitat: in forest, often along streams, at altitudes up to 900 m ."
"taxon-9-Coussapoa_parvifolia","Habitat: in upland and riverine forest."
"taxon-10-Coussapoa_viridifolia","Habitat: in rain forest and savanna, at altitudes up to 1250 m ."
"taxon-3-POUROUMA","Habitat: The species are components of rain forest and mostly found in more or less open and/or disturbed places."
"taxon-1-Pourouma_bicolor","Habitat: in non-inundated forest."
"taxon-2-Pourouma_bolivarensis","Habitat: in forest at altitudes between 900 and 1000 m ."
"taxon-Pourouma_guianensis","Habitat: in non inundated forest."
"taxon-Pourouma_melinonii","Habitat: in non-inundated forest."
"taxon-5-Pourouma_minor","Habitat: in forest."
"taxon-Pourouma_mollis","Habitat: in non-inundated forest."
"taxon-7-Pourouma_saulensis","Habitat: in forest."
"taxon-8-Pourouma_stipulacea","Habitat: in (secondary) forest."
"taxon-9-Pourouma_tomentosa","Habitat: in non-inundated forest."
"taxon-10-Pourouma_velutina","Habitat: in non-inundated forest."
"taxon-11-Pourouma_villosa","Habitat: in non-inundated forest."
"taxon-1-Laportea_aestuans","Habitat: usually in more or less ruderal places."
"taxon-1-Phenax_sonneratii","Habitat: weedy plant of open and shaded places."
"taxon-1-Pilea_imparifolia","Habitat: in forest."
"taxon-3-Pilea_pubescens","Habitat: in forest, terrestrial, on rocks or (pseudo-)epiphytic (?)."
"taxon-4-Pilea_tabularis","Habitat: in forest."
"taxon-1-Urera_baccifera","Habitat: in forest and secondary vegetation."
"taxon-2-Urera_caracasana","Habitat: in forest."
"taxon-3-Urera_laciniata","Habitat: in forest ."
"taxon-1-Casuarina_equisetifolia","Habitat: planted as ornamental and shade tree elsewhere in the tropics and subtropics."
