taxonID,description,type,rightsHolder,source,license,rights
wfo-0000688517,Iles du Cap Vert; toute l'Afrique tropicale jusqu'au Bechuanaland au Sud,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000690821,"Nigérie, Cameroun, Angola, Chari oriental, en Afrique orientale: de l'Uganda au Bechuanaland au Sud",distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000688813,"Toute l'Afrique tropicale, s'étendant jusqu'à la mer Rouge, et l'Afrique du Sud",distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000688289,Afrique tropicale de la Sénégambie au Kenya à l'Est et jusqu'au Mozambique au Sud; Algérie; Arabie,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000687389,Afrique tropicale occidentale du Sierra Leone au Congo français,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001084781,"Du Sénégal à l'Uganda, Territoire du Tanganyika et Mozambique",distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000689054,"Afrique tropicale occidentale: de la Sénégambie au Cameroun, Haut-Chari",distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000690861,"Afrique tropicale occidentale: du Sénégal au Cameroun, S. Thomé, Rhodésie du Nord",distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000689576,Afrique tropicale de la Sénégambie au Kenya l'Angola et le Territoire du Tanganyika,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000691315,"De la Guinée supérieure à l'Angola, de l'Abyssinie au Mozambique",distribution,Meise Botanic Garden,FAC-639,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000691355,"Du Liberia à l'Angola,\tde l'Uganda au Territoire du Tanganyika",distribution,Meise Botanic Garden,FAC-639,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001235677,Cameroun (et probablement Kenya et Territoire du Tanganyika),distribution,Meise Botanic Garden,FAC-639,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000472261,Du Sénégal à l'Angola,distribution,Meise Botanic Garden,FAC-639,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001099560,"Angola, Sud du Soudan anglo-égyptien (Mvolo), Madagascar",distribution,Meise Botanic Garden,FAC-603,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000686026,"Du Transvaal à l'Uganda et à l'Abyssinie, Angola, Togo",distribution,Meise Botanic Garden,FAC-610,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000484720,"Soudan, Uganda, Kenya jusqu'à la Rhodésie septentrionale et le Mozambique, Congo français",distribution,Meise Botanic Garden,FAC-610,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000717145,Commune du Sénégal à l'Angola,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000717160,Cantonnée du Nigéria du Sud au Congo portugais,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000428247,Espèce pantropicale à large distribution dans les savanes et le long des côtes océaniques,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000428236,Espèce africaine à large distribution dans les savanes orientales et australes du Territoire du Tanganyika à l'Afrique du Sud,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000389517,Espèce forestière strictement guinéenne couvrant toute l'aire de cette province phytogéographique depuis le Sierra Leone jusqu'à l'Angola et jusqu'aux rives occidentales du lac Victoria,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000390190,Partie occidentale de la Rhodésie du Nord,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000390222,Espèce guinéenne très répandue de la Guinée française au Congo belge,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000505579,Du Nigéria du Sud au Congo belge,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000505560,Du Cameroun au Congo portugais,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000540969,Bien représentée du Nigéria du Sud et peut-être de la Côte de l'Or à l'Angola,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000389510,De la Côte d'Ivoire au Congo belge,distribution,Meise Botanic Garden,FAC-582,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000387257,Espèce tropicale africaine à faible pénétration guinéenne: du Sénégal au Soudan et de l'Uganda à Lourenço Marques ainsi qu'en Angola,distribution,Meise Botanic Garden,FAC-586,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001134280,"Afrique tropicale orientale Somalie, Kenya et Territoire du Tanganyika; Asie (régions montagneuses des Indes du Siam, du Tonkin jusque dans le Sud de la Chine)",distribution,Meise Botanic Garden,FAC-622,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001074763,Du Sierra Leone au Congo belge,distribution,Meise Botanic Garden,FAC-556,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000366260,"Commun du Nigéria à l'Arabie (Soudan, Abyssinie, Érythrée)",distribution,Meise Botanic Garden,FAC-556,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000366188,Tout le long du golfe de Guinée de la Côte d'Ivoire à l'Angola,distribution,Meise Botanic Garden,FAC-556,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000366021,"Bords du golfe de Guinée (du Togo à l'Angola), Uganda, Rhodésie",distribution,Meise Botanic Garden,FAC-556,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000424911,Commun dans toute l'Afrique australe: Hereroland et Transvaal jusqu'au Cap,distribution,Meise Botanic Garden,FAC-556,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000425063,Afrique occidentale: du Lagos à l'Angola,distribution,Meise Botanic Garden,FAC-556,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000726168,L'espèce est connue de l'Abyssinie à l'Afrique tropicale orientale et australe,distribution,Meise Botanic Garden,FAC-537,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000410707,Du Sierra-Leone à l'Angola au Sud et vers l'Est jusqu'au Congo belge où cette espèce atteint la limite orientale de son aire,distribution,Meise Botanic Garden,FAC-476,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000403602,Afrique tropicale orientale depuis l'Abyssinie jusqu'en Nigérie du Nord à l'Ouest; Madagascar,distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000403972,Afrique tropicale centrale et orientale; Madère; Canaries,distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000403610,Montagnes de l'Afrique tropicale orientale,distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001101150,Régions montagneuses de l'Afrique tropicale centrale et orientale,distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000387000,Largement répandue dans toute l'Afrique tropicale orientale depuis la Nubie et l'Abyssinie au Nord jusqu'au Transvaal au Sud et jusque dans l'Angola à l'Ouest,distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000489163,Toute l'Afrique tropicale la région méditerranéenne et l'Asie tropicale jusqu'en Australie,distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001100964,"Fernando Po, toute l'Afrique tropicale orientale; Madagascar; Asie tropicale",distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000489976,"Afrique tropicale, depuis le Nord du Nigéria, le Soudan et l'Égypte jusqu'en Angola et en Rhodésie; Asie tropicale",distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000489817,"Afrique tropicale centrale, signalé vers l'Est jusqu'au Territoire du Tanganyika",distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000489136,Toute l'Afrique tropicale jusqu'en Afrique du Sud; toute l'Asie tropicale,distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000741886,"Largement répandue dans toute l'Afrique tropicale, l'Afrique du Sud et probablement l'Asie tropicale",distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000685460,"Originaire de la région du fleuve Amour et du lac Baïkal, cultivée et adventice dans toutes les régions tempérées du monde",distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000538920,Originaire du Mexique,distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000522638,Élément guinéen répandu dans les formations forestières de l'Afrique tropicale occidentale,distribution,Meise Botanic Garden,FAC-605,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000600974,Espèce cosmopolite d'origine américaine répandue dans tous les continents; en Afrique: d'Algérie au Cap,distribution,Meise Botanic Garden,FAC-501,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000601766,"De l'Abyssinie à l'Afrique du Sud, Angola",distribution,Meise Botanic Garden,FAC-501,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000601675,"De l'Abyssinie au Territoire du Tanganyika, Angola",distribution,Meise Botanic Garden,FAC-501,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593019,"Du Libéria à I'Angola de l'Abyssinie au Mozambique; Asie tropicale, Malaisie; (Brésil?)",distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593208,Du Sénégal à l'Angola de l'Arabie et de l'Érythrée au Mozambique et à l'Afrique du Sud; Madagascar,distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593184,"De l'Uganda au Mozambique, Angola",distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593103,"De la Sénégambie à l'Angola, pays des Niamniam, Rhodésie",distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000530136,Régions tropicales et subtropicales,distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000530230,"De l'Égypte au Mozambique, du Togo à l'Angola; régions chaudes des deux hémisphères",distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000647238,De l'Ethiopie et de la Somalie à l'Usambara et Madagascar; Arabie; Asie tropicale; Malaisie,distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001046040,"Uganda, de l'Angola au Mozambique",distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000521764,"Du Sierra Leone au Mozambique; Asie tropicale, Malaisie",distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000521780,De l'Angola au Mozambique et à l'Afrique australe,distribution,Meise Botanic Garden,FAC-465,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
