taxonID,description,type,rightsHolder,source,license,rights
wfo-0000222863,"Assez répandu, avec de nombreux spécimens dans des habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222863,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222865,"Avec une distribution assez restreinte, mais dans un habitat encore commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222865,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222895,"Relativement largement répandu, connu d’un grand nombre de spécimens et dans de nombreux habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222895,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222907,"Assez répandu, dans un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222907,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222908,"Assez répandu, avec plus de vingt spécimens de la République démocratique du Congo, connu dans un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222908,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000224589,"Probablement Préoccupation mineure (LC) ; un taxon très répandu, connu de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000224589,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000224590,"Probablement Préoccupation mineure (LC) ; un taxon très répandu, connu de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000224590,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000224594,"Probablement Préoccupation mineure (LC) ; taxon très répandu, connu de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000224594,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000224595,"Probablement Préoccupation mineure (LC) ; taxon très répandu, connu de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000224595,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000226921,"Probablement Préoccupation mineure (LC) ; taxon répandu, connu de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000226921,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
