TaxonID,Locality,LocalityID,countryCode,establishmentMeans,Source,occurenceStatus,licence
wfo-0000609451,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000610926,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000183399,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0001003501,Hungary,HUN,HU,uncertain,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000924760,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000924829,Hungary,HUN,HU,uncertain,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",doubtful,https://creativecommons.org/licenses/by/4.0/
wfo-0000924831,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000924834,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000925259,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000925290,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000623618,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000983884,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",rare,https://creativecommons.org/licenses/by/4.0/
wfo-0000984749,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",rare,https://creativecommons.org/licenses/by/4.0/
wfo-0001008928,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000988941,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000984241,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0001263196,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000989643,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000989734,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0001016197,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0001016497,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000990421,Hungary,HUN,HU,managed,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0001009174,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000988672,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000987353,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000984411,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000994234,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000989083,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
