WFOID,vernacularName,identifier,isPreferredName,source,language,countryCode,uri,bibliographicCitation,rights,license
wfo-0000234691,khang poi (ขางปอย)(Nakhon Phanom),ver-THA-0000234691.07,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,sat pa (ซาดป่า)(Nakhon Phanom),ver-THA-0000234691.08,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,"sak kabua lawa (สากกะเบือละว้า)(Phitsanulok, Sukhothai)",ver-THA-0000234691.09,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,kham daeng (คำแดง)(Central),ver-THA-0000234691.10,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,kham saet (คำแสด)(Central),ver-THA-0000234691.11,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,ma khai (มะคาย)(Central),ver-THA-0000234691.12,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,thong thuai (ทองทวย)(Central),ver-THA-0000234691.13,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,saet (แสด)(Central),ver-THA-0000234691.14,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,"thaeng thuai (แทงทวย)(Central, Ratchaburi)",ver-THA-0000234691.15,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,lai tua phu (ลายตัวผู้)(Chanthaburi),ver-THA-0000234691.16,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
