"wfo_id","description","source","bibiographicCitation","URL"
"wfo-0001031795","Chromosome number: 2n=24, 48.","E1B7F236-5CCF-4680-9779-FC2C16219AE4","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:821287-1#descriptions"
"wfo-0001087426","Chromosome number n=24.","10A7C1DF-DBB7-4355-BED7-1C592C382996","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:613366-1#descriptions"
"wfo-0001087487","Chromosome number n=7 (ring of 14 at meiotic metaphase I).","8539786F-E946-4EDF-B870-963D25D060C4","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:613798-1#descriptions"
"wfo-4000003813","Chromosome number: n=13.","70E3E9EF-628D-49DE-B9D2-B4EF23923014","Malvaceae, A. W. Exell. Flora Zambesiaca 1:2. 1961","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:314096-2#descriptions"
"wfo-4000006491","Chromosome number: 2n=56 (1 species).","BED7FAEF-99CB-409C-A3DC-0186EDB6B62D","Celastraceae, N. K. Robson. Flora Zambesiaca 2:2. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:6530-1#descriptions"
"wfo-4000008313","Chromosome number: n=10 or 11.","9E363CA7-F719-4489-B650-697A51E41580","Malvaceae, A. W. Exell. Flora Zambesiaca 1:2. 1961","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:25840-1#descriptions"
"wfo-4000014069","n=10, 20.","375BBEF9-A3F4-4649-8CE4-2011838F6960","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:8874-1#descriptions"
"wfo-4000016078","Chromosome number: n=12.","6C7E10A9-01ED-4F80-8D1C-90318F63FB2C","Malvaceae, A. W. Exell. Flora Zambesiaca 1:2. 1961","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:25886-1#descriptions"
"wfo-4000016081","Chromosome number: n=13 or 26.","4854FCFC-EDC9-48C2-BE40-D4217AE11D87","Malvaceae, A. W. Exell. Flora Zambesiaca 1:2. 1961","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30013018-2#descriptions"
"wfo-4000017959","Chromosome number: 2n=56 (3 species).","334AABB7-AB9D-402F-8182-98EDEDF829AB","Celastraceae, N. K. Robson. Flora Zambesiaca 2:2. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:329983-2#descriptions"
"wfo-4000022495","Chromosome base number: x=12.","85318435-F0E6-47AF-8853-E696F3F0B9F2","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30001330-2#descriptions"
"wfo-4000033821","Chromosome number: 2n = 28 (8 species).","56A62C54-582A-405A-9D3B-43FFFEB1C5F9","Celastraceae, N. K. Robson. Flora Zambesiaca 2:2. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331924-2#descriptions"
"wfo-4000035688","Predominantly diploid, but also tetraploid, hexaploid or octoploid; chromosome number-base: x=12.","6C4013E8-2A16-4412-8C8F-87505F000B8C","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30000630-2#descriptions"
"wfo-4000038191","Chromosome number: n=13.","DE1E21F2-B541-4B8E-B18A-CADF8E490897","Malvaceae, A. W. Exell. Flora Zambesiaca 1:2. 1961","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:332010-2#descriptions"
"wfo-4000040261","Chromosome count usually 2n=22, rarely 2n=20.","F41CCEA7-0F32-4D3D-A8D6-5405E307C107","Leguminosae, B. Mackinder, R. Pasquet, R. Polhill & B. Verdcourt. Flora Zambesiaca 3:5. 2001","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:325971-2#descriptions"
