WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0001290708,150219524,149881318,Viburnum cylindricum,VIBURNACEAE,Viburnum,cylindricum,,,,Buch.-Ham. ex D. Don,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2025-2.rlts.t149881318a150219524.en,"(2025). Viburnum cylindricum: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2025-2.rlts.t149881318a150219524.en"
wfo-0000398023,150219539,150055368,Brassaiopsis mitis,ARALIACEAE,Brassaiopsis,mitis,,,,C.B.Clarke,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t150055368a150219539.en,"(2020). Brassaiopsis mitis: Pathak, J. & Lakhey, P. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t150055368a150219539.en"
wfo-0000563200,150219544,150104249,Berberis glaucocarpa,BERBERIDACEAE,Berberis,glaucocarpa,,,,Stapf,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t150104249a150219544.en,"(2020). Berberis glaucocarpa: Lakhey, P., Pathak, J. & Adhikari, B. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t150104249a150219544.en"
wfo-0000564056,150219554,150104333,Berberis wallichiana,BERBERIDACEAE,Berberis,wallichiana,,,,DC.,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t150104333a150219554.en,"(2019). Berberis wallichiana: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t150104333a150219554.en"
wfo-0000779615,150219559,150104502,Stereospermum chelonoides,BIGNONIACEAE,Stereospermum,chelonoides,,,,(L.f.) DC.,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150104502a150219559.en,"(2021). Stereospermum chelonoides: IUCN SSC Global Tree Specialist Group, Botanic Gardens Conservation International (BGCI), Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150104502a150219559.en"
wfo-0001143195,150219579,150123982,Trema politoria,CANNABACEAE,Trema,politoria,,,,(Planch.) Blume,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150123982a150219579.en,"(2021). Trema politoria: IUCN SSC Global Tree Specialist Group, Botanic Gardens Conservation International (BGCI), Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150123982a150219579.en"
wfo-0000584925,150219584,150124016,Capparis multiflora,CAPPARACEAE,Capparis,multiflora,,,,Hook.f. & Thomson,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t150124016a150219584.en,"(2023). Capparis multiflora: Rivers, M.C. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t150124016a150219584.en"
wfo-0001296689,150219659,150129474,Rivea hypocrateriformis,CONVOLVULACEAE,Rivea,hypocrateriformis,,,,(Desr.) Choisy,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150129474a150219659.en,"(2021). Rivea hypocrateriformis: IUCN SSC Global Tree Specialist Group, Botanic Gardens Conservation International (BGCI), Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150129474a150219659.en"
wfo-0001046618,150219689,150129900,Sloanea sterculiacea,ELAEOCARPACEAE,Sloanea,sterculiacea,,,,(Benth.) Rehder & E.H.Wilson,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150129900a150219689.en,"(2021). Sloanea sterculiacea: IUCN SSC Global Tree Specialist Group, Botanic Gardens Conservation International (BGCI), Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150129900a150219689.en"
wfo-0000623093,150219754,150212664,Corylopsis himalayana,HAMAMELIDACEAE,Corylopsis,himalayana,,,,Griff.,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150212664a150219754.en,"(2021). Corylopsis himalayana: Lakhey, P., Pathak, J., IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI). IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t150212664a150219754.en"
wfo-0001263629,150219759,150212694,Hydrangea robusta,HYDRANGEACEAE,Hydrangea,robusta,,,,Hook.f. & Thomson,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t150212694a150219759.en,"(2022). Hydrangea robusta: Harvey-Brown, Y. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t150212694a150219759.en"
