WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000561950,145297623,145280386,Beilschmiedia lancilimba,LAURACEAE,Beilschmiedia,lancilimba,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2023-1.rlts.t145280386a145297623.en,"(2021). Beilschmiedia lancilimba: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2023-1.rlts.t145280386a145297623.en"
wfo-0000562005,145297718,145283615,Beilschmiedia muricata,LAURACEAE,Beilschmiedia,muricata,,,,H.T.Chang,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t145283615a145297718.en,"(2023). Beilschmiedia muricata: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t145283615a145297718.en"
wfo-0000562074,145297883,145289281,Beilschmiedia punctilimba,LAURACEAE,Beilschmiedia,punctilimba,,,,H.W.Li,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-2.rlts.t145289281a145297883.en,"(2020). Beilschmiedia punctilimba: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-2.rlts.t145289281a145297883.en"
wfo-0000562084,145297908,145289670,Beilschmiedia robertsonii,LAURACEAE,Beilschmiedia,robertsonii,,,,Gamble,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-1.rlts.t145289670a145297908.en,"(2020). Beilschmiedia robertsonii: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-1.rlts.t145289670a145297908.en"
wfo-0000562086,145297918,145289743,Beilschmiedia robynsiana,LAURACEAE,Beilschmiedia,robynsiana,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t145289743a145297918.en,"(2020). Beilschmiedia robynsiana: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t145289743a145297918.en"
wfo-0000562093,145297938,145289827,Beilschmiedia rufoperulata,LAURACEAE,Beilschmiedia,rufoperulata,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2019-3.rlts.t145289827a145297938.en,"(2019). Beilschmiedia rufoperulata: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-3.rlts.t145289827a145297938.en"
wfo-0000562114,145297978,145290553,Beilschmiedia sulcata,LAURACEAE,Beilschmiedia,sulcata,,,,(Ruiz & Pav.) Kosterm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-3.rlts.t145290553a145297978.en,"(2019). Beilschmiedia sulcata: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-3.rlts.t145290553a145297978.en"
wfo-0000562116,145297983,145290592,Beilschmiedia superba,LAURACEAE,Beilschmiedia,superba,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145290592a145297983.en,"(2020). Beilschmiedia superba: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145290592a145297983.en"
wfo-0000562117,145297988,145290602,Beilschmiedia supraglandulosa,LAURACEAE,Beilschmiedia,supraglandulosa,,,,Y.K.Li,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t145290602a145297988.en,"(2023). Beilschmiedia supraglandulosa: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t145290602a145297988.en"
wfo-0000562163,145298113,145296078,Beilschmiedia zapoteoides,LAURACEAE,Beilschmiedia,zapoteoides,,,,(Lundell) Kosterm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-1.rlts.t145296078a145298113.en,"(2020). Beilschmiedia zapoteoides: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-1.rlts.t145296078a145298113.en"
