WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0001019777,58396933,51247690,Brugmansia sanguinea,SOLANACEAE,Brugmansia,sanguinea,,,,(Ruiz & Pavón) D. Don,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247690a58396933.en,"(2014). Brugmansia sanguinea: Hay, A. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247690a58396933.en"
wfo-0001019786,58903534,51247712,Brugmansia vulcanicola,SOLANACEAE,Brugmansia,vulcanicola,,,,(A.S.Barclay) R.E.Schult.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247712a58903534.en,"(2014). Brugmansia vulcanicola: Hay, A. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247712a58903534.en"
wfo-0001019755,58906215,38124,Brugmansia aurea,SOLANACEAE,Brugmansia,aurea,,,,Lagerh.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t38124a58906215.en,"(2014). Brugmansia aurea: Hay, A. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t38124a58906215.en"
wfo-0001019785,58908295,38125,Brugmansia versicolor,SOLANACEAE,Brugmansia,versicolor,,,,Lagerh.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t38125a58908295.en,"(2014). Brugmansia versicolor: Hay, A. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t38125a58908295.en"
wfo-0001019783,58913403,51247699,Brugmansia suaveolens,SOLANACEAE,Brugmansia,suaveolens,,,,(Willd.) Sweet,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247699a58913403.en,"(2014). Brugmansia suaveolens: Hay, A. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247699a58913403.en"
wfo-0000371229,61526819,32059,Mangifera casturi,ANACARDIACEAE,Mangifera,casturi,,,,Kosterm.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2016-3.rlts.t32059a61526819.en,"(2014). Mangifera casturi: Rhodes, L. & Maxted, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2016-3.rlts.t32059a61526819.en"
wfo-0000692148,62077322,30408,Franklinia alatamaha,THEACEAE,Franklinia,alatamaha,,,,Marshall,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2015-2.rlts.t30408a62077322.en,"(2015). Franklinia alatamaha: Rivers, M.C. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2015-2.rlts.t30408a62077322.en"
wfo-0000193785,62758122,62758119,Arachis rigonii,FABACEAE,Arachis,rigonii,,,,Krapov. & W.C.Greg.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2021-1.rlts.t62758119a62758122.en,"(2020). Arachis rigonii: Atahuachi, M., Clegg, R. & Vique, I. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-1.rlts.t62758119a62758122.en"
wfo-0000133120,67370818,37595,Lachanodes arborea,ASTERACEAE,Lachanodes,arborea,,,,(Roxb.) B.Nord.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2016-1.rlts.t37595a67370818.en,"(2015). Lachanodes arborea: Lambdon, P.W. & Ellick, S. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2016-1.rlts.t37595a67370818.en"
wfo-0000458817,67371983,30560,Trochetiopsis erythroxylon,MALVACEAE,Trochetiopsis,erythroxylon,,,,(G.Forst.) Marais,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2016-1.rlts.t30560a67371983.en,"(2015). Trochetiopsis erythroxylon: Lambdon, P.W. & Ellick, S. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2016-1.rlts.t30560a67371983.en"
