WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0001246439,distribution,EN,"Thailand, India (type), Ceylon, W. Malesia (Sumatra, Malay Peninsula, Java), SW. China, Formosa.",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001246439,Forest Herbarium,All rights reserved,"Eurya acuminata acuminata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 155. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00292,2,2
wfo-0001282096,distribution,EN,"Thailand, India (type), Indochina, SW. China (Yunnan).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001282096,Forest Herbarium,All rights reserved,"Eurya acuminata wallichiana. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 156. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00293,2,2
wfo-0001220600,distribution,EN,"Thailand, India, Indochina, Sumatra, Java, Borneo (type), Philippines, S. & SW. China, Hainan, Caroline and Marianna Islands.",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001220600,Forest Herbarium,All rights reserved,"Eurya nitida nitida. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 156. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00295,2,2
wfo-0000683165,distribution,EN,Endemic to Thailand.,H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000683165,Forest Herbarium,All rights reserved,"Eurya nitida siamensis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00296,2,2
wfo-0000424775,distribution,EN,"Tropical Asia from Ceylon (type) throughout Indochina and Malaysia, Melanesia and Polynesia to N. Australia.",K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000424775,Forest Herbarium,All rights reserved,"Flagellaria indica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 162. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00307,2,2
wfo-0000707635,distribution,EN,"Thailand, S. & E. China (type), Vietnam, Hainan, and Formosa.",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000707635,Forest Herbarium,All rights reserved,"Gordonia axillaris. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 144. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00267,2,2
wfo-0000707653,distribution,EN,Endemic to Thailand.,H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000707653,Forest Herbarium,All rights reserved,"Gordonia dalglieshiana. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 143. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00266,2,2
wfo-0000434744,distribution,EN,"Thailand, Ceylon, Cochinchina, Malay Peninsula (type), Malesia, Micronesia (Palau).",K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000434744,Forest Herbarium,All rights reserved,"Hanguana malayana. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 164. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00310,2,2
wfo-0000730095,distribution,EN,"Thailand, Malay Peninsula (type).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000730095,Forest Herbarium,All rights reserved,"Illicium peninsulare. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 115. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00219,2,2
wfo-0001254717,distribution,EN,"Thailand, Malay Peninsula (type).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001254717,Forest Herbarium,All rights reserved,"Illicium tenuifolium. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 116. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00220,2,2
