LocalID,WFOID,scientificName,Publishedin,Devnagari,transliteration,Ecology,Distribution
NEP10555,wfo-0000729457,Ilex godajam (Colebr.) Wall. ex Hook.f. ,Fl. Brit. India 1: 604. 1875.,u'a]{ ,Gurbe,"C, E Nepal: 200-1700 m.","Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP10557,wfo-0000729487,Ilex hookeri King,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 55: 266. 1886. ",,,E Nepal: 2800-2900 m. ,"Nepal, E Himalaya, Assam-Burma and E Asia."
NEP10558,wfo-0000729509,Ilex intricata Hook.f. ,Fl. Brit. India 1: 602. 1875. ,,,"W, E Nepal: 1700-3700 m. ","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia."
NEP10559,wfo-0000729531,Ilex kingiana Cockerell ,Torreya 11: 264. 1911. ,ln;] ,Lise,E Nepal: 1500-2200 m. ,Nepal and E Himalaya.
NEP10561,wfo-0000729679,Ilex odorata Buch.-Ham. ex D.Don,Prodr. Fl. Nepal. 189. 1825. ,,,"C, E Nepal: 1700-3200 m.","Nepal, W Himalaya, E Himalaya, Assam-Burma and SE Asia. "
NEP10563,wfo-0000729763,Ilex pseudo-odorata Loes. ,Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 78: 285. 1901. ,,,W Nepal: 600-700 m. ,Nepal and W Himalaya.
NEP10564,wfo-0000729835,Ilex sikkimensis Kurz ,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 44(2): 202. 1875. ",,,E Nepal: 2200-3300 m. ,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia."
NEP10565,wfo-0000823083,Asyneuma fulgens (Wall.) Briq. ,Candollea 4: 334. 1931.,,,"W, C Nepal: 1500-2500 m. ","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia."
NEP10567,wfo-0000826465,Campanula alsinoides Hook.f. & Thomson ,"J. Proc. Linn. Soc., Bot. 2: 24. 1858.",,,"C, E Nepal: 3600-4000 m",Nepal and W Himalaya.
NEP10568,wfo-0000826531,Campanula argyrotricha Wall. ex DC. ,Prodr. 7: 473. 1839.,,,"W, C, E Nepal: 2700-4700 m.","Nepal, W Himalaya and E Himalaya."
