"                                 eFlora Nepal in World Flora Online (www.worldfloraonline.org).  Source:  Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal (Correspondence: ).",,,,,,,,,,,,,
Order,Family,Genera,Taxon ID,WFO_ID,Taxon names,Literature citation,Nepali name(s),,Distribution in Nepal,Plant images,,General/ global distribution,Comments
,,,,,,,Devnagari,Transliteration,,Plant photos,Herbarium specimen,,
,Rosaceae ,,NEP05626,wfo-0001008044,Spiraea diversifolia Dunn ,,,,,,,,
,Rosaceae ,,NEP05627,wfo-0001017692,Spiraea micrantha Hook.f.,Fl. Brit. India 2: 325. 1878.,,,"W, C, E Nepal: 1500-3000 m.",,,"Nepal, E Himalaya and Assam-Burma.",
,Rosaceae ,,NEP05628,wfo-0001368723,Spiraea japonica subsp. micrantha (Hook.f.) Kitam.,,,,,,,,
,Rosaceae ,,NEP05629,wfo-0000996992,Spiraea vacciniifolia D.Don,Prodr. Fl. Nepal. 227. 1825.,,,"W, C Nepal: 1500-2300 m. ",,,Nepal and W Himalaya.,
,Rosaceae ,,NEP05630,wfo-0000984202,Spiraea laxiflora Lindl.,,,,,,,,
,Rosaceae ,Thomsonaria Rushforth,NEP05631,wfo-1000007929,Thomsonaria thomsonii (King ex Hook.f.) Rushforth,Phytologia 100: 237. 2018.,,,E Nepal: 1700-2800 m.,,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",
,Rosaceae ,,NEP05632,wfo-0001017483,Pyrus thomsonii King ex Hook.f.,,,,,,,,
,Rosaceae ,,NEP05633,#N/A,Micromeles thomsonii C.K.Schneider,,,,,,,,
,Rosaceae ,,NEP05634,wfo-0001016353,Sorbus thomsonii (King ex Hook.f.) Rehder,,,,,,,,
,Elaeagnaceae ,Elaeagnus L.,NEP05635,wfo-1200027103,Elaeagnus caudata Schltdl. ex Momiy. var. caudata,Fl. E. Himalaya 2nd. Rep. 85. 1971.,,,"C, E Nepal: 400-3500 m. ",,,Nepal and E Himalaya.,
,Elaeagnaceae ,,NEP05636,wfo-0001386918,Elaeagnus caudata Schltdl. ex Momiy. var. aliena Momiy.,Fl. E. Himalaya 2nd. Rep. 87. 1971.,,,E Nepal: 2500-2800 m. ,,,Nepal and Assam-Burma.,
,Elaeagnaceae ,,NEP05637,wfo-0000663803,Elaeagnus infundibularis Momiy.,J. Jap. Bot. 48(9): 262. 1973. ,"u'P]nL, dlbnf] ","Guyeli, Madilo","C, E Nepal: 1200-2500 m. ",,,Nepal and E Himalaya.,
,Elaeagnaceae ,,NEP05638,#N/A,Elaeagnus armata Buch.-Ham. ex Schltdl.,,,,,,,,
,Elaeagnaceae ,,NEP05639,wfo-0000663809,Elaeagnus kanaii Momiy.,J. Jap. Bot. 48(9): 264. 1973.,sfn u]8L ,Kal gedi,"W, C, E Nepal: 1400-3200 m. ",,,Nepal and W Himalaya.,
,Elaeagnaceae ,,NEP05640,wfo-0000663950,Elaeagnus tricholepis Momiy.,J. Jap. Bot. 48(9): 262. 1973. ,,,C Nepal: 1500-3000 m. ,,,Endemic to Nepal. ,
,Elaeagnaceae ,,NEP05641,wfo-0000663963,Elaeagnus umbellata Thunb.,Syst. Veg. (ed. 14) 164. 1784.,u'P]nL ,Guyeli,"W, C, E Nepal: 1300-4000 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, E Asia and SW Asia.",
,Elaeagnaceae ,,NEP05642,wfo-0000663890,Elaeagnus parvifolia Wall. ex Royle ,,,,,,,,
,Elaeagnaceae ,Hippophae L.,NEP05643,wfo-0000723747,Hippophae salicifolia D.Don,Prodr. Fl. Nepal. 68. 1825.,"8fn] r's, r'uf] ","Dale chuk, Chugo","W, C Nepal: 2200-3900 m.",,,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau. ",
,Elaeagnaceae ,,NEP05644,wfo-0000663919,Elaeagnus salicifolia (D.Don) A.Nelson,,,,,,,,
,Elaeagnaceae ,,NEP05645,wfo-0001046545,Hippophae rhamnoides subsp. salicifolia (D.Don) Servett.,,,,,,,,
,Elaeagnaceae ,,NEP05646,wfo-0001046529,Hippophae tibetana Schltdl.,Linnaea 32(3): 296. 1864.,"e'O{F r's, ;]s]{ ","Bhuin chuk, Serke","W, C, E Nepal: 3300-4500 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia. ",
,Elaeagnaceae ,,NEP05647,#N/A,Hippophae rhamnoides subsp. tibetana (Schlecht.) Servett.,,,,,,,,
,Rhamnaceae ,Berchemia Neck. ex DC.,NEP05648,wfo-0000564135,Berchemia edgeworthii M.A.Lawson,Fl. Brit. India 1: 638. 1875. ,d';] n/L ,Muse lari,"W, C Nepal: 2100-4400 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia. ",
,Rhamnaceae ,,NEP05649,wfo-0000564138,Berchemia flavescens (Wall.) Brongn.,Mém. Fam. Rhamnées 50. 1826. ,,,"W, C, E Nepal: 2200-3500 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",
,Rhamnaceae ,,NEP05650,wfo-0001131527,Ziziphus flavescens Wall.,,,,,,,,
,Rhamnaceae ,,NEP05651,wfo-0000564139,Berchemia floribunda (Wall.) Brongn.,Mém. Fam. Rhamnées 50. 1826. ,,,"C, E Nepal: 1400-3100 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia. ",
,Rhamnaceae ,,NEP05652,wfo-0001131529,Ziziphus floribunda Wall.,,,,,,,,
,Rhamnaceae ,Gouania Jacq.,NEP05653,wfo-0000708307,Gouania leptostachya DC.,Prodr. 2: 40. 1825. ,e6\jf;L ,Bhatwasee,"W, C, E Nepal: 100-2000 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Rhamnaceae ,,NEP05654,wfo-0000708335,Gouania napalensis Wall.,Fl. Ind. 2: 417. 1824. ,,,"W, C, E Nepal: 800-2500 m. ",,,"Nepal, E Himalaya, Assam-Burma and S Asia.",
,Rhamnaceae ,Helinus E.Mey. ex Endl.,NEP05655,wfo-0000718182,Helinus lanceolatus Brandis,Forest Fl. N.W. India 574. 1874.,,,W Nepal: 400-900 m. ,,,"Nepal, W Himalaya, Assam-Burma and S Asia.",
,Rhamnaceae ,,NEP05656,wfo-0000708302,Gouania lanceolata Wall.,,,,,,,,
,Rhamnaceae ,Hovenia Thunb.,NEP05657,wfo-0001131352,Hovenia acerba Lindl.,Bot. Reg. 6: t. 501. 1820. ,aFfuL sf7 ,Bangi kath,"C, E Nepal: 400-1500 m. ",,,"Nepal, E Himalaya, Assam-Burma and E Asia. ",
,Rhamnaceae ,Paliurus Mill.,NEP05658,wfo-0000471780,Paliurus spina-christi Mill.,Gard. Dict. (ed. 8) 1768.,,,C Nepal: 800-1500 m (Naturalized/ planted in Nepal). ,,,Native of Mediterranean region and SW Asia. ,
,Rhamnaceae ,,NEP05659,#N/A,Ziziphus spina-christi (Mill.) Georgi,,,,,,,,
,Rhamnaceae ,Rhamnella Miq.,NEP05660,wfo-0000471780,Rhamnella martinii (H.Lév.) C.K.Schneid.,Pl. Wilson. 2(1): 225. 1914.,,,C Nepal: 1300-2100 m. ,,,"Nepal, Tibetan Plateau and E Asia.",
,Rhamnaceae ,,NEP05661,wfo-0001131475,Rhamnus martini H.Lév.,,,,,,,,
,Rhamnaceae ,Rhamnus L.,NEP05662,wfo-0001131413,Rhamnus bodinieri H.Lév.,Repert. Spec. Nov. Regni Veg. 10: 473. 1912.,,,E Nepal: 2400 m. ,,,"Nepal, E Asia and SE Asia.",
,Rhamnaceae ,,NEP05663,wfo-0001131431,Rhamnus napalensis (Wall.) M.A.Lawson,Fl. Brit. India 1: 640. 1875. ,lrNn] sf7 ,Chille kath,"C, E Nepal: 600-1700 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia, SE Asia and Africa (Madagascar).",
,Rhamnaceae ,,NEP05664,#N/A,Ceanothus nepalensis Wall.,,,,,,,,
,Rhamnaceae ,,NEP05665,wfo-0001130883,Rhamnus procumbens Edgew.,Trans. Linn. Soc. London 20(1): 43. 1846.,,,"W, C, E Nepal: 1600-3800 m.",,,"Nepal, W Himalaya, E Himalaya and Assam-Burma.",
,Rhamnaceae ,,NEP05666,wfo-0001281515,Rhamnus prostrata Jacquem. ex R.Parker,Bull. Misc. Inform. Kew 1921: 217. 1921.,,,C Nepal: 3600-3700 m.,,,"Nepal, W Himalaya, Tibetan Plateau and SW Asia.",
,Rhamnaceae ,,NEP05667,wfo-0001131275,Rhamnus purpurea Edgew.,Trans. Linn. Soc. London 20(1): 44. 1846.,,,"W, C, E Nepal: 800-3200 m. ",,,"Nepal, W Himalaya and E Himalaya.",
,Rhamnaceae ,,NEP05668,wfo-0001284975,Rhamnus triquetra (Wall.) Brandis,Forest Fl. N.W. India 92. 1874.,,,"W, C, E Nepal: 700-2100 m. ",,,Nepal and W Himalaya. ,
,Rhamnaceae ,,NEP05669,wfo-0001284976,Ceanothus triquetrus Wall.,,,,,,,,
,Rhamnaceae ,,NEP05670,wfo-0001131395,Rhamnus virgata Roxb. var. virgata ,Fl. Ind. 2: 351. 1824. ,"sfF8] k}Fo', efn' sfF8f ","Kande paiyun, Bhalu kanda","W, C, E Nepal: 1000-3000 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia. ",
,Rhamnaceae ,,NEP05671,wfo-0001387608,Rhamnus virgata Roxb. var. flavida (Momiy.) Momiy.,Fl. E. Himalaya 3rd. Rep. 80. 1975.,,,C Nepal: 1300-2900 m. ,,,Endemic to Nepal. ,
,Rhamnaceae ,,NEP05672,#N/A,Rhamnus flavidus Momiy.,,,,,,,,
,Rhamnaceae ,,NEP05673,wfo-0000460089,Rhamnus wightii Wight & Arn.,Prodr. Fl. Ind. Orient. 1: 164. 1834. ,,,"W, C Nepal: 700-1400 m. ",,,S Asia. ,
,Rhamnaceae ,Sageretia Brongn.,NEP05674,wfo-0001284967,Sageretia filiformis (Roth) G.Don,Gen. Hist. 2: 29. 1832.,,,"W, C, E Nepal: 800-1900 m. ",,,"Nepal, E Himalaya and Assam-Burma.",
,Rhamnaceae ,,NEP05675,wfo-0001284968,Rhamnus filiformis Roth,,,,,,,,
,Rhamnaceae ,,NEP05676,wfo-0000460167,Rhamnus trigyna D.Don,,,,,,,,Spelling error corrected
,Rhamnaceae ,,NEP05677,#N/A,Sageretia oppositifolia (Wall.) Brongn.,,,,,,,,
,Rhamnaceae ,,NEP05678,wfo-0000430259,Ziziphus oppositifolia Wall.,,,,,,,,Status changed
,Rhamnaceae ,,NEP05679,wfo-0001131501,Sageretia hamosa (Wall.) Brongn.,Mém. Fam. Rhamnées 53. 1826.,,,C Nepal: 1500 m. ,,,"Nepal, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia.",
,Rhamnaceae ,,NEP05680,wfo-0001131530,Ziziphus hamosa Wall.,,,,,,,,
,Rhamnaceae ,,NEP05681,wfo-0001389455,Sageretia thea (Osbeck.) M.C.Johnst. var. bornmuelleri (C.K.Schneid.) M.C.Johnst. ex H.Hara,Enum. Fl. Pl. Nepal 2: 92. 1979. ,,,"W, C Nepal: 2400-3200 m. ",,,"Nepal, W Himalaya and SW Asia.",
,Rhamnaceae ,,NEP05682,wfo-0001131296,Rhamnus thea Osbeck.,,,,,,,,
,Rhamnaceae ,,NEP05683,#N/A,Sageretia brandrethiana var. bornmuelleri C.K.Schneid.,,,,,,,,Status doubtful
,Rhamnaceae ,Ventilago Gaertn.,NEP05684,wfo-0000418397,Ventilago denticulata Willd.,Ges. Naturf. Freunde Berlin Neue Schriften 3: 417. 1810. ,;g/hf]d ,Sanarjom,"W, C Nepal: 400-500 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Rhamnaceae ,,NEP05685,wfo-0000418343,Ventilago macrantha Tul.,,,,,,,,
,Rhamnaceae ,Ziziphus Mill.,NEP05686,wfo-0000430548,Ziziphus apetala Hook.f.,Fl. Brit. India 1: 635. 1875.,,,C Nepal: 900-1000 m. ,,,"Nepal, E Himalaya and S Asia.",
,Rhamnaceae ,,NEP05687,wfo-0001131514,Ziziphus incurva Roxb.,Fl. Ind. 2: 364. 1824. ,xf8] ao/ ,Hade bayar,"C, E Nepal: 700-1900 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Rhamnaceae ,,NEP05688,wfo-0000430322,Ziziphus mauritiana Lam.,Encycl. 3(1): 319. 1789.,"cu'h] ao/, ao/ ","Aguje bayar, Bayar","W, C, E Nepal: 60-1400 m.",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and Africa. ",
,Rhamnaceae ,,NEP05689,wfo-0000430243,Ziziphus nummularia (Burm.f.) Wight & Arn.,Cat. Ind. Pl. 31. 1833. ,ao/ ,Bayar,"W, E Nepal: 200-700 m. ",,,S Asia and SW Asia. ,
,Rhamnaceae ,,NEP05690,wfo-0000460272,Rhamnus nummularia Burm.f.,,,,,,,,
,Rhamnaceae ,,NEP05691,wfo-0001130882,Ziziphus rotundifolia Lam.,,,,,,,,
,Rhamnaceae ,,NEP05692,wfo-0001130884,Ziziphus oenopolia (L.) Mill.,Gard. Dict. (ed. 8) no. 3. 1768.,"af]]S;L ao/, cf}n] ao/ ","Boksi bayar, Aule bayar","W, C Nepal: 100-500 m.",,,"Nepal, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Rhamnaceae ,,NEP05693,wfo-0001131392,Rhamnus oenopolia L.,,,,,,,,
,Rhamnaceae ,,NEP05694,wfo-0001131276,Ziziphus oxyphylla Edgew.,Trans. Linn. Soc. London 20(1): 43. 1846.,,,W Nepal: 800-1400 m. ,,,"Nepal, W Himalaya and SW Asia.",
,Rhamnaceae ,,NEP05695,wfo-0001130885,Ziziphus rugosa Lam.,Encycl. 3(1): 319. 1789. ,"sfF6] ao/, x/f{of ao/ ","Kante bayar, Harraya bayar","C, E Nepal: 100-800 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Rhamnaceae ,,NEP05696,wfo-0000430400,Ziziphus xylopyrus (Retz.) Willd.,Sp. Pl. (ed. 4). 1(2): 1104. 1798.,jg ao/ ,Ban bayar,"C, E Nepal: 100-700 m. ",,,S Asia. ,
,Rhamnaceae ,,NEP05697,wfo-0000460090,Rhamnus xylopyrus Retz.,,,,,,,,
,Rhamnaceae ,,NEP05698,wfo-0000430454,Ziziphus elliptica Roxb.,,,,,,,,
,Ulmaceae ,Holoptelea Planch.,NEP05699,wfo-0000724298,Holoptelea integrifolia (Roxb.) Planch.,"Ann. Sci. Nat., Bot., sér. 3, 10: 259. 1848.","r]K6] kfª\u|f], lrn, ;fgf] kfªu|f] ","Chepte pangro, Chil, Sano pangro","W, C, E Nepal: 100-600 m. ",,,"Nepal, Assam-Burma, S Asia and SE Asia. ",
,Ulmaceae ,,NEP05700,wfo-0000416748,Ulmus integrifolia Roxb.,,,,,,,,
,Ulmaceae ,Ulmus L.,NEP05701,wfo-0001244107,Ulmus chumlia Melville & Heybroek,Kew Bull. 26(1): 14. 1971.,s'lDnof ,Kumliya,"W, C, E Nepal: 1500-1900 m. ",,,"Nepal, W Himalaya, Tibetan Plateau and E Asia.",
,Ulmaceae ,,NEP05702,wfo-0001240598,"Ulmus androssowii var. subhirsuta (C.K.Schneid.) P.H.Huang, F.Y.Gao & L.H.Zhuo",,,,,,,,
,Ulmaceae ,,NEP05703,wfo-0001240599,Ulmus wilsoniana var. subhirsuta C.K.Schneid.,,,,,,,,
,Ulmaceae ,,NEP05704,wfo-0001240598,Ulmus lanceifolia Roxb. ex Wall.,"Pl. Asiat. Rar. 2: 86, pl. 200. 1831.",rDnfof] ,Chamlayo,"W, E Nepal: 100-2500 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Ulmaceae ,,NEP05705,wfo-0001284765,Ulmus wallichiana Planch.,"Ann. Sci. Nat., Bot., sér. 3, 10: 277. 1848. ",wldgf ,Dhamina,"W, C, E Nepal: 1000-3000 m.",,,"Nepal, W Himalaya and SW Asia. ",
,Ulmaceae ,,NEP05706,wfo-0000417543,Ulmus brandisiana C.K.Schneid.,,,,,,,,Status differ
,Cannabaceae ,Cannabis L.,NEP05707,wfo-0000584001,Cannabis sativa L.,Sp. Pl. 2: 1027. 1753.,"efª, ufFhf ","Bhang, Ganja","W, C, E Nepal: 100-2800 m (Naturalized in Nepal). ",,,Native of E Asia; widely cultivated and naturalized in Temperate and Tropical areas of the world.,
,Cannabaceae ,,NEP05708,wfo-0000584006,Cannabis sativa subsp. indica (Lam.) E.Small & Cronquist ,,,,,,,,
,Cannabaceae ,,NEP05709,wfo-0000584008,Cannabis sativa var. kafiristanica (Vavilov) E.Small & Cronquist,,,,,,,,
,Cannabaceae ,Celtis L.,NEP05710,wfo-0000593422,Celtis australis L.,Sp. Pl. 2: 1043. 1753.,v/L ,Khari,C Nepal: 1300-2300 m. ,,,"Nepal, W Himalaya, SW Asia, Europe and Africa. ",
,Cannabaceae ,,NEP05711,wfo-0000593783,Celtis tetrandra Roxb.,Fl. Ind. 2: 63. 1832. ,v/L ,Khari,"W, C, E Nepal: 700-2800 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Cannabaceae ,,NEP05712,wfo-0000593788,Celtis timorensis Span.,Linnaea 15(4): 343. 1841. ,,,E Nepal: 300-1400 m. ,,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia.",
,Cannabaceae ,Trema Lour.,NEP05713,wfo-0000457782,Trema cannabina Lour.,Fl. Cochinch. 2: 563. 1790.,vfS;L ,Khaksi,"W, C, E Nepal: 60-2000 m.",,,"Nepal, Assam-Burma, E Asia and SE Asia. ",
,Cannabaceae ,,NEP05714,wfo-0000593788,Trema orientalis (L.) Blume,Mus. Bot. 2(1-8): 62. 1856.,"dlb;] v/L, s'o]n ","Madise khari, Kuyel",E Nepal: 60-1200 m. ,,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia, Africa and Australasia. ",
,Cannabaceae ,,NEP05715,wfo-0000593674,Celtis orientalis L.,,,,,,,,
,Cannabaceae ,,NEP05716,wfo-0001143195,Trema politoria (Planch.) Blume,Mus. Bot. 2(1-8): 58. 1856.,,,"W, C, E Nepal: 100-1500 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia and SE Asia.",
,Cannabaceae ,,NEP05717,wfo-0001284766,Sponia politoria Planch.,,,,,,,,
,Cannabaceae ,,NEP05718,wfo-0001244132,Trema tomentosum (Roxb.) H.Hara,Fl. E. Himalaya 19. 1971.,,,"W, C, E Nepal: 900-1600 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. ",
,Cannabaceae ,,NEP05719,wfo-0000593790,Celtis tomentosa Roxb.,,,,,,,,
,Moraceae ,Allaeanthus Thwaites,NEP05720,wfo-0000525974,Allaeanthus kurzii Hook.f.,Fl. Brit. India 5: 490. 1888.,,,E Nepal: 500-600 m. ,,,"Nepal, E Himalaya, Assam-Burma, E Asia and SE Asia. ",
,Moraceae ,,NEP05721,wfo-0000572566,Broussonetia kurzii (Hook.f.) Corner,,,,,,,,
,Moraceae ,Artocarpus J.R.Forst. & G.Forst.,NEP05722,wfo-0000550454,Artocarpus chama Buch.-Ham.,Mem. Wern. Nat. Hist. Soc. 5: 331. 1826.,n6x/ ,Latahar,E Nepal: 90-150 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Moraceae ,,NEP05723,wfo-0000550456,Artocarpus chaplasha Roxb.,,,,,,,,
,Moraceae ,,NEP05724,wfo-0000550516,Artocarpus lacucha Roxb. ex Buch.-Ham.,Mem. Wern. Nat. Hist. Soc. 5(2): 333. 1826.,a9x/ ,Badahar,"W, C, E Nepal: 100-2200 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Moraceae ,,NEP05725,wfo-0000550518,Artocarpus lakoocha Roxb. ,,,,,,,,
,Moraceae ,Ficus L.,NEP05726,wfo-0000687191,Ficus abelii Miq.,Ann. Mus. Bot. Lugduno-Batavi 3: 281. 1867. ,,,C Nepal: 500-600 m.,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Moraceae ,,NEP05727,wfo-0000687266,Ficus altissima Blume ,Bijdr. Fl. Ned. Ind. 9: 455. 1825.,,,C Nepal: 80-200 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Moraceae ,,NEP05728,wfo-0000688947,Ficus laccifera Wight ex Roxb.,,,,,,,,
,Moraceae ,,NEP05729,wfo-0000687376,Ficus arnottiana (Miq.) Miq.,Ann. Mus. Bot. Lugduno-Batavi 3: 287. 1867.,kf/; lkkn ,Paras pipal,"W, C, E Nepal: 800-2300 m.",,,"Nepal, W Himalaya, S Asia and SE Asia. ",
,Moraceae ,,NEP05730,wfo-0000417308,Urostigma arnottianum Miq.,,,,,,,,
,Moraceae ,,NEP05731,wfo-1200030279,Ficus arnottiana var. subcostata Corner ,,,,,,,,
,Moraceae ,,NEP05732,wfo-0000687397,Ficus assamica Miq.,London J. Bot. 7: 226. 1848.,,,W Nepal: 100-300 m. ,,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Moraceae ,,NEP05733,wfo-0000688665,Ficus heterophylla var. assamica (Miq.) Corner ex Chater ,,,,,,,,
,Moraceae ,,NEP05734,wfo-0000687425,Ficus auriculata Lour.,Fl. Cochinch. 2: 666. 1790. ,"ltldnf, lgdf/f], cFlh/ ","Timila, Nimaro, Anjeer","W, C, E Nepal: 200-2000 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Moraceae ,,NEP05735,wfo-0000689540,Ficus oligodon Miq. ,,,,,,,,
,Moraceae ,,NEP05736,wfo-0000690107,Ficus roxburghii Wall. ex Miq.,,,,,,,,
,Moraceae ,,NEP05737,wfo-0000687501,Ficus benghalensis L.,Sp. Pl. 2: 1059. 1753. ,a/ ,Bar,"W, C, E Nepal: 500-1500 m.",,,"Nepal, E Himalaya and S Asia; widely planted. ",
,Moraceae ,,NEP05738,wfo-0000688791,Ficus indica L.,,,,,,,,
,Moraceae ,,NEP05739,wfo-0000687511,Ficus benjamina L.,Mant. Pl. 129. 1767. ,";dL, :jfdL ","Sami, Swami","W, C, E Nepal: 100-1200 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. ",
,Moraceae ,,NEP05740,#N/A,Ficus benjamina var. nuda (Miq.) Barrett ,,,,,,,,
,Moraceae ,,NEP05741,wfo-0000687896,Ficus conglobata King ,"Ann. Roy. Bot. Gard. (Calcutta) 1: 99, t. 123. 1888. ",,,C Nepal: 1000-1100 m. ,,,"Nepal, E Himalaya, Assam-Burma and S Asia.",
,Moraceae ,,NEP05742,wfo-0000688008,Ficus curtipes Corner,Gard. Bull. Singapore 17: 397. 1960.,,,E Nepal: 400-700 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Moraceae ,,NEP05743,wfo-0000689514,Ficus obtusifolia Roxb.,,,,,,,,
,Moraceae ,,NEP05744,wfo-0000688029,Ficus cyrtophylla (Wall. ex Miq.) Miq.,Ann. Mus. Bot. Lugduno-Batavi 3: 282. 1867.,,,"C, E Nepal: 700-1600 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia.",
,Moraceae ,,NEP05745,wfo-0000624333,Covellia cyrtophylla Wall. ex Miq.,,,,,,,,
,Moraceae ,,NEP05746,wfo-0000688167,Ficus drupacea Thunb.,Ficus 11. 1786.,,,E Nepal: 100-1600 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia.",
,Moraceae ,,NEP05747,wfo-0000688170,Ficus drupacea var. pubescens (Roth) Corner ,,,,,,,,
,Moraceae ,,NEP05748,wfo-0000688433,Ficus gasparriniana Miq.,London J. Bot. 7: 436. 1848.,,,"W, C, E Nepal: 500-1600 m. ",,,"Nepal, E Himalaya, Assam-Burma and SE Asia.",
,Moraceae ,,NEP05749,wfo-0000688442,Ficus geniculata Kurz,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 42(2): 105. 1873. ",ks/ ,Pakar,"W, C, E Nepal: 100-700 m.",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Moraceae ,,NEP05750,wfo-0000688478,Ficus glaberrima Blume,Bijdr. Fl. Ned. Ind. 9: 451. 1825.,kfv'/L ,Pakhuri,"W, C, E Nepal: 600-1500 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Moraceae ,,NEP05751,wfo-0000687316,Ficus angustifolia Roxb.,,,,,,,,
,Moraceae ,,NEP05752,wfo-0000688642,Ficus hederacea Roxb.,Fl. Ind. 3: 538. 1832. ,b'w] nx/f ,Dudhe lahara,"W, C, E Nepal: 500-1400 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Moraceae ,,NEP05753,wfo-0000688681,Ficus hirta Vahl,Enum. Pl. 2: 201. 1805. ,"v/;]6f], v;|]6f] ","Kharseto, Khasreto","C, E Nepal: 500-1200 m. ",,,"Nepal, E Himalaya, Assam-Burma and SE Asia. ",
,Moraceae ,,NEP05754,wfo-0000688701,Ficus hispida L.f.,Suppl. Pl. 442. 1782.,"v;|]6f], 7f]6\g], sf]7fof 8'd|L ","Khasreto, Thotne, Kothaya dumri","W, C, E Nepal: 100-1900 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia.",
,Moraceae ,,NEP05755,wfo-0000689551,Ficus oppositifolia Willd.,,,,,,,,
,Moraceae ,,NEP05756,wfo-0000688728,Ficus hookeriana Corner,Gard. Bull. Singapore 17: 378. 1960.,,,E Nepal: 1500-1900 m. ,,,"Nepal, E Himalaya, Assam-Burma and E Asia. ",
,Moraceae ,,NEP05757,wfo-0000688727,Ficus hookeri Miq.,,,,,,,,
,Moraceae ,,NEP05758,wfo-0000688954,Ficus lacor Buch.-Ham.,Gard. Bull. Singapore 17: 378. 1960.,sfa|f] ,Kabro,"W, C, E Nepal: 80-1400 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma and SE Asia. ",
,Moraceae ,,NEP05759,wfo-0000688969,Ficus laevis Blume,Bijdr. Fl. Ned. Ind. 9: 437. 1825.,,,"C, E Nepal: 305 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia.",
,Moraceae ,,NEP05760,#N/A,Ficus emodi (Wall. ex Miq.) Miq.,,,,,,,,
,Moraceae ,,NEP05761,wfo-0000689298,Ficus microcarpa L.f.,Suppl. Pl. 442. 1782. ,hfd' ,Jamu,"W, C Nepal: 100-1900 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. ",
