"                                 eFlora Nepal in World Flora Online (www.worldfloraonline.org).  Source:  Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal (Correspondence: ).",,,,,,,,,,,,,
Order,Family,Genera,Taxon ID,WFO_ID,Taxon names,Literature citation,Nepali name(s),,Distribution in Nepal,Plant images,,General/ global distribution,Comments
,,,,,,,Devnagari,Transliteration,,Plant photos,Herbarium specimen,,
,Schisandraceae,,NEP00084,wfo-0000416386,Uvaria heteroclita Roxb.,,,,,,,,
,Schisandraceae,Schisandra Michx.,NEP00085,wfo-0000495107,Schisandra grandiflora (Wall.) Hook.f. & Thomson,Fl. Brit. India. 1: 44. 1872.,"l;Fu6f, l;u'G6f nx/f ","Singato, Sigunta lahara","W, C, E Nepal: 1500-3400 m.",,,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau.",
,Schisandraceae,,NEP00086,wfo-0000357305,Kadsura grandiflora Wall.,,,,,,,,
,Schisandraceae,,NEP00087,wfo-0000735855,Sphaerostema grandiflorum (Wall.) Blume,,,,,,,,
,Schisandraceae,,NEP00088,wfo-0000495135,Schisandra neglecta A.C.Sm.,Sargentia 7: 127. 1947.,,,"C, E Nepal: 1700-3100 m.",,,"Nepal, E Himalaya, Assam-Burma, S Asia and E Asia. ",
,Schisandraceae,,NEP00089,,Schisandra elongata Hook.f. & Thomson,,,,,,,,
,Schisandraceae,,NEP00090,wfo-0000495084,Schisandra propinqua (Wall.) Baill.,Fl. Brit. India 1: 45. 1872.,kx]Fnf] l;Fu6f] ,Pahenlo singato,"W, C, E Nepal: 1600-2200 m.",,,"W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia.",
,Schisandraceae,,NEP00091,wfo-0000357336,Kadsura propinqua Wall.,,,,,,,,
PIPERALES,Saururaceae ,Houttuynia Thunb.,NEP00092,wfo-0000725055,Houttuynia cordata Thunb.,"Kongl. Vetensk. Acad. Nya Handl. 4: 149, pl. 5. 1783. ",ug] ,Gane,"W, C, E Nepal: 1300-2500 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia.",
,Saururaceae ,,NEP00093,wfo-0001248363,Polypara cordata Kuntze,,,,,,,,
,Piperaceae,Peperomia Ruiz & Pav.,NEP00094,wfo-0001094052,Peperomia heyneana Miq.,Syst. Piperac. 123. 1843.,,,"C, E Nepal: 800-2600 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and E Asia. ",
,Piperaceae,,NEP00095,wfo-0000477971,Peperomia pellucida (L.) Kunth,Nov. Gen. 1: 64. 1816.,ntk6],Latpate,"W, C, E Nepal: 60-2000 m (Naturalized in Nepal).",,,"Native of Tropical Africa, Tropical and Subtropical America. ",
,Piperaceae,,NEP00096,wfo-0000486379,Piper pellucidum L.,,,,,,,,
,Piperaceae,,NEP00097,wfo-0000479217,Peperomia tetraphylla Hook. & Arn.,Bot. Beechey Voy. 97. 1832.,,,"W, C, E Nepal: 1000-2500 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, SE Asia, Africa, N and S America. ",
,Piperaceae,,NEP00098,wfo-0000477834,Peperomia reflexa (L.f.) A. Dietr.,,,,,,,,
,Piperaceae,,NEP00099,wfo-0000485781,Piper saxatile Wall.,,,,,,,,
,Piperaceae,,NEP00100,wfo-0000487514,Piper tetraphyllum G.Forst.,,,,,,,,
,Piperaceae,Piper L.,NEP00101,wfo-0001094092,Piper boehmeriifolium (Miq.) Wall. ex C.DC.,Prodr. 16(1): 348. 1869. ,"7""nf] lkKnf, nfdf] lkKnf ","Thulo pipla, Lamo pipla","C, E Nepal: 300-1500 m.",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Piperaceae,,NEP00102,wfo-0000599976,Chavica boehmeriifolia Miq.,,,,,,,,
,Piperaceae,,NEP00103,wfo-0001094114,Piper pedicellatum C.DC. ,J. Bot. 4: 164. 1866.,,,……….,,,………..,Spelling error corrected. Status changed
,Piperaceae,,NEP00104,wfo-0000486013,Piper longum L.,Sp. Pl. 1: 29. 1753. ,"lkKnf, uh lkKnf ","Pipla, Gaj pipla","W, C, E Nepal: 100-800 m. ",,,"Nepal, E Himalaya, S Asia, E Asia and SE Asia. ",
