wfo-0000087474	urn:lsid:ipni.org:names:205016-1
wfo-0000089410	urn:lsid:ipni.org:names:228248-1
wfo-0000094048	urn:lsid:ipni.org:names:940495-1
wfo-0000095362	urn:lsid:ipni.org:names:259532-1
wfo-0000095682	urn:lsid:ipni.org:names:258905-1
wfo-0000095907	urn:lsid:ipni.org:names:258418-1
wfo-0000110682	urn:lsid:ipni.org:names:224934-1
wfo-0000114795	urn:lsid:ipni.org:names:178507-1
wfo-0000115789	urn:lsid:ipni.org:names:935016-1
wfo-0000116055	urn:lsid:ipni.org:names:259537-1
wfo-0000116602	urn:lsid:ipni.org:names:255156-1
wfo-0000123395	urn:lsid:ipni.org:names:255792-1
wfo-0000125335	urn:lsid:ipni.org:names:257935-1
wfo-0000130138	urn:lsid:ipni.org:names:184622-1
wfo-0000134092	urn:lsid:ipni.org:names:945375-1
wfo-0000134618	urn:lsid:ipni.org:names:257792-1
wfo-0000135808	urn:lsid:ipni.org:names:258626-1
wfo-0000156969	urn:lsid:ipni.org:names:269673-1
wfo-0000157238	urn:lsid:ipni.org:names:270586-1
wfo-0000157520	urn:lsid:ipni.org:names:271298-1
wfo-0000160944	urn:lsid:ipni.org:names:571874-1
wfo-0000160963	urn:lsid:ipni.org:names:571909-1
wfo-0000161651	urn:lsid:ipni.org:names:574969-1
wfo-0000163813	urn:lsid:ipni.org:names:234652-2
wfo-0000164216	urn:lsid:ipni.org:names:485840-1
wfo-0000164399	urn:lsid:ipni.org:names:234560-2
wfo-0000164470	urn:lsid:ipni.org:names:507744-1
wfo-0000164745	urn:lsid:ipni.org:names:911410-1
wfo-0000164878	urn:lsid:ipni.org:names:234663-2
wfo-0000165078	urn:lsid:ipni.org:names:313003-2
wfo-0000165872	urn:lsid:ipni.org:names:509607-1
wfo-0000166465	urn:lsid:ipni.org:names:492292-1
wfo-0000166574	urn:lsid:ipni.org:names:492307-1
wfo-0000166711	urn:lsid:ipni.org:names:492319-1
wfo-0000166850	urn:lsid:ipni.org:names:492356-1
wfo-0000167873	urn:lsid:ipni.org:names:509674-1
wfo-0000168506	urn:lsid:ipni.org:names:497162-1
wfo-0000170217	urn:lsid:ipni.org:names:512243-1
wfo-0000170354	urn:lsid:ipni.org:names:492039-1
wfo-0000173003	urn:lsid:ipni.org:names:472641-1
wfo-0000173069	urn:lsid:ipni.org:names:472660-1
wfo-0000173298	urn:lsid:ipni.org:names:472729-1
wfo-0000173330	urn:lsid:ipni.org:names:472736-1
wfo-0000173403	urn:lsid:ipni.org:names:472766-1
wfo-0000173414	urn:lsid:ipni.org:names:472784-1
wfo-0000173436	urn:lsid:ipni.org:names:472792-1
wfo-0000173512	urn:lsid:ipni.org:names:472806-1
wfo-0000173584	urn:lsid:ipni.org:names:472828-1
wfo-0000173617	urn:lsid:ipni.org:names:472832-1
wfo-0000173740	urn:lsid:ipni.org:names:472859-1
wfo-0000173893	urn:lsid:ipni.org:names:472923-1
wfo-0000174073	urn:lsid:ipni.org:names:472963-1
wfo-0000174117	urn:lsid:ipni.org:names:472977-1
wfo-0000174139	urn:lsid:ipni.org:names:472992-1
wfo-0000174171	urn:lsid:ipni.org:names:472995-1
wfo-0000174882	urn:lsid:ipni.org:names:498736-1
wfo-0000175033	urn:lsid:ipni.org:names:498749-1
wfo-0000175060	urn:lsid:ipni.org:names:498753-1
wfo-0000175295	urn:lsid:ipni.org:names:501272-1
wfo-0000175588	urn:lsid:ipni.org:names:501287-1
wfo-0000175837	urn:lsid:ipni.org:names:501296-1
wfo-0000176343	urn:lsid:ipni.org:names:519669-1
wfo-0000176968	urn:lsid:ipni.org:names:491577-1
wfo-0000177131	urn:lsid:ipni.org:names:491751-1
wfo-0000177471	urn:lsid:ipni.org:names:1028008-2
wfo-0000177956	urn:lsid:ipni.org:names:515894-1
wfo-0000178241	urn:lsid:ipni.org:names:518495-1
wfo-0000178940	urn:lsid:ipni.org:names:472230-1
wfo-0000179073	urn:lsid:ipni.org:names:472245-1
wfo-0000179194	urn:lsid:ipni.org:names:486542-1
wfo-0000179216	urn:lsid:ipni.org:names:486606-1
wfo-0000179307	urn:lsid:ipni.org:names:491152-1
wfo-0000179887	urn:lsid:ipni.org:names:493112-1
wfo-0000179936	urn:lsid:ipni.org:names:493166-1
wfo-0000179990	urn:lsid:ipni.org:names:473166-1
wfo-0000180007	urn:lsid:ipni.org:names:493230-1
wfo-0000180239	urn:lsid:ipni.org:names:493288-1
wfo-0000180379	urn:lsid:ipni.org:names:493799-1
wfo-0000180886	urn:lsid:ipni.org:names:494480-1
wfo-0000180908	urn:lsid:ipni.org:names:494486-1
wfo-0000180919	urn:lsid:ipni.org:names:494491-1
wfo-0000181878	urn:lsid:ipni.org:names:505859-1
wfo-0000181902	urn:lsid:ipni.org:names:900244-1
wfo-0000181913	urn:lsid:ipni.org:names:505860-1
wfo-0000181967	urn:lsid:ipni.org:names:505862-1
wfo-0000181999	urn:lsid:ipni.org:names:505863-1
wfo-0000182124	urn:lsid:ipni.org:names:505870-1
wfo-0000182514	urn:lsid:ipni.org:names:509273-1
wfo-0000182792	urn:lsid:ipni.org:names:509621-1
wfo-0000183548	urn:lsid:ipni.org:names:504762-1
wfo-0000183752	urn:lsid:ipni.org:names:515969-1
wfo-0000183997	urn:lsid:ipni.org:names:519235-1
wfo-0000000587	urn:lsid:ipni.org:names:259528-1
wfo-0000002731	urn:lsid:ipni.org:names:258597-1
wfo-0000003652	urn:lsid:ipni.org:names:228097-1
wfo-0000004253	urn:lsid:ipni.org:names:258825-1
wfo-0000009995	urn:lsid:ipni.org:names:201311-1
wfo-0000015770	urn:lsid:ipni.org:names:228258-1
wfo-0000016611	urn:lsid:ipni.org:names:259578-1
wfo-0000019988	urn:lsid:ipni.org:names:228182-1
wfo-0000020190	urn:lsid:ipni.org:names:258413-1
wfo-0000020781	urn:lsid:ipni.org:names:322565-2
wfo-0000022423	urn:lsid:ipni.org:names:259220-1
wfo-0000023759	urn:lsid:ipni.org:names:175447-1
wfo-0000023795	urn:lsid:ipni.org:names:229067-1
wfo-0000023884	urn:lsid:ipni.org:names:259342-1
wfo-0000026877	urn:lsid:ipni.org:names:184504-1
wfo-0000027151	urn:lsid:ipni.org:names:969255-1
wfo-0000036604	urn:lsid:ipni.org:names:257995-1
wfo-0000036640	urn:lsid:ipni.org:names:945378-1
wfo-0000037735	urn:lsid:ipni.org:names:201349-1
wfo-0000040495	urn:lsid:ipni.org:names:208693-1
wfo-0000041787	urn:lsid:ipni.org:names:259489-1
wfo-0000044006	urn:lsid:ipni.org:names:259476-1
wfo-0000045764	urn:lsid:ipni.org:names:185817-1
wfo-0000046038	urn:lsid:ipni.org:names:259463-1
wfo-0000046349	urn:lsid:ipni.org:names:205018-1
wfo-0000053109	urn:lsid:ipni.org:names:175448-1
wfo-0000056135	urn:lsid:ipni.org:names:210800-1
wfo-0000060839	urn:lsid:ipni.org:names:201376-1
wfo-0000062196	urn:lsid:ipni.org:names:236534-1
wfo-0000063396	urn:lsid:ipni.org:names:228160-1
wfo-0000063480	urn:lsid:ipni.org:names:236535-1
wfo-0000066213	urn:lsid:ipni.org:names:224941-1
wfo-0000066787	urn:lsid:ipni.org:names:185841-1
wfo-0000067576	urn:lsid:ipni.org:names:205032-1
wfo-0000068443	urn:lsid:ipni.org:names:224938-1
wfo-0000069814	urn:lsid:ipni.org:names:201315-1
wfo-0000071529	urn:lsid:ipni.org:names:228041-1
wfo-0000074091	urn:lsid:ipni.org:names:258611-1
wfo-0000075522	urn:lsid:ipni.org:names:259055-1
wfo-0000075606	urn:lsid:ipni.org:names:257973-1
wfo-0000075860	urn:lsid:ipni.org:names:259400-1
wfo-0000079815	urn:lsid:ipni.org:names:258525-1
wfo-0000080766	urn:lsid:ipni.org:names:210786-1
wfo-0000084418	urn:lsid:ipni.org:names:195112-1
wfo-0000086028	urn:lsid:ipni.org:names:259502-1
wfo-0000089173	urn:lsid:ipni.org:names:211428-1
wfo-0000090734	urn:lsid:ipni.org:names:259493-1
wfo-0000096030	urn:lsid:ipni.org:names:258494-1
wfo-0000113275	urn:lsid:ipni.org:names:224940-1
wfo-0000116797	urn:lsid:ipni.org:names:201343-1
wfo-0000116915	urn:lsid:ipni.org:names:901231-1
wfo-0000121271	urn:lsid:ipni.org:names:258963-1
wfo-0000122581	urn:lsid:ipni.org:names:935014-1
