taxonId	coreId
wfo-0000082168	urn:lsid:ipni.org:names:258896-1
wfo-0000082685	urn:lsid:ipni.org:names:934990-1
wfo-0000084076	urn:lsid:ipni.org:names:199956-1
wfo-0000085274	urn:lsid:ipni.org:names:180368-1
wfo-0000086019	urn:lsid:ipni.org:names:233190-1
wfo-0000086034	urn:lsid:ipni.org:names:257735-2
wfo-0000086740	urn:lsid:ipni.org:names:935008-1
wfo-0000087047	urn:lsid:ipni.org:names:204985-1
wfo-0000087188	urn:lsid:ipni.org:names:200222-1
wfo-0000087474	urn:lsid:ipni.org:names:205016-1
wfo-0000088094	urn:lsid:ipni.org:names:189059-1
wfo-0000088131	urn:lsid:ipni.org:names:119003-2
wfo-0000089410	urn:lsid:ipni.org:names:228248-1
wfo-0000089902	urn:lsid:ipni.org:names:175030-1
wfo-0000090717	urn:lsid:ipni.org:names:213358-1
wfo-0000091031	urn:lsid:ipni.org:names:251135-1
wfo-0000092177	urn:lsid:ipni.org:names:258540-1
wfo-0000092335	urn:lsid:ipni.org:names:225890-1
wfo-0000093042	urn:lsid:ipni.org:names:912744-1
wfo-0000095862	urn:lsid:ipni.org:names:212811-1
wfo-0000095907	urn:lsid:ipni.org:names:258418-1
wfo-0000100054	urn:lsid:ipni.org:names:943094-1
wfo-0000079815	urn:lsid:ipni.org:names:258525-1
wfo-0000080766	urn:lsid:ipni.org:names:210786-1
wfo-0000081108	urn:lsid:ipni.org:names:205025-1
wfo-0000081166	urn:lsid:ipni.org:names:180429-1
wfo-0000081276	urn:lsid:ipni.org:names:244800-1
wfo-0000082132	urn:lsid:ipni.org:names:260893-1
wfo-0000084418	urn:lsid:ipni.org:names:195112-1
wfo-0000084618	urn:lsid:ipni.org:names:258567-1
wfo-0000084902	urn:lsid:ipni.org:names:211306-1
wfo-0000085152	urn:lsid:ipni.org:names:232232-1
wfo-0000085379	urn:lsid:ipni.org:names:960660-1
wfo-0000086028	urn:lsid:ipni.org:names:259502-1
wfo-0000087668	urn:lsid:ipni.org:names:259668-1
wfo-0000088981	urn:lsid:ipni.org:names:971845-1
wfo-0000090838	urn:lsid:ipni.org:names:1008128-1
wfo-0000090857	urn:lsid:ipni.org:names:259649-1
wfo-0000090925	urn:lsid:ipni.org:names:930579-1
wfo-0000091762	urn:lsid:ipni.org:names:935006-1
wfo-0000092710	urn:lsid:ipni.org:names:930601-1
wfo-0000092781	urn:lsid:ipni.org:names:203509-1
wfo-0000093053	urn:lsid:ipni.org:names:930581-1
wfo-0000093163	urn:lsid:ipni.org:names:213432-1
wfo-0000093428	urn:lsid:ipni.org:names:935010-1
wfo-0000093663	urn:lsid:ipni.org:names:930591-1
wfo-0000093854	urn:lsid:ipni.org:names:971843-1
wfo-0000095153	urn:lsid:ipni.org:names:210735-1
wfo-0000095171	urn:lsid:ipni.org:names:244910-1
wfo-0000095422	urn:lsid:ipni.org:names:227437-1
wfo-0000096398	urn:lsid:ipni.org:names:258938-1
wfo-0000098138	urn:lsid:ipni.org:names:250551-1
wfo-0000114495	urn:lsid:ipni.org:names:184949-1
wfo-0000114677	urn:lsid:ipni.org:names:208557-1
wfo-0000115733	urn:lsid:ipni.org:names:258628-1
wfo-0000115773	urn:lsid:ipni.org:names:908457-1
wfo-0000116873	urn:lsid:ipni.org:names:212905-1
wfo-0000117057	urn:lsid:ipni.org:names:202401-1
wfo-0000118241	urn:lsid:ipni.org:names:934999-1
wfo-0000119231	urn:lsid:ipni.org:names:250058-1
wfo-0000119262	urn:lsid:ipni.org:names:259171-1
wfo-0000119698	urn:lsid:ipni.org:names:975457-1
wfo-0000119700	urn:lsid:ipni.org:names:934988-1
wfo-0000119770	urn:lsid:ipni.org:names:213404-1
wfo-0000120279	urn:lsid:ipni.org:names:193267-1
wfo-0000122581	urn:lsid:ipni.org:names:935014-1
wfo-0000123232	urn:lsid:ipni.org:names:238741-1
wfo-0000124567	urn:lsid:ipni.org:names:182876-1
wfo-0000124582	urn:lsid:ipni.org:names:1008127-1
wfo-0000124715	urn:lsid:ipni.org:names:224931-1
wfo-0000124772	urn:lsid:ipni.org:names:227447-1
wfo-0000125481	urn:lsid:ipni.org:names:176770-1
wfo-0000126066	urn:lsid:ipni.org:names:185153-1
wfo-0000126189	urn:lsid:ipni.org:names:250503-1
wfo-0000126947	urn:lsid:ipni.org:names:185108-1
wfo-0000127616	urn:lsid:ipni.org:names:184813-1
wfo-0000128533	urn:lsid:ipni.org:names:197456-1
wfo-0000128938	urn:lsid:ipni.org:names:915094-1
wfo-0000128996	urn:lsid:ipni.org:names:930611-1
wfo-0000129192	urn:lsid:ipni.org:names:229051-1
wfo-0000129202	urn:lsid:ipni.org:names:245411-1
wfo-0000129698	urn:lsid:ipni.org:names:212704-1
wfo-0000129735	urn:lsid:ipni.org:names:182884-1
wfo-0000130261	urn:lsid:ipni.org:names:202503-1
wfo-0000130311	urn:lsid:ipni.org:names:212580-1
wfo-0000132616	urn:lsid:ipni.org:names:213016-1
wfo-0000134035	urn:lsid:ipni.org:names:962665-1
wfo-0000134103	urn:lsid:ipni.org:names:257980-1
wfo-0000134919	urn:lsid:ipni.org:names:945386-1
wfo-0000137866	urn:lsid:ipni.org:names:241247-1
wfo-0000137993	urn:lsid:ipni.org:names:930597-1
wfo-0000138299	urn:lsid:ipni.org:names:259333-1
wfo-0000139208	urn:lsid:ipni.org:names:213375-1
wfo-0000139344	urn:lsid:ipni.org:names:277825-2
wfo-0000139355	urn:lsid:ipni.org:names:934995-1
wfo-0000159148	urn:lsid:ipni.org:names:567412-1
wfo-0000162274	urn:lsid:ipni.org:names:576536-1
wfo-0000163856	urn:lsid:ipni.org:names:48603-2
wfo-0000163898	urn:lsid:ipni.org:names:484600-1
wfo-0000163963	urn:lsid:ipni.org:names:48654-2
wfo-0000164201	urn:lsid:ipni.org:names:484716-1
wfo-0000164277	urn:lsid:ipni.org:names:502744-1
wfo-0000164577	urn:lsid:ipni.org:names:485115-1
wfo-0000164785	urn:lsid:ipni.org:names:485233-1
wfo-0000165372	urn:lsid:ipni.org:names:313242-2
wfo-0000165558	urn:lsid:ipni.org:names:489200-1
wfo-0000165831	urn:lsid:ipni.org:names:489376-1
wfo-0000165883	urn:lsid:ipni.org:names:489409-1
wfo-0000165977	urn:lsid:ipni.org:names:489440-1
wfo-0000166378	urn:lsid:ipni.org:names:491229-1
wfo-0000166618	urn:lsid:ipni.org:names:509665-1
wfo-0000166629	urn:lsid:ipni.org:names:492310-1
wfo-0000167132	urn:lsid:ipni.org:names:493816-1
wfo-0000168133	urn:lsid:ipni.org:names:110723-2
wfo-0000168172	urn:lsid:ipni.org:names:509679-1
wfo-0000168659	urn:lsid:ipni.org:names:521419-1
wfo-0000168901	urn:lsid:ipni.org:names:500954-1
wfo-0000168965	urn:lsid:ipni.org:names:515782-1
wfo-0000168995	urn:lsid:ipni.org:names:500996-1
wfo-0000169101	urn:lsid:ipni.org:names:501137-1
wfo-0000169198	urn:lsid:ipni.org:names:501141-1
wfo-0000169581	urn:lsid:ipni.org:names:507171-1
wfo-0000170216	urn:lsid:ipni.org:names:515937-1
wfo-0000170413	urn:lsid:ipni.org:names:514346-1
wfo-0000170614	urn:lsid:ipni.org:names:516619-1
wfo-0000171076	urn:lsid:ipni.org:names:521093-1
wfo-0000171351	urn:lsid:ipni.org:names:521134-1
wfo-0000171454	urn:lsid:ipni.org:names:487138-1
