taxonID,description,type,language,contributor,audience,rightsHolder,created,creator,source,bibliographicCitation,URI,rights,license
wfo-0000385712,Plants from south-coastal regions are usually more robust than those from the west coast but some have very narrow leaves. The exserted bracts of the inflorescence are variable.,General,en,,,Commonwealth of Australia (2017),,,5229,"A.S.George (2017) <i>Dasypogon bromeliifolius</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Dasypogon bromeliifolius [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Dasypogon%20bromeliifolius,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000385724,"The arborescent habit resembles that of &lt;i&gt;Kingia&lt;/i&gt;  and many species of &lt;i&gt;Xanthorrhoea&lt;/i&gt; . Plants sprout from the stem apex after fire. Anatomy and morphology discussed by I.A.Staff &amp;amp; J.T.Waterhouse, &lt;i&gt;in&lt;/i&gt;  J.S.Pate &amp;amp; A.J.McComb, &lt;i&gt;Biol. Austral. Pl.&lt;/i&gt;  229-233 (1981).",General,en,,,Commonwealth of Australia (2017),,,5230,"A.S.George (2017) <i>Dasypogon hookeri</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Dasypogon hookeri [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Dasypogon%20hookeri,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000385731,"Until recently included under &lt;i&gt;Dayspogon bromeliifolius&lt;/i&gt; , this species may be recognised by its short, curled leaves that extend higher up the stem and its slightly smaller flowers. The two species are sometimes sympatric. A collection at PERTH, 115 mile peg, Jurien Bay road (c. 184 km N of Perth, Brand Hwy), &lt;i&gt;A.C.Burns 72&lt;/i&gt; , has very woolly flowers and may represent another taxon.",General,en,,,Commonwealth of Australia (2017),,,5231,"A.S.George (2017) <i>Dasypogon obliquifolius</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Dasypogon obliquifolius [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Dasypogon%20obliquifolius,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000401244,"Etymology: The epithet is from the Greek &lt;i&gt;mono &lt;/i&gt;(&amp;#61; one) and &lt;i&gt;stachyus&lt;/i&gt; (&amp;#61; a flower spike or corn cob), referring to the spikes being borne singly on the culms.Although the fruit is generally described as a small nut it is structurally an achene (Rudall &lt;i&gt;et al.&lt;/i&gt; 2005).",General,en,,,Commonwealth of Australia (2019),,,6187,"B.G. Briggs, C.L. Connelly, S.L. Krauss (2019) <i>Ecdeiocolea monostachya</i>, in P.G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Ecdeiocolea monostachya [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Ecdeiocolea%20monostachya,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000429525,"Etymology: The epithet is from the Greek &lt;i&gt;hexa&lt;/i&gt; (&amp;#61; six) and &lt;i&gt;-andrus&lt;/i&gt; (&amp;#61; male), referring to the six stamens in the flower.",General,en,,,Commonwealth of Australia (2020),,,7772,"B.G. Briggs, C.L. Connelly &, S.L. Krauss (2020) <i>Georgeantha hexandra</i>, in P.G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Georgeantha hexandra [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Georgeantha%20hexandra,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000452565,"The species varies in the persistence of the indumentum on the leaves, sometimes retaining a silvery aspect. Flowering is enhanced by fire but is not dependent on it. Seed set appears low.",General,en,,,Commonwealth of Australia (2017),,,9766,"A.S.George (2017) <i>Kingia australis</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Kingia australis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Kingia%20australis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000456301,"A collection from Stockyard Gully (&lt;i&gt;A. S. George 11779&lt;/i&gt;, PERTH) represents either a new species of &lt;i&gt;Tersonia&lt;/i&gt; or a new genus. lt is an erect shrub with lanceolate leaves and syncarpous, 5–7–1ocular ovary; the male is unknown.",General,en,,,Commonwealth of Australia (2017),,,15104,"A.S.George (2017) <i>Tersonia cyathiflora</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Tersonia cyathiflora [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Tersonia%20cyathiflora,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000463539,"&lt;i&gt;Lyginia barbata&lt;/i&gt; was distinguished as &lt;i&gt;Lyginia&lt;/i&gt; morphotype ‘R&lt;sub&gt;4&lt;/sub&gt;’ by Bell &amp;amp; Pate (1993).Etymology: From the Latin &lt;i&gt;barbatus&lt;/i&gt; (bearded), referring to the cilia on the sheaths and spathes.",General,en,,,Commonwealth of Australia (2018),,,10495,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Lyginia barbata</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Lyginia barbata [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Lyginia%20barbata,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000463549,"Etymology: The epithet is from Latin e&lt;i&gt;xcelsus&lt;/i&gt;  (high, lofty), referring to the culms that are taller than other &lt;i&gt;Lyginia&lt;/i&gt; species.&lt;i&gt;Lyginia excelsa&lt;/i&gt; was distinguished as &lt;i&gt;Lyginia&lt;/i&gt; morphotype ‘S’ by Bell &amp;amp; Pate (1993)&lt;i&gt;.&lt;/i&gt;",General,en,,,Commonwealth of Australia (2018),,,10496,"Barbara G. Briggs (2018) <i>Lyginia excelsa</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Lyginia excelsa [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Lyginia%20excelsa,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000463556,"Etymology: The epithet is from the Latin &lt;i&gt;imberbis&lt;/i&gt; (beardless), referring to the sparser cilia on the sheaths and spathes, compared with &lt;i&gt;Lyginia barbata&lt;/i&gt;.&lt;i&gt;Lyginia imberbis&lt;/i&gt; was distinguished as &lt;i&gt;Lyginia&lt;/i&gt; morphotypes ‘R&lt;sub&gt;1, 2 &amp;amp; 3&lt;/sub&gt;’ by Bell &amp;amp; Pate (1993). Plants at the northern end of the geographic range (Murchison River and Kalbarri to just north of Eneabba) show notably slender and straight culms; male plants mostly with numerous (7–11) flowering spathes but females with few (1 or 2) spathes. At Eneabba most plants are very different from those further north, having stout and highly sinuose culms, often with crowded spathes in male inflorescences.",General,en,,,Commonwealth of Australia (2018),,,10497,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Lyginia imberbis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Lyginia imberbis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Lyginia%20imberbis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000614068,"Distinguished from the other species by the long-acuminate leaves and larger fruit. Suspected of being toxic to stock, &lt;i&gt;fide&lt;/i&gt; S. L. Everist, &lt;i&gt;Poison. Pl. Austral&lt;/i&gt;. 257 (1974).",General,en,,,Commonwealth of Australia (2017),,,4395,"A.S.George (2017) <i>Codonocarpus attenuatus</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Codonocarpus attenuatus [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Codonocarpus%20attenuatus,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000614070,"Suspected of being toxic to stock, &lt;i&gt;fide&lt;/i&gt;S. L. Everist, &lt;i&gt;Poison. Pl. Austral.&lt;/i&gt;257 (1974). Essential oils described by W. Bottomley &amp;amp; D. E. White, &lt;i&gt;Austral. Chem. Inst. J. Proc&lt;/i&gt;. 17: 31–32(1950).Monoecious plants are common. The leaves vary greatly; juvenile leaves are usually broader than later leaves.Common after fire, living for 5–10 years.",General,en,,,Commonwealth of Australia (2017),,,4396,"A.S.George (2017) <i>Codonocarpus cotinifolius</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Codonocarpus cotinifolius [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Codonocarpus%20cotinifolius,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000634788,There is variation in indumentum and leaf form; specimens from the Bremer Bay area have linear-terete leaves and are glabrous.,General,en,,,Commonwealth of Australia (2017),,,5109,"A.S.George (2017) <i>Cypselocarpus haloragoides</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Cypselocarpus haloragoides [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Cypselocarpus%20haloragoides,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713907,"Recognised by the uncinate, spreading leaves, solitary flowers, deeply lobed calyx of the female flowers, and long, linear stigmas. Plants from Kangaroo Is. often have short, thick leaves. Suspected of being toxic to stock, &lt;i&gt;fide&lt;/i&gt; S. L. Everist, &lt;i&gt;Poison. Pl. Austral&lt;/i&gt;. 257 (1974).Grows on dunes and in limestone, in heath and malleeshrublands.",General,en,,,Commonwealth of Australia (2017),,,8784,"A.S.George (2017) <i>Gyrostemon australasicus</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon australasicus [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20australasicus,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713911,"A little-known species recognised by the racemose inflorescences, the male flowers with a single whorl of stamens, the female with 4–7 carpels and non-petaloid stigmas. A collection from Cundeelee, N of Zanthus (&lt;i&gt;P. Boswell R 27&lt;/i&gt;, PERTH) may also belong to this species. It has leaves 4–6 cm long; racemes few, in lower axils; carpels 4–5, 3.5–4 mm long; seed oblong, 2 mm long, with prominent transverse ridges; aril extending half-way up seed.",General,en,,,Commonwealth of Australia (2017),,,8785,"A.S.George (2017) <i>Gyrostemon brownii</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon brownii [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20brownii,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713915,"A little-known species. Description of fruit based on H. Walter,&lt;i&gt; Pflanzenr&lt;/i&gt; 39: 68 (1909).",General,en,,,Commonwealth of Australia (2017),,,8786,"A.S.George (2017) <i>Gyrostemon ditrigynus</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon ditrigynus [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20ditrigynus,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713918,"Recognised by the prostrate habit, deeply divided calyx, long stigmas and smooth seeds.",General,en,,,Commonwealth of Australia (2017),,,8787,"A.S.George (2017) <i>Gyrostemon prostratus</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon prostratus [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20prostratus,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713922,"Recognised by the arborescent habit, thick corky bark, fine soft leaves, long pedicels, numerous stamens and carpels, and almost horizontal seed.",General,en,,,Commonwealth of Australia (2017),,,8789,"A.S.George (2017) <i>Gyrostemon ramulosus</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon ramulosus [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20ramulosus,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713928,Distinguished from &lt;i&gt;G. australasicus&lt;/i&gt; (Moq.) Heimerl by the reticulate carpels with narrow keels.,General,en,,,Commonwealth of Australia (2017),,,8790,"A.S.George (2017) <i>Gyrostemon reticulatus</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon reticulatus [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20reticulatus,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713930,"Related to &lt;i&gt;G. subnudus&lt;/i&gt; (Nees) Baillon, but distinguished by the small leaves, sessile or almost sessile female flowers and fewer carpels.",General,en,,,Commonwealth of Australia (2017),,,8791,"A.S.George (2017) <i>Gyrostemon sessilis</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon sessilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20sessilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713931,A variable species especially in size and succulence of leaves and in prominence of stipules. Coastal plants are usually more robust and succulent.,General,en,,,Commonwealth of Australia (2017),,,8792,"A.S.George (2017) <i>Gyrostemon sheathii</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon sheathii [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20sheathii,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713934,"Recognised by the slender branchlets, few leaves, solitary flowers and small fruit with 5–9 carpels. Habit variable; old plants may develop a fastigiate branching.",General,en,,,Commonwealth of Australia (2017),,,8793,"A.S.George (2017) <i>Gyrostemon subnudus</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon subnudus [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20subnudus,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000713937,"Distinguished by the small habit, solitary flowers on short pedicels, narrowly lobed calyx of the female flower, and small fruit. Seeds of W.A. specimens are less rugose. Fruit often galled and swollen.",General,en,,,Commonwealth of Australia (2017),,,8795,"A.S. George (2017) <i>Gyrostemon thesioides</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemon thesioides [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemon%20thesioides,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000761588,"G.Bentham&amp;#39;s &lt;i&gt;Blandfordia grandiflora&lt;/i&gt;  var. &lt;i&gt;elongata&lt;/i&gt;  may represent a hybrid between this species and &lt;i&gt;B. grandiflora&lt;/i&gt; . &lt;i&gt;Blandfordia&lt;/i&gt;  ×&lt;i&gt;flammea-elegans&lt;/i&gt;  W.G.Sm., &lt;i&gt;Floral Mag.&lt;/i&gt;  n. ser. t. 134 (1874), was claimed by the author to apply to a hybrid between &lt;i&gt;B. cunninghamii&lt;/i&gt;  and &lt;i&gt;B. flammea&lt;/i&gt;  (&amp;#61; &lt;i&gt;B. grandiflora&lt;/i&gt; ). No origin was given for the material concerned, and apparently no specimen of it has been preserved.",General,en,,,Commonwealth of Australia (2017),,,3175,"R.J.F.Henderson (2017) <i>Blandfordia cunninghamii</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Blandfordia cunninghamii [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Blandfordia%20cunninghamii,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000761594,"Forms (possibly hybrid) approaching &lt;i&gt;Blandfordia nobilis&lt;/i&gt;  may be encountered in the southern portions of its range. &lt;i&gt;B. intermedia&lt;/i&gt;  Herb. is apparently applicable to one of these. Forms approaching &lt;i&gt;B. cunninghamii&lt;/i&gt;  (&lt;i&gt;I.Bowden&lt;/i&gt; , NSW 109401) in the Blue Mountains possibly represent hybrids with that species. In addition, abnormal forms with more than 15 apparently sterile flowers up to 6 cm long, pedicels up to 9 cm long and leaf-like bracts up to 20 cm long have been observed near Caloundra (Qld) and Bulahdelah (N.S.W.). No taxonomic importance is given here to these latter forms as they appear insect- or virus-affected.",General,en,,,Commonwealth of Australia (2017),,,3176,"R.J.F.Henderson (2017) <i>Blandfordia grandiflora</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Blandfordia grandiflora [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Blandfordia%20grandiflora,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000761603,"A moderately variable species with extremes approaching &lt;i&gt;Blandfordia grandiflora&lt;/i&gt;  in the northern parts of its range, suggesting the two species may hybridise there.",General,en,,,Commonwealth of Australia (2017),,,3177,"R.J.F.Henderson (2017) <i>Blandfordia nobilis</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Blandfordia nobilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Blandfordia%20nobilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000761951,"Drought-tolerant, the leaves orange when dormant.",General,en,,,Commonwealth of Australia (2017),,,3454,"D.M.Churchill (2017) <i>Borya constricta</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Borya constricta [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Borya%20constricta,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
