WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI
wfo-0000925072,ecology,EN,Crevices in vertical limestone cliffs; ca 80 m alt. Flowering: July–August.,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000925072,Forest Herbarium,All rights reserved,"Corybas ecarinatus . Flora of Thailand. Vol. 12. Part 1, 2011. Pg. 42. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05507
wfo-0000925072,distribution,EN,"Thailand, Endemic.",H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000925072,Forest Herbarium,All rights reserved,"Corybas ecarinatus . Flora of Thailand. Vol. 12. Part 1, 2011. Pg. 42. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05507
wfo-4000009394,general,EN,"Plant terrestrial, often producing several reed-like stems from the same short rhizome. Roots fasciculate and wiry. Leaves several per stem, more or less distichous, (sub)sessile, plicate, sheathing at base, fairly tough, more or less furfuraceous. Inflorescences 1–4 per flowering shoot, lateral, paniculate, much shorter than the leaves; floral bracts boat-shaped, ovate to (triangular-)lanceolate, veins often prominent on the dorsal side. Flowers distichous on each panicle branch (but pedicels twisted to make the flowers appear secundly arranged). Sepals and and petals of subequal length; dorsal sepal very shortly adnate to petals and column; petals usually broader than sepals. Labellum spathulate; claw embracing the column. Column at least 3 times as long as anther, slender and straight, slightly shorter than the labellum, with a pair of subterminal auricles; anther dorsal, versatile, elongated; pollinia 2, sectile, slender; rostellum erect, bifid, producing a long, more or less semiterete hamule and an elliptic-oblong to ovate viscidium; stigma transverse, with 2 recurved triangular lobules in front. Capsule strongly 6-ribbed.</br></br>A genus of 6 species with a pantropical distribution that includes South and Central America, tropical Africa, Madagascar, the Mascarenes, Indo-Malesia, Queensland and the W Pacific islands (south-east to Samoa); 1 species in Thailand.",H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000009394,Forest Herbarium,All rights reserved,"Corymborkis  . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 438. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05808
wfo-0001391065,general,EN,"Flowering shoots 50–300 cm tall. Leaves lanceolate to elliptic, acuminate (to acute), 15–49 by 4–14.2 cm, margins straight. Inflorescences with 2–8 straight primary branches (and occasionally with a few branches of second order); the entire inflorescence 4–19 cm long and  3–20 cm across, 7- to many-flowered; peduncle hidden in a leaf sheath, dorsiventrally flattened. Flowers (greenish-)white, fragrant in the evening. Sepals more or less spreading from connivent bases; dorsal sepal linear-spathulate to narrowly oblong-spathulate, acute to obtuse, sometimes mucronate, 28.1–49 by 4.3–7 mm; lateral sepals 28.8–49.8 by 4.4–6.8 mm, obliquely linear-spathulate to narrowly oblong-spathulate, acute, sometimes mucronate. Petals distally recurved to reflexed, obliquely linear-spathulate to obovate, 28.8–46.5 by 5.8–7.9 mm, acute (to acuminate), margins of distal part undulate. Labellum 28.4–44 by 11.2–17.3 mm; dilated distal part ovate to suborbicular, constituting 1/3 to 1/2 of the total labellum length, obtuse to acute or short acuminate, margins undulate; claw channelled, ornamented by 2 parallel keels that continue and diverge proximally on the distal labellum part. Column slenderly clavate, 23.8–38.5 mm long; anther slenderly oblongoid-ovoid, subacute, 5.2–6.1 mm long. Capsule oblongoid, 1.5–4.8 cm  long, 0.4–0.7 cm in diameter.",H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0001391065,Forest Herbarium,All rights reserved,"Corymborkis veratrifolia veratrifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 438. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05810
wfo-0001391065,ecology,EN,"Tropical rain forest, seasonal evergreen forest and bamboo thickets, rarely in hill evergreen forest and rubber plantations; 0–1,300 m alt. Flowering: throughout the year, but mainly in July–September.",H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0001391065,Forest Herbarium,All rights reserved,"Corymborkis veratrifolia veratrifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 438. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05810
wfo-0001391065,distribution,EN,"Thailand, Sri Lanka, India, Bangladesh, Myanmar, S China (Yunnan, Guangxi), Indo-China, Taiwan, Rykyus and throughout Malesia (neotype from Java) to Queensland and the W Pacific islands (south-east to Samoa).",H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0001391065,Forest Herbarium,All rights reserved,"Corymborkis veratrifolia veratrifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 438. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05810
wfo-4000009417,general,EN,"Solitary, hermaphrodite, hapaxanthic tree palms. Leaves induplicate, costapalmate; leaf sheath splitting to the base, shallowly disintegrating into fibres along the margins, later with conspicuous /\-shaped cleft below the petiole; petiole massive, deeply channelled above, margins with distinct teeth; adaxial hastula well developed, abaxial hastula somewhat irregular, blade regularly divided to half its radius into single fold segments, these further indented along the abaxial folds, adaxial folds of young leaves often terminated by filaments, transverse veinlets conspicuous. Inflorescences each subtended by bract-like leaves, gathered in a massive, terminal, composite flowering structure, individual inflorescences branched to the third order, prophyll bicarinate, rachis bracts tubular, rachillae with spirally arranged cincinni of up to 10 flowers. Flowers on short pseudopedicels formed by a fusion of the base of the calyx and the receptacle, stamens 6, the antesepalous ones free, the antepetalous ones shortly adnate to the petals, gynoecium 3-loculate, distinctly 3-grooved, with elongate style and inconspicuous stigmatic branches. Fruit globose, single-seeded, epicarp smooth, mesocarp fleshy, endocarp poorly differentiated, usually partly attached to seed coat. Seed with homogeneous endosperm.</br></br>Five species in tropical Asia to Australia. Two species are indigenous in Thailand. A third species, C. umbraculifera L., which is native to Sri Lanka and South India has been introduced and is often seen associated with temple compounds and as a grand street tree. It can be distinguished from C. lecomtei by the absence of black bands on the petioles, and from C. utan by the absence of indumentum on the petioles and the presence of ear-like auricles at the base of the petiole.</br></br>Species of Corypha remain very poorly understood.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000009417,Forest Herbarium,All rights reserved,"Corypha  . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 392. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05169
wfo-0000925821,general,EN,"Solitary tree palm, leaf-bearing part of stem 5–10 m long at flowering. Stem often covered to the base by persistent leaf bases. Leaves 20–30 in crown; petiole 4–6 m long, with a black 1–1.5 cm wide marginal band and armed with regularly arranged, densely inserted 0.5–1 cm long black teeth; blade c. 3 m across, undulate and untidy-looking, costa arching, greyish-green on both sides, divided into 120–140 segments, the basal ones narrow and drooping, the remaining ones stiff. Composite flowering structure overall 5–7 m tall, triangular in outline, individual inflorescences more than 25, the lowest one up to 3 m long and held in a more or less horizontal position and curved downward, the subsequent ones gradually decreasing in size towards the stem apex. Fruit 5–7 cm diam., greenish-brown, rounded to slightly ellipsoid.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000925821,Forest Herbarium,All rights reserved,"Corypha lecomtei . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 393. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05170
wfo-0000925821,use,EN,A spectacular ornamental.,A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000925821,Forest Herbarium,All rights reserved,"Corypha lecomtei . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 393. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05170
wfo-0000925821,ecology,EN,"In northeast Thailand occurring in seasonally dry vegetation, along river banks, monsoon forest and open areas, to 600 m altitude.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000925821,Forest Herbarium,All rights reserved,"Corypha lecomtei . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 393. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05170
