WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation
wfo-0000814096,ver-THA-0000814096.06,konam (ก่อหนาม)(Peninsular),0.0,ref-THA-0000814096,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03869,Forest Herbarium,All rights reserved,"Castanopsis inermis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 213. Accessed 2021-07-31"
wfo-0000814107,ver-THA-0000814107.01,ko mu (ก่อหมู)(Peninsular),0.0,ref-THA-0000814107,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03870,Forest Herbarium,All rights reserved,"Castanopsis javanica. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 215. Accessed 2021-07-31"
wfo-0000814266,ver-THA-0000814266.01,ko diao (ก่อเดี่ยว)(Northern),0.0,ref-THA-0000814266,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03871,Forest Herbarium,All rights reserved,"Castanopsis lanceifolia. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 217. Accessed 2021-07-31"
wfo-0000814266,ver-THA-0000814266.02,ko bai laem (ก่อใบแหลม)(Northern),0.0,ref-THA-0000814266,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03871,Forest Herbarium,All rights reserved,"Castanopsis lanceifolia. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 217. Accessed 2021-07-31"
wfo-0000814266,ver-THA-0000814266.03,ko paen (ก่อแป้น)(Northern),0.0,ref-THA-0000814266,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03871,Forest Herbarium,All rights reserved,"Castanopsis lanceifolia. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 217. Accessed 2021-07-31"
wfo-0000814266,ver-THA-0000814266.04,ko hin (ก่อหิน)(Northern),0.0,ref-THA-0000814266,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03871,Forest Herbarium,All rights reserved,"Castanopsis lanceifolia. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 217. Accessed 2021-07-31"
wfo-0000814266,ver-THA-0000814266.05,ko mu (ก่อหมู)(Peninsular),0.0,ref-THA-0000814266,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03871,Forest Herbarium,All rights reserved,"Castanopsis lanceifolia. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 217. Accessed 2021-07-31"
wfo-0000814427,ver-THA-0000814427.01,ko dan (ก่อดาน)(Peninsular),0.0,ref-THA-0000814427,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03872,Forest Herbarium,All rights reserved,"Castanopsis malaccensis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 219. Accessed 2021-07-31"
wfo-0000814450,ver-THA-0000814450.01,ko men (ก่อเม่น)(Peninsular),0.0,ref-THA-0000814450,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03873,Forest Herbarium,All rights reserved,"Castanopsis megacarpa. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 221. Accessed 2021-07-31"
wfo-0000814581,ver-THA-0000814581.01,"ko mu (ก่อหมู)(Northern, Peninsular)",0.0,ref-THA-0000814581,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03874,Forest Herbarium,All rights reserved,"Castanopsis nephelioides. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 221. Accessed 2021-07-31"
wfo-0000814581,ver-THA-0000814581.02,ko khao (ก่อขาว)(Peninsular),0.0,ref-THA-0000814581,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03874,Forest Herbarium,All rights reserved,"Castanopsis nephelioides. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 221. Accessed 2021-07-31"
wfo-0000814581,ver-THA-0000814581.03,ma ko khao (มะก่อข้าว)(Peninsular),0.0,ref-THA-0000814581,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03874,Forest Herbarium,All rights reserved,"Castanopsis nephelioides. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 221. Accessed 2021-07-31"
wfo-0000814811,ver-THA-0000814811.01,ko khao niao (ก่อข้าวเหนียว)(Northeastern),0.0,ref-THA-0000814811,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03875,Forest Herbarium,All rights reserved,"Castanopsis pierrei. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 225. Accessed 2021-07-31"
wfo-0000814811,ver-THA-0000814811.02,ko khi mu (ก่อขี้หมู)(Southeastern),0.0,ref-THA-0000814811,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03875,Forest Herbarium,All rights reserved,"Castanopsis pierrei. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 225. Accessed 2021-07-31"
wfo-0000814811,ver-THA-0000814811.03,ko mu (ก่อหมู)(Southeastern),0.0,ref-THA-0000814811,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03875,Forest Herbarium,All rights reserved,"Castanopsis pierrei. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 225. Accessed 2021-07-31"
wfo-0000814811,ver-THA-0000814811.04,ko khao niao (ก่อข้าวเหนียว)(Southeastern),0.0,ref-THA-0000814811,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03875,Forest Herbarium,All rights reserved,"Castanopsis pierrei. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 225. Accessed 2021-07-31"
wfo-0000814811,ver-THA-0000814811.05,ma ko (มะก่อ)(Southeastern),0.0,ref-THA-0000814811,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03875,Forest Herbarium,All rights reserved,"Castanopsis pierrei. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 225. Accessed 2021-07-31"
wfo-0000814822,ver-THA-0000814822.01,ko bai lueam (ก่อใบเลื่อม)(Northeastern),0.0,ref-THA-0000814822,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03876,Forest Herbarium,All rights reserved,"Castanopsis piriformis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 227. Accessed 2021-07-31"
wfo-0000814822,ver-THA-0000814822.02,ko ta mu (ก่อตาหมู)(Eastern),0.0,ref-THA-0000814822,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03876,Forest Herbarium,All rights reserved,"Castanopsis piriformis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 227. Accessed 2021-07-31"
wfo-0000814822,ver-THA-0000814822.03,ko mak (ก่อหมาก)(Eastern),0.0,ref-THA-0000814822,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03876,Forest Herbarium,All rights reserved,"Castanopsis piriformis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 227. Accessed 2021-07-31"
