"wfo_id","description","type","BibliographicCitation","URL","licence","provider"
"wfo-1200001347","Indonesia, New Guinea (W), Oranje Mts, Mt Doorman. Papua New Guinea, Star Mts, Eastern and Western Highlands.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001346","Indonesia, New Guinea (W), Mt Jaya (Carstensz), Mt Antares and the Burgers Mts. Papua New Guinea, Telefomin sub-district, Mt Scorpion.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001427","Indonesia, New Guinea (W), Nassau Mts, Mt Jaya, Mt Doorman, Hellwig Mts and Mt Goliath.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001426","Indonesia, New Guinea (W), near Lake Habbema; Mt Antares, Arfak Mts. Papua New Guinea, Star Mts, Mt Maip (Enga Province).","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400368","Indonesia, New Guinea (W). Papua New Guinea (E). Along the Main Range from Mt Doorman and the Hellwig Mts to Mt Victoria, also throughout the Huon Peninsula.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400740","Indonesia, New Guinea (W), Valentijn Mts. Papua New Guinea, Central District, Goilala subdistrict, Mt Dickson; Morobe District, above Bakaia, c.15 miles SE of Garaina.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400807","Indonesia, New Guinea (W), Vogelkop Peninsula, Arfak Mts, Tohkiri, Tamrau and Nettoti Range.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405659","Indonesia, New Guinea (W), Mt Doorman, Mt Jaya.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400607","Indonesia, New Guinea (W), Mt Jaya (Carstensz), Bandarong and Wanagon valleys.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400766","Indonesia, New Guinea (W), Mt Jaya (Carstensz), along the Utakwa R.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001416","Terrestrial in sub-alpine forest at forest borders, or in shrubberies, occupying patches of wet sandy or peaty soil, 2900–3650m. Fl. Sept.–Oct.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000403011","Indonesia, New Guinea (W), Wissel Lakes region; Mt Kobre near Manokwari, Mt Jaya, Box Canyon.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
